<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGMI.US,5,20250728,170500,36.67,36.67,36.67,36.67,100,0
AGMI.US,5,20250729,193000,36.88,36.88,36.88,36.88,100,0
AGMI.US,5,20250730,200000,36.3,36.3,36.29,36.29,1000,0
AGMI.US,5,20250730,205000,35.97,35.97,35.97,35.97,200,0
AGMI.US,5,20250730,210000,35.85,35.93,35.85,35.93,1100,0
AGMI.US,5,20250730,213000,35.73,35.81,35.73,35.81,1100,0
AGMI.US,5,20250731,154000,35.65,35.65,35.65,35.65,200,0
AGMI.US,5,20250731,161000,35.31,35.31,35.31,35.31,100,0
AGMI.US,5,20250731,182000,35.59,35.59,35.59,35.59,200,0
AGMI.US,5,20250731,190500,35.4756,35.4756,35.4756,35.4756,200,0
AGMI.US,5,20250731,204500,35.47,35.47,35.47,35.47,100,0
AGMI.US,5,20250801,202500,35.52,35.52,35.52,35.52,200,0
AGMI.US,5,20250801,203000,35.55,35.55,35.55,35.55,400,0
AGMI.US,5,20250804,153000,36.09,36.09,36.09,36.09,304,0
AGMI.US,5,20250804,171500,36.56,36.56,36.56,36.56,136,0
AGMI.US,5,20250805,175000,37.559,37.559,37.559,37.559,200,0
AGMI.US,5,20250805,205000,37.67,37.69,37.67,37.69,295,0
AGMI.US,5,20250807,154000,39.16,39.16,39.16,39.16,200,0
AGMI.US,5,20250807,163500,39.05,39.05,39.05,39.05,125,0
AGMI.US,5,20250807,192000,39.3891,39.3891,39.3891,39.3891,300,0
AGMI.US,5,20250811,153000,39.63,39.63,39.63,39.63,304,0
AGMI.US,5,20250811,175000,39.88,39.88,39.88,39.88,100,0
AGMI.US,5,20250811,175500,39.5001,39.5001,39.5001,39.5001,100,0
AGMI.US,5,20250813,194000,40.649,40.649,40.649,40.649,149,0
AGMI.US,5,20250813,214500,40.6,40.6,40.21,40.21,550,0
AGMI.US,5,20250813,215000,40.57,40.58,40.57,40.58,1100,0
AGMI.US,5,20250814,212000,39.94,39.94,39.94,39.94,123,0
AGMI.US,5,20250814,212500,40.26,40.26,40.26,40.26,123,0
AGMI.US,5,20250814,213000,39.91,39.91,39.91,39.91,123,0
AGMI.US,5,20250815,160500,40.2032,40.2032,40.2032,40.2032,126,0
AGMI.US,5,20250815,193500,40.619,40.619,40.5105,40.5105,800,0
AGMI.US,5,20250815,203500,40.73,40.73,40.73,40.73,100,0
AGMI.US,5,20250815,204000,40.73,40.73,40.73,40.73,100,0
AGMI.US,5,20250815,205000,40.67,40.67,40.67,40.67,100,0
AGMI.US,5,20250815,205500,40.645,40.645,40.645,40.645,132,0
AGMI.US,5,20250818,153000,40.63,40.63,40.63,40.63,378,0
AGMI.US,5,20250818,201500,40.22,40.22,40.22,40.22,123,0
AGMI.US,5,20250819,163000,39.88,39.94,39.88,39.94,600,0
AGMI.US,5,20250819,163500,39.86,39.86,39.81,39.81,600,0
AGMI.US,5,20250819,170000,39.73,39.78,39.73,39.78,600,0
AGMI.US,5,20250819,211500,39.45,39.5,39.42,39.5,1100,0
AGMI.US,5,20250819,215000,39.48,39.48,39.48,39.48,525,0
AGMI.US,5,20250820,155000,39.35,39.35,39.35,39.35,100,0
AGMI.US,5,20250820,155500,39.58,39.58,39.58,39.58,200,0
AGMI.US,5,20250820,165500,39.695,39.695,39.695,39.695,172,0
AGMI.US,5,20250820,200000,39.774,39.774,39.774,39.774,152,0
AGMI.US,5,20250820,201500,39.94,39.94,39.94,39.94,200,0
AGMI.US,5,20250820,202500,39.939,39.939,39.939,39.939,281,0
AGMI.US,5,20250820,203000,39.94,39.94,39.94,39.94,200,0
AGMI.US,5,20250820,203500,39.94,39.94,39.94,39.94,200,0
AGMI.US,5,20250820,204500,39.95,39.95,39.95,39.95,200,0
AGMI.US,5,20250820,211000,39.96,39.96,39.96,39.96,200,0
AGMI.US,5,20250820,215500,40,40,40,40,200,0
AGMI.US,5,20250821,154000,39.95,39.95,39.95,39.95,500,0
AGMI.US,5,20250821,200000,40,40,40,40,200,0
AGMI.US,5,20250821,204000,40.34,40.34,40.34,40.34,300,0
AGMI.US,5,20250821,205500,40.38,40.38,40.38,40.38,173,0
AGMI.US,5,20250822,175000,41.22,41.22,41.22,41.22,200,0
AGMI.US,5,20250822,185000,41.22,41.22,41.22,41.22,100,0
AGMI.US,5,20250822,202500,41.38,41.39,41.38,41.38,3900,0
AGMI.US,5,20250825,154500,41.495,41.495,41.495,41.495,100,0
AGMI.US,5,20250825,164500,41.4586,41.4586,41.4586,41.4586,200,0
AGMI.US,5,20250825,170000,41.66,41.66,41.66,41.66,100,0
AGMI.US,5,20250825,190500,41.345,41.345,41.345,41.345,115,0
AGMI.US,5,20250825,204000,41.5,41.5,41.5,41.5,100,0
AGMI.US,5,20250825,205500,41.4,41.4,41.4,41.4,100,0
AGMI.US,5,20250825,211500,41.16,41.16,41.16,41.16,200,0
AGMI.US,5,20250826,153000,41.34,41.34,41.34,41.34,152,0
AGMI.US,5,20250827,154000,41.29,41.34,41.29,41.34,600,0
AGMI.US,5,20250827,154500,41.45,41.47,41.25,41.25,4708,0
AGMI.US,5,20250827,215000,41.82,41.82,41.82,41.82,611,0
AGMI.US,5,20250828,153000,42.3,42.3,42.3,42.3,176,0
AGMI.US,5,20250828,153500,42.1165,42.1165,42.1165,42.1165,929,0
