<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCY.US,5,20250728,153000,20.61,20.61,20.61,20.61,1218,0
BSCY.US,5,20250728,155000,20.59,20.59,20.59,20.59,300,0
BSCY.US,5,20250728,161500,20.61,20.61,20.61,20.61,100,0
BSCY.US,5,20250728,162500,20.61,20.61,20.61,20.61,100,0
BSCY.US,5,20250728,165500,20.605,20.605,20.605,20.605,100,0
BSCY.US,5,20250728,170500,20.6,20.6081,20.6,20.6081,300,0
BSCY.US,5,20250728,171000,20.605,20.605,20.605,20.605,100,0
BSCY.US,5,20250728,171500,20.61,20.61,20.61,20.61,300,0
BSCY.US,5,20250728,172500,20.609,20.61,20.609,20.61,626,0
BSCY.US,5,20250728,173500,20.605,20.605,20.605,20.605,826,0
BSCY.US,5,20250728,174000,20.61,20.61,20.61,20.61,100,0
BSCY.US,5,20250728,174500,20.605,20.61,20.605,20.61,300,0
BSCY.US,5,20250728,175000,20.605,20.605,20.6,20.6015,1778,0
BSCY.US,5,20250728,175500,20.605,20.6087,20.605,20.6087,1170,0
BSCY.US,5,20250728,180500,20.605,20.605,20.605,20.605,100,0
BSCY.US,5,20250728,181500,20.605,20.61,20.605,20.61,1000,0
BSCY.US,5,20250728,182500,20.61,20.61,20.61,20.61,200,0
BSCY.US,5,20250728,183000,20.605,20.605,20.605,20.605,126,0
BSCY.US,5,20250728,184000,20.605,20.61,20.605,20.61,1400,0
BSCY.US,5,20250728,185000,20.61,20.61,20.61,20.61,200,0
BSCY.US,5,20250728,190000,20.605,20.605,20.605,20.605,200,0
BSCY.US,5,20250728,190500,20.61,20.61,20.61,20.61,1642,0
BSCY.US,5,20250728,191000,20.6,20.605,20.6,20.6,1150,0
BSCY.US,5,20250728,191500,20.6,20.605785,20.6,20.605,346,0
BSCY.US,5,20250728,192000,20.607597,20.607597,20.605,20.605,347,0
BSCY.US,5,20250728,193500,20.605,20.605,20.605,20.605,200,0
BSCY.US,5,20250728,195000,20.605,20.6067,20.605,20.605,709,0
BSCY.US,5,20250728,200000,20.605,20.605,20.605,20.605,152,0
BSCY.US,5,20250728,201000,20.6,20.605,20.6,20.6,2790,0
BSCY.US,5,20250728,202500,20.6,20.6,20.6,20.6,200,0
BSCY.US,5,20250728,203000,20.6,20.6,20.6,20.6,100,0
BSCY.US,5,20250728,203500,20.6,20.6,20.6,20.6,200,0
BSCY.US,5,20250728,204000,20.5805,20.5805,20.5805,20.5805,235,0
BSCY.US,5,20250728,204500,20.6,20.6,20.6,20.6,3106,0
BSCY.US,5,20250728,205000,20.6,20.6,20.6,20.6,200,0
BSCY.US,5,20250728,210000,20.6,20.6,20.6,20.6,200,0
BSCY.US,5,20250728,210500,20.6,20.6,20.595,20.595,2335,0
BSCY.US,5,20250728,211000,20.6,20.6,20.5907,20.5907,2153,0
BSCY.US,5,20250728,211500,20.6,20.6,20.6,20.6,200,0
BSCY.US,5,20250728,212500,20.6,20.6,20.6,20.6,2200,0
BSCY.US,5,20250728,213000,20.6,20.6,20.6,20.6,200,0
BSCY.US,5,20250728,213500,20.6,20.61,20.6,20.605,2426,0
BSCY.US,5,20250728,214000,20.605,20.6068,20.605,20.6068,3831,0
BSCY.US,5,20250728,214500,20.6058,20.6058,20.59,20.59,4501,0
BSCY.US,5,20250728,215000,20.6,20.6,20.6,20.6,261,0
BSCY.US,5,20250728,215500,20.6,20.61,20.595,20.61,11024,0
BSCY.US,5,20250729,153000,20.67,20.67,20.62,20.62,826,0
BSCY.US,5,20250729,153500,20.62,20.63,20.62,20.63,300,0
BSCY.US,5,20250729,154000,20.63,20.63,20.63,20.63,100,0
