<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DMAT.US,5,20250728,153000,19.21,19.21,19.14,19.14,378,0
DMAT.US,5,20250728,153500,19.13,19.13,19.1288,19.1288,1475,0
DMAT.US,5,20250728,155000,18.92,18.9201,18.92,18.9201,1400,0
DMAT.US,5,20250728,160000,18.95,18.9501,18.95,18.9501,400,0
DMAT.US,5,20250728,161000,19.11,19.11,18.97,18.97,298,0
DMAT.US,5,20250728,162000,19,19,19,19,793,0
DMAT.US,5,20250728,170000,19.05,19.05,18.98,18.98,450,0
DMAT.US,5,20250728,184500,19.05,19.05,19.05,19.05,200,0
DMAT.US,5,20250728,204000,19.025,19.025,19.025,19.025,168,0
DMAT.US,5,20250729,153000,18.99,18.99,18.99,18.99,158,0
DMAT.US,5,20250729,160500,18.98,18.98,18.98,18.98,1300,0
DMAT.US,5,20250729,162000,18.87,18.87,18.87,18.87,200,0
DMAT.US,5,20250729,171000,18.93,18.9649,18.9,18.9649,900,0
DMAT.US,5,20250729,171500,18.8801,18.8801,18.8801,18.8801,399,0
DMAT.US,5,20250729,175000,18.9265,18.9265,18.9265,18.9265,400,0
DMAT.US,5,20250729,180500,18.9409,18.9409,18.9409,18.9409,200,0
DMAT.US,5,20250729,213500,18.91,18.91,18.91,18.91,100,0
DMAT.US,5,20250729,215000,18.88,18.999,18.88,18.999,430,0
DMAT.US,5,20250730,163500,18.72,18.72,18.72,18.72,300,0
DMAT.US,5,20250730,164000,18.72,18.7201,18.72,18.7201,490,0
DMAT.US,5,20250730,164500,18.72,18.72,18.72,18.72,300,0
DMAT.US,5,20250730,183000,18.69,18.82,18.69,18.82,600,0
DMAT.US,5,20250730,195500,18.82,18.82,18.82,18.82,240,0
DMAT.US,5,20250730,205500,18.51,18.51,18.4,18.4,356,0
DMAT.US,5,20250730,214500,18.36,18.45,18.36,18.45,200,0
DMAT.US,5,20250731,153000,17.97,17.97,17.97,17.97,288,0
DMAT.US,5,20250731,153500,17.83,17.83,17.83,17.83,200,0
DMAT.US,5,20250731,154000,17.8207,17.8207,17.8207,17.8207,579,0
DMAT.US,5,20250731,154500,17.8,17.8,17.8,17.8,175,0
DMAT.US,5,20250731,155500,17.6551,17.83,17.565,17.83,2190,0
DMAT.US,5,20250731,160000,17.91,17.91,17.91,17.91,332,0
DMAT.US,5,20250731,215000,17.87,17.87,17.87,17.87,500,0
DMAT.US,5,20250731,215500,17.8588,17.8588,17.8588,17.8588,400,0
DMAT.US,5,20250801,153000,17.91,17.91,17.91,17.91,113,0
DMAT.US,5,20250801,181500,17.9199,17.9199,17.9199,17.9199,900,0
DMAT.US,5,20250801,194000,17.8259,17.8259,17.8259,17.8259,207,0
DMAT.US,5,20250804,153000,18.08,18.08,18.08,18.08,2023,0
DMAT.US,5,20250804,154000,18.13,18.13,18.1,18.1,632,0
DMAT.US,5,20250804,154500,18.1,18.1,18.07,18.07,532,0
DMAT.US,5,20250804,160500,18.17,18.17,18.125,18.125,1300,0
DMAT.US,5,20250804,161000,18.18,18.18,18.18,18.18,100,0
DMAT.US,5,20250804,163000,18.16,18.16,18.16,18.16,200,0
DMAT.US,5,20250804,163500,18.16,18.16,18.16,18.16,230,0
DMAT.US,5,20250804,165000,18.22,18.22,18.22,18.22,100,0
DMAT.US,5,20250804,172500,18.25,18.25,18.25,18.25,200,0
DMAT.US,5,20250804,174000,18.26,18.26,18.26,18.26,100,0
DMAT.US,5,20250804,180000,18.225,18.2799,18.225,18.2799,645,0
DMAT.US,5,20250804,181000,18.19,18.19,18.19,18.19,100,0
DMAT.US,5,20250804,185500,18.245,18.245,18.245,18.245,100,0
DMAT.US,5,20250804,194000,18.18,18.18,18.18,18.18,100,0
DMAT.US,5,20250804,203000,18.34,18.34,18.34,18.34,200,0
DMAT.US,5,20250804,212000,18.3171,18.3171,18.3171,18.3171,446,0
DMAT.US,5,20250805,160500,18.2691,18.2691,18.25,18.25,650,0
DMAT.US,5,20250805,164000,18.2297,18.2297,18.2001,18.2001,600,0
DMAT.US,5,20250806,181000,18.435,18.435,18.435,18.435,200,0
DMAT.US,5,20250806,185000,18.47,18.47,18.4444,18.4444,200,0
DMAT.US,5,20250806,195000,18.455,18.455,18.455,18.455,100,0
DMAT.US,5,20250806,214500,18.48,18.49,18.48,18.49,1479,0
DMAT.US,5,20250807,154500,18.8,18.92,18.8,18.8,650,0
DMAT.US,5,20250807,160000,18.79,18.7901,18.78,18.7901,700,0
DMAT.US,5,20250807,162000,18.7798,18.7798,18.7798,18.7798,300,0
DMAT.US,5,20250807,164500,18.75,18.75,18.75,18.75,100,0
DMAT.US,5,20250807,192000,18.71,18.71,18.71,18.71,800,0
DMAT.US,5,20250807,195500,18.8,18.81,18.8,18.81,400,0
DMAT.US,5,20250807,200500,18.805,18.805,18.805,18.805,400,0
DMAT.US,5,20250807,201000,18.805,18.805,18.805,18.805,200,0
DMAT.US,5,20250807,201500,18.8,18.8,18.8,18.8,200,0
DMAT.US,5,20250807,202000,18.8,18.8,18.8,18.8,200,0
DMAT.US,5,20250807,202500,18.805,18.815,18.805,18.815,1100,0
DMAT.US,5,20250807,203000,18.82,18.82,18.82,18.82,100,0
DMAT.US,5,20250807,204000,18.82,18.82,18.82,18.82,100,0
DMAT.US,5,20250808,153000,19,19.11,19,19.07,1401,0
DMAT.US,5,20250808,153500,19.03,19.03,19,19,600,0
DMAT.US,5,20250808,161500,19.0598,19.0598,19.0598,19.0598,263,0
DMAT.US,5,20250808,173000,19.2299,19.2299,19.2299,19.2299,150,0
DMAT.US,5,20250808,174500,19.155,19.155,19.155,19.155,100,0
DMAT.US,5,20250808,175500,19.1715,19.1715,19.1715,19.1715,1000,0
DMAT.US,5,20250808,181500,19.165,19.165,19.165,19.165,115,0
DMAT.US,5,20250808,184500,19.2094,19.2094,19.2094,19.2094,100,0
DMAT.US,5,20250808,193000,19.1987,19.37,19.1987,19.37,490,0
DMAT.US,5,20250808,202500,19.26,19.26,19.26,19.26,159,0
DMAT.US,5,20250811,161000,19.35,19.35,19.35,19.35,200,0
DMAT.US,5,20250811,161500,19.45,19.45,19.45,19.45,100,0
DMAT.US,5,20250811,164500,19.33,19.33,19.33,19.33,213,0
DMAT.US,5,20250811,165000,19.3714,19.3714,19.3714,19.3714,100,0
DMAT.US,5,20250811,173500,19.3885,19.3885,19.3885,19.3885,434,0
DMAT.US,5,20250811,185500,19.4199,19.4199,19.399,19.399,200,0
DMAT.US,5,20250811,194500,19.38,19.38,19.38,19.38,100,0
DMAT.US,5,20250811,210500,19.41,19.41,19.41,19.41,200,0
DMAT.US,5,20250811,212500,19.399,19.399,19.399,19.399,100,0
DMAT.US,5,20250811,214500,19.365,19.365,19.365,19.365,100,0
DMAT.US,5,20250811,215000,19.33,19.33,19.33,19.33,200,0
DMAT.US,5,20250812,164000,19.3494,19.3494,19.345,19.345,1100,0
DMAT.US,5,20250812,170000,19.3956,19.3956,19.3956,19.3956,695,0
DMAT.US,5,20250812,181500,19.4713,19.4713,19.4713,19.4713,100,0
DMAT.US,5,20250812,191500,19.4853,19.4853,19.4853,19.4853,113,0
DMAT.US,5,20250812,194000,19.5199,19.5199,19.5199,19.5199,263,0
DMAT.US,5,20250812,203000,19.46,19.46,19.46,19.46,100,0
DMAT.US,5,20250812,205500,19.5,19.51,19.46,19.51,1200,0
DMAT.US,5,20250812,210500,19.5199,19.5199,19.5199,19.5199,250,0
DMAT.US,5,20250812,213000,19.47,19.47,19.47,19.47,100,0
DMAT.US,5,20250813,154000,19.7,19.7,19.7,19.7,512,0
DMAT.US,5,20250813,154500,19.7885,19.7885,19.67,19.6701,705,0
DMAT.US,5,20250813,162000,19.78,19.78,19.78,19.78,100,0
DMAT.US,5,20250813,170500,19.687,19.687,19.687,19.687,500,0
DMAT.US,5,20250813,205500,19.71,19.71,19.71,19.71,100,0
DMAT.US,5,20250813,211000,19.72,19.72,19.72,19.72,200,0
DMAT.US,5,20250813,212500,19.73,19.73,19.73,19.73,200,0
DMAT.US,5,20250813,213500,19.72,19.72,19.72,19.72,200,0
DMAT.US,5,20250813,214000,19.72,19.72,19.72,19.72,200,0
DMAT.US,5,20250813,214500,19.72,19.73,19.72,19.73,600,0
DMAT.US,5,20250814,153000,19.88,19.88,19.462,19.462,950,0
DMAT.US,5,20250814,153500,19.48,19.48,19.48,19.48,1000,0
DMAT.US,5,20250814,163500,19.48,19.48,19.48,19.48,200,0
DMAT.US,5,20250814,172500,19.395,19.395,19.395,19.395,100,0
DMAT.US,5,20250814,174000,19.35,19.37,19.35,19.37,617,0
DMAT.US,5,20250814,180500,19.4292,19.4292,19.4292,19.4292,134,0
DMAT.US,5,20250818,154500,19.8044,19.8044,19.8044,19.8044,251,0
DMAT.US,5,20250818,155000,19.81,19.81,19.81,19.81,251,0
DMAT.US,5,20250818,165500,19.786,19.786,19.786,19.786,200,0
DMAT.US,5,20250818,171000,19.74,19.74,19.74,19.74,252,0
DMAT.US,5,20250818,181000,19.81,19.81,19.81,19.81,100,0
DMAT.US,5,20250818,200500,19.75,19.75,19.75,19.75,100,0
DMAT.US,5,20250818,201500,19.81,19.81,19.81,19.81,100,0
DMAT.US,5,20250818,214000,19.8044,19.8044,19.8044,19.8044,100,0
DMAT.US,5,20250818,215500,19.89,19.89,19.89,19.89,300,0
DMAT.US,5,20250819,153000,19.92,19.92,19.92,19.92,100,0
DMAT.US,5,20250819,155500,19.7398,19.7398,19.7398,19.7398,252,0
DMAT.US,5,20250819,162500,19.6702,19.74,19.67,19.74,968,0
DMAT.US,5,20250819,174500,19.68,19.68,19.67,19.68,400,0
DMAT.US,5,20250819,175000,19.69,19.69,19.66,19.68,1448,0
DMAT.US,5,20250819,175500,19.54,19.54,19.54,19.54,300,0
DMAT.US,5,20250819,182500,19.54,19.54,19.54,19.54,100,0
DMAT.US,5,20250819,183000,19.6198,19.6198,19.53,19.55,1612,0
DMAT.US,5,20250819,203500,19.585,19.585,19.585,19.585,125,0
DMAT.US,5,20250820,155000,19.43,19.43,19.43,19.43,200,0
DMAT.US,5,20250820,155500,19.36,19.3601,19.34,19.3601,1500,0
DMAT.US,5,20250820,161000,19.411,19.411,19.3214,19.3277,1084,0
DMAT.US,5,20250820,163500,19.32,19.32,19.2901,19.3,1435,0
DMAT.US,5,20250820,165000,19.357,19.357,19.357,19.357,181,0
DMAT.US,5,20250820,171500,19.384,19.384,19.384,19.384,200,0
DMAT.US,5,20250820,215500,19.45,19.45,19.45,19.45,100,0
DMAT.US,5,20250821,161000,19.54,19.54,19.54,19.54,200,0
DMAT.US,5,20250821,162500,19.63,19.63,19.63,19.63,300,0
DMAT.US,5,20250821,170000,19.63,19.63,19.63,19.63,100,0
DMAT.US,5,20250821,172500,19.57,19.57,19.57,19.57,138,0
DMAT.US,5,20250821,175000,19.64,19.64,19.51,19.5555,640,0
DMAT.US,5,20250821,195500,19.62,19.62,19.61,19.62,400,0
DMAT.US,5,20250821,205500,19.666,19.67,19.666,19.67,300,0
DMAT.US,5,20250821,211000,19.7199,19.72,19.7199,19.72,1000,0
DMAT.US,5,20250821,212500,19.7599,19.7599,19.7599,19.7599,150,0
DMAT.US,5,20250821,213000,19.7599,19.7599,19.7599,19.7599,100,0
DMAT.US,5,20250821,215500,19.74,19.74,19.74,19.74,300,0
DMAT.US,5,20250822,161000,20.0821,20.0821,20.0821,20.0821,150,0
DMAT.US,5,20250822,170000,20.2499,20.2499,20.2499,20.2499,246,0
DMAT.US,5,20250822,170500,20.21,20.21,20.21,20.21,100,0
DMAT.US,5,20250822,173500,20.21,20.21,20.21,20.21,100,0
DMAT.US,5,20250822,175500,20.2,20.2,20.2,20.2,100,0
DMAT.US,5,20250822,183500,20.195,20.195,20.195,20.195,498,0
DMAT.US,5,20250822,184000,20.195,20.195,20.195,20.195,140,0
DMAT.US,5,20250822,184500,20.22,20.239,20.22,20.225,501,0
DMAT.US,5,20250822,185000,20.205,20.205,20.205,20.205,100,0
DMAT.US,5,20250822,204500,20.249,20.249,20.17,20.17,1440,0
DMAT.US,5,20250822,214000,20.21,20.21,20.21,20.21,100,0
DMAT.US,5,20250822,215500,20.215,20.215,20.215,20.215,100,0
DMAT.US,5,20250825,153000,20.32,20.47,20.32,20.47,300,0
DMAT.US,5,20250825,155500,20.5,20.5,20.5,20.5,139,0
DMAT.US,5,20250825,160000,20.5,20.5,20.5,20.5,251,0
DMAT.US,5,20250825,163000,20.5917,20.5917,20.5917,20.5917,300,0
DMAT.US,5,20250825,163500,20.61,20.615,20.61,20.61,451,0
DMAT.US,5,20250825,170000,20.61,20.61,20.516,20.516,350,0
DMAT.US,5,20250825,170500,20.54,20.54,20.54,20.54,100,0
DMAT.US,5,20250825,175500,20.4673,20.4673,20.4673,20.4673,112,0
DMAT.US,5,20250825,180500,20.5299,20.5299,20.5299,20.5299,330,0
DMAT.US,5,20250825,194000,20.5,20.5,20.5,20.5,100,0
DMAT.US,5,20250825,214000,20.5199,20.5199,20.5199,20.5199,200,0
DMAT.US,5,20250825,215500,20.51,20.51,20.51,20.51,300,0
DMAT.US,5,20250826,153000,20.49,20.49,20.24,20.24,998,0
DMAT.US,5,20250826,154500,20.28,20.28,20.28,20.28,100,0
DMAT.US,5,20250826,161000,20.3356,20.37,20.3356,20.37,1150,0
DMAT.US,5,20250826,170500,20.359,20.359,20.359,20.359,200,0
DMAT.US,5,20250826,171000,20.359,20.359,20.359,20.359,100,0
DMAT.US,5,20250826,172500,20.29,20.29,20.29,20.29,100,0
DMAT.US,5,20250826,175500,20.29,20.29,20.29,20.29,150,0
DMAT.US,5,20250826,181500,20.26,20.26,20.26,20.26,400,0
DMAT.US,5,20250826,183000,20.3169,20.3169,20.3169,20.3169,100,0
DMAT.US,5,20250826,183500,20.3,20.3,20.3,20.3,100,0
DMAT.US,5,20250826,192500,20.29,20.29,20.29,20.29,300,0
DMAT.US,5,20250826,194000,20.3,20.31,20.3,20.31,300,0
DMAT.US,5,20250826,194500,20.245,20.245,20.245,20.245,500,0
DMAT.US,5,20250826,214500,20.21,20.23,20.21,20.23,200,0
DMAT.US,5,20250826,215500,20.23,20.23,20.23,20.23,100,0
DMAT.US,5,20250827,153000,20.13,20.13,20.13,20.13,1012,0
DMAT.US,5,20250827,155000,20.135,20.135,20.135,20.135,1000,0
DMAT.US,5,20250827,162000,20.12,20.12,20.12,20.12,100,0
DMAT.US,5,20250827,163000,20.16,20.16,20.16,20.16,887,0
DMAT.US,5,20250827,171000,20.225528,20.225528,20.225528,20.225528,456,0
DMAT.US,5,20250827,182500,20.26,20.27,20.26,20.2699,680,0
DMAT.US,5,20250827,211000,20.31,20.31,20.31,20.31,200,0
DMAT.US,5,20250828,153000,20.49,20.49,20.49,20.49,343,0
DMAT.US,5,20250828,153500,20.56,20.56,20.56,20.56,768,0
DMAT.US,5,20250828,160500,20.49,20.4999,20.35,20.4999,512,0
DMAT.US,5,20250828,161500,20.4868,20.4868,20.4868,20.4868,121,0
DMAT.US,5,20250828,171500,20.47,20.47,20.47,20.47,161,0
DMAT.US,5,20250828,184000,20.51,20.51,20.51,20.51,390,0
DMAT.US,5,20250828,193500,20.39,20.39,20.39,20.39,100,0
DMAT.US,5,20250828,195000,20.4,20.4,20.4,20.4,200,0
DMAT.US,5,20250828,201500,20.4831,20.4831,20.4831,20.4831,100,0
DMAT.US,5,20250829,153000,20.66,20.66,20.66,20.66,198,0
DMAT.US,5,20250829,154000,20.81,20.81,20.68,20.68,200,0
DMAT.US,5,20250829,155500,20.835,20.853,20.835,20.853,739,0
DMAT.US,5,20250829,160500,20.88,20.88,20.88,20.88,100,0
DMAT.US,5,20250829,161000,20.865,20.865,20.7885,20.859,989,0
DMAT.US,5,20250829,161500,20.82,20.83,20.82,20.8299,1200,0
DMAT.US,5,20250829,172500,20.8436,20.8436,20.8436,20.8436,960,0
DMAT.US,5,20250829,175000,20.8009,20.8009,20.8009,20.8009,400,0
DMAT.US,5,20250829,181000,20.93,20.93,20.93,20.93,100,0
DMAT.US,5,20250829,183500,20.86,20.86,20.86,20.86,100,0
DMAT.US,5,20250829,184500,20.8516,20.8516,20.8516,20.8516,250,0
DMAT.US,5,20250829,185000,20.91,20.91,20.85,20.85,200,0
DMAT.US,5,20250829,193500,20.84,20.84,20.84,20.84,200,0
DMAT.US,5,20250829,195000,20.89,20.89,20.89,20.89,100,0
DMAT.US,5,20250829,201000,20.89,20.89,20.89,20.89,100,0
DMAT.US,5,20250902,153000,20.7,20.7,20.477,20.477,1031,0
DMAT.US,5,20250902,160500,20.61,20.6101,20.61,20.6101,712,0
DMAT.US,5,20250902,161000,20.72,20.74,20.72,20.74,200,0
DMAT.US,5,20250902,162500,20.65,20.6501,20.65,20.6501,1080,0
DMAT.US,5,20250902,163500,20.76,20.76,20.76,20.76,200,0
DMAT.US,5,20250902,164000,20.74,20.74,20.74,20.74,100,0
DMAT.US,5,20250902,165000,20.6525,20.6525,20.6525,20.6525,500,0
DMAT.US,5,20250902,172000,20.72,20.72,20.72,20.72,100,0
DMAT.US,5,20250902,174500,20.5915,20.5915,20.5915,20.5915,300,0
DMAT.US,5,20250902,175000,20.72,20.72,20.72,20.72,100,0
DMAT.US,5,20250902,182000,20.665,20.665,20.665,20.665,475,0
DMAT.US,5,20250902,195000,20.79,20.79,20.65,20.65,300,0
DMAT.US,5,20250902,201500,20.73,20.735,20.73,20.735,6524,0
DMAT.US,5,20250902,203000,20.8,20.8,20.8,20.8,1109,0
DMAT.US,5,20250902,203500,20.8,20.8,20.8,20.8,1134,0
DMAT.US,5,20250902,205500,20.82,20.82,20.767,20.767,340,0
DMAT.US,5,20250902,212000,20.86,20.86,20.807,20.807,220,0
DMAT.US,5,20250902,213000,20.86,20.86,20.86,20.86,120,0
DMAT.US,5,20250902,213500,20.8699,20.8699,20.8699,20.8699,130,0
DMAT.US,5,20250902,214000,20.8699,20.8699,20.86,20.86,745,0
DMAT.US,5,20250903,153000,21.39,21.39,21.39,21.39,757,0
DMAT.US,5,20250903,154000,21.105,21.105,21.105,21.105,139,0
DMAT.US,5,20250903,160000,21.12,21.12,21.12,21.12,100,0
DMAT.US,5,20250903,161000,21.079,21.079,21.079,21.079,100,0
DMAT.US,5,20250903,165000,21.11,21.13,21.11,21.13,4999,0
DMAT.US,5,20250903,170500,21.1446,21.155,20.91,21.0901,1922,0
DMAT.US,5,20250903,174000,21.1189,21.1189,21.1189,21.1189,100,0
DMAT.US,5,20250903,183500,21.0378,21.0378,21.0378,21.0378,150,0
