<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FINX.US,5,20250728,153000,35.33,35.33,35.33,35.33,3365,0
FINX.US,5,20250728,153500,35.1777,35.1777,35.1777,35.1777,125,0
FINX.US,5,20250728,154000,35.2609,35.2609,35.2609,35.2609,300,0
FINX.US,5,20250728,155500,35.2125,35.2125,35.2003,35.2003,386,0
FINX.US,5,20250728,160000,35.21,35.21,35.21,35.21,445,0
FINX.US,5,20250728,160500,35.261,35.27,35.261,35.2677,600,0
FINX.US,5,20250728,161000,35.265,35.265,35.265,35.265,136,0
FINX.US,5,20250728,161500,35.21,35.21,35.21,35.21,100,0
FINX.US,5,20250728,162000,35.2051,35.2051,35.2051,35.2051,142,0
FINX.US,5,20250728,162500,35.1909,35.1909,35.15,35.15,670,0
FINX.US,5,20250728,163000,35.1299,35.19,35.1299,35.19,2817,0
FINX.US,5,20250728,165000,35.142,35.142,35.09,35.09,673,0
FINX.US,5,20250728,165500,35.1249,35.1249,35.0412,35.0412,463,0
FINX.US,5,20250728,170000,35.0482,35.0482,35.0482,35.0482,127,0
FINX.US,5,20250728,170500,35.1,35.1,35.04,35.1,1343,0
FINX.US,5,20250728,172000,35,35.005,35,35.005,225,0
FINX.US,5,20250728,172500,35.025,35.04,35.025,35.04,200,0
FINX.US,5,20250728,173000,35.1,35.1,35.1,35.1,200,0
FINX.US,5,20250728,175000,35.03,35.03,35.03,35.03,100,0
FINX.US,5,20250728,180000,35.12,35.12,35.12,35.12,200,0
FINX.US,5,20250728,180500,35.1201,35.15,35.1201,35.15,270,0
FINX.US,5,20250728,182000,35.15,35.15,35.15,35.15,300,0
FINX.US,5,20250728,182500,35.14,35.14,35.14,35.14,100,0
FINX.US,5,20250728,184500,35.19,35.19,35.19,35.19,300,0
FINX.US,5,20250728,185000,35.169,35.169,35.169,35.169,200,0
FINX.US,5,20250728,190000,35.1498,35.16,35.14,35.14,884,0
FINX.US,5,20250728,190500,35.155,35.155,35.155,35.155,100,0
FINX.US,5,20250728,191500,35.15,35.15,35.15,35.15,236,0
FINX.US,5,20250728,192000,35.08,35.08,35.08,35.08,200,0
FINX.US,5,20250728,192500,35.148,35.148,35.148,35.148,447,0
FINX.US,5,20250728,194500,35.08,35.1,35.08,35.0801,2368,0
FINX.US,5,20250728,200500,35.03,35.03,35.03,35.03,100,0
FINX.US,5,20250728,201000,35.012,35.012,35.0001,35.0001,443,0
FINX.US,5,20250728,202000,35.17,35.17,35.17,35.17,217,0
FINX.US,5,20250728,203000,35.0233,35.0233,35.0233,35.0233,1257,0
FINX.US,5,20250728,205000,35.04,35.06,35.04,35.04,1169,0
FINX.US,5,20250728,210000,35.04,35.04,35.02,35.04,300,0
FINX.US,5,20250728,210500,35.04,35.04,35.03,35.03,200,0
FINX.US,5,20250728,211000,35.03,35.03,35.03,35.03,100,0
FINX.US,5,20250728,211500,35.02,35.04,35.02,35.04,804,0
