<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTCS.US,5,20250728,153000,92.13,92.13,91.8793,91.8793,4219,0
FTCS.US,5,20250728,153500,91.85,91.85,91.81,91.85,1840,0
FTCS.US,5,20250728,154000,91.84,91.86,91.79,91.83,3187,0
FTCS.US,5,20250728,154500,91.85,91.855,91.77,91.77,19338,0
FTCS.US,5,20250728,155000,91.77,91.85,91.76,91.85,3756,0
FTCS.US,5,20250728,155500,91.85,91.85,91.7545,91.78,2820,0
FTCS.US,5,20250728,160000,91.75,91.91,91.75,91.91,3177,0
FTCS.US,5,20250728,160500,91.92,91.944,91.91,91.93,12151,0
FTCS.US,5,20250728,161000,91.935,91.96,91.935,91.96,708,0
FTCS.US,5,20250728,161500,91.95,91.95,91.92,91.95,3300,0
FTCS.US,5,20250728,162000,91.92,91.92,91.85,91.86,2655,0
FTCS.US,5,20250728,162500,91.89,91.91,91.89,91.896,650,0
FTCS.US,5,20250728,163000,91.88,91.8998,91.81,91.8204,2730,0
FTCS.US,5,20250728,163500,91.81,91.85,91.81,91.81,3779,0
FTCS.US,5,20250728,164000,91.81,91.9164,91.79,91.9164,2283,0
FTCS.US,5,20250728,164500,91.9,91.9,91.87,91.89,2147,0
FTCS.US,5,20250728,165000,91.88,91.88,91.8003,91.8147,3908,0
FTCS.US,5,20250728,165500,91.81,91.84,91.7958,91.84,1071,0
FTCS.US,5,20250728,170000,91.83,91.895,91.79,91.87,3844,0
FTCS.US,5,20250728,170500,91.86,91.86,91.8245,91.84,978,0
FTCS.US,5,20250728,171000,91.84,91.86474,91.84,91.8401,1350,0
FTCS.US,5,20250728,171500,91.85,91.85,91.82,91.82,1419,0
FTCS.US,5,20250728,172000,91.83,91.89,91.8107,91.89,5728,0
FTCS.US,5,20250728,172500,91.88,91.88,91.86,91.8705,1332,0
FTCS.US,5,20250728,173000,91.8805,91.8805,91.87,91.87708,929,0
FTCS.US,5,20250728,173500,91.9106,91.96,91.9106,91.92,2332,0
FTCS.US,5,20250728,174000,91.9209,91.9209,91.91,91.915,824,0
FTCS.US,5,20250728,174500,91.93,91.93,91.8805,91.91,1798,0
FTCS.US,5,20250728,175000,91.945,91.95,91.945,91.95,785,0
