<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FVC.US,5,20250728,153000,35.93,36,35.91,36,754,0
FVC.US,5,20250728,160500,35.88,35.8801,35.88,35.8801,334,0
FVC.US,5,20250728,165500,35.945,35.945,35.945,35.945,844,0
FVC.US,5,20250728,175500,35.8601,35.8601,35.8601,35.8601,1551,0
FVC.US,5,20250728,180500,35.91,35.91,35.91,35.91,117,0
FVC.US,5,20250728,183000,35.91,35.91,35.91,35.91,279,0
FVC.US,5,20250728,212500,35.85,35.85,35.85,35.85,1391,0
FVC.US,5,20250728,214500,35.84,35.84,35.84,35.84,100,0
FVC.US,5,20250728,215000,35.85,35.85,35.85,35.85,100,0
FVC.US,5,20250728,215500,35.85,35.85,35.85,35.85,203,0
FVC.US,5,20250729,161000,35.9274,35.9274,35.924,35.924,1091,0
FVC.US,5,20250729,164000,35.87,35.87,35.86,35.87,300,0
FVC.US,5,20250729,164500,35.86,35.86,35.86,35.86,100,0
FVC.US,5,20250729,170500,35.86,35.86,35.86,35.86,100,0
FVC.US,5,20250729,171000,35.85,35.85,35.85,35.85,100,0
FVC.US,5,20250729,171500,35.8731,35.8731,35.8731,35.8731,100,0
FVC.US,5,20250729,173000,35.865,35.865,35.865,35.865,606,0
FVC.US,5,20250729,190000,35.5901,35.5901,35.5901,35.5901,1492,0
FVC.US,5,20250729,210000,35.821,35.821,35.821,35.821,600,0
FVC.US,5,20250729,210500,35.82,35.855,35.82,35.82,1365,0
FVC.US,5,20250729,212500,35.839033,35.839033,35.839033,35.839033,126,0
FVC.US,5,20250729,213500,35.82,35.82,35.82,35.82,1392,0
FVC.US,5,20250729,214500,35.82,35.82,35.735,35.76,400,0
FVC.US,5,20250730,155500,35.81,35.81,35.81,35.81,100,0
FVC.US,5,20250730,161000,35.88,35.88,35.88,35.88,128,0
FVC.US,5,20250730,162000,35.9486,35.9486,35.9486,35.9486,204,0
FVC.US,5,20250730,163000,35.8213,35.8213,35.8213,35.8213,700,0
FVC.US,5,20250730,163500,35.9487,35.9487,35.9487,35.9487,406,0
FVC.US,5,20250730,180000,35.86,35.86,35.86,35.86,532,0
FVC.US,5,20250730,190000,35.85,35.85,35.85,35.85,100,0
FVC.US,5,20250730,194000,35.895,35.895,35.895,35.895,198,0
FVC.US,5,20250730,203500,35.88,35.88,35.88,35.88,132,0
FVC.US,5,20250730,204000,35.87,35.87,35.87,35.87,400,0
FVC.US,5,20250730,205500,35.83,35.83,35.83,35.83,400,0
FVC.US,5,20250730,212000,35.75,35.75,35.75,35.75,1396,0
FVC.US,5,20250730,214500,35.72,35.72,35.72,35.72,100,0
FVC.US,5,20250730,215000,35.73,35.73,35.73,35.73,100,0
FVC.US,5,20250730,215500,35.765,35.79,35.765,35.79,3034,0
FVC.US,5,20250731,153000,35.79,35.79,35.79,35.79,2014,0
FVC.US,5,20250731,170000,35.84,35.84,35.84,35.84,100,0
FVC.US,5,20250731,180500,35.8402,35.8402,35.8402,35.8402,335,0
FVC.US,5,20250731,202000,35.7701,35.7701,35.7701,35.7701,1596,0
FVC.US,5,20250731,204000,35.84,35.84,35.825,35.825,4055,0
FVC.US,5,20250731,204500,35.825,35.825,35.825,35.825,1062,0
FVC.US,5,20250731,205000,35.8,35.825,35.792,35.792,3826,0
FVC.US,5,20250731,205500,35.8,35.86,35.792,35.792,4319,0
FVC.US,5,20250731,212500,35.79,35.79,35.79,35.79,1391,0
FVC.US,5,20250731,215000,35.76,35.76,35.76,35.76,1496,0
FVC.US,5,20250801,174500,35.57,35.57,35.56,35.56,1483,0
FVC.US,5,20250801,180000,35.58,35.6,35.58,35.6,200,0
FVC.US,5,20250801,203000,35.56,35.56,35.53,35.53,261,0
FVC.US,5,20250801,205000,35.55,35.55,35.55,35.55,1408,0
FVC.US,5,20250804,174000,35.7685,35.7685,35.7685,35.7685,141,0
FVC.US,5,20250804,182000,35.7836,35.7836,35.75,35.75,617,0
FVC.US,5,20250804,185000,35.79,35.79,35.79,35.79,126,0
FVC.US,5,20250804,215500,35.805,35.81,35.805,35.81,1607,0
FVC.US,5,20250805,162500,35.77,35.77,35.77,35.77,160,0
FVC.US,5,20250805,164000,35.71,35.71,35.71,35.71,210,0
FVC.US,5,20250805,172000,35.71,35.71,35.71,35.71,2679,0
FVC.US,5,20250805,190000,35.77,35.77,35.77,35.77,100,0
FVC.US,5,20250805,191500,35.755,35.755,35.755,35.755,100,0
FVC.US,5,20250805,192000,35.755,35.755,35.755,35.755,200,0
FVC.US,5,20250805,192500,35.755,35.77,35.755,35.77,1300,0
FVC.US,5,20250805,202000,35.74,35.74,35.74,35.74,500,0
FVC.US,5,20250805,205500,35.73,35.73,35.73,35.73,897,0
FVC.US,5,20250805,211000,35.74,35.82,35.74,35.82,353,0
FVC.US,5,20250805,211500,35.74,35.775,35.74,35.775,560,0
FVC.US,5,20250805,212000,35.74,35.74,35.74,35.74,241,0
FVC.US,5,20250806,161000,35.761,35.761,35.761,35.761,785,0
FVC.US,5,20250806,181500,35.7901,35.7901,35.7901,35.7901,113,0
FVC.US,5,20250806,192500,35.78,35.78,35.78,35.78,802,0
FVC.US,5,20250806,202500,35.79,35.8,35.79,35.8,400,0
FVC.US,5,20250806,213000,35.8,35.8,35.79,35.795,2447,0
FVC.US,5,20250807,153000,35.86,35.86,35.86,35.86,150,0
FVC.US,5,20250807,164500,35.8,35.8001,35.8,35.8001,600,0
FVC.US,5,20250807,182000,35.75,35.7692,35.75,35.7692,600,0
FVC.US,5,20250807,183500,35.7944,35.7944,35.7944,35.7944,135,0
FVC.US,5,20250807,185000,35.75,35.78,35.75,35.78,1630,0
FVC.US,5,20250807,200000,35.74,35.74,35.74,35.74,257,0
FVC.US,5,20250807,201500,35.72,35.72,35.72,35.72,400,0
FVC.US,5,20250807,202000,35.7195,35.7195,35.7195,35.7195,140,0
FVC.US,5,20250807,204000,35.736,35.736,35.736,35.736,312,0
FVC.US,5,20250808,153000,35.76,35.76,35.76,35.76,467,0
FVC.US,5,20250808,155500,35.76,35.76,35.76,35.76,1200,0
FVC.US,5,20250808,170500,35.7601,35.7601,35.7601,35.7601,278,0
FVC.US,5,20250808,195500,35.7308,35.7308,35.7308,35.7308,533,0
FVC.US,5,20250808,201000,35.74,35.74,35.74,35.74,100,0
FVC.US,5,20250808,203000,35.73,35.7705,35.73,35.7705,246,0
FVC.US,5,20250808,214500,35.73,35.73,35.73,35.73,1395,0
FVC.US,5,20250811,153000,35.73,35.73,35.73,35.73,2672,0
