<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HEAL.US,5,20250728,153000,31.95,31.95,31.95,31.95,75.3333333258,0
HEAL.US,5,20250728,155500,31.875,31.875,31.875,31.875,99.99999998999999,0
HEAL.US,5,20250728,160000,31.8552,31.8552,31.8552,31.8552,172.66666664939999,0
HEAL.US,5,20250728,162500,31.86,31.86,31.86,31.86,133.33333331999998,0
HEAL.US,5,20250728,163000,31.8234,31.8234,31.8234,31.8234,161.6666666505,0
HEAL.US,5,20250728,180500,31.86,31.8603,31.86,31.8603,266.66666663999996,0
HEAL.US,5,20250728,182500,31.905,31.905,31.905,31.905,82.3333333251,0
HEAL.US,5,20250728,183500,31.8303,31.8303,31.8303,31.8303,57.999999994199996,0
HEAL.US,5,20250728,190500,31.95,31.9782,31.95,31.9782,996.666666567,0
HEAL.US,5,20250728,191500,31.95,31.95,31.905,31.905,99.99999998999999,0
HEAL.US,5,20250728,193000,31.905,31.905,31.905,31.905,33.333333329999995,0
HEAL.US,5,20250728,195000,31.86,31.86,31.86,31.86,66.66666665999999,0
HEAL.US,5,20250728,202000,31.887,31.887,31.86,31.86,681.9999999318,0
HEAL.US,5,20250728,204000,31.89,31.89,31.89,31.89,66.66666665999999,0
HEAL.US,5,20250728,211500,31.86,31.86,31.86,31.86,33.333333329999995,0
HEAL.US,5,20250729,154500,31.905,31.905,31.905,31.905,33.333333329999995,0
HEAL.US,5,20250729,155500,31.86,31.8603,31.7712,31.7712,193.333333314,0
HEAL.US,5,20250729,162000,31.875,31.875,31.875,31.875,53.999999994599996,0
HEAL.US,5,20250729,172000,31.77,31.77,31.77,31.77,99.99999998999999,0
HEAL.US,5,20250729,180000,31.86,31.86,31.86,31.86,33.333333329999995,0
HEAL.US,5,20250729,184500,31.74,31.7982,31.71,31.7982,333.3333333,0
HEAL.US,5,20250729,185500,31.7982,31.7982,31.7982,31.7982,166.66666665,0
HEAL.US,5,20250729,192000,31.77,31.77,31.77,31.77,33.333333329999995,0
HEAL.US,5,20250729,192500,31.6638,31.6638,31.6638,31.6638,166.66666665,0
HEAL.US,5,20250729,204000,31.8,31.89,31.8,31.815,342.3333332991,0
HEAL.US,5,20250729,211500,31.89,31.89,31.815,31.866,695.3333332638,0
HEAL.US,5,20250729,212000,31.89,31.89,31.803,31.815,193.333333314,0
HEAL.US,5,20250729,212500,31.815,31.89,31.815,31.815,819.999999918,0
HEAL.US,5,20250729,213500,31.74,31.74,31.74,31.74,66.66666665999999,0
HEAL.US,5,20250729,214000,31.68,31.68,31.68,31.68,33.333333329999995,0
HEAL.US,5,20250730,153000,31.56,31.56,31.56,31.56,191.6666666475,0
HEAL.US,5,20250730,163500,31.68,31.68,31.59,31.68,359.999999964,0
HEAL.US,5,20250730,164000,31.77,31.77,31.77,31.77,99.99999998999999,0
HEAL.US,5,20250730,171500,31.71,31.71,31.71,31.71,33.333333329999995,0
HEAL.US,5,20250730,174500,31.8222,31.8222,31.8222,31.8222,72.33333332609999,0
HEAL.US,5,20250730,181500,31.7283,31.7283,31.7283,31.7283,42.6666666624,0
HEAL.US,5,20250730,191000,31.815,31.815,31.815,31.815,77.99999999219999,0
HEAL.US,5,20250730,192500,31.86,31.86,31.86,31.86,119.6666666547,0
HEAL.US,5,20250730,193500,31.92,31.92,31.92,31.92,166.66666665,0
HEAL.US,5,20250730,201500,31.905,31.905,31.905,31.905,166.66666665,0
HEAL.US,5,20250730,203500,31.8147,31.8147,31.8147,31.8147,64.6666666602,0
HEAL.US,5,20250730,204000,31.8,31.8,31.8,31.8,133.33333331999998,0
HEAL.US,5,20250730,204500,31.887,31.887,31.8867,31.8867,118.99999998809999,0
HEAL.US,5,20250730,205500,31.62,31.62,31.62,31.62,33.333333329999995,0
HEAL.US,5,20250730,210000,31.575,31.6038,31.575,31.6038,833.3333332499999,0
HEAL.US,5,20250730,210500,31.5,31.5,31.5,31.5,166.66666665,0
HEAL.US,5,20250730,215000,31.515,31.515,31.515,31.515,33.333333329999995,0
HEAL.US,5,20250731,153000,31.59,31.59,31.59,31.59,99.99999998999999,0
HEAL.US,5,20250731,154000,31.53,31.53,31.53,31.53,85.3333333248,0
HEAL.US,5,20250731,160000,31.7718,31.7718,31.7718,31.7718,41.6666666625,0
HEAL.US,5,20250731,174500,31.785,31.785,31.785,31.785,133.33333331999998,0
HEAL.US,5,20250731,181500,31.8,31.8,31.8,31.8,133.33333331999998,0
HEAL.US,5,20250731,185000,31.815,31.815,31.815,31.815,39.999999996,0
HEAL.US,5,20250731,190500,31.815,31.815,31.815,31.815,499.99999994999996,0
HEAL.US,5,20250731,195000,31.68,31.68,31.68,31.68,33.333333329999995,0
HEAL.US,5,20250731,202000,31.62,31.95,31.62,31.68,1816.666666485,0
HEAL.US,5,20250731,202500,31.68,31.68,31.68,31.68,33.333333329999995,0
HEAL.US,5,20250731,205000,31.68,31.68,31.68,31.68,799.9999999199999,0
HEAL.US,5,20250731,210000,31.65,31.65,31.56,31.56,133.33333331999998,0
HEAL.US,5,20250731,211500,31.5,31.5,31.5,31.5,33.333333329999995,0
HEAL.US,5,20250731,213000,31.35,31.35,31.35,31.35,33.333333329999995,0
HEAL.US,5,20250731,213500,31.407,31.407,31.2,31.2,333.3333333,0
HEAL.US,5,20250731,214000,31.407,31.41,31.407,31.407,133.33333331999998,0
HEAL.US,5,20250731,214500,31.41,31.41,31.308,31.308,133.33333331999998,0
HEAL.US,5,20250731,215500,31.275,31.35,31.23,31.23,799.9999999199999,0
HEAL.US,5,20250801,153000,31.2,31.2,31.2,31.2,33.333333329999995,0
HEAL.US,5,20250801,154000,30.9303,30.96,30.9303,30.96,216.666666645,0
HEAL.US,5,20250801,154500,30.93,30.93,30.93,30.93,66.66666665999999,0
HEAL.US,5,20250801,160500,30.6,30.6303,30.6,30.6003,199.99999997999998,0
HEAL.US,5,20250801,164000,30.996,30.996,30.996,30.996,129.6666666537,0
HEAL.US,5,20250801,170000,30.9,30.9,30.9,30.9,48.3333333285,0
HEAL.US,5,20250801,175500,30.96,30.96,30.9,30.9,66.66666665999999,0
HEAL.US,5,20250801,183000,31.08,31.08,31.08,31.08,66.66666665999999,0
HEAL.US,5,20250801,183500,31.0833,31.1259,31.0833,31.1259,233.33333330999997,0
HEAL.US,5,20250801,184000,31.17,31.17,31.0821,31.0821,399.99999995999997,0
HEAL.US,5,20250801,184500,31.065,31.065,31.065,31.065,166.66666665,0
HEAL.US,5,20250801,185000,31.065,31.065,31.065,31.065,666.6666666,0
HEAL.US,5,20250801,185500,30.96,30.96,30.96,30.96,99.99999998999999,0
HEAL.US,5,20250801,192500,30.9843,30.9843,30.9843,30.9843,166.66666665,0
HEAL.US,5,20250801,194500,31.0455,31.0455,30.945,31.02,1169.6666665496998,0
HEAL.US,5,20250801,195000,30.99,30.99,30.99,30.99,4182.9999995817,0
HEAL.US,5,20250801,200000,30.915,30.915,30.915,30.915,66.66666665999999,0
HEAL.US,5,20250801,200500,30.915,30.915,30.915,30.915,99.99999998999999,0
HEAL.US,5,20250801,205500,30.87,30.87,30.87,30.87,199.99999997999998,0
HEAL.US,5,20250801,211000,30.87,30.96,30.87,30.96,116.66666665499999,0
HEAL.US,5,20250801,213000,30.9711,30.9711,30.9711,30.9711,99.99999998999999,0
HEAL.US,5,20250801,213500,30.96,30.96,30.951,30.951,133.33333331999998,0
HEAL.US,5,20250801,214000,30.96,30.96,30.96,30.96,66.66666665999999,0
HEAL.US,5,20250801,215000,30.993,30.993,30.993,30.993,43.333333329,0
HEAL.US,5,20250801,215500,30.96,30.96,30.96,30.96,33.333333329999995,0
HEAL.US,5,20250804,153000,31.08,31.47,31.08,31.23,1031.9999998967999,0
HEAL.US,5,20250804,153500,31.23,31.29,31.23,31.29,66.66666665999999,0
HEAL.US,5,20250804,155000,31.23,31.29,31.23,31.29,66.66666665999999,0
HEAL.US,5,20250804,155500,31.32,31.32,31.29,31.29,66.66666665999999,0
HEAL.US,5,20250804,160000,31.35,31.35,31.35,31.35,133.33333331999998,0
HEAL.US,5,20250804,160500,31.32,31.32,31.32,31.32,49.999999994999996,0
HEAL.US,5,20250804,161000,31.32,31.32,31.32,31.32,99.99999998999999,0
HEAL.US,5,20250804,161500,31.32,31.32,31.32,31.32,33.333333329999995,0
HEAL.US,5,20250804,162000,31.3086,31.3086,31.3086,31.3086,40.9999999959,0
HEAL.US,5,20250804,163000,31.365,31.365,31.365,31.365,99.99999998999999,0
HEAL.US,5,20250804,164000,31.365,31.365,31.365,31.365,67.3333333266,0
HEAL.US,5,20250804,165000,31.365,31.365,31.23,31.26,3169.3333330163996,0
HEAL.US,5,20250804,174000,31.3887,31.47,31.3887,31.47,266.66666663999996,0
HEAL.US,5,20250804,175000,31.47,31.47,31.47,31.47,133.33333331999998,0
HEAL.US,5,20250804,181000,31.5,31.5,31.5,31.5,166.66666665,0
HEAL.US,5,20250804,181500,31.485,31.485,31.485,31.485,67.99999999319999,0
HEAL.US,5,20250804,182500,31.5,31.5,31.5,31.5,240.33333330929997,0
HEAL.US,5,20250804,183500,31.5,31.5,31.5,31.5,99.99999998999999,0
HEAL.US,5,20250804,185500,31.5,31.5,31.5,31.5,107.99999998919999,0
HEAL.US,5,20250804,190000,31.5,31.5,31.5,31.5,66.66666665999999,0
HEAL.US,5,20250804,190500,31.5,31.5,31.5,31.5,99.99999998999999,0
HEAL.US,5,20250804,192000,31.515,31.515,31.515,31.515,166.66666665,0
HEAL.US,5,20250804,192500,31.515,31.515,31.515,31.515,33.333333329999995,0
HEAL.US,5,20250804,194500,31.515,31.515,31.515,31.515,66.66666665999999,0
HEAL.US,5,20250804,200500,31.515,31.515,31.515,31.515,33.333333329999995,0
HEAL.US,5,20250804,201000,31.515,31.515,31.515,31.515,33.333333329999995,0
HEAL.US,5,20250804,202000,31.59,31.92,31.515,31.59,3822.3333329510997,0
HEAL.US,5,20250804,203000,31.65,31.65,31.59,31.59,2325.9999997674,0
HEAL.US,5,20250804,204000,31.59,31.62,31.53,31.53,293.99999997059996,0
HEAL.US,5,20250804,204500,31.53,31.53,31.53,31.53,33.333333329999995,0
HEAL.US,5,20250804,205000,31.53,31.53,31.53,31.53,99.99999998999999,0
HEAL.US,5,20250804,205500,31.53,31.53,31.53,31.53,66.66666665999999,0
HEAL.US,5,20250804,210500,31.62,31.89,31.59,31.86,2380.9999997618997,0
HEAL.US,5,20250804,211500,31.65,31.65,31.65,31.65,66.66666665999999,0
HEAL.US,5,20250804,212000,31.65,31.65,31.65,31.65,33.333333329999995,0
HEAL.US,5,20250804,212500,31.65,31.74,31.65,31.65,666.6666666,0
HEAL.US,5,20250804,213000,31.74,31.74,31.62,31.62,2083.333333125,0
HEAL.US,5,20250804,213500,31.62,31.62,31.62,31.62,266.66666663999996,0
HEAL.US,5,20250804,214000,31.62,31.62,31.62,31.62,33.333333329999995,0
HEAL.US,5,20250804,214500,31.53,31.65,31.53,31.575,783.333333255,0
HEAL.US,5,20250804,215000,31.53,31.53,31.53,31.53,66.66666665999999,0
HEAL.US,5,20250804,215500,31.47,31.485,31.47,31.485,166.66666665,0
HEAL.US,5,20250805,154000,30.6,30.6,30.6,30.6,33.333333329999995,0
HEAL.US,5,20250805,154500,30.675,30.9,30.675,30.7908,499.99999994999996,0
HEAL.US,5,20250805,161000,30.96,30.96,30.96,30.96,64.33333332689999,0
HEAL.US,5,20250805,162000,30.825,30.825,30.825,30.825,33.333333329999995,0
HEAL.US,5,20250805,163500,30.7749,30.7749,30.7749,30.7749,166.66666665,0
HEAL.US,5,20250805,171500,30.78,30.78,30.75,30.75,83.333333325,0
HEAL.US,5,20250805,192000,30.5889,30.5889,30.5889,30.5889,71.33333332619999,0
HEAL.US,5,20250805,195000,30.66,30.66,30.66,30.66,33.333333329999995,0
HEAL.US,5,20250805,201000,30.57,30.66,30.57,30.63,2466.6666664199997,0
HEAL.US,5,20250805,202500,30.57,30.63,30.57,30.57,174.33333331589998,0
HEAL.US,5,20250805,203000,30.5115,30.54,30.5115,30.54,126.666666654,0
HEAL.US,5,20250805,210000,30.51,30.51,30.51,30.51,33.333333329999995,0
HEAL.US,5,20250806,153000,30.36,30.36,29.91,30.165,727.3333332605999,0
HEAL.US,5,20250806,153500,30.18,30.18,30.18,30.18,33.333333329999995,0
HEAL.US,5,20250806,154500,30.18,30.18,30.18,30.18,66.66666665999999,0
HEAL.US,5,20250806,161500,30.0675,30.078,30.0675,30.075,666.6666666,0
HEAL.US,5,20250806,165500,29.9706,29.9706,29.9706,29.9706,587.9999999411999,0
HEAL.US,5,20250806,170000,29.97,29.97,29.97,29.97,33.333333329999995,0
HEAL.US,5,20250806,170500,29.7615,29.7615,29.7615,29.7615,61.6666666605,0
HEAL.US,5,20250806,172000,29.907,29.907,29.907,29.907,38.999999996099994,0
HEAL.US,5,20250806,175000,29.9682,29.9682,29.9682,29.9682,142.66666665239998,0
HEAL.US,5,20250806,184500,29.85,29.85,29.85,29.85,166.66666665,0
HEAL.US,5,20250806,202500,29.925,29.925,29.925,29.925,391.9999999608,0
