<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HRTS.US,5,20250728,154000,29.22,29.22,29.22,29.22,100,0
HRTS.US,5,20250728,160500,29.18,29.18,29.18,29.18,100,0
HRTS.US,5,20250728,173500,29.15,29.15,29.15,29.15,100,0
HRTS.US,5,20250728,184500,29.15,29.1781,29.15,29.1781,321,0
HRTS.US,5,20250728,210000,29.01,29.01,29.01,29.01,200,0
HRTS.US,5,20250728,213000,29.0176,29.0176,28.95,28.95,400,0
HRTS.US,5,20250728,213500,28.97,28.97,28.97,28.97,100,0
HRTS.US,5,20250728,215000,28.97,28.97,28.97,28.97,1725,0
HRTS.US,5,20250728,215500,28.92,28.92,28.92,28.92,100,0
HRTS.US,5,20250729,153000,28.47,28.47,28.47,28.47,249,0
HRTS.US,5,20250729,153500,28.3025,28.3025,28.3025,28.3025,450,0
HRTS.US,5,20250729,161500,28.52,28.52,28.52,28.52,100,0
HRTS.US,5,20250729,162500,28.58,28.58,28.58,28.58,200,0
HRTS.US,5,20250729,163000,28.58,28.58,28.58,28.58,100,0
HRTS.US,5,20250729,164000,28.595,28.595,28.595,28.595,199,0
HRTS.US,5,20250729,175500,28.45,28.4999,28.44,28.4999,1087,0
HRTS.US,5,20250729,181000,28.51,28.51,28.51,28.51,100,0
HRTS.US,5,20250729,183000,28.5,28.5,28.5,28.5,100,0
HRTS.US,5,20250729,185000,28.47,28.47,28.47,28.47,100,0
HRTS.US,5,20250729,192000,28.505,28.505,28.505,28.505,1075,0
HRTS.US,5,20250729,193000,28.505,28.505,28.5,28.5,1000,0
HRTS.US,5,20250729,193500,28.51,28.51,28.5,28.5,500,0
HRTS.US,5,20250729,201500,28.51,28.51,28.51,28.51,200,0
HRTS.US,5,20250729,203000,28.47,28.47,28.47,28.47,100,0
HRTS.US,5,20250729,212500,28.47,28.47,28.47,28.47,1224,0
HRTS.US,5,20250729,213500,28.46,28.505,28.46,28.505,500,0
HRTS.US,5,20250729,214500,28.5037,28.5037,28.5037,28.5037,110,0
HRTS.US,5,20250730,155000,28.54,28.54,28.54,28.54,100,0
