<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JDOC.US,5,20250730,162000,50.4,50.4,50.34,50.39,1500,0
JDOC.US,5,20250730,163000,50.34,50.41,50.34,50.41,600,0
JDOC.US,5,20250730,163500,50.43,50.43,50.35,50.35,900,0
JDOC.US,5,20250804,192000,49.71,49.71,49.7099,49.7099,1000,0
JDOC.US,5,20250805,193500,49.68,49.68,49.6,49.6,200,0
JDOC.US,5,20250806,165500,49.06,49.06,49.06,49.06,200,0
JDOC.US,5,20250806,190500,49.065,49.065,49.065,49.065,158,0
JDOC.US,5,20250807,155000,48.49,48.49,48.49,48.49,100,0
JDOC.US,5,20250807,171500,48.35,48.35,48.35,48.35,141,0
JDOC.US,5,20250811,204500,48.86,48.86,48.86,48.86,100,0
JDOC.US,5,20250814,215500,50.1,50.1,50.1,50.1,199,0
JDOC.US,5,20250819,162500,51.0901,51.0901,51.0901,51.0901,191,0
JDOC.US,5,20250819,170000,50.97,50.97,50.97,50.97,100,0
JDOC.US,5,20250819,171500,50.99,50.99,50.99,50.99,100,0
JDOC.US,5,20250820,173000,51.39,51.39,51.39,51.39,100,0
JDOC.US,5,20250825,204000,51.22,51.22,51.22,51.22,133,0
JDOC.US,5,20250828,153000,51.49,51.49,51.49,51.49,179,0
JDOC.US,5,20250828,195000,51.21,51.21,51.21,51.21,140,0
JDOC.US,5,20250828,205500,51.29,51.29,51.29,51.29,100,0
JDOC.US,5,20250902,153000,51.36,51.36,51.36,51.36,502,0
JDOC.US,5,20250902,170500,51.51,51.51,51.5099,51.5099,226,0
JDOC.US,5,20250919,153000,51.67,51.67,51.67,51.67,100,0
JDOC.US,5,20250925,203000,50.34,50.34,50.34,50.34,114,0
JDOC.US,5,20251002,153000,53.79,53.79,53.79,53.79,500,0
JDOC.US,5,20251002,200000,53.8224,53.8224,53.8224,53.8224,257,0
JDOC.US,5,20251003,212500,54.54,54.54,54.5399,54.5399,200,0
JDOC.US,5,20251003,213500,54.5599,54.5599,54.5599,54.5599,100,0
JDOC.US,5,20251006,155000,54.5,54.5,54.5,54.5,199,0
JDOC.US,5,20251010,173500,54.3,54.3,54.3,54.3,148,0
JDOC.US,5,20251010,185000,54,54,54,54,1097,0
JDOC.US,5,20251016,160500,54.47,54.47,54.47,54.47,300,0
JDOC.US,5,20251016,180500,54.37,54.37,54.37,54.37,100,0
JDOC.US,5,20251016,205000,54.2321,54.2321,54.2321,54.2321,259,0
JDOC.US,5,20251016,211500,54.14,54.14,54.14,54.14,245,0
JDOC.US,5,20251020,161000,54.79,54.79,54.79,54.79,100,0
JDOC.US,5,20251022,181000,55.1988,55.1988,55.1988,55.1988,362,0
JDOC.US,5,20251024,163500,55.16,55.16,55.16,55.16,100,0
JDOC.US,5,20251029,190000,55.14,55.14,55.14,55.14,100,0
JDOC.US,5,20251029,194500,55.11,55.11,55.11,55.11,100,0
JDOC.US,5,20251029,202500,54.68,54.68,54.68,54.68,146,0
JDOC.US,5,20251030,161000,55.0564,55.0564,55.0564,55.0564,100,0
JDOC.US,5,20251030,205000,55.23,55.23,55.23,55.23,100,0
JDOC.US,5,20251031,143000,54.67,54.67,54.67,54.67,400,0
JDOC.US,5,20251103,214000,54.4964,54.4964,54.4964,54.4964,100,0
JDOC.US,5,20251103,215000,54.56,54.56,54.56,54.56,100,0
JDOC.US,5,20251104,153000,54.15,54.15,54.15,54.15,300,0
JDOC.US,5,20251104,215500,54.58,54.58,54.58,54.58,157,0
JDOC.US,5,20251107,204000,54.85,54.85,54.85,54.85,100,0
JDOC.US,5,20251113,193500,57.315,57.315,57.315,57.315,100,0
JDOC.US,5,20251114,184500,57.5199,57.5199,57.5199,57.5199,104,0
JDOC.US,5,20251119,202000,57.1422,57.1422,57.1422,57.1422,699,0
JDOC.US,5,20251120,175500,57.58,57.58,57.58,57.58,100,0
JDOC.US,5,20251120,214500,57.02,57.02,57.02,57.02,100,0
JDOC.US,5,20251124,205000,58.42,58.42,58.2,58.2,578,0
JDOC.US,5,20251202,171500,58.19,58.1901,58.19,58.1901,200,0
JDOC.US,5,20251202,180000,58.1983,58.32,58.1983,58.3199,1200,0
JDOC.US,5,20251202,193500,58.25,58.25,58.1981,58.1981,998,0
JDOC.US,5,20251203,175000,58.64,58.752,58.55,58.752,5000,0
JDOC.US,5,20251203,175500,58.4,58.4,58.39,58.39,1000,0
JDOC.US,5,20251203,180500,58.385,58.385,57.85,58.25,7298,0
JDOC.US,5,20251203,191000,58.28,58.28,58.28,58.28,600,0
JDOC.US,5,20251203,192000,58.28,58.38,58.27,58.38,2400,0
JDOC.US,5,20251203,195000,58.37,58.41,58.36,58.4,1368,0
JDOC.US,5,20251203,201000,58.31,58.31,58.31,58.31,400,0
JDOC.US,5,20251203,202500,58.35,58.35,58.35,58.35,800,0
JDOC.US,5,20251203,210000,58.31,58.37,58.31,58.37,1000,0
JDOC.US,5,20251203,214000,58.32,58.32,58.32,58.32,800,0
JDOC.US,5,20251203,214500,58.32,58.32,58.32,58.32,200,0
JDOC.US,5,20251203,215000,58.27,58.27,58.27,58.27,200,0
JDOC.US,5,20251204,153000,58.41,58.41,58.37,58.37,1400,0
JDOC.US,5,20251204,154000,58.17,58.17,58.14,58.14,300,0
JDOC.US,5,20251205,153000,58.41,58.44,58.41,58.44,400,0
JDOC.US,5,20251205,154000,58.43,58.43,58.43,58.43,100,0
JDOC.US,5,20251205,154500,58.4,58.4378,58.4,58.4378,655,0
JDOC.US,5,20251209,194500,57.078,57.078,57.078,57.078,196,0
JDOC.US,5,20251209,214500,57.01,57.01,57.01,57.01,100,0
JDOC.US,5,20251209,215000,57,57,57,57,846,0
JDOC.US,5,20251211,160500,57.93,57.93,57.93,57.93,600,0
JDOC.US,5,20251211,182500,58.04,58.1199,58.04,58.1199,1328,0
JDOC.US,5,20251212,163500,58.06,58.06,58.06,58.06,300,0
JDOC.US,5,20251212,191500,57.85,57.85,57.85,57.85,258,0
JDOC.US,5,20251212,202000,57.805,57.805,57.805,57.805,100,0
JDOC.US,5,20251212,212000,57.88,57.88,57.88,57.88,100,0
JDOC.US,5,20251212,215500,57.94,57.94,57.94,57.94,100,0
JDOC.US,5,20251215,153000,58.06,58.06,58.06,58.06,100,0
JDOC.US,5,20251215,204500,58.31,58.31,58.3099,58.3099,200,0
JDOC.US,5,20251218,153000,57.26,57.26,57.26,57.26,100,0
JDOC.US,5,20251218,153500,57.26,57.26,57.26,57.26,200,0
JDOC.US,5,20251222,154500,57.685,57.685,57.685,57.685,300,0
