<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBWP.US,5,20250728,153000,118.41,118.41,118.41,118.41,482,0
KBWP.US,5,20250728,154000,117.54,117.54,117.54,117.54,2114,0
KBWP.US,5,20250728,160000,117.3099,117.3099,117.2617,117.2617,550,0
KBWP.US,5,20250728,160500,117,117,117,117,100,0
KBWP.US,5,20250728,161000,116.9119,116.9119,116.9119,116.9119,450,0
KBWP.US,5,20250728,163000,116.9923,116.9923,116.8154,116.8154,347,0
KBWP.US,5,20250728,163500,116.9625,116.9625,116.9625,116.9625,184,0
KBWP.US,5,20250728,172000,116.91,116.91,116.91,116.91,165,0
KBWP.US,5,20250728,172500,116.79,116.79,116.79,116.79,118,0
KBWP.US,5,20250728,180000,117,117,117,117,174,0
KBWP.US,5,20250728,191000,116.915,116.915,116.915,116.915,412,0
KBWP.US,5,20250728,194000,116.5,116.5,116.36,116.36,200,0
KBWP.US,5,20250728,195000,116.6099,116.6099,116.6099,116.6099,180,0
KBWP.US,5,20250728,202000,116.31,116.31,116.31,116.31,111,0
KBWP.US,5,20250728,202500,116.1758,116.29,116.16,116.29,1520,0
KBWP.US,5,20250728,204000,116.42194,116.42194,116.42194,116.42194,296,0
KBWP.US,5,20250728,211000,116.3,116.3,116.3,116.3,327,0
KBWP.US,5,20250728,212000,116.44,116.44,116.44,116.44,175,0
KBWP.US,5,20250728,213000,116.3858,116.395,116.3858,116.395,1475,0
KBWP.US,5,20250728,214500,116.4166,116.4166,116.4166,116.4166,206,0
KBWP.US,5,20250728,215000,116.4338,116.45,116.4338,116.45,344,0
KBWP.US,5,20250729,153000,116.63,116.63,116.59,116.59,804,0
KBWP.US,5,20250729,154000,117.8,117.8,117.8,117.8,200,0
KBWP.US,5,20250729,155000,117.9378,117.9378,117.9378,117.9378,294,0
KBWP.US,5,20250729,173500,117.5543,117.5543,117.5543,117.5543,100,0
KBWP.US,5,20250729,175000,117.59,117.59,117.59,117.59,213,0
KBWP.US,5,20250729,191500,117.65,117.65,117.64,117.64,3529,0
KBWP.US,5,20250729,194500,117.2523,117.2523,117.2523,117.2523,175,0
KBWP.US,5,20250729,195500,117.22,117.309,117.22,117.309,407,0
