<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KPDD.US,5,20250728,153000,22.48,22.845,22.48,22.82,2259,0
KPDD.US,5,20250728,153500,22.82,22.82,22.65,22.65,1200,0
KPDD.US,5,20250728,154000,22.55,22.55,22.525,22.525,400,0
KPDD.US,5,20250728,154500,22.35,22.41,22.35,22.41,700,0
KPDD.US,5,20250728,155000,22.4,22.46,22.4,22.42,1100,0
KPDD.US,5,20250728,155500,22.33,22.33,22.3,22.3,1337,0
KPDD.US,5,20250728,160000,22.265,22.265,22.26,22.26,600,0
KPDD.US,5,20250728,160500,22.26,22.26,22.26,22.26,122,0
KPDD.US,5,20250728,161500,22.1307,22.1307,22.07,22.07,331,0
KPDD.US,5,20250728,163000,21.88,22,21.88,22,600,0
KPDD.US,5,20250728,163500,21.89,21.89,21.89,21.89,200,0
KPDD.US,5,20250728,164500,21.99,21.99,21.99,21.99,100,0
KPDD.US,5,20250728,165000,21.88,21.88,21.86,21.86,500,0
KPDD.US,5,20250728,165500,21.861,21.861,21.861,21.861,1200,0
KPDD.US,5,20250728,171000,21.9,21.9,21.9,21.9,100,0
KPDD.US,5,20250728,171500,21.92,21.92,21.92,21.92,122,0
KPDD.US,5,20250728,172000,21.94,21.94,21.94,21.94,100,0
KPDD.US,5,20250728,172500,21.9601,21.9601,21.9601,21.9601,175,0
KPDD.US,5,20250728,173000,21.94,21.94,21.94,21.94,100,0
KPDD.US,5,20250728,174500,21.88,21.88,21.88,21.88,500,0
KPDD.US,5,20250728,175500,21.848,21.848,21.84,21.84,400,0
KPDD.US,5,20250728,183000,21.85,21.85,21.85,21.85,100,0
KPDD.US,5,20250728,184000,21.875,21.875,21.875,21.875,100,0
KPDD.US,5,20250728,184500,21.85,21.85,21.85,21.85,100,0
KPDD.US,5,20250728,191000,21.6686,21.6686,21.6686,21.6686,500,0
KPDD.US,5,20250728,191500,21.6,21.6,21.6,21.6,300,0
KPDD.US,5,20250728,192500,21.5305,21.5305,21.5305,21.5305,1700,0
KPDD.US,5,20250728,195500,21.43,21.45,21.41,21.45,14768,0
KPDD.US,5,20250728,200500,21.41,21.41,21.41,21.41,200,0
KPDD.US,5,20250728,201000,21.445,21.445,21.445,21.445,292,0
KPDD.US,5,20250728,203000,21.41,21.41,21.41,21.41,200,0
KPDD.US,5,20250728,204000,21.3444,21.3444,21.33,21.34,2400,0
KPDD.US,5,20250728,204500,21.35,21.35,21.33,21.33,700,0
KPDD.US,5,20250728,205000,21.37,21.37,21.37,21.37,100,0
KPDD.US,5,20250728,205500,21.33,21.3668,21.33,21.3668,211,0
KPDD.US,5,20250728,210000,21.3,21.3,21.3,21.3,136,0
KPDD.US,5,20250728,210500,21.3,21.3,21.24,21.24,300,0
KPDD.US,5,20250728,211500,21.24,21.24,21.21,21.22,600,0
KPDD.US,5,20250728,214500,21.41,21.41,21.41,21.41,488,0
KPDD.US,5,20250728,215500,21.43,21.43,21.43,21.43,168,0
KPDD.US,5,20250729,153000,21.22,21.22,21.09,21.14,3196,0
KPDD.US,5,20250729,153500,21.13,21.13,21.13,21.13,110,0
KPDD.US,5,20250729,154000,21.3,21.3,21.298,21.298,201,0
KPDD.US,5,20250729,154500,21.315,21.48,21.315,21.48,3000,0
KPDD.US,5,20250729,155000,21.35,21.35,21.27,21.27,530,0
KPDD.US,5,20250729,155500,21.29,21.29,21.12,21.16,5674,0
KPDD.US,5,20250729,160000,21.1,21.1,20.96,21.0515,2621,0
KPDD.US,5,20250729,161000,21.25,21.25,21.25,21.25,200,0
KPDD.US,5,20250729,161500,21.31,21.34,21.27,21.34,667,0
KPDD.US,5,20250729,162000,21.29,21.29,21.28,21.28,811,0
KPDD.US,5,20250729,163000,21.39,21.42,21.35,21.35,743,0
KPDD.US,5,20250729,165000,21.265,21.265,21.2,21.2,1200,0
KPDD.US,5,20250729,165500,21.285,21.285,21.26,21.26,300,0
KPDD.US,5,20250729,170500,21.21,21.21,21.21,21.21,100,0
KPDD.US,5,20250729,172500,21.2194,21.2194,21.2,21.2,400,0
KPDD.US,5,20250729,173500,21.14,21.14,21.04,21.05,415,0
KPDD.US,5,20250729,174000,21.051,21.09,21.051,21.09,400,0
KPDD.US,5,20250729,175000,21.07,21.07,21.07,21.07,100,0
KPDD.US,5,20250729,180000,21,21,21,21,490,0
KPDD.US,5,20250729,180500,21.09,21.09,21.09,21.09,1000,0
KPDD.US,5,20250729,182000,20.92,20.92,20.8001,20.9,700,0
KPDD.US,5,20250729,182500,20.8,20.8,20.8,20.8,450,0
KPDD.US,5,20250729,183500,20.83,20.83,20.8,20.8,24300,0
KPDD.US,5,20250729,184000,20.78,20.78,20.72,20.772,2096,0
KPDD.US,5,20250729,184500,20.8,20.8,20.8,20.8,1064,0
KPDD.US,5,20250729,190500,20.85,20.85,20.85,20.85,102,0
KPDD.US,5,20250729,191000,20.9,20.9,20.9,20.9,500,0
KPDD.US,5,20250729,200000,20.91,20.91,20.91,20.91,100,0
KPDD.US,5,20250729,202500,20.91,20.91,20.91,20.91,100,0
KPDD.US,5,20250729,203000,20.91,20.91,20.91,20.91,300,0
