<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OOQB.US,5,20250728,154500,17.57,17.57,17.57,17.57,100,0
OOQB.US,5,20250728,155000,17.542,17.542,17.542,17.542,184,0
OOQB.US,5,20250728,160000,17.579,17.579,17.579,17.579,300,0
OOQB.US,5,20250728,160500,17.56,17.599,17.56,17.599,400,0
OOQB.US,5,20250728,161500,17.5,17.5,17.5,17.5,100,0
OOQB.US,5,20250728,162000,17.5,17.5,17.5,17.5,241,0
OOQB.US,5,20250728,170000,17.47,17.47,17.46,17.46,200,0
OOQB.US,5,20250728,170500,17.46,17.46,17.46,17.46,700,0
OOQB.US,5,20250728,181000,17.42,17.42,17.42,17.42,100,0
OOQB.US,5,20250728,182000,17.5,17.5,17.46,17.46,200,0
OOQB.US,5,20250728,185000,17.48,17.48,17.48,17.48,100,0
OOQB.US,5,20250728,204000,17.4,17.4,17.4,17.4,100,0
OOQB.US,5,20250728,204500,17.393,17.393,17.393,17.393,1000,0
OOQB.US,5,20250728,210500,17.46,17.46,17.46,17.46,100,0
OOQB.US,5,20250728,213000,17.42,17.42,17.42,17.42,200,0
OOQB.US,5,20250729,154500,17.669,17.669,17.669,17.669,100,0
OOQB.US,5,20250729,161000,17.53,17.53,17.53,17.53,100,0
OOQB.US,5,20250729,163500,17.49,17.49,17.49,17.49,100,0
OOQB.US,5,20250729,164500,17.5249,17.5249,17.5249,17.5249,300,0
OOQB.US,5,20250729,180000,17.34,17.34,17.34,17.34,100,0
OOQB.US,5,20250729,182000,17.31,17.31,17.31,17.31,100,0
OOQB.US,5,20250729,184000,17.28,17.28,17.28,17.28,100,0
OOQB.US,5,20250729,195000,17.389,17.389,17.389,17.389,100,0
OOQB.US,5,20250729,204000,17.3985,17.3985,17.3985,17.3985,100,0
OOQB.US,5,20250729,205500,17.33,17.33,17.33,17.33,100,0
OOQB.US,5,20250729,213000,17.296,17.296,17.296,17.296,100,0
OOQB.US,5,20250730,161000,17.38,17.38,17.38,17.38,100,0
OOQB.US,5,20250730,170500,17.48,17.48,17.48,17.48,100,0
OOQB.US,5,20250730,192500,17.43,17.44,17.43,17.44,6700,0
OOQB.US,5,20250730,201000,17.45,17.45,17.45,17.45,100,0
OOQB.US,5,20250730,202500,17.41,17.41,17.41,17.41,100,0
OOQB.US,5,20250730,203000,17.43,17.43,17.43,17.43,100,0
OOQB.US,5,20250730,203500,17.44,17.44,17.4,17.4,200,0
OOQB.US,5,20250730,205500,17.199,17.199,17.199,17.199,100,0
OOQB.US,5,20250730,210000,17.129,17.129,17.129,17.129,100,0
OOQB.US,5,20250730,212000,17.07,17.07,17.07,17.07,100,0
OOQB.US,5,20250730,213000,17.1386,17.1386,17.1386,17.1386,1000,0
OOQB.US,5,20250731,154500,17.575,17.575,17.575,17.575,200,0
OOQB.US,5,20250731,161000,17.54,17.57,17.54,17.57,200,0
OOQB.US,5,20250731,162000,17.53,17.53,17.53,17.53,100,0
OOQB.US,5,20250731,164000,17.45,17.45,17.401,17.425,900,0
OOQB.US,5,20250731,164500,17.455,17.47,17.455,17.47,300,0
OOQB.US,5,20250731,165500,17.43,17.43,17.43,17.43,100,0
OOQB.US,5,20250731,172500,17.3801,17.3801,17.3801,17.3801,3100,0
OOQB.US,5,20250731,183500,17.62,17.62,17.59,17.59,200,0
OOQB.US,5,20250731,184500,17.53,17.53,17.53,17.53,100,0
OOQB.US,5,20250731,195000,17.41,17.41,17.32,17.32,200,0
OOQB.US,5,20250731,215000,17.16,17.16,17.16,17.16,100,0
OOQB.US,5,20250801,153000,16.591,16.591,16.58,16.58,994,0
OOQB.US,5,20250801,160500,16.39,16.4191,16.39,16.4191,2500,0
OOQB.US,5,20250801,173000,16.51,16.51,16.51,16.51,100,0
OOQB.US,5,20250801,173500,16.52,16.52,16.52,16.52,100,0
OOQB.US,5,20250801,182000,16.7,16.7,16.7,16.7,100,0
OOQB.US,5,20250801,200000,16.39,16.39,16.39,16.39,100,0
OOQB.US,5,20250801,211000,16.35,16.35,16.35,16.35,100,0
OOQB.US,5,20250801,212500,16.28,16.28,16.28,16.28,100,0
OOQB.US,5,20250804,155500,16.641,16.6838,16.62,16.62,6495,0
OOQB.US,5,20250804,164500,16.76,16.76,16.76,16.76,100,0
OOQB.US,5,20250804,165500,16.7,16.7,16.7,16.7,100,0
OOQB.US,5,20250804,215000,16.76,16.76,16.76,16.76,100,0
OOQB.US,5,20250805,160000,16.74,16.74,16.74,16.74,100,0
OOQB.US,5,20250805,162000,16.6,16.6,16.59,16.59,200,0
OOQB.US,5,20250805,190000,16.49,16.49,16.49,16.49,100,0
OOQB.US,5,20250805,192000,16.505,16.52,16.43,16.43,400,0
OOQB.US,5,20250805,200000,16.58,16.58,16.58,16.58,289,0
OOQB.US,5,20250806,153000,16.6,16.6,16.6,16.6,1700,0
OOQB.US,5,20250806,174000,16.87,16.87,16.865,16.865,200,0
OOQB.US,5,20250806,180000,16.95,16.95,16.95,16.95,100,0
OOQB.US,5,20250806,181500,16.93,16.93,16.93,16.93,100,0
OOQB.US,5,20250806,183000,16.9,16.91,16.9,16.91,300,0
OOQB.US,5,20250806,184500,16.89,16.89,16.89,16.89,100,0
OOQB.US,5,20250806,190000,16.92,16.92,16.92,16.92,100,0
OOQB.US,5,20250806,191500,16.92,16.92,16.92,16.92,100,0
OOQB.US,5,20250806,193000,16.95,16.95,16.95,16.95,100,0
OOQB.US,5,20250806,194500,16.97,16.97,16.97,16.97,100,0
OOQB.US,5,20250806,200000,16.97,16.97,16.9585,16.9585,400,0
OOQB.US,5,20250806,201500,17.02,17.02,17.02,17.02,100,0
OOQB.US,5,20250806,203000,17,17,17,17,100,0
OOQB.US,5,20250806,204500,16.9799,16.9799,16.9799,16.9799,125,0
OOQB.US,5,20250807,184000,17.14,17.14,17.14,17.14,200,0
OOQB.US,5,20250807,184500,17.05,17.05,17.05,17.05,198,0
OOQB.US,5,20250807,192500,17.13,17.13,17.13,17.13,100,0
OOQB.US,5,20250808,153000,17.23,17.235,17.2285,17.2285,400,0
OOQB.US,5,20250808,154500,17.29,17.29,17.29,17.29,100,0
OOQB.US,5,20250808,163500,17.2701,17.2701,17.2701,17.2701,400,0
OOQB.US,5,20250808,164000,17.27,17.27,17.27,17.27,209,0
OOQB.US,5,20250808,175000,17.23,17.23,17.23,17.23,100,0
OOQB.US,5,20250808,212000,17.357,17.357,17.357,17.357,250,0
