<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PALU.US,5,20250728,153000,25.9,25.91,25.9,25.91,880,0
PALU.US,5,20250728,153500,25.81,25.9,25.81,25.9,1140,0
PALU.US,5,20250728,154000,25.85,25.85,25.85,25.85,200,0
PALU.US,5,20250728,154500,25.8601,25.8601,25.8601,25.8601,100,0
PALU.US,5,20250728,155000,25.96,25.96,25.96,25.96,342,0
PALU.US,5,20250728,155500,26.15,26.15,26.15,26.15,400,0
PALU.US,5,20250728,160500,26.19,26.1999,26.06,26.06,1776,0
PALU.US,5,20250728,163500,25.775,25.8093,25.775,25.8093,240,0
PALU.US,5,20250728,171500,25.898,25.898,25.898,25.898,100,0
PALU.US,5,20250728,172500,25.8,25.8,25.8,25.8,200,0
PALU.US,5,20250728,175500,25.969,25.9781,25.9,25.9,751,0
PALU.US,5,20250728,180500,25.99,25.99,25.99,25.99,150,0
PALU.US,5,20250728,181500,26.05,26.05,26.05,26.05,545,0
PALU.US,5,20250728,191000,26.095,26.095,26.095,26.095,100,0
PALU.US,5,20250728,192500,26.135,26.135,26.12,26.12,565,0
PALU.US,5,20250728,201000,26.14,26.15,26.14,26.15,219,0
PALU.US,5,20250728,204000,26.09,26.09,26.09,26.09,200,0
PALU.US,5,20250728,215500,26.17,26.17,26.17,26.17,373,0
PALU.US,5,20250729,153000,26.5,27.53,26.5,27.5,7572,0
PALU.US,5,20250729,153500,27.4,27.4,27.24,27.24,634,0
PALU.US,5,20250729,154000,27.17,27.17,27.17,27.17,1100,0
PALU.US,5,20250729,155000,27.15,27.15,27.1128,27.115,990,0
PALU.US,5,20250729,155500,27.14,27.1999,27.13,27.13,2203,0
PALU.US,5,20250729,160000,27.2,27.2,27.1,27.1,688,0
PALU.US,5,20250729,160500,27.05,27.17,27.05,27.17,2602,0
PALU.US,5,20250729,161000,27.19,27.19,27.19,27.19,300,0
PALU.US,5,20250729,162000,26.82,26.8295,26.82,26.8295,846,0
PALU.US,5,20250729,163000,26.6032,26.6032,26.6032,26.6032,200,0
PALU.US,5,20250729,163500,26.725,26.725,26.725,26.725,370,0
PALU.US,5,20250729,171500,26.6289,26.6289,26.6289,26.6289,251,0
PALU.US,5,20250729,172500,26.421,26.421,26.4209,26.4209,881,0
PALU.US,5,20250729,173000,26.341,26.38,26.341,26.38,349,0
PALU.US,5,20250729,174000,26.341,26.341,26.341,26.341,170,0
PALU.US,5,20250729,174500,26.42,26.42,26.42,26.42,200,0
PALU.US,5,20250729,175500,26.35,26.35,26.35,26.35,400,0
PALU.US,5,20250729,180000,26.3,26.3,26.3,26.3,500,0
PALU.US,5,20250729,181500,26.25,26.25,24.14,24.4,20329,0
PALU.US,5,20250729,182000,24.23,24.6,23.94,23.94,8888,0
PALU.US,5,20250729,182500,24,25.19,24,25.1717,4445,0
PALU.US,5,20250729,183000,24.9,24.9,24.3365,24.3365,1078,0
PALU.US,5,20250729,183500,24.49,24.49,24.49,24.49,1000,0
PALU.US,5,20250729,184000,24.42,24.42,24.38,24.38,200,0
PALU.US,5,20250729,184500,24.25,24.25,24.25,24.25,100,0
PALU.US,5,20250729,185000,24.51,24.51,24.11,24.11,211,0
PALU.US,5,20250729,190000,24.3175,24.3175,24.3175,24.3175,966,0
PALU.US,5,20250729,190500,24.421,24.421,24.421,24.421,100,0
PALU.US,5,20250729,191000,24.41,24.41,24.41,24.41,100,0
PALU.US,5,20250729,191500,24.46,24.5,24.46,24.4601,600,0
PALU.US,5,20250729,192000,24.3106,24.3106,24.3106,24.3106,100,0
PALU.US,5,20250729,192500,24.569,24.69,24.56,24.6197,2251,0
PALU.US,5,20250729,193000,24.55,24.55,24.55,24.55,400,0
PALU.US,5,20250729,193500,24.14,24.21,24.14,24.21,541,0
PALU.US,5,20250729,194000,24.16,24.16,23.75,23.76,1813,0
PALU.US,5,20250729,194500,23.76,23.76,23.71,23.71,1211,0
PALU.US,5,20250729,195000,23.642,23.642,23.642,23.642,250,0
PALU.US,5,20250729,195500,23.76,23.76,23.53,23.53,500,0
PALU.US,5,20250729,200000,23.6,23.6,23.6,23.6,130,0
PALU.US,5,20250729,200500,23.84,23.85,23.84,23.85,1940,0
PALU.US,5,20250729,202500,23.75,23.75,23.75,23.75,100,0
PALU.US,5,20250729,203000,23.54,23.54,23.5,23.5,1100,0
PALU.US,5,20250729,203500,23.45,23.451,23.3488,23.3488,1311,0
PALU.US,5,20250729,204000,23.361,23.4561,23.361,23.4561,1642,0
PALU.US,5,20250729,204500,23.512,23.512,23.481,23.481,750,0
PALU.US,5,20250729,205000,23.46,23.46,23.4599,23.4599,526,0
PALU.US,5,20250729,210000,23.44,23.44,23.44,23.44,200,0
PALU.US,5,20250729,211000,23.52,23.52,23.4,23.4,3300,0
PALU.US,5,20250729,211500,23.38,23.38,23.35,23.3699,3135,0
PALU.US,5,20250729,212000,23.35,23.439,23.3401,23.3401,549,0
PALU.US,5,20250729,213000,23.609,23.61,23.5,23.5,1180,0
PALU.US,5,20250729,213500,23.4999,23.4999,23.4999,23.4999,4500,0
PALU.US,5,20250729,214500,23.56,23.56,23.389,23.389,5400,0
PALU.US,5,20250729,215000,23.337,23.43,23.337,23.375,3176,0
PALU.US,5,20250729,215500,23.34,23.449,23.34,23.405,2455,0
PALU.US,5,20250730,153000,20.26,20.32,19.39,19.88,28198,0
PALU.US,5,20250730,153500,19.8861,20.2,19.4,19.4,43683,0
PALU.US,5,20250730,154000,19.3745,19.69,19.368,19.5524,25022,0
PALU.US,5,20250730,154500,19.45,19.699,19.3,19.61,20442,0
PALU.US,5,20250730,155000,19.6,19.729,19.489,19.6796,7708,0
PALU.US,5,20250730,155500,19.699,19.8596,19.65,19.7,19839,0
PALU.US,5,20250730,160000,19.8,19.8,19.4845,19.77,4514,0
PALU.US,5,20250730,160500,19.72,19.865,19.72,19.72,6547,0
PALU.US,5,20250730,161000,19.659,19.7896,19.6336,19.7446,3798,0
