<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQWZ.US,5,20250728,171000,23.41,23.41,23.41,23.41,43342,0
QQWZ.US,5,20250728,193000,23.3705,23.3705,23.3705,23.3705,500,0
QQWZ.US,5,20250728,210500,23.366,23.366,23.366,23.366,626,0
QQWZ.US,5,20250729,184000,23.4,23.4,23.4,23.4,335,0
QQWZ.US,5,20250729,215500,23.37,23.37,23.32,23.37,1900,0
QQWZ.US,5,20250730,181000,23.4499,23.4499,23.4499,23.4499,841,0
QQWZ.US,5,20250730,210500,23.33,23.33,23.33,23.33,100,0
QQWZ.US,5,20250730,211000,23.34,23.34,23.315,23.315,4986,0
QQWZ.US,5,20250731,180000,23.52,23.52,23.52,23.52,495,0
QQWZ.US,5,20250731,213500,23.2806,23.2806,23.2806,23.2806,400,0
QQWZ.US,5,20250801,153000,23.04,23.04,23.04,23.04,8950,0
QQWZ.US,5,20250801,160000,22.82,22.82,22.82,22.82,555,0
QQWZ.US,5,20250801,180500,23,23,23,23,500,0
QQWZ.US,5,20250801,203500,22.82,22.82,22.82,22.82,400,0
QQWZ.US,5,20250804,161000,23.16,23.16,23.16,23.16,100,0
QQWZ.US,5,20250804,171500,23.15,23.15,23.1499,23.1499,1600,0
QQWZ.US,5,20250804,174500,23.12,23.12,23.12,23.12,268,0
QQWZ.US,5,20250804,182000,23.2,23.2,23.2,23.2,100,0
QQWZ.US,5,20250804,183000,23.2,23.2,23.2,23.2,1077,0
QQWZ.US,5,20250804,184500,23.2,23.2,23.2,23.2,100,0
QQWZ.US,5,20250804,192500,23.19,23.1901,23.19,23.1901,2900,0
QQWZ.US,5,20250804,193000,23.1933,23.1933,23.1933,23.1933,1000,0
QQWZ.US,5,20250804,194000,23.2,23.2,23.2,23.2,100,0
QQWZ.US,5,20250804,203500,23.21,23.21,23.21,23.21,100,0
QQWZ.US,5,20250804,211500,23.21,23.21,23.21,23.21,100,0
QQWZ.US,5,20250804,215000,23.23,23.23,23.23,23.23,100,0
QQWZ.US,5,20250805,153000,23.3,23.3,23.3,23.3,100,0
QQWZ.US,5,20250805,153500,23.2954,23.309,23.2954,23.309,9120,0
QQWZ.US,5,20250805,154000,23.25,23.2501,23.25,23.25,9000,0
QQWZ.US,5,20250805,161500,23.26,23.26,23.26,23.26,100,0
QQWZ.US,5,20250805,183000,23.14,23.14,23.14,23.14,432,0
QQWZ.US,5,20250805,215500,23.08,23.08,23.08,23.08,150,0
QQWZ.US,5,20250806,160000,23.18,23.18,23.18,23.18,318,0
QQWZ.US,5,20250806,162000,23.131,23.131,23.131,23.131,513,0
QQWZ.US,5,20250807,155500,23.56,23.5945,23.56,23.5945,300,0
QQWZ.US,5,20250807,160000,23.55,23.55,23.55,23.55,100,0
QQWZ.US,5,20250807,163000,23.49,23.49,23.49,23.49,497,0
QQWZ.US,5,20250807,173500,23.47,23.47,23.47,23.47,300,0
QQWZ.US,5,20250807,190000,23.4,23.4,23.4,23.4,325,0
QQWZ.US,5,20250808,160500,23.61,23.61,23.61,23.61,100,0
QQWZ.US,5,20250808,164500,23.6039,23.6039,23.6039,23.6039,500,0
QQWZ.US,5,20250808,200500,23.63,23.6301,23.63,23.6301,262,0
QQWZ.US,5,20250808,204000,23.63,23.63,23.63,23.63,500,0
QQWZ.US,5,20250811,161500,23.72,23.72,23.72,23.72,100,0
QQWZ.US,5,20250811,210000,23.6283,23.6283,23.6283,23.6283,200,0
QQWZ.US,5,20250811,211500,23.6122,23.6122,23.6078,23.6078,520,0
QQWZ.US,5,20250811,212000,23.615,23.65,23.615,23.65,200,0
QQWZ.US,5,20250811,212500,23.64,23.64,23.5945,23.5945,300,0
QQWZ.US,5,20250812,153000,23.63,23.63,23.63,23.63,2506,0
QQWZ.US,5,20250812,162500,23.72,23.72,23.72,23.72,100,0
QQWZ.US,5,20250812,175000,23.795,23.795,23.795,23.795,1049,0
QQWZ.US,5,20250812,195500,23.88,23.88,23.88,23.88,100,0
QQWZ.US,5,20250812,213000,23.89,23.89,23.88,23.88,200,0
QQWZ.US,5,20250813,155500,23.965,23.99,23.965,23.99,391,0
QQWZ.US,5,20250813,183000,23.9,23.9,23.9,23.9,100,0
QQWZ.US,5,20250813,192500,23.91,23.91,23.91,23.91,100,0
QQWZ.US,5,20250813,214000,23.88,23.8825,23.88,23.8825,268,0
QQWZ.US,5,20250814,153000,23.84,23.84,23.84,23.84,100,0
QQWZ.US,5,20250814,161500,23.9,23.9,23.9,23.9,100,0
QQWZ.US,5,20250814,173000,23.86,23.87,23.86,23.8699,810,0
QQWZ.US,5,20250814,185000,23.9,23.9,23.9,23.9,100,0
QQWZ.US,5,20250814,213500,23.9,23.9,23.9,23.9,100,0
QQWZ.US,5,20250815,162000,23.85,23.85,23.85,23.85,100,0
QQWZ.US,5,20250818,155500,23.73,23.73,23.73,23.73,100,0
QQWZ.US,5,20250818,193500,23.74,23.74,23.74,23.74,65180,0
QQWZ.US,5,20250819,153000,23.76,23.76,23.76,23.76,274,0
QQWZ.US,5,20250819,161500,23.7,23.7,23.7,23.7,100,0
QQWZ.US,5,20250819,180500,23.515,23.515,23.515,23.515,500,0
QQWZ.US,5,20250819,191000,23.46,23.46,23.46,23.46,100,0
QQWZ.US,5,20250819,212000,23.415,23.415,23.415,23.415,100,0
QQWZ.US,5,20250820,161000,23.11,23.11,23.11,23.11,100,0
QQWZ.US,5,20250820,171000,23.07,23.07,23.07,23.07,1900,0
QQWZ.US,5,20250820,172500,23.151,23.151,23.151,23.151,400,0
QQWZ.US,5,20250820,182000,23.27,23.27,23.27,23.27,100,0
QQWZ.US,5,20250820,193500,23.28,23.28,23.28,23.28,100,0
QQWZ.US,5,20250821,160500,23.27,23.27,23.27,23.27,100,0
QQWZ.US,5,20250821,191000,23.17,23.17,23.17,23.17,100,0
QQWZ.US,5,20250822,154500,23.29,23.29,23.29,23.29,100,0
QQWZ.US,5,20250822,155000,23.29,23.29,23.29,23.29,170,0
QQWZ.US,5,20250822,160000,23.31,23.31,23.31,23.31,321,0
QQWZ.US,5,20250822,160500,23.56,23.56,23.56,23.56,100,0
QQWZ.US,5,20250822,162000,23.5,23.5,23.5,23.5,178,0
QQWZ.US,5,20250822,163000,23.57,23.59,23.563,23.59,450,0
QQWZ.US,5,20250822,163500,23.5762,23.5895,23.574,23.5895,800,0
QQWZ.US,5,20250822,170000,23.6,23.6,23.6,23.6,199,0
QQWZ.US,5,20250822,173000,23.62,23.62,23.62,23.62,100,0
QQWZ.US,5,20250822,191000,23.56,23.56,23.56,23.56,257,0
QQWZ.US,5,20250822,200000,23.6,23.6,23.6,23.6,100,0
QQWZ.US,5,20250822,215500,23.56,23.56,23.56,23.56,3436,0
QQWZ.US,5,20250825,171000,23.55,23.55,23.55,23.55,168,0
QQWZ.US,5,20250825,172500,23.6,23.6,23.6,23.6,100,0
QQWZ.US,5,20250826,190000,23.51,23.51,23.51,23.51,100,0
QQWZ.US,5,20250826,195500,23.4876,23.4876,23.4876,23.4876,760,0
QQWZ.US,5,20250827,154500,23.5,23.5,23.5,23.5,439,0
QQWZ.US,5,20250827,215000,23.63,23.63,23.63,23.63,143,0
QQWZ.US,5,20250828,181000,23.7,23.7,23.7,23.7,904,0
QQWZ.US,5,20250828,215500,23.78,23.78,23.78,23.78,109,0
QQWZ.US,5,20250902,153000,23.05,23.05,23.05,23.05,162,0
QQWZ.US,5,20250902,153500,23.16,23.16,23.16,23.16,100,0
QQWZ.US,5,20250902,163500,23.2372,23.2372,23.2372,23.2372,118,0
QQWZ.US,5,20250902,171500,23.1385,23.1385,23.1385,23.1385,463,0
QQWZ.US,5,20250902,205000,23.2,23.2,23.2,23.2,100,0
QQWZ.US,5,20250903,215000,23.43,23.43,23.43,23.43,134,0
QQWZ.US,5,20250905,155000,23.88,23.88,23.88,23.88,445,0
QQWZ.US,5,20250905,160000,23.84,23.84,23.8399,23.8399,348,0
QQWZ.US,5,20250905,161500,23.72,23.72,23.72,23.72,100,0
QQWZ.US,5,20250905,164000,23.64,23.64,23.64,23.64,111,0
QQWZ.US,5,20250905,164500,23.5995,23.5995,23.5995,23.5995,203,0
QQWZ.US,5,20250908,161500,23.86,23.86,23.86,23.86,100,0
QQWZ.US,5,20250908,191500,23.8,23.8,23.8,23.8,100,0
QQWZ.US,5,20250909,153000,23.83,23.83,23.83,23.83,151,0
QQWZ.US,5,20250909,163000,23.8,23.8,23.8,23.8,840,0
