<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDSI.US,5,20250728,163500,51.38,51.38,51.38,51.38,100,0
SDSI.US,5,20250728,171000,51.32,51.3899,51.32,51.3899,460,0
SDSI.US,5,20250728,174000,51.3306,51.3306,51.3306,51.3306,113,0
SDSI.US,5,20250728,202000,51.3702,51.3702,51.3702,51.3702,230,0
SDSI.US,5,20250729,153000,51.375,51.41,51.375,51.41,200,0
SDSI.US,5,20250729,162500,51.43,51.43,51.43,51.43,100,0
SDSI.US,5,20250729,172000,51.43,51.4899,51.4,51.4899,1627,0
SDSI.US,5,20250729,180500,51.43,51.43,51.43,51.43,100,0
SDSI.US,5,20250729,191000,51.45,51.56,51.45,51.56,300,0
SDSI.US,5,20250729,194500,51.45,51.5306,51.4499,51.46,2542,0
SDSI.US,5,20250729,201500,51.4327,51.4327,51.4327,51.4327,250,0
SDSI.US,5,20250729,202000,51.45,51.45,51.45,51.45,100,0
SDSI.US,5,20250729,212500,51.46,51.46,51.46,51.46,100,0
SDSI.US,5,20250729,215500,51.45,51.64,51.45,51.5,2199,0
SDSI.US,5,20250730,163500,51.405,51.405,51.405,51.405,840,0
SDSI.US,5,20250730,200500,51.46,51.479,51.43,51.479,300,0
SDSI.US,5,20250730,201000,51.4693,51.4693,51.469,51.469,600,0
SDSI.US,5,20250730,205000,51.43,51.43,51.43,51.43,100,0
SDSI.US,5,20250730,205500,51.42,51.45,51.42,51.45,200,0
SDSI.US,5,20250730,210000,51.42,51.48,51.42,51.439,600,0
SDSI.US,5,20250731,173500,51.416,51.416,51.416,51.416,121,0
SDSI.US,5,20250731,175000,51.4137,51.4137,51.4137,51.4137,294,0
SDSI.US,5,20250731,212000,51.3886,51.3886,51.3886,51.3886,433,0
SDSI.US,5,20250731,213500,51.39,51.39,51.39,51.39,195,0
SDSI.US,5,20250731,215500,51.409,51.409,51.409,51.409,100,0
SDSI.US,5,20250801,153000,51.31,51.31,51.31,51.31,200,0
SDSI.US,5,20250801,160000,51.289,51.289,51.289,51.289,100,0
SDSI.US,5,20250801,172000,51.2994,51.2994,51.2994,51.2994,500,0
SDSI.US,5,20250801,180500,51.2604,51.2604,51.2604,51.2604,100,0
SDSI.US,5,20250801,183500,51.299,51.299,51.299,51.299,100,0
