<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSMZ.US,5,20250728,153000,15.81,15.9,15.81,15.9,800,0
TSMZ.US,5,20250728,154500,15.82,15.82,15.81,15.81,300,0
TSMZ.US,5,20250728,155000,15.82,15.83,15.82,15.82,700,0
TSMZ.US,5,20250728,155500,15.83,15.85,15.8,15.8,859,0
TSMZ.US,5,20250728,160500,15.85,15.85,15.84,15.84,468,0
TSMZ.US,5,20250728,161000,15.83,15.87,15.83,15.87,1000,0
TSMZ.US,5,20250728,161500,15.84,15.84,15.84,15.84,400,0
TSMZ.US,5,20250728,162000,15.865,15.88,15.865,15.88,444,0
TSMZ.US,5,20250728,171500,15.9,15.9,15.9,15.9,800,0
TSMZ.US,5,20250728,172000,15.9,15.9,15.9,15.9,200,0
TSMZ.US,5,20250728,175000,15.8672,15.8672,15.8672,15.8672,100,0
TSMZ.US,5,20250728,175500,15.86,15.87,15.86,15.87,699,0
TSMZ.US,5,20250728,183000,15.88,15.88,15.88,15.88,151,0
TSMZ.US,5,20250728,201000,15.8594,15.8594,15.8594,15.8594,300,0
TSMZ.US,5,20250728,203500,15.87,15.87,15.87,15.87,425,0
TSMZ.US,5,20250728,214500,15.87,15.87,15.86,15.86,300,0
TSMZ.US,5,20250728,215500,15.85,15.85,15.85,15.85,299,0
TSMZ.US,5,20250729,153000,15.91,15.91,15.91,15.91,200,0
TSMZ.US,5,20250729,153500,15.79,15.79,15.78,15.78,200,0
TSMZ.US,5,20250729,154000,15.78,15.78,15.78,15.78,100,0
TSMZ.US,5,20250729,154500,15.81,15.81,15.81,15.81,100,0
TSMZ.US,5,20250729,161500,15.79,15.81,15.79,15.8,698,0
TSMZ.US,5,20250729,162000,15.79,15.8,15.79,15.8,227,0
TSMZ.US,5,20250729,173500,15.95,15.95,15.95,15.95,486,0
TSMZ.US,5,20250729,175000,15.929,15.929,15.929,15.929,600,0
TSMZ.US,5,20250729,183000,15.953,15.953,15.953,15.953,100,0
TSMZ.US,5,20250729,184500,15.96,15.96,15.96,15.96,627,0
TSMZ.US,5,20250729,195500,15.88,15.88,15.88,15.88,100,0
TSMZ.US,5,20250729,212000,15.86,15.86,15.86,15.86,100,0
TSMZ.US,5,20250729,215500,15.95,15.95,15.95,15.95,347,0
TSMZ.US,5,20250730,153000,15.85,15.85,15.85,15.85,290,0
TSMZ.US,5,20250730,153500,15.7586,15.79,15.7586,15.79,300,0
TSMZ.US,5,20250730,154000,15.8,15.8,15.8,15.8,100,0
TSMZ.US,5,20250730,154500,15.84,15.84,15.84,15.84,300,0
TSMZ.US,5,20250730,155500,15.83,15.86,15.83,15.85,300,0
TSMZ.US,5,20250730,160000,15.85,15.85,15.85,15.85,310,0
TSMZ.US,5,20250730,162000,15.78,15.78,15.78,15.78,100,0
