<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UFIV.US,5,20250728,153500,48.81,48.81,48.81,48.81,100,0
UFIV.US,5,20250728,154000,48.81,48.81,48.81,48.81,200,0
UFIV.US,5,20250728,165500,48.81,48.81,48.81,48.81,100,0
UFIV.US,5,20250728,170000,48.81,48.81,48.81,48.81,885,0
UFIV.US,5,20250728,174000,48.7947,48.7947,48.7947,48.7947,427,0
UFIV.US,5,20250728,181000,48.7935,48.7935,48.7935,48.7935,124,0
UFIV.US,5,20250728,182500,48.7933,48.7933,48.7933,48.7933,206,0
UFIV.US,5,20250728,190000,48.8,48.8,48.8,48.8,100,0
UFIV.US,5,20250728,194500,48.815,48.815,48.815,48.815,100,0
UFIV.US,5,20250728,205500,48.81,48.81,48.81,48.81,100,0
UFIV.US,5,20250728,211500,48.81,48.81,48.81,48.81,100,0
UFIV.US,5,20250729,153000,48.85,48.85,48.85,48.85,100,0
UFIV.US,5,20250729,154000,48.87,48.87,48.87,48.87,324,0
UFIV.US,5,20250729,155000,48.8899,48.8899,48.8899,48.8899,180,0
UFIV.US,5,20250729,155500,48.89,48.89,48.89,48.89,100,0
UFIV.US,5,20250729,161000,48.8795,48.8795,48.8795,48.8795,142,0
UFIV.US,5,20250729,182000,48.9165,48.9165,48.9165,48.9165,231,0
UFIV.US,5,20250729,182500,48.9201,48.9201,48.9201,48.9201,102,0
UFIV.US,5,20250729,190000,48.96,48.96,48.95,48.95,500,0
UFIV.US,5,20250729,191000,48.96,48.96,48.96,48.96,100,0
UFIV.US,5,20250729,210500,48.9667,48.9667,48.9667,48.9667,518,0
UFIV.US,5,20250729,215500,48.98,48.98,48.98,48.98,200,0
UFIV.US,5,20250730,153500,48.87,48.87,48.87,48.87,100,0
UFIV.US,5,20250730,155500,48.8616,48.8616,48.8616,48.8616,143,0
UFIV.US,5,20250730,164000,48.8967,48.8967,48.89,48.89,294,0
UFIV.US,5,20250730,170500,48.89,48.89,48.89,48.89,100,0
