<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACOG.US,5,20250728,153000,9.95,9.95,9.95,9.95,211,0
ACOG.US,5,20250728,153500,10,10.05,9.96,10.05,2300,0
ACOG.US,5,20250728,154000,10.05,10.14,9.96,9.96,2850,0
ACOG.US,5,20250728,154500,9.96,9.96,9.96,9.96,100,0
ACOG.US,5,20250728,155000,9.96,9.96,9.78,9.865,2219,0
ACOG.US,5,20250728,155500,9.865,9.865,9.865,9.865,100,0
ACOG.US,5,20250728,160000,9.88,9.88,9.81,9.81,200,0
ACOG.US,5,20250728,160500,9.9404,9.9404,9.885,9.885,200,0
ACOG.US,5,20250728,161500,9.89,9.89,9.89,9.89,100,0
ACOG.US,5,20250728,162000,9.885,9.885,9.885,9.885,100,0
ACOG.US,5,20250728,162500,9.885,9.885,9.885,9.885,100,0
ACOG.US,5,20250728,164000,9.82,9.82,9.82,9.82,100,0
ACOG.US,5,20250728,164500,9.94,9.94,9.83,9.83,300,0
ACOG.US,5,20250728,165000,9.875,9.875,9.875,9.875,100,0
ACOG.US,5,20250728,170000,9.81,9.81,9.8,9.8,200,0
ACOG.US,5,20250728,170500,9.865,9.865,9.8,9.8,349,0
ACOG.US,5,20250728,173000,9.87,9.875,9.87,9.875,600,0
ACOG.US,5,20250728,175000,9.8585,9.8585,9.8585,9.8585,260,0
ACOG.US,5,20250728,180000,9.805,9.805,9.805,9.805,200,0
ACOG.US,5,20250728,181500,9.841,9.841,9.76,9.76,285,0
ACOG.US,5,20250728,184000,9.855,9.8633,9.855,9.855,390,0
ACOG.US,5,20250728,184500,9.855,9.855,9.855,9.855,800,0
ACOG.US,5,20250728,185000,9.855,9.865,9.76,9.805,3290,0
ACOG.US,5,20250728,190000,9.7612,9.805,9.7612,9.805,1577,0
ACOG.US,5,20250728,190500,9.81,9.81,9.65,9.75,3144,0
ACOG.US,5,20250728,192000,9.68,9.68,9.68,9.68,100,0
ACOG.US,5,20250728,192500,9.7954,9.7954,9.75,9.75,235,0
ACOG.US,5,20250728,194000,9.75,9.75,9.75,9.75,101,0
ACOG.US,5,20250728,194500,9.75,9.75,9.66,9.66,200,0
ACOG.US,5,20250728,200000,9.7,9.7,9.65,9.69,900,0
ACOG.US,5,20250728,200500,9.69,9.69,9.69,9.69,103,0
ACOG.US,5,20250728,201000,9.71,9.71,9.71,9.71,100,0
ACOG.US,5,20250728,202500,9.72,9.72,9.72,9.72,200,0
ACOG.US,5,20250728,210000,9.686,9.71,9.65,9.65,1628,0
ACOG.US,5,20250728,210500,9.635,9.78,9.43,9.43,8228,0
ACOG.US,5,20250728,211000,9.51,9.52,9.42,9.45,700,0
ACOG.US,5,20250728,211500,9.43,9.595,9.43,9.595,200,0
ACOG.US,5,20250728,213000,9.53,9.53,9.43,9.43,600,0
ACOG.US,5,20250728,213500,9.665,9.665,9.665,9.665,450,0
ACOG.US,5,20250728,214000,9.545,9.545,9.44,9.44,400,0
