<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACTU.US,5,20250728,153000,7.19,7.19,7.0975,7.0975,1206,0
ACTU.US,5,20250728,153500,7.11,7.22,6.985,7.22,3652,0
ACTU.US,5,20250728,154500,7.1481,7.1855,6.9551,6.9551,556,0
ACTU.US,5,20250728,155000,6.9541,7.1,6.75,7.1,300,0
ACTU.US,5,20250728,155500,7,7.095,7,7.095,850,0
ACTU.US,5,20250728,160000,7.06,7.1,7,7.045,1182,0
ACTU.US,5,20250728,162000,7.045,7.045,7.045,7.045,100,0
ACTU.US,5,20250728,162500,7.045,7.045,7.045,7.045,600,0
ACTU.US,5,20250728,163000,7.045,7.045,6.875,6.875,5046,0
ACTU.US,5,20250728,163500,6.85,6.95,6.85,6.95,300,0
ACTU.US,5,20250728,164000,7.03,7.03,6.885,6.96,1050,0
ACTU.US,5,20250728,164500,6.98,6.98,6.98,6.98,100,0
ACTU.US,5,20250728,165500,7.03,7.03,7.03,7.03,100,0
ACTU.US,5,20250728,170500,7.03,7.03,6.754,6.754,797,0
ACTU.US,5,20250728,171000,6.99,7,6.99,7,590,0
ACTU.US,5,20250728,171500,6.93,6.93,6.93,6.93,1186,0
ACTU.US,5,20250728,172000,6.8633,7.01,6.8633,7.01,1100,0
ACTU.US,5,20250728,173500,7,7,7,7,100,0
ACTU.US,5,20250728,175500,7,7.01,7,7.01,200,0
ACTU.US,5,20250728,184000,6.9999,6.9999,6.9999,6.9999,500,0
ACTU.US,5,20250728,184500,6.83,6.83,6.825,6.825,200,0
ACTU.US,5,20250728,185500,6.875,6.875,6.87,6.875,300,0
ACTU.US,5,20250728,190000,6.87,6.87,6.87,6.87,576,0
ACTU.US,5,20250728,191000,6.9585,6.9585,6.885,6.885,1400,0
ACTU.US,5,20250728,192000,6.885,6.885,6.885,6.885,100,0
ACTU.US,5,20250728,192500,6.885,6.885,6.81,6.81,200,0
ACTU.US,5,20250728,193500,6.885,6.885,6.885,6.885,500,0
ACTU.US,5,20250728,194000,6.8,6.8,6.8,6.8,100,0
ACTU.US,5,20250728,195500,6.815,6.815,6.815,6.815,200,0
ACTU.US,5,20250728,201000,6.83,6.83,6.82,6.82,300,0
ACTU.US,5,20250728,202000,6.825,6.825,6.825,6.825,100,0
ACTU.US,5,20250728,203000,6.82,6.82,6.66,6.69,1800,0
ACTU.US,5,20250728,204000,6.705,6.705,6.705,6.705,400,0
ACTU.US,5,20250728,204500,6.655,6.655,6.655,6.655,100,0
ACTU.US,5,20250728,205000,6.645,6.645,6.645,6.645,100,0
ACTU.US,5,20250728,210000,6.66,6.66,6.66,6.66,100,0
ACTU.US,5,20250728,211500,6.75,6.8449,6.63,6.63,2055,0
ACTU.US,5,20250728,212000,6.58,6.75,6.58,6.665,3314,0
ACTU.US,5,20250728,212500,6.67,6.67,6.67,6.67,200,0
ACTU.US,5,20250728,213000,6.67,6.67,6.67,6.67,100,0
ACTU.US,5,20250728,213500,6.67,6.67,6.67,6.67,100,0
ACTU.US,5,20250728,214000,6.8019,6.8019,6.8019,6.8019,500,0
ACTU.US,5,20250728,214500,6.81,6.835,6.675,6.8,7570,0
ACTU.US,5,20250728,215000,6.8299,6.92,6.81,6.87,5681,0
ACTU.US,5,20250728,215500,6.97,7,6.86,6.86,11061,0
ACTU.US,5,20250729,153000,6.87,6.87,6.87,6.87,142,0
ACTU.US,5,20250729,153500,6.97,6.97,6.97,6.97,300,0
ACTU.US,5,20250729,160000,6.86,6.8868,6.7508,6.7508,2558,0
ACTU.US,5,20250729,160500,6.78,6.78,6.78,6.78,100,0
ACTU.US,5,20250729,161500,6.68,6.68,6.68,6.68,100,0
ACTU.US,5,20250729,170500,6.61,6.61,6.61,6.61,100,0
ACTU.US,5,20250729,171500,6.66,6.67,6.66,6.67,200,0
ACTU.US,5,20250729,180000,6.6,6.74,6.5954,6.5954,2800,0
ACTU.US,5,20250729,180500,6.74,6.74,6.74,6.74,1500,0
ACTU.US,5,20250729,181000,6.74,6.74,6.74,6.74,500,0
ACTU.US,5,20250729,183500,6.72,6.72,6.72,6.72,100,0
ACTU.US,5,20250729,190000,6.74,6.76,6.74,6.74,2000,0
ACTU.US,5,20250729,190500,6.82,6.82,6.82,6.82,100,0
