<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADV.US,5,20250728,153000,1.6,1.615,1.585,1.59,10078,0
ADV.US,5,20250728,153500,1.585,1.585,1.57,1.57,1330,0
ADV.US,5,20250728,154000,1.57,1.57,1.5626,1.565,1580,0
ADV.US,5,20250728,154500,1.565,1.565,1.5493,1.55,3504,0
ADV.US,5,20250728,155000,1.55,1.55,1.55,1.55,1673,0
ADV.US,5,20250728,155500,1.55,1.565,1.55,1.5535,3990,0
ADV.US,5,20250728,160000,1.555,1.56,1.555,1.56,2442,0
ADV.US,5,20250728,160500,1.565,1.565,1.565,1.565,1369,0
ADV.US,5,20250728,161000,1.5653,1.5653,1.5653,1.5653,150,0
ADV.US,5,20250728,161500,1.565,1.565,1.565,1.565,300,0
ADV.US,5,20250728,162000,1.565,1.565,1.55,1.55,2136,0
ADV.US,5,20250728,162500,1.55,1.55,1.54,1.54,409,0
ADV.US,5,20250728,163000,1.55,1.555,1.55,1.5508,2720,0
ADV.US,5,20250728,163500,1.5501,1.5559,1.545,1.555,11098,0
ADV.US,5,20250728,164000,1.56,1.57,1.56,1.5601,5433,0
ADV.US,5,20250728,164500,1.565,1.565,1.555,1.555,1500,0
ADV.US,5,20250728,165000,1.5506,1.56,1.5506,1.555,2926,0
ADV.US,5,20250728,165500,1.555,1.555,1.555,1.555,100,0
ADV.US,5,20250728,170000,1.555,1.555,1.555,1.555,500,0
ADV.US,5,20250728,170500,1.555,1.555,1.555,1.555,979,0
ADV.US,5,20250728,171000,1.5501,1.56,1.5501,1.56,1534,0
ADV.US,5,20250728,171500,1.555,1.56,1.555,1.56,500,0
ADV.US,5,20250728,172000,1.56,1.56,1.555,1.555,536,0
ADV.US,5,20250728,172500,1.555,1.555,1.545,1.555,8452,0
ADV.US,5,20250728,173000,1.55,1.555,1.55,1.555,637,0
ADV.US,5,20250728,173500,1.55,1.555,1.55,1.555,2610,0
ADV.US,5,20250728,174000,1.555,1.555,1.555,1.555,850,0
ADV.US,5,20250728,174500,1.555,1.555,1.555,1.555,200,0
ADV.US,5,20250728,175000,1.555,1.555,1.55,1.555,700,0
ADV.US,5,20250728,175500,1.555,1.555,1.55,1.555,1738,0
ADV.US,5,20250728,180000,1.555,1.56,1.555,1.555,8323,0
ADV.US,5,20250728,180500,1.555,1.57,1.555,1.565,2872,0
ADV.US,5,20250728,181000,1.57,1.575,1.565,1.575,1703,0
ADV.US,5,20250728,181500,1.5791,1.5791,1.575,1.575,3100,0
ADV.US,5,20250728,182000,1.575,1.575,1.575,1.575,200,0
ADV.US,5,20250728,183000,1.575,1.575,1.57,1.575,500,0
ADV.US,5,20250728,183500,1.575,1.575,1.57,1.575,500,0
ADV.US,5,20250728,184000,1.575,1.575,1.575,1.575,1000,0
ADV.US,5,20250728,184500,1.57,1.57,1.565,1.565,700,0
ADV.US,5,20250728,185000,1.565,1.565,1.565,1.565,560,0
ADV.US,5,20250728,185500,1.565,1.565,1.5609,1.565,720,0
ADV.US,5,20250728,190000,1.565,1.565,1.565,1.565,100,0
ADV.US,5,20250728,190500,1.565,1.565,1.565,1.565,200,0
ADV.US,5,20250728,191000,1.565,1.565,1.555,1.555,4555,0
ADV.US,5,20250728,191500,1.555,1.565,1.555,1.565,8069,0
ADV.US,5,20250728,192000,1.565,1.57,1.565,1.565,1300,0
ADV.US,5,20250728,192500,1.565,1.575,1.565,1.575,6231,0
ADV.US,5,20250728,193000,1.575,1.575,1.575,1.575,400,0
ADV.US,5,20250728,194000,1.575,1.575,1.575,1.575,100,0
ADV.US,5,20250728,195000,1.58,1.58,1.575,1.58,3753,0
ADV.US,5,20250728,195500,1.575,1.58,1.575,1.575,2193,0
