<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AKRO.US,5,20250728,153000,50.67,50.67,50.49,50.49,4947,0
AKRO.US,5,20250728,153500,50.525,50.525,50.525,50.525,100,0
AKRO.US,5,20250728,154000,50.525,50.6364,50.47,50.6364,934,0
AKRO.US,5,20250728,155000,50.57,50.57,50.57,50.57,200,0
AKRO.US,5,20250728,155500,50.45,50.61,50.2734,50.48,6925,0
AKRO.US,5,20250728,160000,50.48,50.5423,50.35,50.43,4916,0
AKRO.US,5,20250728,160500,50.38,50.61,50.37,50.52,5780,0
AKRO.US,5,20250728,161000,50.6899,50.6899,50.44,50.44,1400,0
AKRO.US,5,20250728,161500,50.435,50.435,50.3,50.32,823,0
AKRO.US,5,20250728,162000,50.37,50.45,50.33,50.36,1400,0
AKRO.US,5,20250728,162500,50.46,50.485,50.344,50.344,804,0
AKRO.US,5,20250728,163000,50.35,50.35,50.3,50.35,721,0
AKRO.US,5,20250728,163500,50.275,50.35,50.275,50.33,1526,0
AKRO.US,5,20250728,164000,50.33,50.42,50.23,50.23,5700,0
AKRO.US,5,20250728,164500,50.32,50.39,50.32,50.355,709,0
AKRO.US,5,20250728,165000,50.33,50.355,50.255,50.26,1300,0
AKRO.US,5,20250728,165500,50.27,50.28,50.22,50.22,674,0
AKRO.US,5,20250728,170000,50.22,50.22,50,50.03,27693,0
AKRO.US,5,20250728,170500,50,50,49.87,49.87,1246,0
AKRO.US,5,20250728,171000,49.855,49.8625,49.855,49.855,504,0
AKRO.US,5,20250728,171500,49.855,49.88,49.76,49.855,3981,0
AKRO.US,5,20250728,172000,49.855,49.955,49.855,49.87,3230,0
AKRO.US,5,20250728,172500,49.81,49.92,49.65,49.84,14735,0
AKRO.US,5,20250728,173000,49.895,49.94,49.895,49.94,312,0
AKRO.US,5,20250728,173500,49.86,49.86,49.7,49.785,3934,0
AKRO.US,5,20250728,174000,49.775,49.89,49.775,49.855,2915,0
AKRO.US,5,20250728,174500,49.97,49.995,49.93,49.93,1800,0
AKRO.US,5,20250728,175000,50.02,50.06,50.02,50.06,300,0
AKRO.US,5,20250728,175500,50.12,50.12,49.98,49.98,1012,0
AKRO.US,5,20250728,180000,50.03,50.08,50.03,50.08,750,0
AKRO.US,5,20250728,180500,50.1,50.1,50.09,50.0975,400,0
AKRO.US,5,20250728,181000,50.044,50.14,50.044,50.095,1809,0
AKRO.US,5,20250728,181500,50.05,50.09,50.035,50.09,663,0
AKRO.US,5,20250728,182000,50.17,50.17,50.09,50.09,300,0
AKRO.US,5,20250728,182500,50.06,50.06,49.98,50.02,1989,0
AKRO.US,5,20250728,183000,50,50.04,49.98,50,4700,0
AKRO.US,5,20250728,183500,50.03,50.07,50.005,50.005,1366,0
AKRO.US,5,20250728,184000,50,50,49.98,49.99,1100,0
AKRO.US,5,20250728,184500,49.97,50.05,49.855,50.05,6496,0
AKRO.US,5,20250728,185000,50.05,50.06,49.96,49.96,1032,0
AKRO.US,5,20250728,185500,49.965,49.99,49.86,49.99,1515,0
AKRO.US,5,20250728,190000,49.99,50.21,49.99,50.175,2514,0
AKRO.US,5,20250728,190500,50.14,50.205,50.14,50.205,711,0
AKRO.US,5,20250728,191000,50.14,50.27,50.14,50.19,2436,0
AKRO.US,5,20250728,191500,50.17,50.17,50.06,50.06,817,0
AKRO.US,5,20250728,192000,50.055,50.06,50.025,50.025,600,0
AKRO.US,5,20250728,192500,50.055,50.11,50.04,50.1,2167,0
AKRO.US,5,20250728,193000,50.07,50.11,50.07,50.11,200,0
AKRO.US,5,20250728,193500,50.09,50.11,50.06,50.11,637,0
AKRO.US,5,20250728,194000,50.06,50.07,50.04,50.04,900,0
AKRO.US,5,20250728,194500,50.07,50.07,50,50.01,3124,0
AKRO.US,5,20250728,195000,50,50.04,50,50.04,805,0
AKRO.US,5,20250728,195500,50.04,50.09,49.99,50.09,1120,0
AKRO.US,5,20250728,200000,50.08,50.08,49.98,49.98,1521,0
AKRO.US,5,20250728,200500,49.96,50.09,49.96,50.05,2196,0
AKRO.US,5,20250728,201000,50,50,49.98,49.985,553,0
AKRO.US,5,20250728,201500,49.98,49.98,49.83,49.83,1829,0
AKRO.US,5,20250728,202000,49.815,49.89,49.745,49.885,11518,0
AKRO.US,5,20250728,202500,49.85,49.86,49.81,49.83,900,0
AKRO.US,5,20250728,203000,49.835,49.87,49.83,49.84,1876,0
AKRO.US,5,20250728,203500,49.85,49.85,49.8,49.825,1488,0
AKRO.US,5,20250728,204000,49.82,49.82,49.8,49.8,520,0
AKRO.US,5,20250728,204500,49.82,49.85,49.78,49.85,2802,0
AKRO.US,5,20250728,205000,49.83,49.89,49.8,49.89,6531,0
AKRO.US,5,20250728,205500,49.925,49.925,49.85,49.85,6403,0
AKRO.US,5,20250728,210000,49.865,49.87,49.78,49.79,7974,0
AKRO.US,5,20250728,210500,49.79,49.79,49.5,49.545,7237,0
AKRO.US,5,20250728,211000,49.54,49.59,49.54,49.545,4812,0
AKRO.US,5,20250728,211500,49.5,49.57,49.42,49.56,5545,0
AKRO.US,5,20250728,212000,49.5335,49.7,49.52,49.7,14419,0
AKRO.US,5,20250728,212500,49.672,49.73,49.61,49.645,5153,0
AKRO.US,5,20250728,213000,49.645,49.66,49.21,49.5425,25936,0
AKRO.US,5,20250728,213500,49.66,49.76,49.58,49.665,6134,0
AKRO.US,5,20250728,214000,49.69,49.78,49.69,49.735,8017,0
AKRO.US,5,20250728,214500,49.735,49.76,49.67,49.71,11286,0
AKRO.US,5,20250728,215000,49.67,49.8,49.6,49.625,15234,0
AKRO.US,5,20250728,215500,49.56,49.59,49.21,49.24,261799,0
AKRO.US,5,20250729,153000,49.825,50.04,48.91,48.92,10500,0
AKRO.US,5,20250729,153500,48.9,49.4552,48.9,49.21,1725,0
AKRO.US,5,20250729,154000,49.21,49.21,48.98,48.98,600,0
AKRO.US,5,20250729,154500,49.02,49.02,48.9,48.97,825,0
AKRO.US,5,20250729,155000,48.97,49,48.965,48.965,1286,0
AKRO.US,5,20250729,155500,48.92,49.13,48.92,49.01,3979,0
AKRO.US,5,20250729,160000,49.115,49.16,48.9,49.03,1871,0
AKRO.US,5,20250729,160500,49.22,49.22,48.86,48.86,1254,0
AKRO.US,5,20250729,161000,49.005,49.15,49.005,49.12,2165,0
AKRO.US,5,20250729,161500,49.26,49.29,49.22,49.29,1440,0
AKRO.US,5,20250729,162000,49.37,49.37,49.37,49.37,800,0
AKRO.US,5,20250729,162500,49.365,49.365,49.265,49.265,1620,0
AKRO.US,5,20250729,163000,49.18,49.26,48.95,48.95,2788,0
AKRO.US,5,20250729,163500,48.95,48.965,48.95,48.96,800,0
AKRO.US,5,20250729,164000,49.03,49.065,48.96,49.03,2520,0
AKRO.US,5,20250729,164500,49.03,49.09,49.03,49.035,809,0
AKRO.US,5,20250729,165000,49.055,49.055,48.9551,48.9551,1448,0
AKRO.US,5,20250729,165500,48.88,48.935,48.815,48.88,5032,0
AKRO.US,5,20250729,170000,48.835,48.92,48.835,48.885,1300,0
AKRO.US,5,20250729,170500,48.92,48.97,48.78,48.78,1300,0
AKRO.US,5,20250729,171000,48.665,48.665,48.66,48.66,824,0
AKRO.US,5,20250729,171500,48.655,48.71,48.59,48.59,1690,0
AKRO.US,5,20250729,172000,48.59,48.67,48.45,48.45,3359,0
AKRO.US,5,20250729,172500,48.39,48.47,48.39,48.3908,2147,0
AKRO.US,5,20250729,173000,48.41,48.44,48.3213,48.3213,1747,0
AKRO.US,5,20250729,173500,48.27,48.35,48.25,48.25,4462,0
AKRO.US,5,20250729,174000,48.19,48.19,47.9,47.9575,11089,0
AKRO.US,5,20250729,174500,47.975,48.08,47.975,48.06,1710,0
AKRO.US,5,20250729,175000,48.07,48.2,48.03,48.155,6108,0
AKRO.US,5,20250729,175500,48.09,48.165,47.94,48.14,5031,0
AKRO.US,5,20250729,180000,48.11,48.2985,48.08,48.18,7788,0
