<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APPF.US,5,20250728,153000,265,266.55,263.545,263.545,10592,0
APPF.US,5,20250728,153500,265,265,265,265,100,0
APPF.US,5,20250728,160000,265.27,265.275,264.95,264.95,400,0
APPF.US,5,20250728,160500,264.86,264.86,264.86,264.86,182,0
APPF.US,5,20250728,161000,264.35,265.095,264.35,265,3596,0
APPF.US,5,20250728,162000,264.27,264.27,264.27,264.27,100,0
APPF.US,5,20250728,163500,263.715,264.425,263.715,264.02,864,0
APPF.US,5,20250728,164000,263.63,263.63,263.63,263.63,100,0
APPF.US,5,20250728,165000,263.805,264.4575,263.805,264.4575,300,0
APPF.US,5,20250728,165500,264.03,264.03,264.03,264.03,100,0
APPF.US,5,20250728,170500,264.515,264.92,264.515,264.84,428,0
APPF.US,5,20250728,171000,264.92,265.07,264.92,265.07,400,0
APPF.US,5,20250728,171500,265.01,265.01,264.86,264.86,300,0
APPF.US,5,20250728,172500,264.98,264.98,264.98,264.98,100,0
APPF.US,5,20250728,173500,265,265.35,264.93,265.061,10245,0
APPF.US,5,20250728,174000,265.385,265.899,265.175,265.899,585,0
APPF.US,5,20250728,174500,265.375,265.375,265.375,265.375,200,0
APPF.US,5,20250728,175000,265.29,265.29,265.29,265.29,207,0
APPF.US,5,20250728,175500,265.17,265.41,264.86,264.9,22036,0
APPF.US,5,20250728,180000,264.8,264.8,264.4,264.61,500,0
APPF.US,5,20250728,180500,264.61,264.61,264.6005,264.6005,200,0
APPF.US,5,20250728,181000,264.565,264.565,264.565,264.565,100,0
APPF.US,5,20250728,181500,264.02,264.02,263.87,263.87,500,0
APPF.US,5,20250728,182000,264.135,264.44,264.135,264.44,300,0
APPF.US,5,20250728,182500,264.05,264.05,264.04,264.05,537,0
APPF.US,5,20250728,183000,264.26,264.48,264.26,264.48,300,0
APPF.US,5,20250728,183500,264.67,264.675,264.67,264.675,300,0
APPF.US,5,20250728,184000,264.32,264.32,264.32,264.32,922,0
APPF.US,5,20250728,185500,263.915,263.915,263.785,263.785,400,0
APPF.US,5,20250728,190000,263.9,263.9,263.73,263.73,669,0
APPF.US,5,20250728,190500,264.06,264.1,263.78,263.78,607,0
APPF.US,5,20250728,191000,263.77,263.78,263.77,263.78,200,0
APPF.US,5,20250728,191500,263.55,263.55,263.55,263.55,172,0
APPF.US,5,20250728,193000,264.2599,264.2599,263.55,263.55,218,0
APPF.US,5,20250728,193500,263.23,263.23,263.18,263.18,200,0
APPF.US,5,20250728,194000,262.95,263.08,262.74,263.08,1000,0
APPF.US,5,20250728,195000,263.39,263.39,263.39,263.39,100,0
APPF.US,5,20250728,200000,263.14,263.285,263.14,263.285,200,0
APPF.US,5,20250728,200500,262.81,262.9225,262.81,262.9225,800,0
APPF.US,5,20250728,201000,262.97,263.025,262.97,263.025,200,0
APPF.US,5,20250728,201500,263.17,263.2,263.17,263.19,358,0
APPF.US,5,20250728,202000,263.3,263.3,263.3,263.3,100,0
APPF.US,5,20250728,202500,263.18,263.18,263.18,263.18,100,0
APPF.US,5,20250728,203000,263.085,263.2525,263.085,263.2525,300,0
APPF.US,5,20250728,203500,263.4,263.4,263.3645,263.3645,427,0
APPF.US,5,20250728,204000,263.31,263.31,263.24,263.24,200,0
APPF.US,5,20250728,204500,263.17,263.255,263.13,263.255,800,0
APPF.US,5,20250728,205000,263.14,263.14,262.91,262.91,700,0
APPF.US,5,20250728,205500,262.85,262.85,262.44,262.44,500,0
APPF.US,5,20250728,210000,262.2875,262.465,262.18,262.38,2035,0
APPF.US,5,20250728,210500,262.285,262.285,261.96,261.96,806,0
APPF.US,5,20250728,211000,261.955,261.955,261.79,261.79,617,0
APPF.US,5,20250728,211500,261.67,262.73,261.6,262.58,5185,0
APPF.US,5,20250728,212000,262.51,262.51,262.18,262.18,300,0
APPF.US,5,20250728,212500,262.17,262.17,261.87,261.87,700,0
APPF.US,5,20250728,213000,261.87,261.87,261.46,261.46,1200,0
APPF.US,5,20250728,213500,261.3043,261.3043,260.875,261.095,1478,0
APPF.US,5,20250728,214000,261.17,261.245,260.93,261.07,2100,0
APPF.US,5,20250728,214500,261.045,261.405,260.91,261.2,1917,0
APPF.US,5,20250728,215000,261.21,261.27,260.8,261.16,2280,0
APPF.US,5,20250728,215500,261.44,261.44,260.19,260.49,52835,0
APPF.US,5,20250729,153000,259.19,261.82,258.35,258.35,2499,0
APPF.US,5,20250729,153500,260.895,260.895,260.895,260.895,200,0
APPF.US,5,20250729,154500,261,261,260.47,260.47,515,0
APPF.US,5,20250729,155500,260.36,260.36,260.36,260.36,100,0
APPF.US,5,20250729,161000,261.68,261.68,261.68,261.68,100,0
APPF.US,5,20250729,162000,261.44,262.19,261.15,261.15,480,0
APPF.US,5,20250729,163500,261.21,261.21,261.21,261.21,100,0
APPF.US,5,20250729,164500,260.94,261.015,260.93,261.015,400,0
APPF.US,5,20250729,165000,260.805,260.805,260.75,260.75,200,0
APPF.US,5,20250729,170000,261.12,261.655,260.05,260.17,9000,0
APPF.US,5,20250729,170500,260.07,260.64,259.935,260.18,5956,0
APPF.US,5,20250729,171000,260.14,261.37,260.14,261.0725,1373,0
APPF.US,5,20250729,171500,260.37,260.39,259.8,259.8,1031,0
APPF.US,5,20250729,172500,259.03,259.03,258.99,258.99,200,0
APPF.US,5,20250729,173000,259.13,259.455,258.2,258.53,6795,0
APPF.US,5,20250729,173500,258.49,258.775,258.45,258.775,300,0
APPF.US,5,20250729,174000,258.65,258.65,258.65,258.65,100,0
APPF.US,5,20250729,174500,259.2,259.635,259.2,259.27,4000,0
APPF.US,5,20250729,175000,259.535,259.545,259.535,259.535,2700,0
APPF.US,5,20250729,175500,258.7,258.7,258.28,258.28,1100,0
APPF.US,5,20250729,180000,258.09,258.67,258.09,258.67,2900,0
APPF.US,5,20250729,180500,258.64,258.64,257.67,257.67,3510,0
APPF.US,5,20250729,181000,257.935,257.935,257.935,257.935,600,0
APPF.US,5,20250729,181500,257.87,258.5,257.45,257.46,4948,0
