<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASTH.US,5,20250728,153000,23.31,23.4185,23.18,23.4185,3966,0
ASTH.US,5,20250728,153500,23.03,23.03,23.03,23.03,100,0
ASTH.US,5,20250728,154000,23.12,23.12,23.12,23.12,200,0
ASTH.US,5,20250728,154500,23.19,23.41,23.08,23.41,10110,0
ASTH.US,5,20250728,155000,23.28,23.35,23.28,23.35,2518,0
ASTH.US,5,20250728,155500,23.35,23.35,23.25,23.32,2959,0
ASTH.US,5,20250728,160000,23.315,23.49,23.2513,23.49,4929,0
ASTH.US,5,20250728,160500,23.47,23.53,23.47,23.53,2414,0
ASTH.US,5,20250728,161000,23.53,23.53,23.53,23.53,100,0
ASTH.US,5,20250728,161500,23.48,23.51,23.44,23.455,1581,0
ASTH.US,5,20250728,162500,23.4485,23.4485,23.4485,23.4485,103,0
ASTH.US,5,20250728,163000,23.515,23.515,23.45,23.45,1175,0
ASTH.US,5,20250728,163500,23.47,23.47,23.32,23.32,1662,0
ASTH.US,5,20250728,164500,23.225,23.31,23.225,23.27,2851,0
ASTH.US,5,20250728,165000,23.3,23.33,23.25,23.25,3807,0
ASTH.US,5,20250728,165500,23.25,23.41,23.25,23.34,12282,0
ASTH.US,5,20250728,170000,23.37,23.49,23.34,23.455,9412,0
ASTH.US,5,20250728,170500,23.45,23.48,23.45,23.48,1358,0
ASTH.US,5,20250728,171000,23.51,23.51,23.47,23.5,1300,0
ASTH.US,5,20250728,172000,23.45,23.46,23.44,23.44,1300,0
ASTH.US,5,20250728,172500,23.445,23.445,23.395,23.395,1455,0
ASTH.US,5,20250728,173000,23.38,23.399,23.38,23.39,516,0
ASTH.US,5,20250728,173500,23.385,23.49,23.385,23.49,1600,0
ASTH.US,5,20250728,174500,23.5,23.58,23.5,23.57,300,0
ASTH.US,5,20250728,175500,23.574,23.58,23.561,23.561,705,0
ASTH.US,5,20250728,180500,23.575,23.76,23.575,23.7,4393,0
ASTH.US,5,20250728,181000,23.7,23.7,23.69,23.69,300,0
ASTH.US,5,20250728,181500,23.705,23.705,23.66,23.67,800,0
ASTH.US,5,20250728,182000,23.645,23.645,23.645,23.645,700,0
ASTH.US,5,20250728,183000,23.65,23.73,23.65,23.73,600,0
ASTH.US,5,20250728,183500,23.7,23.7,23.7,23.7,100,0
ASTH.US,5,20250728,184000,23.71,23.71,23.71,23.71,171,0
ASTH.US,5,20250728,184500,23.715,23.715,23.64,23.665,1530,0
ASTH.US,5,20250728,185000,23.7,23.7,23.7,23.7,200,0
ASTH.US,5,20250728,185500,23.67,23.67,23.67,23.67,100,0
ASTH.US,5,20250728,190000,23.71,23.715,23.71,23.71,400,0
