<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVXL.US,5,20250728,153000,12.02,12.2,11.61,11.73,136993,0
AVXL.US,5,20250728,153500,11.77,11.97,11.64,11.785,26180,0
AVXL.US,5,20250728,154000,11.712,11.712,11.616,11.66,20288,0
AVXL.US,5,20250728,154500,11.6498,11.6825,11.5105,11.5151,33403,0
AVXL.US,5,20250728,155000,11.57,11.591,11.52,11.56,10906,0
AVXL.US,5,20250728,155500,11.55,11.55,11.42,11.445,37321,0
AVXL.US,5,20250728,160000,11.445,11.445,11.2894,11.31,53211,0
AVXL.US,5,20250728,160500,11.33,11.34,11.24,11.29,65008,0
AVXL.US,5,20250728,161000,11.26,11.38,11.2301,11.349361,23549,0
AVXL.US,5,20250728,161500,11.34,11.3779,11.25,11.27,9554,0
AVXL.US,5,20250728,162000,11.28,11.29,11.2503,11.26,14598,0
AVXL.US,5,20250728,162500,11.265,11.32,11.265,11.2802,7843,0
AVXL.US,5,20250728,163000,11.29,11.2999,11.24,11.2725,19057,0
AVXL.US,5,20250728,163500,11.29,11.3,11.2602,11.2602,11488,0
AVXL.US,5,20250728,164000,11.28,11.38,11.28,11.3059,19879,0
AVXL.US,5,20250728,164500,11.3,11.32,11.25,11.27,8123,0
AVXL.US,5,20250728,165000,11.26,11.29,11.25,11.26,30383,0
AVXL.US,5,20250728,165500,11.2521,11.27,11.25,11.2566,24476,0
AVXL.US,5,20250728,170000,11.26,11.3,11.24,11.28,25649,0
AVXL.US,5,20250728,170500,11.27,11.2799,11.25,11.2799,9560,0
AVXL.US,5,20250728,171000,11.27,11.3,11.27,11.2904,12022,0
AVXL.US,5,20250728,171500,11.29,11.29,11.25,11.25,28589,0
AVXL.US,5,20250728,172000,11.25,11.2848,11.25,11.27,29064,0
AVXL.US,5,20250728,172500,11.26,11.27,11.25,11.27,32208,0
AVXL.US,5,20250728,173000,11.27,11.3,11.25,11.295,39377,0
AVXL.US,5,20250728,173500,11.295,11.2957,11.26,11.26,4594,0
AVXL.US,5,20250728,174000,11.255,11.31,11.25,11.2797,8457,0
AVXL.US,5,20250728,174500,11.28,11.31,11.275,11.2917,4900,0
AVXL.US,5,20250728,175000,11.31,11.324,11.3,11.3,3610,0
AVXL.US,5,20250728,175500,11.305,11.31,11.2602,11.2602,11328,0
AVXL.US,5,20250728,180000,11.2619,11.3,11.26,11.3,9603,0
AVXL.US,5,20250728,180500,11.3,11.34,11.25,11.275,449007,0
AVXL.US,5,20250728,181000,11.26,11.2998,11.25,11.29,10210,0
AVXL.US,5,20250728,181500,11.27,11.29,11.25,11.2796,6803,0
AVXL.US,5,20250728,182000,11.2766,11.29,11.25,11.25,22436,0
AVXL.US,5,20250728,182500,11.25,11.2607,11.25,11.25,16783,0
AVXL.US,5,20250728,183000,11.255,11.28,11.25,11.28,9803,0
AVXL.US,5,20250728,183500,11.28,11.29,11.27,11.27,5707,0
AVXL.US,5,20250728,184000,11.265,11.2679,11.25,11.2679,2891,0
