<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BEAT.US,5,20250728,153000,1.25,1.25,1.25,1.25,380,0
BEAT.US,5,20250728,154000,1.27,1.2871,1.27,1.2871,22991,0
BEAT.US,5,20250728,154500,1.26,1.29,1.26,1.29,28090,0
BEAT.US,5,20250728,155000,1.29,1.29,1.28,1.28,1495,0
BEAT.US,5,20250728,155500,1.2999,1.3,1.26,1.28,2680,0
BEAT.US,5,20250728,161000,1.2995,1.2995,1.2995,1.2995,800,0
BEAT.US,5,20250728,161500,1.2993,1.2993,1.2993,1.2993,200,0
BEAT.US,5,20250728,162000,1.3,1.3,1.3,1.3,350,0
BEAT.US,5,20250728,162500,1.3,1.3,1.2992,1.2992,640,0
BEAT.US,5,20250728,163500,1.2906,1.3,1.29,1.29,1612,0
BEAT.US,5,20250728,165000,1.29,1.29,1.29,1.29,100,0
BEAT.US,5,20250728,171000,1.2815,1.2815,1.2815,1.2815,1200,0
BEAT.US,5,20250728,173000,1.2818,1.3,1.2818,1.3,4313,0
BEAT.US,5,20250728,173500,1.2893,1.2893,1.28,1.28,10250,0
BEAT.US,5,20250728,175000,1.29,1.29,1.29,1.29,110,0
BEAT.US,5,20250728,175500,1.3,1.3,1.3,1.3,970,0
BEAT.US,5,20250728,180500,1.2986,1.2986,1.2986,1.2986,100,0
BEAT.US,5,20250728,181000,1.3,1.3,1.3,1.3,100,0
BEAT.US,5,20250728,181500,1.3,1.3,1.3,1.3,2500,0
BEAT.US,5,20250728,183000,1.29,1.3,1.29,1.2906,2800,0
BEAT.US,5,20250728,183500,1.3,1.3,1.3,1.3,7692,0
BEAT.US,5,20250728,184000,1.3,1.3,1.2935,1.3,5352,0
BEAT.US,5,20250728,184500,1.3,1.3,1.3,1.3,2087,0
BEAT.US,5,20250728,194500,1.3,1.3,1.3,1.3,1660,0
BEAT.US,5,20250728,195000,1.2947,1.2947,1.2947,1.2947,1000,0
BEAT.US,5,20250728,195500,1.2987,1.2987,1.295,1.295,601,0
BEAT.US,5,20250728,200000,1.2945,1.2945,1.2945,1.2945,1000,0
BEAT.US,5,20250728,200500,1.291,1.291,1.29,1.2901,4780,0
BEAT.US,5,20250728,201500,1.29,1.29,1.29,1.29,100,0
BEAT.US,5,20250728,211500,1.285,1.285,1.285,1.285,200,0
BEAT.US,5,20250728,212000,1.285,1.285,1.285,1.285,100,0
BEAT.US,5,20250728,212500,1.28,1.28,1.28,1.28,2114,0
BEAT.US,5,20250728,213500,1.275,1.275,1.275,1.275,100,0
BEAT.US,5,20250728,215000,1.276,1.276,1.276,1.276,250,0
BEAT.US,5,20250728,215500,1.28,1.28,1.28,1.28,820,0
BEAT.US,5,20250729,154000,1.28,1.28,1.28,1.28,500,0
BEAT.US,5,20250729,155000,1.28,1.2801,1.2694,1.2694,4069,0
BEAT.US,5,20250729,161000,1.26,1.2601,1.26,1.26,3550,0
BEAT.US,5,20250729,161500,1.2603,1.2603,1.2603,1.2603,331,0
BEAT.US,5,20250729,163500,1.265,1.265,1.265,1.265,100,0
BEAT.US,5,20250729,164000,1.26,1.26,1.26,1.26,932,0
BEAT.US,5,20250729,164500,1.2686,1.2686,1.2686,1.2686,150,0
BEAT.US,5,20250729,165000,1.26,1.26,1.26,1.26,100,0
BEAT.US,5,20250729,171000,1.25,1.25,1.25,1.25,100,0
BEAT.US,5,20250729,173500,1.25,1.2501,1.24,1.2501,2000,0
BEAT.US,5,20250729,174000,1.245,1.245,1.245,1.245,500,0
BEAT.US,5,20250729,174500,1.2493,1.2493,1.2493,1.2493,500,0
BEAT.US,5,20250729,175500,1.24,1.24,1.24,1.24,8510,0
BEAT.US,5,20250729,180000,1.24,1.24,1.24,1.24,100,0
BEAT.US,5,20250729,181500,1.23,1.23,1.23,1.23,100,0
BEAT.US,5,20250729,192000,1.2348,1.2348,1.2348,1.2348,800,0
BEAT.US,5,20250729,193500,1.2394,1.2394,1.23,1.23,435,0
BEAT.US,5,20250729,195000,1.2399,1.2399,1.2399,1.2399,600,0
BEAT.US,5,20250729,203000,1.2301,1.2301,1.2301,1.2301,2500,0
BEAT.US,5,20250729,204000,1.23,1.23,1.2,1.2,7462,0
BEAT.US,5,20250729,204500,1.21,1.2184,1.21,1.2184,622,0
BEAT.US,5,20250729,205500,1.21,1.21,1.21,1.21,100,0
BEAT.US,5,20250729,210000,1.215,1.215,1.215,1.215,250,0
BEAT.US,5,20250729,211500,1.2199,1.2199,1.2199,1.2199,100,0
BEAT.US,5,20250729,212000,1.2199,1.22,1.205,1.205,850,0
BEAT.US,5,20250729,213000,1.205,1.205,1.2001,1.2001,2956,0
BEAT.US,5,20250729,213500,1.2047,1.2047,1.2047,1.2047,500,0
BEAT.US,5,20250729,215500,1.202,1.202,1.202,1.202,200,0
BEAT.US,5,20250730,153000,1.2,1.21,1.2,1.21,2189,0
BEAT.US,5,20250730,160000,1.2062,1.24,1.2062,1.24,8500,0
BEAT.US,5,20250730,161000,1.23,1.23,1.23,1.23,1200,0
BEAT.US,5,20250730,162500,1.21,1.21,1.21,1.21,100,0
BEAT.US,5,20250730,164500,1.2199,1.2199,1.2199,1.2199,100,0
BEAT.US,5,20250730,170500,1.21,1.22,1.21,1.22,1900,0
BEAT.US,5,20250730,172000,1.22,1.23,1.22,1.23,900,0
BEAT.US,5,20250730,173000,1.215,1.215,1.2,1.215,2336,0
BEAT.US,5,20250730,174500,1.21,1.21,1.2,1.21,2500,0
BEAT.US,5,20250730,175000,1.2,1.2,1.2,1.2,325,0
BEAT.US,5,20250730,175500,1.2008,1.2008,1.2008,1.2008,350,0
BEAT.US,5,20250730,181500,1.2099,1.21,1.2099,1.21,600,0
BEAT.US,5,20250730,183000,1.2101,1.2101,1.21,1.21,2200,0
BEAT.US,5,20250730,183500,1.22,1.22,1.22,1.22,1000,0
BEAT.US,5,20250730,184000,1.21,1.21,1.21,1.21,161,0
BEAT.US,5,20250730,184500,1.2,1.2,1.2,1.2,2000,0
BEAT.US,5,20250730,190500,1.2093,1.2093,1.2093,1.2093,124,0
BEAT.US,5,20250730,191500,1.21,1.21,1.21,1.21,300,0
BEAT.US,5,20250730,192500,1.2,1.2,1.2,1.2,2000,0
BEAT.US,5,20250730,193000,1.2094,1.21,1.2094,1.21,700,0
BEAT.US,5,20250730,194500,1.21,1.21,1.21,1.21,200,0
BEAT.US,5,20250730,195000,1.21,1.21,1.2,1.2,500,0
BEAT.US,5,20250730,200000,1.22,1.22,1.2,1.2,2663,0
BEAT.US,5,20250730,200500,1.2,1.2099,1.195,1.2099,805,0
BEAT.US,5,20250730,201500,1.2097,1.2097,1.2097,1.2097,245,0
BEAT.US,5,20250730,204500,1.19,1.19,1.19,1.19,200,0
BEAT.US,5,20250730,210000,1.19,1.19,1.18,1.1836,3924,0
BEAT.US,5,20250730,210500,1.175,1.175,1.16,1.16,6017,0
BEAT.US,5,20250730,211000,1.17,1.17,1.17,1.17,500,0
BEAT.US,5,20250730,212000,1.1523,1.1698,1.1523,1.1698,3225,0
BEAT.US,5,20250730,212500,1.1698,1.1699,1.1687,1.1687,2025,0
BEAT.US,5,20250730,213000,1.1699,1.1699,1.1699,1.1699,900,0
BEAT.US,5,20250730,213500,1.16,1.16,1.155,1.155,309,0
BEAT.US,5,20250730,215000,1.1508,1.1508,1.1508,1.1508,813,0
