<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIOX.US,5,20250728,153000,3.74,3.77,3.712,3.77,1438,0
BIOX.US,5,20250728,153500,3.838,3.838,3.838,3.838,601,0
BIOX.US,5,20250728,154000,3.7986,3.7986,3.75,3.75,4202,0
BIOX.US,5,20250728,155000,3.78,3.78,3.75,3.75,6590,0
BIOX.US,5,20250728,155500,3.75,3.79,3.75,3.79,696,0
BIOX.US,5,20250728,160000,3.77,3.775,3.74,3.775,8428,0
BIOX.US,5,20250728,160500,3.75,3.77,3.73,3.73,2607,0
BIOX.US,5,20250728,161000,3.73,3.73,3.73,3.73,200,0
BIOX.US,5,20250728,162000,3.72,3.74,3.7,3.7,1319,0
BIOX.US,5,20250728,162500,3.72,3.735,3.72,3.735,300,0
BIOX.US,5,20250728,163000,3.73,3.76,3.73,3.76,200,0
BIOX.US,5,20250728,163500,3.71,3.73,3.71,3.73,419,0
BIOX.US,5,20250728,164500,3.71,3.71,3.71,3.71,405,0
BIOX.US,5,20250728,165000,3.74,3.74,3.725,3.73,300,0
BIOX.US,5,20250728,165500,3.73,3.7499,3.73,3.7499,325,0
BIOX.US,5,20250728,170000,3.71,3.71,3.71,3.71,108,0
BIOX.US,5,20250728,170500,3.75,3.75,3.7,3.72,8312,0
BIOX.US,5,20250728,171000,3.755,3.755,3.74,3.74,314,0
BIOX.US,5,20250728,172500,3.77,3.77,3.77,3.77,100,0
BIOX.US,5,20250728,173500,3.74,3.755,3.74,3.755,451,0
BIOX.US,5,20250728,174500,3.74,3.74,3.74,3.74,159,0
BIOX.US,5,20250728,175000,3.755,3.755,3.73,3.74,3811,0
BIOX.US,5,20250728,175500,3.73,3.74,3.73,3.74,1850,0
BIOX.US,5,20250728,180000,3.74,3.74,3.74,3.74,100,0
BIOX.US,5,20250728,180500,3.74,3.75,3.74,3.74,3121,0
BIOX.US,5,20250728,181000,3.75,3.75,3.75,3.75,100,0
BIOX.US,5,20250728,181500,3.75,3.75,3.75,3.75,230,0
BIOX.US,5,20250728,182000,3.7402,3.745,3.7402,3.7414,1015,0
BIOX.US,5,20250728,183000,3.7467,3.75,3.74,3.74,1270,0
BIOX.US,5,20250728,183500,3.7564,3.7564,3.75,3.75,250,0
BIOX.US,5,20250728,184000,3.74,3.75,3.74,3.74,1152,0
BIOX.US,5,20250728,184500,3.74,3.74,3.73,3.73,2249,0
BIOX.US,5,20250728,185000,3.74,3.75,3.7,3.71,13635,0
BIOX.US,5,20250728,185500,3.725,3.725,3.71,3.71,220,0
BIOX.US,5,20250728,190500,3.72,3.72,3.72,3.72,100,0
BIOX.US,5,20250728,192500,3.75,3.75,3.735,3.735,200,0
BIOX.US,5,20250728,193000,3.735,3.735,3.735,3.735,100,0
BIOX.US,5,20250728,194000,3.75,3.75,3.75,3.75,494,0
BIOX.US,5,20250728,194500,3.73,3.73,3.73,3.73,600,0
BIOX.US,5,20250728,200000,3.7371,3.7371,3.7371,3.7371,400,0
BIOX.US,5,20250728,202000,3.71,3.71,3.71,3.71,258,0
BIOX.US,5,20250728,202500,3.725,3.74,3.725,3.74,500,0
BIOX.US,5,20250728,203000,3.72,3.72,3.715,3.715,466,0
BIOX.US,5,20250728,205000,3.7284,3.73,3.71,3.73,1602,0
BIOX.US,5,20250728,205500,3.7284,3.7284,3.68,3.68,3737,0
BIOX.US,5,20250728,210000,3.68,3.71,3.68,3.68,4616,0
BIOX.US,5,20250728,210500,3.68,3.7,3.68,3.68,1176,0
BIOX.US,5,20250728,211000,3.6981,3.6981,3.68,3.68,1265,0
BIOX.US,5,20250728,211500,3.6984,3.6984,3.68,3.68,3700,0
BIOX.US,5,20250728,212000,3.69,3.69,3.67,3.67,3839,0
BIOX.US,5,20250728,212500,3.675,3.72,3.66,3.72,3272,0
BIOX.US,5,20250728,213000,3.73,3.73,3.7001,3.71,3586,0
BIOX.US,5,20250728,213500,3.71,3.71,3.71,3.71,600,0
BIOX.US,5,20250728,214000,3.71,3.72,3.71,3.72,900,0
BIOX.US,5,20250728,214500,3.715,3.715,3.705,3.705,1055,0
BIOX.US,5,20250728,215000,3.7,3.7,3.675,3.675,4303,0
BIOX.US,5,20250728,215500,3.675,3.695,3.67,3.67,9407,0
BIOX.US,5,20250729,153000,3.68,3.68,3.68,3.68,464,0
BIOX.US,5,20250729,153500,3.7,3.7,3.7,3.7,1470,0
BIOX.US,5,20250729,154500,3.69,3.69,3.69,3.69,100,0
BIOX.US,5,20250729,155000,3.68,3.684,3.66,3.66,439,0
BIOX.US,5,20250729,155500,3.66,3.66,3.62,3.62,1151,0
BIOX.US,5,20250729,163000,3.63,3.63,3.62,3.62,4850,0
BIOX.US,5,20250729,164000,3.63,3.63,3.63,3.63,100,0
BIOX.US,5,20250729,164500,3.63,3.63,3.62,3.62,931,0
BIOX.US,5,20250729,165000,3.62,3.62,3.61,3.61,300,0
BIOX.US,5,20250729,165500,3.6,3.6,3.595,3.595,1230,0
BIOX.US,5,20250729,170000,3.59,3.6,3.59,3.6,300,0
BIOX.US,5,20250729,171500,3.6069,3.6095,3.6069,3.6095,1101,0
BIOX.US,5,20250729,172000,3.6,3.6,3.59,3.59,401,0
BIOX.US,5,20250729,172500,3.58,3.58,3.58,3.58,400,0
BIOX.US,5,20250729,173000,3.56,3.56,3.55,3.55,1138,0
BIOX.US,5,20250729,173500,3.559,3.56,3.559,3.56,561,0
BIOX.US,5,20250729,174000,3.58,3.58,3.58,3.58,100,0
BIOX.US,5,20250729,174500,3.58,3.58,3.5613,3.5613,709,0
BIOX.US,5,20250729,175000,3.58,3.58,3.58,3.58,100,0
BIOX.US,5,20250729,175500,3.565,3.565,3.55,3.55,1139,0
BIOX.US,5,20250729,180000,3.5699,3.5699,3.5699,3.5699,139,0
BIOX.US,5,20250729,180500,3.57,3.59,3.57,3.59,2400,0
BIOX.US,5,20250729,181000,3.5766,3.5766,3.56,3.57,1700,0
BIOX.US,5,20250729,181500,3.56,3.56,3.56,3.56,200,0
BIOX.US,5,20250729,182500,3.56,3.57,3.56,3.57,2000,0
BIOX.US,5,20250729,183000,3.567413,3.57,3.56,3.57,1655,0
BIOX.US,5,20250729,183500,3.57,3.58,3.57,3.58,422,0
BIOX.US,5,20250729,184000,3.5796,3.59,3.5796,3.58,650,0
BIOX.US,5,20250729,184500,3.59,3.595,3.58,3.595,500,0
BIOX.US,5,20250729,185000,3.585,3.585,3.585,3.585,278,0
BIOX.US,5,20250729,185500,3.59,3.59,3.59,3.59,100,0
BIOX.US,5,20250729,190500,3.59,3.6,3.59,3.6,200,0
BIOX.US,5,20250729,191000,3.6057,3.6057,3.6,3.6,507,0
BIOX.US,5,20250729,192000,3.6,3.6,3.6,3.6,451,0
BIOX.US,5,20250729,192500,3.6,3.61,3.6,3.61,2639,0
BIOX.US,5,20250729,193000,3.61,3.62,3.61,3.62,532,0
BIOX.US,5,20250729,193500,3.64,3.65,3.63,3.65,3150,0
BIOX.US,5,20250729,194000,3.645,3.6497,3.62,3.6497,1020,0
BIOX.US,5,20250729,194500,3.635,3.65,3.635,3.65,200,0
BIOX.US,5,20250729,195500,3.65,3.65,3.64,3.64,400,0
BIOX.US,5,20250729,202000,3.635,3.64,3.635,3.64,700,0
BIOX.US,5,20250729,202500,3.64,3.64,3.635,3.64,499,0
