<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLDP.US,5,20250728,153000,2.16,2.19,2.12,2.13,333126,0
BLDP.US,5,20250728,153500,2.125,2.1288,2.09,2.0908,255753,0
BLDP.US,5,20250728,154000,2.095,2.0952,2.08,2.0808,65778,0
BLDP.US,5,20250728,154500,2.08,2.1,2.08,2.0935,133768,0
BLDP.US,5,20250728,155000,2.0998,2.1,2.09,2.1,19231,0
BLDP.US,5,20250728,155500,2.095,2.11,2.09,2.11,109965,0
BLDP.US,5,20250728,160000,2.105,2.11,2.095,2.1,109265,0
BLDP.US,5,20250728,160500,2.1,2.11,2.09,2.095,47983,0
BLDP.US,5,20250728,161000,2.095,2.1,2.08,2.085,157521,0
BLDP.US,5,20250728,161500,2.0801,2.0892,2.08,2.08,80803,0
BLDP.US,5,20250728,162000,2.08,2.085,2.06,2.06,286639,0
BLDP.US,5,20250728,162500,2.06,2.07,2.06,2.06,27849,0
BLDP.US,5,20250728,163000,2.065,2.07,2.06,2.06,13231,0
BLDP.US,5,20250728,163500,2.06,2.0693,2.04,2.0403,318982,0
BLDP.US,5,20250728,164000,2.045,2.06,2.04,2.045,196711,0
BLDP.US,5,20250728,164500,2.0499,2.0567,2.04,2.045,55789,0
BLDP.US,5,20250728,165000,2.045,2.05,2.04,2.04,21076,0
BLDP.US,5,20250728,165500,2.05,2.05,2.04,2.045,46227,0
BLDP.US,5,20250728,170000,2.04,2.05,2.04,2.0401,29180,0
BLDP.US,5,20250728,170500,2.045,2.0483,2.04,2.04,13385,0
BLDP.US,5,20250728,171000,2.04,2.05,2.03,2.045,109420,0
BLDP.US,5,20250728,171500,2.0452,2.05,2.0401,2.045,6670,0
BLDP.US,5,20250728,172000,2.04,2.05,2.04,2.0441,12482,0
BLDP.US,5,20250728,172500,2.04,2.045,2.03,2.03,84256,0
BLDP.US,5,20250728,173000,2.03,2.04,2.03,2.035,59513,0
BLDP.US,5,20250728,173500,2.035,2.04,2.03,2.0353,76707,0
BLDP.US,5,20250728,174000,2.03,2.04,2.03,2.03,62516,0
BLDP.US,5,20250728,174500,2.03,2.035,2.02,2.02,237518,0
BLDP.US,5,20250728,175000,2.0201,2.0299,2.02,2.02,18646,0
BLDP.US,5,20250728,175500,2.02,2.03,2.02,2.02,19423,0
BLDP.US,5,20250728,180000,2.025,2.04,2.025,2.04,160901,0
BLDP.US,5,20250728,180500,2.035,2.04,2.03,2.035,99499,0
BLDP.US,5,20250728,181000,2.0399,2.04,2.03,2.035,20791,0
BLDP.US,5,20250728,181500,2.03,2.04,2.03,2.03,5592,0
BLDP.US,5,20250728,182000,2.035,2.035,2.03,2.03,15474,0
BLDP.US,5,20250728,182500,2.03,2.035,2.03,2.0302,57580,0
BLDP.US,5,20250728,183000,2.03,2.035,2.03,2.03,17832,0
BLDP.US,5,20250728,183500,2.03,2.035,2.03,2.03,10850,0
BLDP.US,5,20250728,184000,2.03,2.0399,2.03,2.03,13117,0
BLDP.US,5,20250728,184500,2.035,2.035,2.03,2.031,9207,0
BLDP.US,5,20250728,185000,2.035,2.035,2.03,2.03,11458,0
BLDP.US,5,20250728,185500,2.04,2.04,2.03,2.03,20511,0
BLDP.US,5,20250728,190000,2.035,2.0393,2.03,2.03,7000,0
BLDP.US,5,20250728,190500,2.03,2.0399,2.03,2.03,12113,0
BLDP.US,5,20250728,191000,2.03,2.035,2.03,2.03,7173,0
BLDP.US,5,20250728,191500,2.03,2.04,2.03,2.03,25027,0
BLDP.US,5,20250728,192000,2.03,2.0382,2.03,2.03,12450,0
BLDP.US,5,20250728,192500,2.03,2.035,2.03,2.03,5925,0
BLDP.US,5,20250728,193000,2.03,2.03,2.02,2.025,50284,0
BLDP.US,5,20250728,193500,2.025,2.03,2.02,2.02,17121,0
BLDP.US,5,20250728,194000,2.02,2.0287,2.02,2.02,11526,0
BLDP.US,5,20250728,194500,2.02,2.03,2.015,2.02,52597,0
BLDP.US,5,20250728,195000,2.015,2.03,2.015,2.02,101755,0
BLDP.US,5,20250728,195500,2.02,2.03,2.02,2.02,6125,0
BLDP.US,5,20250728,200000,2.0201,2.03,2.02,2.02,7500,0
BLDP.US,5,20250728,200500,2.02,2.025,2.02,2.02,14220,0
BLDP.US,5,20250728,201000,2.02,2.025,2.02,2.02,5713,0
BLDP.US,5,20250728,201500,2.02,2.03,2.02,2.0283,9510,0
BLDP.US,5,20250728,202000,2.03,2.03,2.02,2.02,16148,0
BLDP.US,5,20250728,202500,2.02,2.02,2.01,2.0148,70027,0
BLDP.US,5,20250728,203000,2.01,2.03,2.01,2.025,88296,0
BLDP.US,5,20250728,203500,2.025,2.0299,2.0213,2.025,2135,0
BLDP.US,5,20250728,204000,2.025,2.03,2.02,2.03,65754,0
BLDP.US,5,20250728,204500,2.03,2.03,2.02,2.02,34455,0
BLDP.US,5,20250728,205000,2.025,2.03,2.02,2.02,16240,0
BLDP.US,5,20250728,205500,2.02,2.03,2.02,2.025,11260,0
BLDP.US,5,20250728,210000,2.02,2.03,2.02,2.02,12792,0
BLDP.US,5,20250728,210500,2.025,2.03,2.02,2.02,53112,0
BLDP.US,5,20250728,211000,2.02,2.03,2.02,2.025,18779,0
BLDP.US,5,20250728,211500,2.0293,2.04,2.02,2.035,127952,0
BLDP.US,5,20250728,212000,2.03,2.04,2.03,2.04,38814,0
BLDP.US,5,20250728,212500,2.04,2.04,2.03,2.035,12729,0
BLDP.US,5,20250728,213000,2.039,2.039,2.02,2.0282,97753,0
BLDP.US,5,20250728,213500,2.025,2.04,2.025,2.035,115826,0
BLDP.US,5,20250728,214000,2.035,2.0361,2.03,2.035,13102,0
BLDP.US,5,20250728,214500,2.035,2.05,2.03,2.045,196302,0
BLDP.US,5,20250728,215000,2.045,2.05,2.04,2.05,89898,0
BLDP.US,5,20250728,215500,2.05,2.05,2.04,2.04,440534,0
BLDP.US,5,20250729,153000,2.04,2.04,2,2.005,233151,0
BLDP.US,5,20250729,153500,2.01,2.03,2,2.03,73899,0
BLDP.US,5,20250729,154000,2.0207,2.03,2.01,2.015,57827,0
BLDP.US,5,20250729,154500,2.01,2.02,1.9901,1.995,111084,0
BLDP.US,5,20250729,155000,1.9901,2,1.98,1.98,99659,0
BLDP.US,5,20250729,155500,1.985,1.9852,1.97,1.9702,99870,0
BLDP.US,5,20250729,160000,1.975,1.98,1.97,1.975,47211,0
BLDP.US,5,20250729,160500,1.97,1.98,1.97,1.975,37914,0
BLDP.US,5,20250729,161000,1.975,1.975,1.97,1.9706,32082,0
BLDP.US,5,20250729,161500,1.9707,1.98,1.95,1.955,269526,0
BLDP.US,5,20250729,162000,1.95,1.9593,1.9401,1.9502,216192,0
BLDP.US,5,20250729,162500,1.955,1.96,1.95,1.95,59511,0
BLDP.US,5,20250729,163000,1.955,1.96,1.95,1.955,43676,0
BLDP.US,5,20250729,163500,1.955,1.96,1.9401,1.945,71000,0
BLDP.US,5,20250729,164000,1.945,1.95,1.94,1.94,66379,0
BLDP.US,5,20250729,164500,1.94,1.95,1.93,1.935,171061,0
BLDP.US,5,20250729,165000,1.935,1.94,1.92,1.9286,55858,0
BLDP.US,5,20250729,165500,1.92,1.93,1.92,1.93,60846,0
BLDP.US,5,20250729,170000,1.93,1.93,1.92,1.925,17377,0
BLDP.US,5,20250729,170500,1.93,1.93,1.92,1.925,19520,0
BLDP.US,5,20250729,171000,1.925,1.93,1.92,1.9286,32446,0
