<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMRC.US,5,20250728,153000,24.08,24.5,23.72,23.72,2321,0
BMRC.US,5,20250728,154000,23.74,23.75,23.4,23.43,2348,0
BMRC.US,5,20250728,154500,23.35,23.35,23.2306,23.2306,992,0
BMRC.US,5,20250728,155000,23.235,23.37,23.235,23.25,2006,0
BMRC.US,5,20250728,155500,23.25,23.29,23,23.29,4407,0
BMRC.US,5,20250728,160500,23.42,23.42,23.275,23.275,300,0
BMRC.US,5,20250728,161000,23.42,23.42,23.42,23.42,100,0
BMRC.US,5,20250728,162500,23.33,23.33,23.33,23.33,100,0
BMRC.US,5,20250728,163000,23.51,23.51,23.51,23.51,1800,0
BMRC.US,5,20250728,163500,23.48,23.48,23.48,23.48,100,0
BMRC.US,5,20250728,164500,23.53,23.53,23.53,23.53,100,0
BMRC.US,5,20250728,165000,23.49,23.49,23.49,23.49,100,0
BMRC.US,5,20250728,165500,23.45,23.45,23.31,23.31,730,0
BMRC.US,5,20250728,170500,23.29,23.29,23.29,23.29,200,0
BMRC.US,5,20250728,171000,23.24,23.24,23.2,23.21,540,0
BMRC.US,5,20250728,172500,23.18,23.18,23.18,23.18,100,0
BMRC.US,5,20250728,180000,23.385,23.59,23.28,23.4675,4943,0
BMRC.US,5,20250728,180500,23.46,23.46,23.45,23.46,784,0
BMRC.US,5,20250728,181500,23.355,23.355,23.355,23.355,100,0
BMRC.US,5,20250728,183000,23.4499,23.4499,23.4499,23.4499,147,0
BMRC.US,5,20250728,183500,23.24,23.25,23.24,23.25,328,0
BMRC.US,5,20250728,184500,23.32,23.32,23.32,23.32,200,0
BMRC.US,5,20250728,185000,23.29,23.29,23.28,23.29,505,0
BMRC.US,5,20250728,185500,23.17,23.17,23.17,23.17,200,0
BMRC.US,5,20250728,190000,23.204,23.24,23.15,23.16,4519,0
BMRC.US,5,20250728,190500,23.26,23.26,23.26,23.26,100,0
BMRC.US,5,20250728,191000,23.26,23.26,23.26,23.26,100,0
BMRC.US,5,20250728,192500,23.26,23.26,23.1,23.105,1942,0
BMRC.US,5,20250728,193000,23.1,23.16,23.1,23.1,3165,0
BMRC.US,5,20250728,193500,23.135,23.135,23.135,23.135,100,0
BMRC.US,5,20250728,194000,23.135,23.24,23.135,23.24,632,0
BMRC.US,5,20250728,194500,23.41,23.65,23.18,23.18,2162,0
BMRC.US,5,20250728,195000,23.17,23.17,23.13,23.13,500,0
BMRC.US,5,20250728,200000,23.13,23.66,23.13,23.355,6223,0
BMRC.US,5,20250728,201000,23.355,23.41,23.355,23.41,200,0
BMRC.US,5,20250728,201500,23.44,23.44,23.44,23.44,100,0
BMRC.US,5,20250728,202000,23.34,23.34,23.34,23.34,400,0
BMRC.US,5,20250728,203000,23.42,23.42,23.41,23.42,433,0
BMRC.US,5,20250728,203500,23.45,23.45,23.45,23.45,100,0
BMRC.US,5,20250728,204000,23.51,23.51,23.3425,23.3425,660,0
BMRC.US,5,20250728,205000,23.46,23.54,23.46,23.54,958,0
BMRC.US,5,20250728,210000,23.61,23.63,23.37,23.47,5439,0
BMRC.US,5,20250728,210500,23.44,23.55,23.44,23.51,1192,0
BMRC.US,5,20250728,212000,23.63,23.69,23.56,23.56,1157,0
BMRC.US,5,20250728,212500,23.65,23.68,23.58,23.58,1671,0
BMRC.US,5,20250728,213500,23.51,23.51,23.51,23.51,100,0
BMRC.US,5,20250728,214500,23.585,23.6,23.55,23.55,1001,0
BMRC.US,5,20250728,215000,23.58,23.62,23.57,23.58,1438,0
BMRC.US,5,20250728,215500,23.61,23.68,23.59,23.64,21946,0
BMRC.US,5,20250729,153000,23.96,23.96,23.96,23.96,2432,0
BMRC.US,5,20250729,153500,24.01,24.01,24.01,24.01,100,0
BMRC.US,5,20250729,155500,23.885,23.885,23.885,23.885,200,0
BMRC.US,5,20250729,160500,23.6786,23.89,23.675,23.7877,1810,0
BMRC.US,5,20250729,161000,23.6702,23.6702,23.6702,23.6702,1999,0
BMRC.US,5,20250729,161500,23.9,24.025,23.9,23.96,1400,0
BMRC.US,5,20250729,162000,23.925,23.925,23.925,23.925,100,0
BMRC.US,5,20250729,163000,23.83,24,23.83,24,400,0
BMRC.US,5,20250729,163500,23.78,23.78,23.78,23.78,100,0
BMRC.US,5,20250729,164500,23.76,23.76,23.76,23.76,100,0
BMRC.US,5,20250729,165000,23.795,23.795,23.795,23.795,100,0
BMRC.US,5,20250729,170000,23.78,23.83,23.78,23.83,200,0
BMRC.US,5,20250729,170500,23.74,23.79,23.74,23.765,670,0
BMRC.US,5,20250729,172000,23.795,23.795,23.695,23.695,700,0
BMRC.US,5,20250729,172500,23.85,23.85,23.85,23.85,100,0
BMRC.US,5,20250729,173500,23.67,23.67,23.67,23.67,300,0
BMRC.US,5,20250729,174000,23.71,23.71,23.71,23.71,100,0
BMRC.US,5,20250729,180000,23.72,23.82,23.72,23.78,909,0
BMRC.US,5,20250729,180500,23.79,23.79,23.79,23.79,100,0
BMRC.US,5,20250729,181000,23.79,23.79,23.79,23.79,150,0
BMRC.US,5,20250729,181500,23.75,23.77,23.74,23.77,600,0
BMRC.US,5,20250729,182000,23.795,23.795,23.795,23.795,100,0
BMRC.US,5,20250729,183500,23.795,23.84,23.77,23.84,843,0
BMRC.US,5,20250729,184000,23.83,23.86,23.83,23.86,300,0
BMRC.US,5,20250729,184500,23.8,23.8,23.79,23.8,560,0
BMRC.US,5,20250729,185000,23.8,23.91,23.695,23.86,26388,0
BMRC.US,5,20250729,185500,23.9,23.9,23.76,23.77,2703,0
