<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUSEP.US,5,20250728,160000,25.35,25.4,25.3,25.3674,20810,0
BUSEP.US,5,20250728,161000,25.3999,25.3999,25.3999,25.3999,600,0
BUSEP.US,5,20250728,163000,25.38,25.38,25.375,25.38,1200,0
BUSEP.US,5,20250728,163500,25.3999,25.3999,25.355,25.38,1453,0
BUSEP.US,5,20250728,164500,25.38,25.38,25.38,25.38,100,0
BUSEP.US,5,20250728,172500,25.38,25.38,25.3645,25.38,1100,0
BUSEP.US,5,20250728,173000,25.355,25.355,25.355,25.355,1000,0
BUSEP.US,5,20250728,173500,25.32,25.38,25.31,25.38,3000,0
BUSEP.US,5,20250728,174000,25.37,25.37,25.37,25.37,200,0
BUSEP.US,5,20250728,174500,25.37,25.37,25.37,25.37,100,0
BUSEP.US,5,20250728,180500,25.355,25.37,25.355,25.37,1350,0
BUSEP.US,5,20250728,181000,25.36,25.36,25.36,25.36,350,0
BUSEP.US,5,20250728,181500,25.37,25.37,25.37,25.37,100,0
BUSEP.US,5,20250728,182000,25.35,25.35,25.35,25.35,800,0
BUSEP.US,5,20250728,182500,25.37,25.37,25.37,25.37,100,0
BUSEP.US,5,20250728,184000,25.37,25.37,25.37,25.37,200,0
BUSEP.US,5,20250728,190000,25.36,25.3999,25.355,25.355,3678,0
BUSEP.US,5,20250728,190500,25.39,25.39,25.31,25.32,4067,0
BUSEP.US,5,20250728,191000,25.37,25.37,25.37,25.37,100,0
BUSEP.US,5,20250728,192500,25.32,25.32,25.2,25.25,40657,0
BUSEP.US,5,20250728,193000,25.22,25.29,25.21,25.29,700,0
BUSEP.US,5,20250728,193500,25.3,25.3,25.3,25.3,100,0
BUSEP.US,5,20250728,202000,25.2999,25.2999,25.2999,25.2999,400,0
BUSEP.US,5,20250728,202500,25.29,25.305,25.25,25.28,7664,0
BUSEP.US,5,20250728,204000,25.27,25.28,25.27,25.28,300,0
BUSEP.US,5,20250728,205500,25.25,25.28,25.25,25.28,200,0
BUSEP.US,5,20250728,210000,25.2426,25.28,25.2426,25.28,600,0
BUSEP.US,5,20250728,212500,25.22,25.28,25.21,25.28,400,0
BUSEP.US,5,20250728,214000,25.22,25.27,25.21,25.27,500,0
BUSEP.US,5,20250728,214500,25.25,25.27,25.25,25.27,450,0
BUSEP.US,5,20250728,215000,25.245,25.27,25.245,25.27,1050,0
BUSEP.US,5,20250728,215500,25.22,25.27,25.21,25.27,1763,0
BUSEP.US,5,20250729,153000,25.27,25.35,25.27,25.35,386,0
BUSEP.US,5,20250729,154500,25.32,25.34,25.25,25.25,800,0
BUSEP.US,5,20250729,155000,25.3,25.3,25.2989,25.2989,700,0
BUSEP.US,5,20250729,155500,25.29,25.29,25.29,25.29,200,0
BUSEP.US,5,20250729,161500,25.28,25.3,25.28,25.29,500,0
BUSEP.US,5,20250729,162000,25.28,25.32,25.28,25.32,1100,0
BUSEP.US,5,20250729,163000,25.29,25.35,25.28,25.35,4577,0
BUSEP.US,5,20250729,172500,25.305,25.35,25.305,25.33,697,0
BUSEP.US,5,20250729,173000,25.33,25.35,25.31,25.33,1214,0
BUSEP.US,5,20250729,173500,25.34,25.35,25.27,25.35,790,0
BUSEP.US,5,20250729,174000,25.35,25.35,25.34,25.35,500,0
BUSEP.US,5,20250729,174500,25.35,25.35,25.31,25.35,2790,0
BUSEP.US,5,20250729,182000,25.3499,25.3499,25.3499,25.3499,579,0
BUSEP.US,5,20250729,184000,25.3,25.35,25.3,25.35,750,0
BUSEP.US,5,20250729,185500,25.33,25.35,25.33,25.35,200,0
BUSEP.US,5,20250729,191000,25.35,25.42,25.32,25.42,1100,0
BUSEP.US,5,20250729,191500,25.41,25.41,25.41,25.41,360,0
BUSEP.US,5,20250729,205000,25.34,25.35,25.34,25.35,1100,0
BUSEP.US,5,20250729,205500,25.35,25.35,25.34,25.35,600,0
BUSEP.US,5,20250729,210000,25.36,25.36,25.34,25.35,300,0
BUSEP.US,5,20250729,211000,25.38,25.38,25.38,25.38,100,0
BUSEP.US,5,20250729,212000,25.341,25.38,25.341,25.355,462,0
BUSEP.US,5,20250729,212500,25.3533,25.3533,25.3533,25.3533,1575,0
BUSEP.US,5,20250729,213000,25.3533,25.38,25.3533,25.38,380,0
BUSEP.US,5,20250729,213500,25.34,25.34,25.34,25.34,300,0
BUSEP.US,5,20250729,215000,25.355,25.37,25.34,25.36,3129,0
BUSEP.US,5,20250729,215500,25.35,25.37,25.33,25.37,1300,0
BUSEP.US,5,20250730,161000,25.42,25.42,25.42,25.42,292,0
BUSEP.US,5,20250730,165000,25.4,25.4,25.4,25.4,100,0
BUSEP.US,5,20250730,165500,25.4,25.4,25.389,25.389,300,0
BUSEP.US,5,20250730,170500,25.4,25.4,25.4,25.4,300,0
BUSEP.US,5,20250730,172500,25.38,25.38,25.38,25.38,500,0
BUSEP.US,5,20250730,173000,25.38,25.38,25.37,25.37,2497,0
BUSEP.US,5,20250730,175000,25.37,25.37,25.37,25.37,300,0
BUSEP.US,5,20250730,180000,25.34,25.36,25.34,25.36,500,0
BUSEP.US,5,20250730,181000,25.37,25.37,25.37,25.37,100,0
BUSEP.US,5,20250730,183000,25.32,25.37,25.32,25.37,1400,0
BUSEP.US,5,20250730,183500,25.36,25.37,25.3599,25.37,1894,0
BUSEP.US,5,20250730,200000,25.32,25.37,25.32,25.37,200,0
BUSEP.US,5,20250730,200500,25.44,25.44,25.44,25.44,100,0
BUSEP.US,5,20250730,202500,25.43,25.43,25.43,25.43,300,0
BUSEP.US,5,20250730,203500,25.42,25.42,25.4,25.42,2189,0
BUSEP.US,5,20250730,204500,25.34,25.39,25.33,25.39,897,0
BUSEP.US,5,20250730,205500,25.35,25.39,25.35,25.38,500,0
BUSEP.US,5,20250730,210500,25.3555,25.38,25.3555,25.38,300,0
BUSEP.US,5,20250730,213000,25.32,25.34,25.3,25.33,3800,0
BUSEP.US,5,20250730,213500,25.33,25.36,25.33,25.36,300,0
BUSEP.US,5,20250730,214000,25.34,25.34,25.25,25.25,6087,0
BUSEP.US,5,20250730,214500,25.3,25.3,25.3,25.3,286,0
BUSEP.US,5,20250730,215000,25.285,25.3,25.27,25.3,800,0
BUSEP.US,5,20250730,215500,25.28,25.34,25.27,25.34,324,0
BUSEP.US,5,20250731,153000,25.4,25.4,25.4,25.4,390,0
