<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CETY.US,5,20250728,153000,3.51,3.618,3.51,3.597,625.8000003129,0
CETY.US,5,20250728,153500,3.58968,3.58968,3.54,3.5685,360.00000018000003,0
CETY.US,5,20250728,154000,3.5955,3.597,3.5955,3.597,73.33333337,0
CETY.US,5,20250728,154500,3.59698,3.59698,3.59698,3.59698,333.33333350000004,0
CETY.US,5,20250728,155500,3.585,3.585,3.585,3.585,30.000000015,0
CETY.US,5,20250728,160000,3.5325,3.59998,3.489,3.489,738.7333337027001,0
CETY.US,5,20250728,160500,3.5445,3.6,3.543,3.543,394.66666686400004,0
CETY.US,5,20250728,161000,3.489,3.54375,3.489,3.54375,47.200000023600005,0
CETY.US,5,20250728,161500,3.5625,3.5625,3.525,3.5625,53.333333360000005,0
CETY.US,5,20250728,162000,3.54157,3.54157,3.54157,3.54157,19.8666666766,0
CETY.US,5,20250728,163000,3.5145,3.5145,3.5145,3.5145,28.3333333475,0
CETY.US,5,20250728,163500,3.5145,3.54,3.5145,3.54,106.66666672000001,0
CETY.US,5,20250728,164000,3.5145,3.5415,3.5145,3.5415,2234.8666677841,0
CETY.US,5,20250728,164500,3.5415,3.5415,3.5145,3.5145,606.66666697,0
CETY.US,5,20250728,165000,3.5985,3.5985,3.585,3.585,111.4666667224,0
CETY.US,5,20250728,170500,3.54675,3.585,3.54675,3.585,55.7333333612,0
CETY.US,5,20250728,171500,3.597,3.597,3.5145,3.5145,43.6666666885,0
CETY.US,5,20250728,172000,3.5985,3.5985,3.5145,3.5145,137.5333334021,0
CETY.US,5,20250728,172500,3.54675,3.5985,3.54675,3.59848,2060.0666676967003,0
CETY.US,5,20250728,173000,3.5985,3.5985,3.59698,3.597,1866.6000009333,0
CETY.US,5,20250728,174000,3.597,3.597,3.495,3.495,430.000000215,0
CETY.US,5,20250728,180000,3.5985,3.5985,3.495,3.495,2656.8000013284,0
CETY.US,5,20250728,180500,3.597,3.5985,3.495,3.5895,1513.33333409,0
CETY.US,5,20250728,181500,3.51,3.597,3.495,3.495,1263.7333339652,0
CETY.US,5,20250728,182000,3.495,3.495,3.495,3.495,10.7333333387,0
CETY.US,5,20250728,182500,3.5985,3.5985,3.495,3.495,1896.666667615,0
CETY.US,5,20250728,183500,3.5325,3.5985,3.495,3.495,79.0666667062,0
CETY.US,5,20250728,184000,3.495,3.495,3.495,3.495,33.333333350000004,0
CETY.US,5,20250728,184500,3.54,3.54,3.54,3.54,10.9333333388,0
CETY.US,5,20250728,185000,3.543,3.543,3.4875,3.495,484.9333335758,0
CETY.US,5,20250728,185500,3.4845,3.4845,3.4725,3.4725,1960.00000098,0
CETY.US,5,20250728,193000,3.5805,3.5805,3.5805,3.5805,38.4000000192,0
CETY.US,5,20250728,194500,3.4845,3.4845,3.4845,3.4845,27.9333333473,0
CETY.US,5,20250728,195000,3.489,3.5355,3.489,3.5355,20.00000001,0
CETY.US,5,20250728,195500,3.53475,3.53475,3.53475,3.53475,8.000000004,0
CETY.US,5,20250728,200000,3.579,3.579,3.579,3.579,30.1333333484,0
CETY.US,5,20250728,200500,3.576,3.576,3.576,3.576,1666.6666675000001,0
CETY.US,5,20250728,202000,3.5355,3.5355,3.5355,3.5355,33.333333350000004,0
CETY.US,5,20250728,203000,3.5385,3.5535,3.5385,3.552,86.66666671,0
CETY.US,5,20250728,203500,3.522,3.522,3.3825,3.3825,654.2666669938001,0
CETY.US,5,20250728,204000,3.45,3.45,3.45,3.45,62.533333364600004,0
CETY.US,5,20250728,204500,3.45,3.45,3.45,3.45,173.33333342,0
CETY.US,5,20250728,205000,3.45,3.45,3.45,3.45,66.66666670000001,0
CETY.US,5,20250728,211000,3.50175,3.5535,3.50175,3.5535,126.93333339680001,0
CETY.US,5,20250728,211500,3.501,3.501,3.501,3.501,200.3333334335,0
CETY.US,5,20250728,212000,3.5025,3.507,3.4605,3.507,233.33333345,0
CETY.US,5,20250728,212500,3.5535,3.5535,3.5535,3.5535,33.333333350000004,0
CETY.US,5,20250728,214500,3.5535,3.5535,3.5535,3.5535,114.9333333908,0
CETY.US,5,20250728,215500,3.555,3.555,3.495,3.495,752.1333337094001,0
CETY.US,5,20250729,153000,3.465,3.486,3.4065,3.4065,282.86666680810004,0
CETY.US,5,20250729,153500,3.4065,3.408,3.384,3.384,28.666666681000002,0
CETY.US,5,20250729,154000,3.384,3.405,3.384,3.384,156.66666674500001,0
CETY.US,5,20250729,154500,3.384,3.384,3.384,3.384,26.666666680000002,0
CETY.US,5,20250729,155000,3.384,3.384,3.366,3.384,280.00000014,0
CETY.US,5,20250729,155500,3.384,3.384,3.384,3.384,20.00000001,0
CETY.US,5,20250729,160000,3.384,3.384,3.3645,3.384,420.00000021,0
CETY.US,5,20250729,160500,3.384,3.405,3.384,3.384,1266.6666673,0
CETY.US,5,20250729,161000,3.384,3.384,3.33,3.36225,33.333333350000004,0
CETY.US,5,20250729,162000,3.36,3.36,3.36,3.36,773.9333337203,0
CETY.US,5,20250729,162500,3.3585,3.3585,3.3585,3.3585,6.666666670000001,0
CETY.US,5,20250729,163000,3.3585,3.3585,3.33975,3.33975,66.66666670000001,0
CETY.US,5,20250729,163500,3.36,3.36,3.3405,3.3405,1388.6000006943,0
CETY.US,5,20250729,164000,3.3525,3.3525,3.3525,3.3525,13.333333340000001,0
CETY.US,5,20250729,164500,3.357,3.405,3.357,3.405,563.333333615,0
CETY.US,5,20250729,165000,3.405,3.405,3.405,3.405,766.6000003833,0
CETY.US,5,20250729,165500,3.3825,3.3825,3.36,3.36,133.33333340000001,0
CETY.US,5,20250729,170000,3.3825,3.3825,3.36,3.36,100.00000005,0
CETY.US,5,20250729,171500,3.3615,3.3615,3.3615,3.3615,200.0000001,0
CETY.US,5,20250729,172000,3.3825,3.39,3.3825,3.39,133.33333340000001,0
CETY.US,5,20250729,173000,3.39,3.39,3.36,3.36,343.333333505,0
CETY.US,5,20250729,173500,3.3615,3.3615,3.3615,3.3615,33.333333350000004,0
CETY.US,5,20250729,180000,3.3615,3.4005,3.3615,3.4005,46.66666669,0
CETY.US,5,20250729,182000,3.393,3.393,3.393,3.393,6.666666670000001,0
CETY.US,5,20250729,182500,3.393,3.393,3.393,3.393,28.666666681000002,0
CETY.US,5,20250729,183500,3.3615,3.3615,3.3615,3.3615,273.4666668034,0
CETY.US,5,20250729,184000,3.3825,3.40048,3.3825,3.40048,333.33333350000004,0
CETY.US,5,20250729,184500,3.40035,3.40035,3.40035,3.40035,466.6666669,0
CETY.US,5,20250729,185000,3.4005,3.4005,3.4005,3.4005,70.666666702,0
CETY.US,5,20250729,190000,3.399,3.4005,3.399,3.4005,1333.3333340000001,0
CETY.US,5,20250729,191000,3.4005,3.4425,3.4005,3.405,2720.00000136,0
CETY.US,5,20250729,191500,3.4185,3.4185,3.4155,3.4155,206.66666677,0
CETY.US,5,20250729,192000,3.417,3.417,3.417,3.417,6.666666670000001,0
CETY.US,5,20250729,193500,3.4305,3.4305,3.4305,3.4305,28.9333333478,0
CETY.US,5,20250729,195500,3.4305,3.4305,3.4305,3.4305,6.666666670000001,0
CETY.US,5,20250729,200500,3.444,3.444,3.4425,3.4425,13.333333340000001,0
CETY.US,5,20250729,201500,3.444,3.444,3.4425,3.4425,65.0000000325,0
CETY.US,5,20250729,205000,3.393,3.393,3.393,3.393,6.666666670000001,0
CETY.US,5,20250729,210000,3.3945,3.3945,3.3945,3.3945,14.0666666737,0
CETY.US,5,20250729,210500,3.438,3.438,3.438,3.438,75.0000000375,0
CETY.US,5,20250729,212000,3.399,3.399,3.399,3.399,6.666666670000001,0
CETY.US,5,20250729,214500,3.393,3.3945,3.393,3.393,50.0666666917,0
CETY.US,5,20250729,215000,3.4395,3.4395,3.4395,3.4395,10.000000005,0
CETY.US,5,20250730,153000,3.444,3.444,3.444,3.444,39.4666666864,0
