<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHSCP.US,5,20250728,153000,27.7,27.7,27.7,27.7,201,0
CHSCP.US,5,20250728,161000,27.7,27.7,27.7,27.7,300,0
CHSCP.US,5,20250728,164500,27.8087,27.8087,27.8087,27.8087,1205,0
CHSCP.US,5,20250728,172000,27.76,27.76,27.76,27.76,627,0
CHSCP.US,5,20250728,180000,27.8983,27.8983,27.8983,27.8983,125,0
CHSCP.US,5,20250728,195000,27.81,27.865,27.71,27.812,2086,0
CHSCP.US,5,20250728,203000,27.84,27.88,27.84,27.88,200,0
CHSCP.US,5,20250728,213000,27.89,27.89,27.89,27.89,200,0
CHSCP.US,5,20250728,215500,27.88,27.88,27.88,27.88,100,0
CHSCP.US,5,20250729,153000,27.94,27.94,27.94,27.94,500,0
CHSCP.US,5,20250729,155000,27.948,27.948,27.85,27.85,251,0
CHSCP.US,5,20250729,161500,27.89,28.1,27.78,27.78,11363,0
CHSCP.US,5,20250729,165500,28.08,28.08,28.07,28.07,200,0
CHSCP.US,5,20250729,170500,28.05,28.05,28.05,28.05,100,0
CHSCP.US,5,20250729,171500,28.09,28.09,28.09,28.09,100,0
CHSCP.US,5,20250729,174500,28.1,28.1,28.09,28.1,300,0
CHSCP.US,5,20250729,175000,28.19,28.25,28.15,28.24,804,0
CHSCP.US,5,20250729,181000,28.25,28.25,28.2098,28.2098,500,0
CHSCP.US,5,20250729,181500,28.25,28.25,28.25,28.25,100,0
CHSCP.US,5,20250729,182500,28.2101,28.2101,28.2101,28.2101,300,0
CHSCP.US,5,20250729,184000,28.21,28.21,28.21,28.21,100,0
CHSCP.US,5,20250729,190000,28.31,28.31,28.31,28.31,200,0
CHSCP.US,5,20250729,190500,28.23,28.23,28.23,28.23,100,0
CHSCP.US,5,20250729,191000,28.2425,28.2425,28.2425,28.2425,400,0
CHSCP.US,5,20250729,193500,28.31,28.31,28.24,28.24,500,0
CHSCP.US,5,20250729,194000,28.31,28.31,28.31,28.31,150,0
