<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPB.US,5,20250728,153000,32.47,32.515,32.1,32.115,83654,0
CPB.US,5,20250728,153500,32.12,32.195,32.11,32.165,37960,0
CPB.US,5,20250728,154000,32.165,32.18,32.04,32.14,22100,0
CPB.US,5,20250728,154500,32.125,32.26,32.12,32.185,30500,0
CPB.US,5,20250728,155000,32.19,32.19,32.07,32.12,31721,0
CPB.US,5,20250728,155500,32.12,32.13,31.98,32.01,65579,0
CPB.US,5,20250728,160000,32,32.05,31.94,32.045,57412,0
CPB.US,5,20250728,160500,32.05,32.125,32.0416,32.06,38675,0
CPB.US,5,20250728,161000,32.05,32.24,32.05,32.21,22358,0
CPB.US,5,20250728,161500,32.19,32.235,32.155,32.235,18868,0
CPB.US,5,20250728,162000,32.235,32.235,32.12,32.13,62370,0
CPB.US,5,20250728,162500,32.14,32.21,32.14,32.2,42132,0
CPB.US,5,20250728,163000,32.195,32.25,32.165,32.165,43590,0
CPB.US,5,20250728,163500,32.165,32.1898,32.12,32.15,34251,0
CPB.US,5,20250728,164000,32.14,32.19,32.1247,32.18,25658,0
CPB.US,5,20250728,164500,32.18,32.23,32.1358,32.23,23315,0
CPB.US,5,20250728,165000,32.24,32.255,32.195,32.24,21000,0
CPB.US,5,20250728,165500,32.235,32.28,32.2301,32.27,32276,0
CPB.US,5,20250728,170000,32.27,32.365,32.22,32.325,37981,0
CPB.US,5,20250728,170500,32.32,32.39,32.31,32.362,32062,0
CPB.US,5,20250728,171000,32.37,32.43,32.365,32.4299,41916,0
CPB.US,5,20250728,171500,32.425,32.47,32.4201,32.47,25001,0
CPB.US,5,20250728,172000,32.465,32.52,32.44,32.515,48229,0
CPB.US,5,20250728,172500,32.52,32.52,32.435,32.47,38860,0
CPB.US,5,20250728,173000,32.465,32.5,32.435,32.5,15096,0
CPB.US,5,20250728,173500,32.495,32.5,32.415,32.415,16172,0
CPB.US,5,20250728,174000,32.415,32.455,32.415,32.445,18111,0
CPB.US,5,20250728,174500,32.445,32.51,32.44,32.5001,16397,0
CPB.US,5,20250728,175000,32.505,32.51,32.4493,32.485,27368,0
CPB.US,5,20250728,175500,32.48,32.49,32.4601,32.47,14505,0
CPB.US,5,20250728,180000,32.465,32.465,32.41,32.43,38968,0
CPB.US,5,20250728,180500,32.425,32.44,32.385,32.385,22559,0
CPB.US,5,20250728,181000,32.385,32.43,32.375,32.4,25098,0
CPB.US,5,20250728,181500,32.3892,32.41,32.365,32.37,41188,0
CPB.US,5,20250728,182000,32.375,32.41,32.36,32.3875,27601,0
CPB.US,5,20250728,182500,32.385,32.42,32.375,32.415,40304,0
CPB.US,5,20250728,183000,32.415,32.495,32.415,32.495,16949,0
CPB.US,5,20250728,183500,32.5,32.51,32.45,32.495,26293,0
CPB.US,5,20250728,184000,32.495,32.495,32.43,32.45,26737,0
CPB.US,5,20250728,184500,32.43,32.43,32.37,32.38,20541,0
CPB.US,5,20250728,185000,32.385,32.405,32.375,32.4,12416,0
CPB.US,5,20250728,185500,32.4,32.405,32.36,32.37,9695,0
CPB.US,5,20250728,190000,32.365,32.44,32.365,32.44,11034,0
CPB.US,5,20250728,190500,32.43,32.43,32.375,32.38,46805,0
CPB.US,5,20250728,191000,32.38,32.4,32.33,32.355,19960,0
CPB.US,5,20250728,191500,32.35,32.3575,32.31,32.31,18043,0
CPB.US,5,20250728,192000,32.305,32.32,32.28,32.285,35981,0
CPB.US,5,20250728,192500,32.28,32.345,32.27,32.305,25256,0
CPB.US,5,20250728,193000,32.305,32.38,32.29,32.36,32342,0
CPB.US,5,20250728,193500,32.36,32.4,32.345,32.345,11895,0
CPB.US,5,20250728,194000,32.345,32.36,32.315,32.34,14790,0
CPB.US,5,20250728,194500,32.345,32.39,32.34,32.385,14374,0
CPB.US,5,20250728,195000,32.39,32.39,32.32,32.33,17132,0
CPB.US,5,20250728,195500,32.34,32.34,32.23,32.245,22011,0
CPB.US,5,20250728,200000,32.25,32.27,32.235,32.24,14469,0
CPB.US,5,20250728,200500,32.24,32.25,32.205,32.23,13797,0
CPB.US,5,20250728,201000,32.24,32.285,32.235,32.27,18700,0
