<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRCT.US,5,20250728,153000,5.24,5.3229,5.18,5.195,8234,0
CRCT.US,5,20250728,153500,5.2,5.2,5.19,5.1993,2520,0
CRCT.US,5,20250728,154000,5.19,5.195,5.16,5.195,3000,0
CRCT.US,5,20250728,154500,5.21,5.21,5.19,5.19,550,0
CRCT.US,5,20250728,155000,5.19,5.19,5.165,5.17,2030,0
CRCT.US,5,20250728,155500,5.17,5.18,5.165,5.165,1376,0
CRCT.US,5,20250728,160000,5.17,5.2,5.17,5.2,2176,0
CRCT.US,5,20250728,160500,5.19,5.195,5.16,5.165,10910,0
CRCT.US,5,20250728,161000,5.165,5.175,5.16,5.165,5768,0
CRCT.US,5,20250728,161500,5.17,5.17,5.17,5.17,300,0
CRCT.US,5,20250728,162000,5.165,5.205,5.16,5.19,18760,0
CRCT.US,5,20250728,162500,5.19,5.19,5.185,5.185,300,0
CRCT.US,5,20250728,163000,5.185,5.2,5.185,5.195,3865,0
CRCT.US,5,20250728,163500,5.19,5.19,5.185,5.185,1750,0
CRCT.US,5,20250728,164000,5.185,5.205,5.185,5.205,4800,0
CRCT.US,5,20250728,164500,5.2,5.205,5.195,5.205,3133,0
CRCT.US,5,20250728,165000,5.205,5.21,5.205,5.21,388,0
CRCT.US,5,20250728,165500,5.2,5.2,5.195,5.195,2040,0
CRCT.US,5,20250728,170000,5.195,5.2,5.195,5.195,600,0
CRCT.US,5,20250728,170500,5.2,5.2,5.175,5.175,5404,0
CRCT.US,5,20250728,171000,5.175,5.175,5.165,5.17,3106,0
CRCT.US,5,20250728,171500,5.175,5.175,5.165,5.17,1837,0
CRCT.US,5,20250728,172000,5.175,5.18,5.175,5.18,1008,0
CRCT.US,5,20250728,172500,5.18,5.18,5.175,5.175,1000,0
CRCT.US,5,20250728,173000,5.176,5.19,5.175,5.185,3033,0
CRCT.US,5,20250728,173500,5.1833,5.185,5.1833,5.185,574,0
CRCT.US,5,20250728,174000,5.185,5.19,5.185,5.185,700,0
CRCT.US,5,20250728,174500,5.19,5.19,5.185,5.185,877,0
CRCT.US,5,20250728,175000,5.185,5.19,5.175,5.175,7130,0
CRCT.US,5,20250728,175500,5.175,5.18,5.175,5.18,362,0
CRCT.US,5,20250728,180000,5.1718,5.175,5.1718,5.175,2887,0
CRCT.US,5,20250728,180500,5.18,5.18,5.175,5.175,600,0
CRCT.US,5,20250728,181000,5.175,5.18,5.17,5.17,3260,0
CRCT.US,5,20250728,181500,5.175,5.175,5.165,5.165,2662,0
CRCT.US,5,20250728,182000,5.1601,5.175,5.1601,5.17,19394,0
CRCT.US,5,20250728,182500,5.18,5.18,5.172,5.18,700,0
CRCT.US,5,20250728,183000,5.175,5.18,5.175,5.18,400,0
CRCT.US,5,20250728,183500,5.18,5.18,5.175,5.175,300,0
CRCT.US,5,20250728,184000,5.1765,5.18,5.17,5.18,3803,0
CRCT.US,5,20250728,184500,5.175,5.175,5.165,5.175,7012,0
CRCT.US,5,20250728,185000,5.175,5.18,5.175,5.175,500,0
CRCT.US,5,20250728,185500,5.18,5.185,5.175,5.175,2630,0
CRCT.US,5,20250728,190000,5.18,5.18,5.175,5.18,1567,0
CRCT.US,5,20250728,190500,5.17,5.17,5.155,5.155,3082,0
CRCT.US,5,20250728,191000,5.155,5.1598,5.155,5.1598,1686,0
CRCT.US,5,20250728,191500,5.15,5.15,5.14,5.142,5681,0
CRCT.US,5,20250728,192000,5.1453,5.1453,5.1453,5.1453,2000,0
CRCT.US,5,20250728,192500,5.145,5.145,5.14,5.14,1767,0
CRCT.US,5,20250728,193000,5.135,5.1365,5.13,5.135,649,0
CRCT.US,5,20250728,193500,5.1389,5.15,5.135,5.15,9517,0
CRCT.US,5,20250728,194000,5.155,5.155,5.155,5.155,194,0
CRCT.US,5,20250728,194500,5.155,5.16,5.15,5.155,1600,0
CRCT.US,5,20250728,195000,5.155,5.155,5.155,5.155,100,0
CRCT.US,5,20250728,195500,5.155,5.16,5.155,5.155,1707,0
CRCT.US,5,20250728,200000,5.155,5.16,5.155,5.155,300,0
CRCT.US,5,20250728,200500,5.15,5.16,5.145,5.155,9402,0
CRCT.US,5,20250728,201000,5.16,5.16,5.155,5.16,2903,0
CRCT.US,5,20250728,201500,5.155,5.16,5.155,5.155,2964,0
CRCT.US,5,20250728,202000,5.155,5.18,5.155,5.18,3930,0
CRCT.US,5,20250728,202500,5.175,5.175,5.175,5.175,900,0
CRCT.US,5,20250728,203000,5.18,5.18,5.17,5.175,1071,0
CRCT.US,5,20250728,203500,5.175,5.175,5.155,5.155,8359,0
CRCT.US,5,20250728,204000,5.155,5.155,5.155,5.155,400,0
CRCT.US,5,20250728,204500,5.15,5.15,5.14,5.15,4160,0
CRCT.US,5,20250728,205000,5.145,5.15,5.145,5.145,1167,0
CRCT.US,5,20250728,205500,5.15,5.15,5.14,5.145,800,0
CRCT.US,5,20250728,210000,5.1465,5.1465,5.135,5.135,3893,0
CRCT.US,5,20250728,210500,5.135,5.135,5.13,5.131,2205,0
CRCT.US,5,20250728,211000,5.135,5.145,5.135,5.145,3030,0
CRCT.US,5,20250728,211500,5.145,5.145,5.125,5.13,10791,0
CRCT.US,5,20250728,212000,5.13,5.1391,5.13,5.135,1899,0
CRCT.US,5,20250728,212500,5.13,5.135,5.125,5.125,3459,0
CRCT.US,5,20250728,213000,5.125,5.13,5.12,5.125,15613,0
CRCT.US,5,20250728,213500,5.12,5.125,5.115,5.125,6741,0
CRCT.US,5,20250728,214000,5.1211,5.125,5.11,5.11,5779,0
CRCT.US,5,20250728,214500,5.115,5.12,5.11,5.115,7003,0
CRCT.US,5,20250728,215000,5.115,5.115,5.11,5.115,10618,0
CRCT.US,5,20250728,215500,5.115,5.145,5.11,5.14,96921,0
CRCT.US,5,20250729,153000,5.16,5.2,5.15,5.15,8957,0
CRCT.US,5,20250729,153500,5.14,5.15,5.14,5.15,600,0
CRCT.US,5,20250729,154000,5.14,5.14,5.135,5.135,821,0
CRCT.US,5,20250729,154500,5.14,5.17,5.14,5.16,900,0
CRCT.US,5,20250729,155000,5.15,5.15,5.14,5.14,1100,0
CRCT.US,5,20250729,155500,5.14,5.14,5.14,5.14,700,0
CRCT.US,5,20250729,160000,5.14,5.145,5.13,5.13,1488,0
CRCT.US,5,20250729,160500,5.135,5.16,5.1294,5.16,3773,0
CRCT.US,5,20250729,161000,5.16,5.17,5.145,5.145,3129,0
CRCT.US,5,20250729,161500,5.15,5.16,5.15,5.15,1420,0
CRCT.US,5,20250729,162000,5.145,5.15,5.14,5.15,1615,0
