<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CREX.US,5,20250728,153000,2.92,3.02,2.88,2.94,4666,0
CREX.US,5,20250728,153500,2.85,2.85,2.84,2.84,1470,0
CREX.US,5,20250728,154000,2.8,2.8,2.8,2.8,3977,0
CREX.US,5,20250728,154500,2.845,3,2.845,2.99,2330,0
CREX.US,5,20250728,155500,2.92,2.9938,2.89,2.9938,5359,0
CREX.US,5,20250728,160000,2.895715,2.895715,2.895715,2.895715,108,0
CREX.US,5,20250728,160500,2.93,2.93,2.93,2.93,9983,0
CREX.US,5,20250728,161000,2.935,2.935,2.935,2.935,100,0
CREX.US,5,20250728,162000,2.9306,2.9306,2.9306,2.9306,166,0
CREX.US,5,20250728,163500,2.95,2.95,2.88,2.88,6500,0
CREX.US,5,20250728,164000,2.85,2.85,2.85,2.85,198,0
CREX.US,5,20250728,171000,2.8,2.8,2.75,2.75,3196,0
CREX.US,5,20250728,173500,2.79,2.8325,2.79,2.8325,500,0
CREX.US,5,20250728,174000,2.78,2.78,2.7768,2.7768,200,0
CREX.US,5,20250728,174500,2.77,2.77,2.77,2.77,300,0
CREX.US,5,20250728,175000,2.7874,2.7874,2.7874,2.7874,333,0
CREX.US,5,20250728,180500,2.78,2.78,2.78,2.78,250,0
CREX.US,5,20250728,181000,2.79,2.79,2.79,2.79,100,0
CREX.US,5,20250728,181500,2.8333,2.8333,2.8333,2.8333,300,0
CREX.US,5,20250728,185500,2.8027,2.81,2.8,2.8,300,0
CREX.US,5,20250728,193000,2.815,2.815,2.815,2.815,100,0
CREX.US,5,20250728,193500,2.8047,2.8047,2.8047,2.8047,100,0
CREX.US,5,20250728,195000,2.8333,2.8333,2.8333,2.8333,128,0
CREX.US,5,20250728,204000,2.79,2.79,2.79,2.79,999,0
CREX.US,5,20250728,204500,2.8399,2.8399,2.8399,2.8399,704,0
CREX.US,5,20250728,210000,2.82,2.82,2.8,2.8,400,0
CREX.US,5,20250728,211500,2.82,2.82,2.82,2.82,500,0
CREX.US,5,20250728,214000,2.8102,2.8102,2.8102,2.8102,3250,0
CREX.US,5,20250728,214500,2.825,2.85,2.825,2.83,3958,0
CREX.US,5,20250728,215000,2.85,2.85,2.835,2.845,4983,0
CREX.US,5,20250728,215500,2.89,3.02,2.855,2.92,18102,0
CREX.US,5,20250729,153000,2.94,2.94,2.94,2.94,225,0
CREX.US,5,20250729,153500,2.92,2.92,2.92,2.92,3777,0
CREX.US,5,20250729,154000,2.92,2.92,2.92,2.92,300,0
CREX.US,5,20250729,160500,2.925,2.925,2.925,2.925,200,0
CREX.US,5,20250729,172000,3.01,3.01,3.01,3.01,200,0
CREX.US,5,20250729,173500,2.8611,2.8611,2.8611,2.8611,100,0
CREX.US,5,20250729,180500,2.86,2.87,2.81,2.86,24999,0
CREX.US,5,20250729,183000,2.8829,2.8829,2.8321,2.8321,214,0
CREX.US,5,20250729,190000,2.84,2.84,2.84,2.84,150,0
CREX.US,5,20250729,190500,2.83,2.83,2.83,2.83,107,0
CREX.US,5,20250729,193000,2.825,2.825,2.825,2.825,124,0
CREX.US,5,20250729,195500,2.8267,2.8267,2.8267,2.8267,666,0
CREX.US,5,20250729,200500,2.8291,2.8291,2.8291,2.8291,2500,0
CREX.US,5,20250729,201500,2.835,2.835,2.835,2.835,100,0
CREX.US,5,20250729,202500,2.8388,2.8388,2.8388,2.8388,104,0
CREX.US,5,20250729,204000,2.8169,2.8169,2.8169,2.8169,163,0
CREX.US,5,20250729,210000,2.8,2.8,2.8,2.8,5023,0
CREX.US,5,20250729,210500,2.75,2.76,2.71,2.71,423,0
CREX.US,5,20250729,211000,2.74,2.7579,2.74,2.7579,200,0
CREX.US,5,20250729,211500,2.7576,2.7576,2.7576,2.7576,200,0
CREX.US,5,20250729,212500,2.77,2.77,2.77,2.77,615,0
CREX.US,5,20250729,213000,2.77,2.77,2.77,2.77,3777,0
CREX.US,5,20250729,213500,2.815,2.815,2.815,2.815,145,0
CREX.US,5,20250729,214000,2.75,2.7565,2.74,2.7565,900,0
CREX.US,5,20250729,214500,2.76,2.78,2.76,2.775,2210,0
CREX.US,5,20250729,215000,2.775,2.7897,2.775,2.7897,200,0
CREX.US,5,20250729,215500,2.77,2.78,2.77,2.77,1624,0
CREX.US,5,20250730,153000,2.85,2.85,2.85,2.85,300,0
CREX.US,5,20250730,154000,2.8799,2.8799,2.82,2.82,5577,0
CREX.US,5,20250730,171000,2.8027,2.8027,2.8,2.8,767,0
CREX.US,5,20250730,173000,2.7271,2.7271,2.7271,2.7271,132,0
CREX.US,5,20250730,174000,2.7487,2.7487,2.7487,2.7487,164,0
CREX.US,5,20250730,175000,2.7916,2.7916,2.7916,2.7916,200,0
CREX.US,5,20250730,180000,2.76,2.79,2.76,2.79,200,0
CREX.US,5,20250730,181500,2.79,2.79,2.79,2.79,700,0
CREX.US,5,20250730,182500,2.7921,2.7921,2.7921,2.7921,500,0
CREX.US,5,20250730,183000,2.79,2.79,2.78,2.78,745,0
CREX.US,5,20250730,184000,2.8085,2.8085,2.8085,2.8085,100,0
CREX.US,5,20250730,194000,2.786,2.786,2.786,2.786,501,0
CREX.US,5,20250730,200500,2.73,2.8,2.72,2.77,8115,0
CREX.US,5,20250730,201000,2.7951,2.7951,2.7951,2.7951,177,0
CREX.US,5,20250730,210000,2.76,2.76,2.75,2.75,300,0
CREX.US,5,20250730,211500,2.71,2.7286,2.71,2.7286,300,0
CREX.US,5,20250730,212000,2.73,2.74,2.71,2.71,2100,0
CREX.US,5,20250730,212500,2.7364,2.7364,2.73,2.73,700,0
CREX.US,5,20250730,215000,2.76,2.76,2.76,2.76,100,0
CREX.US,5,20250730,215500,2.75,2.75,2.75,2.75,896,0
CREX.US,5,20250731,153000,2.74,2.74,2.69,2.69,986,0
CREX.US,5,20250731,154000,2.74,2.74,2.74,2.74,100,0
CREX.US,5,20250731,160000,2.6905,2.73,2.6905,2.73,2190,0
CREX.US,5,20250731,160500,2.661,2.7,2.56,2.58,18155,0
CREX.US,5,20250731,161000,2.6728,2.6728,2.625,2.625,4731,0
CREX.US,5,20250731,161500,2.6528,2.6528,2.6528,2.6528,185,0
CREX.US,5,20250731,162000,2.57,2.6789,2.57,2.6789,3373,0
CREX.US,5,20250731,163500,2.66,2.6684,2.66,2.6684,4000,0
CREX.US,5,20250731,164500,2.6667,2.6667,2.6667,2.6667,4452,0
CREX.US,5,20250731,165000,2.7281,2.7281,2.7281,2.7281,100,0
CREX.US,5,20250731,172000,2.6924,2.6924,2.62,2.6824,1806,0
CREX.US,5,20250731,172500,2.6824,2.6824,2.665,2.67,2565,0
CREX.US,5,20250731,173000,2.6326,2.6326,2.6326,2.6326,6000,0
CREX.US,5,20250731,173500,2.6318,2.6318,2.6318,2.6318,1128,0
CREX.US,5,20250731,174500,2.6944,2.6944,2.6944,2.6944,200,0
CREX.US,5,20250731,181000,2.64,2.64,2.64,2.64,300,0
CREX.US,5,20250731,183500,2.64,2.64,2.63,2.63,2008,0
CREX.US,5,20250731,190000,2.6944,2.6944,2.6944,2.6944,101,0
CREX.US,5,20250731,195500,2.655,2.6551,2.655,2.6551,569,0
CREX.US,5,20250731,200500,2.65,2.6551,2.65,2.6551,1877,0
CREX.US,5,20250731,201000,2.63,2.63,2.63,2.63,500,0
CREX.US,5,20250731,201500,2.61,2.61,2.61,2.61,100,0
CREX.US,5,20250731,202000,2.61,2.6715,2.61,2.6715,474,0
CREX.US,5,20250731,202500,2.68,2.6851,2.68,2.6851,285,0
CREX.US,5,20250731,203000,2.6652,2.6652,2.6652,2.6652,1000,0
CREX.US,5,20250731,204500,2.6976,2.6976,2.6976,2.6976,300,0
CREX.US,5,20250731,210500,2.67,2.6701,2.67,2.6701,600,0
CREX.US,5,20250731,212500,2.71,2.71,2.71,2.71,100,0
CREX.US,5,20250731,214500,2.66,2.69,2.66,2.69,932,0
CREX.US,5,20250731,215500,2.72,2.72,2.72,2.72,509,0
CREX.US,5,20250801,153000,2.62,2.62,2.62,2.62,3700,0
CREX.US,5,20250801,154000,2.61,2.6358,2.61,2.6358,311,0
CREX.US,5,20250801,154500,2.59,2.59,2.59,2.59,4500,0
CREX.US,5,20250801,155500,2.61,2.61,2.595,2.595,3177,0
CREX.US,5,20250801,162000,2.626,2.6376,2.626,2.6376,948,0
CREX.US,5,20250801,163500,2.6231,2.6358,2.6231,2.6358,579,0
CREX.US,5,20250801,165000,2.67,2.67,2.67,2.67,100,0
CREX.US,5,20250801,170500,2.6105,2.6105,2.6105,2.6105,2500,0
CREX.US,5,20250801,172500,2.6101,2.6101,2.61,2.61,1600,0
CREX.US,5,20250801,173000,2.6066,2.6066,2.6066,2.6066,1000,0
CREX.US,5,20250801,180000,2.6186,2.6186,2.6186,2.6186,378,0
CREX.US,5,20250801,181000,2.63,2.63,2.61,2.61,900,0
CREX.US,5,20250801,184000,2.6,2.6,2.6,2.6,100,0
CREX.US,5,20250801,193500,2.62,2.62,2.62,2.62,160,0
CREX.US,5,20250801,201500,2.6192,2.6192,2.6192,2.6192,150,0
CREX.US,5,20250801,204000,2.6352,2.6352,2.6352,2.6352,189,0
CREX.US,5,20250801,210000,2.6208,2.6208,2.61,2.61,500,0
CREX.US,5,20250801,211500,2.6,2.6,2.6,2.6,207,0
CREX.US,5,20250801,212000,2.6,2.6,2.6,2.6,800,0
CREX.US,5,20250801,213000,2.59,2.59,2.59,2.59,100,0
CREX.US,5,20250801,214000,2.59,2.59,2.59,2.59,256,0
CREX.US,5,20250801,215000,2.6228,2.6228,2.59,2.6092,600,0
CREX.US,5,20250801,215500,2.6,2.6,2.6,2.6,137,0
CREX.US,5,20250804,153000,2.57,2.57,2.56,2.56,2467,0
CREX.US,5,20250804,153500,2.55,2.576,2.55,2.576,2128,0
CREX.US,5,20250804,154000,2.55,2.575,2.55,2.575,250,0
CREX.US,5,20250804,154500,2.5685,2.5685,2.5685,2.5685,229,0
CREX.US,5,20250804,155000,2.55,2.55,2.55,2.55,100,0
CREX.US,5,20250804,160000,2.54,2.5649,2.515,2.55,10066,0
CREX.US,5,20250804,161500,2.531,2.55,2.53,2.53,1371,0
CREX.US,5,20250804,163000,2.544,2.5599,2.544,2.5599,240,0
CREX.US,5,20250804,163500,2.5561,2.57,2.5561,2.57,1429,0
CREX.US,5,20250804,164000,2.59,2.59,2.59,2.59,100,0
CREX.US,5,20250804,165000,2.5962,2.5962,2.5962,2.5962,100,0
CREX.US,5,20250804,170000,2.5405,2.5405,2.5405,2.5405,3514,0
CREX.US,5,20250804,170500,2.56,2.56,2.56,2.56,100,0
CREX.US,5,20250804,171500,2.56,2.56,2.56,2.56,100,0
CREX.US,5,20250804,172000,2.55,2.55,2.55,2.55,100,0
CREX.US,5,20250804,174000,2.57,2.57,2.57,2.57,1000,0
CREX.US,5,20250804,175000,2.57,2.57,2.57,2.57,330,0
CREX.US,5,20250804,181000,2.55,2.55,2.55,2.55,100,0
CREX.US,5,20250804,182500,2.55,2.55,2.55,2.55,100,0
CREX.US,5,20250804,183000,2.54,2.54,2.54,2.54,200,0
CREX.US,5,20250804,183500,2.5588,2.5588,2.5588,2.5588,3404,0
CREX.US,5,20250804,185000,2.54,2.54,2.54,2.54,200,0
CREX.US,5,20250804,185500,2.5301,2.5301,2.5301,2.5301,400,0
CREX.US,5,20250804,190000,2.5301,2.6,2.5301,2.5408,2908,0
CREX.US,5,20250804,191000,2.5917,2.5917,2.55,2.55,1550,0
CREX.US,5,20250804,193500,2.55,2.55,2.55,2.55,100,0
CREX.US,5,20250804,194000,2.575,2.575,2.575,2.575,392,0
CREX.US,5,20250804,200500,2.5948,2.5948,2.5948,2.5948,127,0
CREX.US,5,20250804,201000,2.57,2.57,2.57,2.57,100,0
CREX.US,5,20250804,202500,2.5948,2.5948,2.5601,2.5601,300,0
CREX.US,5,20250804,203000,2.58,2.66,2.561,2.655,4938,0
CREX.US,5,20250804,204500,2.6107,2.645,2.6107,2.6107,1100,0
CREX.US,5,20250804,205000,2.62,2.62,2.62,2.62,100,0
CREX.US,5,20250804,211000,2.63,2.63,2.62,2.62,500,0
CREX.US,5,20250804,211500,2.63,2.63,2.62,2.63,576,0
CREX.US,5,20250804,212000,2.63,2.63,2.63,2.63,100,0
CREX.US,5,20250804,212500,2.6,2.61,2.6,2.61,400,0
CREX.US,5,20250804,213000,2.6,2.6,2.6,2.6,1001,0
CREX.US,5,20250804,213500,2.6,2.61,2.6,2.6,3048,0
CREX.US,5,20250804,214000,2.6,2.61,2.6,2.6,753,0
CREX.US,5,20250804,214500,2.61,2.61,2.6,2.6,1410,0
CREX.US,5,20250804,215000,2.6,2.6,2.6,2.6,1139,0
CREX.US,5,20250804,215500,2.6,2.64,2.6,2.64,5649,0
CREX.US,5,20250805,153000,2.64,2.64,2.64,2.64,151,0
CREX.US,5,20250805,154000,2.6315,2.6315,2.6315,2.6315,2777,0
CREX.US,5,20250805,154500,2.61,2.61,2.61,2.61,200,0
CREX.US,5,20250805,155500,2.5994,2.5994,2.5994,2.5994,2777,0
CREX.US,5,20250805,160000,2.6,2.6,2.6,2.6,143,0
CREX.US,5,20250805,160500,2.6126,2.6126,2.6126,2.6126,189,0
CREX.US,5,20250805,161000,2.6149,2.6149,2.6149,2.6149,189,0
CREX.US,5,20250805,161500,2.6,2.6169,2.6,2.6169,793,0
CREX.US,5,20250805,162000,2.6,2.6,2.6,2.6,300,0
CREX.US,5,20250805,164000,2.62,2.62,2.62,2.62,823,0
CREX.US,5,20250805,170000,2.6368,2.6368,2.61,2.61,357,0
CREX.US,5,20250805,173000,2.61,2.61,2.61,2.61,100,0
CREX.US,5,20250805,173500,2.625,2.625,2.625,2.625,500,0
CREX.US,5,20250805,174000,2.630873,2.630873,2.630873,2.630873,260,0
CREX.US,5,20250805,175500,2.62,2.62,2.62,2.62,8000,0
CREX.US,5,20250805,181000,2.6201,2.6201,2.6201,2.6201,8600,0
CREX.US,5,20250805,184000,2.621,2.621,2.621,2.621,172,0
CREX.US,5,20250805,185500,2.63,2.63,2.63,2.63,100,0
CREX.US,5,20250805,190000,2.62,2.62,2.58,2.58,1727,0
CREX.US,5,20250805,191000,2.5826,2.5826,2.5826,2.5826,100,0
CREX.US,5,20250805,194000,2.6,2.6,2.6,2.6,1135,0
CREX.US,5,20250805,194500,2.6,2.6,2.6,2.6,325,0
CREX.US,5,20250805,200000,2.61,2.61,2.61,2.61,100,0
CREX.US,5,20250805,201000,2.64,2.64,2.64,2.64,1983,0
CREX.US,5,20250805,201500,2.625,2.625,2.625,2.625,100,0
CREX.US,5,20250805,203000,2.63,2.63,2.63,2.63,100,0
CREX.US,5,20250805,204500,2.64,2.64,2.64,2.64,389,0
CREX.US,5,20250805,205000,2.64,2.6406,2.64,2.6406,600,0
CREX.US,5,20250805,205500,2.6311,2.64,2.6,2.6,6124,0
