<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRVO.US,5,20250728,153000,12.04,12.04,11.03,11.4475,367278,0
CRVO.US,5,20250728,153500,11.425,11.97,11.25,11.8499,214353,0
CRVO.US,5,20250728,154000,11.836,11.8881,11.25,11.8881,129733,0
CRVO.US,5,20250728,154500,11.88,13.13,11.7,12.47,599709,0
CRVO.US,5,20250728,155000,12.6165,12.6977,11.5525,12.16,293023,0
CRVO.US,5,20250728,155500,12.1699,12.17,11.3,11.73,154282,0
CRVO.US,5,20250728,160000,11.65,11.8,11.31,11.725,98857,0
CRVO.US,5,20250728,160500,11.664,11.9399,11.6042,11.6742,68134,0
CRVO.US,5,20250728,161000,11.725,12.1699,11.44,11.63,60298,0
CRVO.US,5,20250728,161500,11.68,11.73,10.35,10.71,289861,0
CRVO.US,5,20250728,162000,10.62,10.79,10.42,10.5506,102927,0
CRVO.US,5,20250728,162500,10.545,10.6662,10.17,10.48,93619,0
CRVO.US,5,20250728,163000,10.46,10.48,10.01,10.2165,76806,0
CRVO.US,5,20250728,163500,10.26,10.45,10.03,10.4363,61203,0
CRVO.US,5,20250728,164000,10.33,10.45,10.2,10.265,39717,0
CRVO.US,5,20250728,164500,10.3,10.3,9.59,10,146406,0
CRVO.US,5,20250728,165000,10,10.13,9.68,9.715,74966,0
CRVO.US,5,20250728,165500,9.745,9.92,9.6,9.89,54450,0
CRVO.US,5,20250728,170000,9.8555,10.06,9.82,10.0544,44864,0
CRVO.US,5,20250728,170500,10.01,10.0999,9.85,10.08,59631,0
CRVO.US,5,20250728,171000,9.96,10.09,9.85,9.94,23494,0
CRVO.US,5,20250728,171500,9.88,10.3,9.85,9.97,75026,0
CRVO.US,5,20250728,172000,9.9648,10,9.31,9.5,96856,0
CRVO.US,5,20250728,172500,9.46,9.74,9.46,9.7,27171,0
CRVO.US,5,20250728,173000,9.7,10.08,9.7,9.83,42778,0
CRVO.US,5,20250728,173500,9.76,9.8004,9.62,9.665,43338,0
CRVO.US,5,20250728,174000,9.7876,9.7876,9.43,9.44,44226,0
CRVO.US,5,20250728,174500,9.45,9.5255,9.21,9.32,33544,0
CRVO.US,5,20250728,175000,9.28,9.65,9.2596,9.52,54013,0
CRVO.US,5,20250728,175500,9.535,9.55,9.4501,9.4501,10475,0
CRVO.US,5,20250728,180000,9.475,9.59,9.39,9.46,20126,0
CRVO.US,5,20250728,180500,9.4593,9.4999,9.35,9.3662,13139,0
CRVO.US,5,20250728,181000,9.36,9.3966,9.3,9.3462,14142,0
CRVO.US,5,20250728,181500,9.3,9.79,9.3,9.36,27817,0
CRVO.US,5,20250728,182000,9.3996,9.4548,9.13,9.1968,47137,0
CRVO.US,5,20250728,182500,9.24,9.31,9.12,9.25,22271,0
CRVO.US,5,20250728,183000,9.26,9.31,9.1816,9.23,12336,0
CRVO.US,5,20250728,183500,9.18,9.59,9.17,9.52,43506,0
CRVO.US,5,20250728,184000,9.535,9.715,9.535,9.5671,23004,0
CRVO.US,5,20250728,184500,9.6266,9.79,9.62,9.7253,23582,0
CRVO.US,5,20250728,185000,9.701,9.9,9.701,9.7699,39479,0
CRVO.US,5,20250728,185500,9.71,9.9,9.55,9.57,35130,0
CRVO.US,5,20250728,190000,9.61,9.6915,9.57,9.6212,16566,0
CRVO.US,5,20250728,190500,9.64,9.69,9.59,9.69,4350,0
CRVO.US,5,20250728,191000,9.6491,9.6665,9.59,9.6103,11460,0
CRVO.US,5,20250728,191500,9.64,9.86,9.6,9.6,17730,0
CRVO.US,5,20250728,192000,9.59,9.78,9.59,9.65,3369,0
CRVO.US,5,20250728,192500,9.73,9.83,9.67,9.705,9353,0
CRVO.US,5,20250728,193000,9.705,9.74,9.65,9.66,9516,0
CRVO.US,5,20250728,193500,9.67,9.83,9.62,9.7777,4682,0
CRVO.US,5,20250728,194000,9.7811,9.8265,9.65,9.65,5734,0
CRVO.US,5,20250728,194500,9.7,9.73,9.62,9.62,15910,0
CRVO.US,5,20250728,195000,9.62,9.75,9.54,9.75,8224,0
CRVO.US,5,20250728,195500,9.7,9.75,9.66,9.75,6303,0
CRVO.US,5,20250728,200000,9.7,9.7965,9.68,9.76,4114,0
CRVO.US,5,20250728,200500,9.76,9.76,9.648,9.65,8457,0
CRVO.US,5,20250728,201000,9.6101,9.7,9.55,9.56,10492,0
CRVO.US,5,20250728,201500,9.53,9.53,9.11,9.13,83792,0
CRVO.US,5,20250728,202000,9.11,9.1814,9.01,9.11,20531,0
CRVO.US,5,20250728,202500,9.1368,9.29,9.13,9.25,9604,0
CRVO.US,5,20250728,203000,9.25,9.37,9.22,9.2201,6387,0
CRVO.US,5,20250728,203500,9.3,9.315,9.22,9.245,4445,0
CRVO.US,5,20250728,204000,9.29,9.29,9.21,9.22,5427,0
CRVO.US,5,20250728,204500,9.21,9.215,9.02,9.0733,17596,0
CRVO.US,5,20250728,205000,9.11,9.1374,8.9245,9.1,26970,0
CRVO.US,5,20250728,205500,9.1,9.22,8.9833,9.0915,22879,0
CRVO.US,5,20250728,210000,9.25,9.2688,9.12,9.205,18985,0
CRVO.US,5,20250728,210500,9.21,9.2394,9.1041,9.1041,4770,0
CRVO.US,5,20250728,211000,9.0929,9.0929,8.9205,8.95,7958,0
CRVO.US,5,20250728,211500,8.94,9.08,8.88,8.99,12096,0
CRVO.US,5,20250728,212000,8.97,9.0589,8.94,9.0432,4309,0
CRVO.US,5,20250728,212500,8.9806,9.01,8.91,8.91,15954,0
CRVO.US,5,20250728,213000,8.955,8.9999,8.62,8.68,51535,0
CRVO.US,5,20250728,213500,8.65,8.89,8.65,8.74,9851,0
CRVO.US,5,20250728,214000,8.7101,8.85,8.6908,8.73,17000,0
CRVO.US,5,20250728,214500,8.73,8.8,8.62,8.665,17318,0
CRVO.US,5,20250728,215000,8.66,8.79,8.64,8.7,16020,0
CRVO.US,5,20250728,215500,8.7,9.13,8.59,8.67,79622,0
CRVO.US,5,20250729,153000,8.95,8.9799,8.64,8.7451,32540,0
CRVO.US,5,20250729,153500,8.74,9.4199,8.6535,9.1,15395,0
CRVO.US,5,20250729,154000,9.1,9.41,8.88,9.0979,23623,0
CRVO.US,5,20250729,154500,9.045,9.11,8.9,9,6606,0
CRVO.US,5,20250729,155000,9.09,9.1,8.9,8.9,16521,0
CRVO.US,5,20250729,155500,8.8501,8.9294,8.8,8.88,6326,0
CRVO.US,5,20250729,160000,8.85,8.93,8.73,8.7308,13773,0
CRVO.US,5,20250729,160500,8.73,8.91,8.73,8.91,9534,0
CRVO.US,5,20250729,161000,8.91,9.155,8.9,9.155,7284,0
CRVO.US,5,20250729,161500,9.1482,9.1482,8.83,8.83,6592,0
CRVO.US,5,20250729,162000,8.83,8.83,8.55,8.5719,13566,0
CRVO.US,5,20250729,162500,8.72,8.78,8.67,8.7265,8728,0
CRVO.US,5,20250729,163000,8.69,8.84,8.69,8.84,7057,0
CRVO.US,5,20250729,163500,8.84,8.84,8.7,8.78,2344,0
CRVO.US,5,20250729,164000,8.79,8.79,8.6728,8.78,11959,0
CRVO.US,5,20250729,164500,8.67,8.74,8.51,8.555,4557,0
CRVO.US,5,20250729,165000,8.555,8.5999,8.485,8.485,2473,0
CRVO.US,5,20250729,165500,8.48,8.6,8.4697,8.4697,6356,0
CRVO.US,5,20250729,170000,8.47,8.5873,8.47,8.5873,2119,0
CRVO.US,5,20250729,170500,8.47,8.5,8.42,8.42,2703,0
CRVO.US,5,20250729,171000,8.475,8.475,8.3316,8.47,8002,0
CRVO.US,5,20250729,171500,8.47,8.47,8.27,8.3638,19796,0
CRVO.US,5,20250729,172000,8.27,8.88,8.27,8.88,21827,0
CRVO.US,5,20250729,172500,8.77,8.83,8.7,8.7,8148,0
CRVO.US,5,20250729,173000,8.745,8.745,8.585,8.61,28750,0
CRVO.US,5,20250729,173500,8.6885,8.6885,8.41,8.565,2000,0
CRVO.US,5,20250729,174000,8.43,8.73,8.43,8.72,11458,0
CRVO.US,5,20250729,174500,8.71,8.72,8.64,8.65,2100,0
CRVO.US,5,20250729,175000,8.65,8.72,8.65,8.685,9865,0
CRVO.US,5,20250729,175500,8.65,8.83,8.65,8.7501,11136,0
CRVO.US,5,20250729,180000,8.8589,8.8589,8.82,8.82,400,0
CRVO.US,5,20250729,180500,8.86,8.86,8.56,8.56,9336,0
CRVO.US,5,20250729,181000,8.6025,8.66,8.598,8.635,1599,0
CRVO.US,5,20250729,181500,8.625,8.71,8.5,8.71,4599,0
CRVO.US,5,20250729,182000,8.7,8.75,8.62,8.62,3253,0
CRVO.US,5,20250729,182500,8.64,8.698,8.62,8.698,875,0
CRVO.US,5,20250729,183000,8.63,8.8,8.63,8.8,500,0
CRVO.US,5,20250729,183500,8.82,8.82,8.82,8.82,100,0
CRVO.US,5,20250729,184000,8.6925,8.6925,8.6925,8.6925,100,0
CRVO.US,5,20250729,184500,8.778,8.78,8.748,8.78,1200,0
CRVO.US,5,20250729,185000,8.7318,8.82,8.662,8.75,3822,0
CRVO.US,5,20250729,185500,8.82,8.89,8.755,8.88,1100,0
CRVO.US,5,20250729,190000,8.8535,8.9,8.8535,8.9,600,0
CRVO.US,5,20250729,190500,8.845,8.845,8.81,8.81,200,0
CRVO.US,5,20250729,191000,8.84,8.84,8.81,8.81,989,0
CRVO.US,5,20250729,191500,8.85,8.85,8.81,8.81,500,0
CRVO.US,5,20250729,192000,8.8481,8.8481,8.6706,8.75,2508,0
CRVO.US,5,20250729,192500,8.77,8.77,8.66,8.66,811,0
CRVO.US,5,20250729,193500,8.66,8.68,8.66,8.67,600,0
