<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CV.US,5,20250728,153000,4.04,4.3,4.02,4.02,16960,0
CV.US,5,20250728,153500,4.05,4.35,4.0425,4.27,20533,0
CV.US,5,20250728,154000,4.23,4.287,4.191,4.278,8325,0
CV.US,5,20250728,154500,4.19,4.19,4.19,4.19,100,0
CV.US,5,20250728,155000,4.1001,4.1001,4.1001,4.1001,1400,0
CV.US,5,20250728,155500,4.2857,4.2857,4.1,4.1,300,0
CV.US,5,20250728,160000,4.1,4.1,4.1,4.1,216,0
CV.US,5,20250728,160500,4.225,4.225,4.225,4.225,100,0
CV.US,5,20250728,161000,4.225,4.225,4.1,4.1,292,0
CV.US,5,20250728,161500,4.2761,4.2761,4.1,4.1,590,0
CV.US,5,20250728,162000,4.1248,4.15,4.1,4.1,515,0
CV.US,5,20250728,162500,4.15,4.15,4.15,4.15,100,0
CV.US,5,20250728,163000,4.15,4.15,4.15,4.15,100,0
CV.US,5,20250728,163500,4.1,4.15,4.1,4.15,600,0
CV.US,5,20250728,164500,4.15,4.15,4.1,4.1,388,0
CV.US,5,20250728,165000,4.12,4.15,4.12,4.15,306,0
CV.US,5,20250728,165500,4.12,4.12,4.12,4.12,288,0
CV.US,5,20250728,170000,4.16,4.16,4.16,4.16,200,0
CV.US,5,20250728,170500,4.12,4.16,4.12,4.16,500,0
CV.US,5,20250728,171000,4.12,4.16,4.12,4.16,2230,0
CV.US,5,20250728,171500,4.17,4.2,4.17,4.175,400,0
CV.US,5,20250728,172500,4.175,4.175,4.175,4.175,192,0
CV.US,5,20250728,173000,4.175,4.175,4.175,4.175,100,0
CV.US,5,20250728,173500,4.175,4.175,4.175,4.175,100,0
CV.US,5,20250728,174000,4.175,4.175,4.175,4.175,100,0
CV.US,5,20250728,174500,4.12,4.12,4.12,4.12,100,0
CV.US,5,20250728,175000,4.12,4.12,4.12,4.12,288,0
CV.US,5,20250728,175500,4.13,4.13,4.12,4.1201,2164,0
CV.US,5,20250728,180000,4.16,4.16,4.15,4.15,200,0
CV.US,5,20250728,180500,4.1414,4.17,4.1414,4.17,960,0
CV.US,5,20250728,181000,4.24,4.24,4.24,4.24,100,0
CV.US,5,20250728,181500,4.225,4.225,4.225,4.225,100,0
CV.US,5,20250728,182000,4.14,4.14,4.14,4.14,300,0
CV.US,5,20250728,183500,4.19,4.19,4.19,4.19,200,0
CV.US,5,20250728,184500,4.19,4.235,4.19,4.235,488,0
CV.US,5,20250728,185000,4.235,4.235,4.235,4.235,100,0
CV.US,5,20250728,185500,4.19,4.235,4.19,4.235,700,0
CV.US,5,20250728,190000,4.235,4.235,4.235,4.235,100,0
CV.US,5,20250728,191000,4.235,4.235,4.19,4.19,323,0
CV.US,5,20250728,192500,4.24,4.24,4.24,4.24,337,0
CV.US,5,20250728,193500,4.25,4.28,4.221,4.25,3055,0
CV.US,5,20250728,194000,4.28,4.28,4.28,4.28,583,0
CV.US,5,20250728,194500,4.285,4.3192,4.285,4.285,1311,0
CV.US,5,20250728,195000,4.3,4.3,4.3,4.3,1400,0
CV.US,5,20250728,195500,4.285,4.285,4.285,4.285,100,0
CV.US,5,20250728,200500,4.285,4.285,4.285,4.285,100,0
CV.US,5,20250728,201000,4.35,4.35,4.35,4.35,175,0
CV.US,5,20250728,201500,4.315,4.315,4.315,4.315,210,0
CV.US,5,20250728,202000,4.315,4.315,4.315,4.315,100,0
CV.US,5,20250728,203000,4.3,4.315,4.3,4.315,1100,0
CV.US,5,20250728,203500,4.3,4.3,4.3,4.3,300,0
CV.US,5,20250728,204000,4.28,4.28,4.28,4.28,200,0
CV.US,5,20250728,205000,4.315,4.315,4.315,4.315,1000,0
CV.US,5,20250728,205500,4.28,4.28,4.28,4.28,300,0
CV.US,5,20250728,211000,4.28,4.28,4.28,4.28,300,0
CV.US,5,20250728,211500,4.295,4.295,4.295,4.295,108,0
CV.US,5,20250728,212500,4.295,4.295,4.295,4.295,100,0
CV.US,5,20250728,213500,4.3,4.3,4.3,4.3,100,0
CV.US,5,20250728,214000,4.285,4.29,4.285,4.29,500,0
CV.US,5,20250728,214500,4.285,4.285,4.285,4.285,100,0
CV.US,5,20250728,215500,4.285,4.35,4.285,4.35,2397,0
CV.US,5,20250729,153000,4.3,4.4,4.3,4.4,1541,0
CV.US,5,20250729,153500,4.48,4.5499,4.44,4.5,8462,0
CV.US,5,20250729,154000,4.48,4.48,4.42,4.4516,10734,0
