<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DCBO.US,5,20250728,153000,31.46,31.46,31.46,31.46,692,0
DCBO.US,5,20250728,153500,31.22,31.22,31.22,31.22,100,0
DCBO.US,5,20250728,154500,31.19,31.19,31.19,31.19,100,0
DCBO.US,5,20250728,155000,31.0909,31.0909,31.0909,31.0909,100,0
DCBO.US,5,20250728,160000,31.09,31.27,31.09,31.27,566,0
DCBO.US,5,20250728,160500,31.245,31.245,31.245,31.245,100,0
DCBO.US,5,20250728,162000,31.255,31.255,31.255,31.255,100,0
DCBO.US,5,20250728,162500,31.3535,31.3535,31.31,31.31,864,0
DCBO.US,5,20250728,165000,31.47,31.47,31.47,31.47,100,0
DCBO.US,5,20250728,170500,31.375,31.375,31.375,31.375,600,0
DCBO.US,5,20250728,171000,31.38,31.5,31.38,31.5,258,0
DCBO.US,5,20250728,171500,31.43,31.43,31.43,31.43,100,0
DCBO.US,5,20250728,172000,31.35,31.35,31.35,31.35,100,0
DCBO.US,5,20250728,174000,31.45,31.45,31.45,31.45,200,0
DCBO.US,5,20250728,174500,31.4001,31.45,31.4001,31.45,200,0
DCBO.US,5,20250728,182000,31.41,31.41,31.41,31.41,100,0
DCBO.US,5,20250728,183500,31.39,31.39,31.39,31.39,100,0
DCBO.US,5,20250728,184000,31.5,31.51,31.5,31.51,2016,0
DCBO.US,5,20250728,184500,31.57,31.57,31.57,31.57,100,0
DCBO.US,5,20250728,190000,31.57,31.57,31.57,31.57,100,0
DCBO.US,5,20250728,193000,31.5,31.54,31.5,31.54,200,0
DCBO.US,5,20250728,193500,31.41,31.41,31.41,31.41,100,0
DCBO.US,5,20250728,194500,31.4,31.4,31.4,31.4,100,0
DCBO.US,5,20250728,195500,31.44,31.44,31.44,31.44,300,0
DCBO.US,5,20250728,201500,31.445,31.445,31.445,31.445,300,0
DCBO.US,5,20250728,203500,31.428,31.428,31.428,31.428,450,0
DCBO.US,5,20250728,204000,31.4375,31.4375,31.4375,31.4375,100,0
DCBO.US,5,20250728,204500,31.37,31.37,31.27,31.27,500,0
DCBO.US,5,20250728,205500,31.28,31.28,31.25,31.25,300,0
DCBO.US,5,20250728,211500,31.19,31.22,31.19,31.22,509,0
DCBO.US,5,20250728,213000,31.228,31.228,31.18,31.18,397,0
DCBO.US,5,20250728,213500,31.17,31.17,31.16,31.16,200,0
DCBO.US,5,20250728,214500,31.155,31.155,31.155,31.155,100,0
DCBO.US,5,20250728,215000,31.13,31.13,31.04,31.11,469,0
DCBO.US,5,20250728,215500,31.07,31.11,31.06,31.06,4116,0
DCBO.US,5,20250729,153000,31.25,31.25,31.01,31.24,717,0
DCBO.US,5,20250729,154000,31.105,31.15,31.105,31.15,200,0
DCBO.US,5,20250729,155500,31.06,31.07,31.06,31.07,200,0
DCBO.US,5,20250729,160000,30.96,30.96,30.96,30.96,100,0
DCBO.US,5,20250729,161500,30.88,30.88,30.88,30.88,100,0
DCBO.US,5,20250729,162000,30.915,30.915,30.915,30.915,131,0
DCBO.US,5,20250729,163000,30.925,30.925,30.89,30.89,200,0
DCBO.US,5,20250729,164000,30.89,30.89,30.81,30.81,1096,0
DCBO.US,5,20250729,164500,30.7,30.7,30.7,30.7,100,0
DCBO.US,5,20250729,165000,30.68,30.68,30.64,30.64,700,0
DCBO.US,5,20250729,165500,30.65,30.65,30.65,30.65,1300,0
DCBO.US,5,20250729,170000,30.67,30.67,30.62,30.62,322,0
DCBO.US,5,20250729,170500,30.6,30.6,30.54,30.54,600,0
DCBO.US,5,20250729,172000,30.47,30.4783,30.435,30.4783,350,0
DCBO.US,5,20250729,172500,30.36,30.36,30.36,30.36,200,0
DCBO.US,5,20250729,173000,30.375,30.375,30.375,30.375,100,0
DCBO.US,5,20250729,174000,30.34,30.34,30.2372,30.2372,335,0
DCBO.US,5,20250729,175000,30.37,30.37,30.37,30.37,100,0
DCBO.US,5,20250729,180000,30.31,30.31,30.31,30.31,100,0
DCBO.US,5,20250729,180500,30.37,30.37,30.29,30.29,200,0
DCBO.US,5,20250729,181000,30.255,30.255,30.255,30.255,100,0
DCBO.US,5,20250729,182000,30.215,30.215,30.19,30.215,300,0
DCBO.US,5,20250729,182500,30.17,30.17,30.17,30.17,100,0
DCBO.US,5,20250729,183000,30.175,30.1828,30.175,30.1828,350,0
DCBO.US,5,20250729,184500,30.26,30.26,30.26,30.26,133,0
DCBO.US,5,20250729,185000,30.32,30.32,30.32,30.32,100,0
DCBO.US,5,20250729,191500,30.37,30.37,30.37,30.37,100,0
DCBO.US,5,20250729,192000,30.4,30.4,30.34,30.34,418,0
DCBO.US,5,20250729,193500,30.41,30.41,30.34,30.34,200,0
DCBO.US,5,20250729,194500,30.31,30.32,30.31,30.32,400,0
DCBO.US,5,20250729,200000,30.3499,30.3499,30.32,30.32,200,0
