<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGICB.US,5,20250728,201000,15.24,15.24,15.24,15.24,936,0
DGICB.US,5,20250728,204500,15.17,15.24,15.17,15.24,1244,0
DGICB.US,5,20250729,203000,14.57,14.57,14.57,14.57,517,0
DGICB.US,5,20250731,153000,15.57,15.57,15.57,15.57,109,0
DGICB.US,5,20250801,160000,14.9646,14.9646,14.9646,14.9646,244,0
DGICB.US,5,20250801,162000,14.0156,14.0156,14.0156,14.0156,244,0
DGICB.US,5,20250801,164500,13.8416,13.8416,13.8416,13.8416,826,0
DGICB.US,5,20250801,173500,14.1,14.1,14.1,14.1,100,0
DGICB.US,5,20250805,161000,14.22,14.22,14.22,14.22,100,0
DGICB.US,5,20250806,215500,14.17,14.17,14.17,14.17,100,0
DGICB.US,5,20250807,161500,14.25,14.25,14.25,14.25,100,0
DGICB.US,5,20250807,204500,15.11,15.11,15.11,15.11,200,0
DGICB.US,5,20250808,161500,14.24,14.24,14.24,14.24,100,0
DGICB.US,5,20250811,153500,14,14,14,14,330,0
DGICB.US,5,20250811,155500,14,14,14,14,108,0
DGICB.US,5,20250811,160000,13.9,13.9,13.88,13.88,700,0
DGICB.US,5,20250811,180500,15.16,15.19,15.16,15.1899,400,0
DGICB.US,5,20250812,192000,14.26,14.26,14.26,14.26,100,0
DGICB.US,5,20250813,212500,14.5,14.5,14.5,14.5,200,0
DGICB.US,5,20250813,215500,14.4,14.4,14.4,14.4,200,0
DGICB.US,5,20250814,211000,14.925,14.925,14.32,14.4,734,0
DGICB.US,5,20250815,182500,15.475,15.475,15.45,15.45,200,0
DGICB.US,5,20250818,170000,15.1267,15.1267,15.1267,15.1267,300,0
DGICB.US,5,20250818,195000,14.8,14.8,14.8,14.8,168,0
DGICB.US,5,20250819,204500,14.98,14.98,14.5,14.5,882,0
DGICB.US,5,20250819,205000,14.9799,14.9799,14.9799,14.9799,100,0
DGICB.US,5,20250820,170500,14.4927,14.4927,14.4927,14.4927,407,0
DGICB.US,5,20250820,214000,14.99,14.99,14.99,14.99,100,0
DGICB.US,5,20250820,214500,14.99,14.99,14.99,14.99,100,0
DGICB.US,5,20250821,203000,14.42,14.42,14.37,14.37,500,0
DGICB.US,5,20250821,203500,14.02,14.02,14.02,14.02,229,0
DGICB.US,5,20250822,160000,14.88,14.88,14.88,14.88,200,0
DGICB.US,5,20250822,190000,14.1,14.1,14.1,14.1,100,0
DGICB.US,5,20250822,193500,14.45,14.85,14.45,14.85,546,0
DGICB.US,5,20250826,213000,14.89,14.89,14.89,14.89,100,0
DGICB.US,5,20250827,215500,14.3,14.3,14.3,14.3,135,0
DGICB.US,5,20250829,153000,14.27,14.27,14.2508,14.2508,426,0
DGICB.US,5,20250902,161000,14.88,14.88,14.88,14.88,104,0
DGICB.US,5,20250908,192000,16.74,16.74,16.74,16.74,100,0
DGICB.US,5,20250908,205000,16.74,16.74,16.74,16.74,100,0
DGICB.US,5,20250908,215000,16.72,16.72,16.72,16.72,100,0
DGICB.US,5,20250909,161000,16.95,16.95,16.91,16.91,350,0
DGICB.US,5,20250912,153000,15.1,16.6,15.1,16.6,416,0
DGICB.US,5,20250919,215000,16.83,17.05,16.83,17.05,207,0
DGICB.US,5,20250919,215500,17.3,17.9,17.3,17.9,5336,0
DGICB.US,5,20250922,215500,16.52,16.52,16.52,16.52,150,0
DGICB.US,5,20250929,170500,16.01,16.01,16.01,16.01,101,0
