<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DTCK.US,5,20250728,153000,0.7779,0.805,0.7521,0.7531,10526,0
DTCK.US,5,20250728,153500,0.765451,0.765451,0.765451,0.765451,1000,0
DTCK.US,5,20250728,154000,0.765,0.765,0.7535,0.7535,700,0
DTCK.US,5,20250728,154500,0.7536,0.7657,0.7536,0.7657,8345,0
DTCK.US,5,20250728,155000,0.76575,0.7711,0.7536,0.7711,1932,0
DTCK.US,5,20250728,155500,0.7536,0.77845,0.7536,0.77845,3300,0
DTCK.US,5,20250728,160000,0.7536,0.8033,0.7536,0.7546,910,0
DTCK.US,5,20250728,161000,0.778449,0.778449,0.778449,0.778449,150,0
DTCK.US,5,20250728,161500,0.7784,0.805,0.7676,0.8044,28892,0
DTCK.US,5,20250728,162000,0.8,0.85,0.8,0.85,30365,0
DTCK.US,5,20250728,162500,0.85,0.87,0.83,0.87,24576,0
DTCK.US,5,20250728,163000,0.850001,0.87,0.8485,0.87,2515,0
DTCK.US,5,20250728,163500,0.869,0.9,0.869,0.8747,7494,0
DTCK.US,5,20250728,164000,0.8921,0.897699,0.8859,0.8859,3134,0
DTCK.US,5,20250728,164500,0.8859,0.966,0.85,0.8839,28828,0
DTCK.US,5,20250728,165000,0.9199,0.92,0.8804,0.9152,17197,0
DTCK.US,5,20250728,165500,0.9152,0.9499,0.8892,0.8892,16048,0
DTCK.US,5,20250728,170000,0.905,0.9659,0.892,0.9206,23036,0
DTCK.US,5,20250728,170500,0.95,0.96,0.9012,0.96,6554,0
DTCK.US,5,20250728,171000,0.92575,0.96,0.91,0.92,20946,0
DTCK.US,5,20250728,171500,0.95,0.955,0.91,0.949,13135,0
DTCK.US,5,20250728,172000,0.94,0.94,0.9103,0.9134,5239,0
DTCK.US,5,20250728,172500,0.93,0.94,0.91,0.91,4395,0
DTCK.US,5,20250728,173000,0.9101,0.93,0.9101,0.9101,803,0
DTCK.US,5,20250728,173500,0.9101,0.914181,0.9101,0.9101,1500,0
DTCK.US,5,20250728,174000,0.9101,0.92,0.9051,0.9051,3682,0
DTCK.US,5,20250728,174500,0.9172,0.9172,0.9051,0.9099,10464,0
DTCK.US,5,20250728,175500,0.9053,0.9053,0.9051,0.9051,1700,0
DTCK.US,5,20250728,180000,0.9051,0.9175,0.9051,0.9101,2500,0
DTCK.US,5,20250728,180500,0.9101,0.9101,0.905,0.9099,2198,0
DTCK.US,5,20250728,181000,0.9055,0.9073,0.9055,0.90725,3100,0
DTCK.US,5,20250728,181500,0.9071,0.9071,0.90505,0.90505,1827,0
DTCK.US,5,20250728,182000,0.90505,0.9051,0.90505,0.9051,350,0
DTCK.US,5,20250728,182500,0.90505,0.9051,0.905,0.9051,1585,0
DTCK.US,5,20250728,183000,0.9075,0.9099,0.905,0.905,9177,0
DTCK.US,5,20250728,183500,0.9051,0.9051,0.90505,0.90505,5300,0
DTCK.US,5,20250728,184000,0.905,0.91,0.905,0.905,4152,0
DTCK.US,5,20250728,184500,0.905,0.9075,0.905,0.9075,1346,0
DTCK.US,5,20250728,190000,0.90505,0.90505,0.90505,0.90505,107,0
DTCK.US,5,20250728,191500,0.9051,0.91,0.905,0.90745,9143,0
DTCK.US,5,20250728,192000,0.905,0.905,0.905,0.905,100,0
DTCK.US,5,20250728,192500,0.90505,0.90505,0.90505,0.90505,100,0
DTCK.US,5,20250728,193000,0.9051,0.9051,0.9051,0.9051,100,0
DTCK.US,5,20250728,193500,0.9051,0.9051,0.90505,0.90505,1500,0
DTCK.US,5,20250728,194000,0.9051,0.9051,0.9015,0.9015,3011,0
DTCK.US,5,20250728,195000,0.9016,0.905,0.9,0.905,29861,0
DTCK.US,5,20250728,195500,0.9025,0.9049,0.9001,0.90245,3200,0
DTCK.US,5,20250728,200000,0.9037,0.904,0.9012,0.904,3700,0
DTCK.US,5,20250728,200500,0.90175,0.90175,0.90175,0.90175,100,0
DTCK.US,5,20250728,201000,0.902,0.90245,0.902,0.90245,807,0
DTCK.US,5,20250728,202000,0.9021,0.9021,0.902,0.90205,1017,0
DTCK.US,5,20250728,202500,0.9021,0.9021,0.9001,0.9001,7800,0
DTCK.US,5,20250728,203000,0.9,0.902,0.8913,0.8913,40566,0
DTCK.US,5,20250728,203500,0.8912,0.8912,0.89,0.89,6300,0
DTCK.US,5,20250728,204500,0.89,0.89,0.89,0.89,2782,0
DTCK.US,5,20250728,205000,0.89,0.89,0.89,0.89,5893,0
DTCK.US,5,20250728,205500,0.89,0.8901,0.89,0.89,1800,0
DTCK.US,5,20250728,210000,0.8901,0.8901,0.89,0.89,1600,0
DTCK.US,5,20250728,210500,0.8901,0.89495,0.89,0.89025,8404,0
DTCK.US,5,20250728,211000,0.8901,0.8905,0.8901,0.8904,3542,0
DTCK.US,5,20250728,211500,0.8999,0.9,0.8924,0.9,4950,0
DTCK.US,5,20250728,212000,0.89,0.89245,0.89,0.89245,2444,0
DTCK.US,5,20250728,212500,0.89005,0.89005,0.89005,0.89005,100,0
DTCK.US,5,20250728,213000,0.8901,0.8901,0.89005,0.89005,5013,0
DTCK.US,5,20250728,213500,0.89,0.8901,0.8883,0.8883,8905,0
DTCK.US,5,20250728,214000,0.8851,0.8851,0.86,0.8622,5900,0
DTCK.US,5,20250728,214500,0.8633,0.87,0.8633,0.87,2225,0
DTCK.US,5,20250728,215000,0.87,0.903,0.8699,0.9,5997,0
DTCK.US,5,20250728,215500,0.88525,0.904,0.8801,0.8941,4164,0
DTCK.US,5,20250729,153000,0.8415,0.8415,0.8415,0.8415,1369,0
DTCK.US,5,20250729,153500,0.821928,0.821928,0.821928,0.821928,500,0
DTCK.US,5,20250729,154000,0.84,0.84,0.84,0.84,100,0
DTCK.US,5,20250729,155000,0.84,0.84,0.84,0.84,1900,0
DTCK.US,5,20250729,155500,0.855,0.8599,0.83,0.8598,10378,0
DTCK.US,5,20250729,160000,0.86,0.91,0.86,0.88,2565,0
DTCK.US,5,20250729,160500,0.9,0.9,0.9,0.9,3000,0
DTCK.US,5,20250729,161000,0.88,0.88,0.88,0.88,238,0
DTCK.US,5,20250729,162000,0.8996,0.8996,0.88,0.88,6055,0
DTCK.US,5,20250729,162500,0.8624,0.8624,0.8624,0.8624,190,0
DTCK.US,5,20250729,163000,0.8808,0.8808,0.8808,0.8808,100,0
DTCK.US,5,20250729,163500,0.86775,0.875,0.86,0.8749,5145,0
DTCK.US,5,20250729,164000,0.875,0.883,0.8601,0.8828,15235,0
DTCK.US,5,20250729,165000,0.87,0.87,0.8699,0.8699,4200,0
DTCK.US,5,20250729,165500,0.8718,0.88,0.8718,0.88,2576,0
DTCK.US,5,20250729,171000,0.87,0.87,0.87,0.87,2442,0
DTCK.US,5,20250729,171500,0.8699,0.884,0.8699,0.884,2372,0
DTCK.US,5,20250729,172000,0.885001,0.892501,0.885,0.892501,1025,0
DTCK.US,5,20250729,173000,0.885001,0.885001,0.885001,0.885001,1000,0
DTCK.US,5,20250729,173500,0.8931,0.8931,0.8931,0.8931,200,0
DTCK.US,5,20250729,174500,0.87,0.87,0.87,0.87,100,0
