<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DWTX.US,5,20250728,153000,4.9,4.9,4.9,4.9,154,0
DWTX.US,5,20250728,154500,4.8,4.8,4.8,4.8,327,0
DWTX.US,5,20250728,161000,4.8,4.8,4.78,4.78,200,0
DWTX.US,5,20250728,161500,4.7991,4.7991,4.7991,4.7991,674,0
DWTX.US,5,20250728,162000,4.755,4.8,4.755,4.8,469,0
DWTX.US,5,20250728,163000,4.8,4.8,4.79,4.8,1007,0
DWTX.US,5,20250728,163500,4.745,4.745,4.745,4.745,100,0
DWTX.US,5,20250728,164000,4.75,4.7502,4.75,4.7502,254,0
DWTX.US,5,20250728,170500,4.745,4.79,4.745,4.79,1124,0
DWTX.US,5,20250728,200000,4.76,4.76,4.76,4.76,367,0
DWTX.US,5,20250728,201500,4.76,4.8199,4.76,4.8199,980,0
DWTX.US,5,20250728,202000,4.7675,4.7675,4.7675,4.7675,400,0
DWTX.US,5,20250728,210500,4.77,4.77,4.77,4.77,100,0
DWTX.US,5,20250728,212500,4.82,4.82,4.82,4.82,125,0
DWTX.US,5,20250729,154000,4.7391,4.7391,4.7391,4.7391,1000,0
DWTX.US,5,20250729,154500,4.6517,4.8187,4.6517,4.8187,600,0
DWTX.US,5,20250729,162500,4.7858,4.7858,4.7858,4.7858,300,0
DWTX.US,5,20250729,165500,4.66,4.73,4.65,4.73,1950,0
DWTX.US,5,20250729,172000,4.6819,4.6819,4.6819,4.6819,1056,0
DWTX.US,5,20250729,172500,4.69,4.73,4.69,4.73,7487,0
DWTX.US,5,20250729,173500,4.71,4.71,4.71,4.71,100,0
DWTX.US,5,20250729,174000,4.73,4.73,4.73,4.73,300,0
DWTX.US,5,20250729,181500,4.7814,4.8562,4.7814,4.8201,3006,0
DWTX.US,5,20250729,190000,4.8601,4.88,4.86,4.88,1986,0
DWTX.US,5,20250729,190500,4.86,4.86,4.8301,4.8301,5000,0
DWTX.US,5,20250729,193000,4.8514,4.8514,4.8514,4.8514,1049,0
DWTX.US,5,20250729,195000,4.84,4.84,4.84,4.84,182,0
DWTX.US,5,20250729,201000,4.83,4.83,4.83,4.83,350,0
DWTX.US,5,20250729,210000,4.8096,4.81,4.8096,4.81,200,0
DWTX.US,5,20250729,212000,4.8,4.825,4.8,4.825,3391,0
DWTX.US,5,20250729,215000,4.8001,4.8001,4.8001,4.8001,200,0
DWTX.US,5,20250730,153000,4.72,4.72,4.72,4.72,220,0
DWTX.US,5,20250730,160000,4.76,4.76,4.76,4.76,354,0
DWTX.US,5,20250730,163000,4.76,4.76,4.76,4.76,120,0
DWTX.US,5,20250730,163500,4.8188,4.8188,4.81,4.81,308,0
DWTX.US,5,20250730,171000,4.8363,4.8363,4.8363,4.8363,1000,0
DWTX.US,5,20250730,171500,4.84,4.84,4.84,4.84,600,0
DWTX.US,5,20250730,173500,4.84,4.84,4.84,4.84,2800,0
DWTX.US,5,20250730,174000,4.915,4.98,4.915,4.98,4966,0
DWTX.US,5,20250730,175000,4.97,4.97,4.97,4.97,226,0
DWTX.US,5,20250730,175500,4.97,4.98,4.96,4.98,532,0
