<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESCA.US,5,20250728,153000,12.97,12.97,12.88,12.88,1659,0
ESCA.US,5,20250728,164000,12.755,12.755,12.755,12.755,156,0
ESCA.US,5,20250728,164500,12.675,12.675,12.675,12.675,100,0
ESCA.US,5,20250728,165000,12.62,12.62,12.62,12.62,170,0
ESCA.US,5,20250728,171500,12.7,12.7,12.7,12.7,100,0
ESCA.US,5,20250728,172500,12.67,12.67,12.67,12.67,100,0
ESCA.US,5,20250728,173500,12.6943,12.6943,12.6943,12.6943,196,0
ESCA.US,5,20250728,175000,12.73,12.76,12.73,12.74,510,0
ESCA.US,5,20250728,181500,12.765,12.765,12.765,12.765,100,0
ESCA.US,5,20250728,203500,12.68,12.68,12.68,12.68,1000,0
ESCA.US,5,20250728,204500,12.73,12.73,12.73,12.73,279,0
ESCA.US,5,20250728,210500,12.6669,12.6669,12.6669,12.6669,500,0
ESCA.US,5,20250728,211000,12.69,12.69,12.69,12.69,100,0
ESCA.US,5,20250728,212500,12.698,12.698,12.698,12.698,750,0
ESCA.US,5,20250728,213000,12.7,12.7418,12.7,12.7418,400,0
ESCA.US,5,20250728,214500,12.762,12.762,12.762,12.762,800,0
ESCA.US,5,20250728,215000,12.7656,12.7656,12.7656,12.7656,500,0
ESCA.US,5,20250728,215500,12.78,12.78,12.72,12.72,3599,0
ESCA.US,5,20250729,153000,12.82,12.82,12.82,12.82,208,0
ESCA.US,5,20250729,153500,12.82,12.82,12.82,12.82,199,0
ESCA.US,5,20250729,155000,12.7211,12.7211,12.7211,12.7211,100,0
ESCA.US,5,20250729,173500,12.72,12.72,12.72,12.72,100,0
ESCA.US,5,20250729,174500,12.72,12.72,12.72,12.72,145,0
ESCA.US,5,20250729,182500,12.69,12.69,12.69,12.69,100,0
ESCA.US,5,20250729,194000,12.69,12.69,12.68,12.68,497,0
ESCA.US,5,20250729,204500,12.61,12.62,12.61,12.62,200,0
ESCA.US,5,20250729,205000,12.58,12.58,12.58,12.58,369,0
ESCA.US,5,20250729,205500,12.65,12.65,12.645,12.645,200,0
ESCA.US,5,20250729,210500,12.71,12.73,12.71,12.73,200,0
ESCA.US,5,20250729,211500,12.715,12.715,12.715,12.715,100,0
ESCA.US,5,20250729,215500,12.72,12.74,12.72,12.74,2560,0
ESCA.US,5,20250730,153000,12.74,12.74,12.74,12.74,231,0
ESCA.US,5,20250730,155000,12.72,12.72,12.72,12.72,300,0
ESCA.US,5,20250730,160000,12.573,12.573,12.573,12.573,103,0
ESCA.US,5,20250730,161000,12.7259,12.7259,12.7259,12.7259,181,0
ESCA.US,5,20250730,161500,12.74,12.76,12.74,12.74,1894,0
ESCA.US,5,20250730,162000,12.74,12.74,12.7014,12.7014,345,0
ESCA.US,5,20250730,162500,12.72,12.74,12.72,12.74,300,0
ESCA.US,5,20250730,163000,12.73,12.73,12.73,12.73,100,0
ESCA.US,5,20250730,164000,12.73,12.73,12.73,12.73,200,0
ESCA.US,5,20250730,173500,12.645,12.645,12.645,12.645,322,0
ESCA.US,5,20250730,201500,12.65,12.65,12.65,12.65,100,0
ESCA.US,5,20250730,203000,12.7339,12.7339,12.7339,12.7339,318,0
ESCA.US,5,20250730,203500,12.65,12.65,12.65,12.65,787,0
ESCA.US,5,20250730,204000,12.7099,12.7099,12.7099,12.7099,1000,0
ESCA.US,5,20250730,205000,12.55,12.55,12.55,12.55,660,0
ESCA.US,5,20250730,205500,12.52,12.6053,12.455,12.455,1186,0
