<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLDDW.US,5,20250728,153000,0.745,0.745,0.745,0.745,300,0
FLDDW.US,5,20250728,155500,0.730001,0.730001,0.730001,0.730001,500,0
FLDDW.US,5,20250728,160000,0.7,0.7,0.7,0.7,203,0
FLDDW.US,5,20250729,153500,0.71,0.71,0.7,0.7,297,0
FLDDW.US,5,20250729,162500,0.6511,0.6511,0.6511,0.6511,100,0
FLDDW.US,5,20250729,163500,0.68555,0.68555,0.68555,0.68555,100,0
FLDDW.US,5,20250729,190000,0.68,0.7,0.68,0.7,2400,0
FLDDW.US,5,20250729,195500,0.6513,0.68,0.6511,0.6656,3600,0
FLDDW.US,5,20250729,202500,0.6511,0.6585,0.6511,0.6511,2300,0
FLDDW.US,5,20250729,204000,0.6511,0.6511,0.6511,0.6511,100,0
FLDDW.US,5,20250729,205500,0.651,0.6584,0.65,0.6505,7002,0
FLDDW.US,5,20250729,210000,0.6509,0.6509,0.6509,0.6509,408,0
FLDDW.US,5,20250729,210500,0.6505,0.6505,0.65,0.65,1493,0
FLDDW.US,5,20250729,211500,0.651,0.651,0.6509,0.6509,1100,0
FLDDW.US,5,20250729,212500,0.65,0.65,0.65,0.65,100,0
FLDDW.US,5,20250729,215000,0.65,0.6505,0.63,0.63,8052,0
FLDDW.US,5,20250730,153000,0.63,0.63,0.63,0.63,500,0
FLDDW.US,5,20250730,160000,0.6151,0.6151,0.6026,0.6026,3100,0
FLDDW.US,5,20250730,172500,0.6204,0.6204,0.61,0.61,2500,0
FLDDW.US,5,20250730,173000,0.6025,0.6025,0.6,0.6,200,0
FLDDW.US,5,20250730,174000,0.604999,0.604999,0.6,0.6,2000,0
FLDDW.US,5,20250730,180000,0.5975,0.6,0.5975,0.6,2000,0
FLDDW.US,5,20250730,181000,0.59995,0.59995,0.59995,0.59995,200,0
FLDDW.US,5,20250730,194000,0.6,0.6,0.6,0.6,1000,0
FLDDW.US,5,20250730,194500,0.599901,0.599901,0.599901,0.599901,334,0
FLDDW.US,5,20250730,215500,0.5902,0.5902,0.5902,0.5902,500,0
FLDDW.US,5,20250731,153000,0.6,0.6,0.6,0.6,112,0
FLDDW.US,5,20250731,174000,0.7025,0.7025,0.6999,0.6999,300,0
