<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLYW.US,5,20250728,153000,11.7,11.7397,11.65,11.7,27393,0
FLYW.US,5,20250728,153500,11.72,11.75,11.69,11.73,15315,0
FLYW.US,5,20250728,154000,11.715,11.78,11.68,11.72,10301,0
FLYW.US,5,20250728,154500,11.72,11.77,11.72,11.75,10880,0
FLYW.US,5,20250728,155000,11.75,11.755,11.73,11.75,5112,0
FLYW.US,5,20250728,155500,11.72,11.74,11.705,11.72,1350,0
FLYW.US,5,20250728,160000,11.705,11.79,11.695,11.78,13472,0
FLYW.US,5,20250728,160500,11.775,11.83,11.775,11.785,5696,0
FLYW.US,5,20250728,161000,11.785,11.8099,11.755,11.755,15773,0
FLYW.US,5,20250728,161500,11.75,11.78,11.75,11.765,22417,0
FLYW.US,5,20250728,162000,11.77,11.82,11.77,11.775,11407,0
FLYW.US,5,20250728,162500,11.785,11.82,11.76,11.795,14613,0
FLYW.US,5,20250728,163000,11.795,11.83,11.78,11.82,11135,0
FLYW.US,5,20250728,163500,11.815,11.89,11.815,11.86,24617,0
FLYW.US,5,20250728,164000,11.87,11.89,11.8,11.8,33049,0
FLYW.US,5,20250728,164500,11.81,11.83,11.79,11.82,4840,0
FLYW.US,5,20250728,165000,11.82,11.83,11.795,11.795,4957,0
FLYW.US,5,20250728,165500,11.795,11.83,11.795,11.825,7429,0
FLYW.US,5,20250728,170000,11.825,11.825,11.785,11.8,15030,0
FLYW.US,5,20250728,170500,11.8,11.8,11.785,11.785,3049,0
FLYW.US,5,20250728,171000,11.785,11.79,11.78,11.79,2671,0
FLYW.US,5,20250728,171500,11.785,11.795,11.775,11.775,8674,0
FLYW.US,5,20250728,172000,11.775,11.78,11.77,11.7793,7295,0
FLYW.US,5,20250728,172500,11.775,11.775,11.74,11.75,10495,0
FLYW.US,5,20250728,173000,11.76,11.77,11.76,11.77,3160,0
FLYW.US,5,20250728,173500,11.765,11.79,11.765,11.775,15967,0
FLYW.US,5,20250728,174000,11.775,11.775,11.765,11.765,4891,0
FLYW.US,5,20250728,174500,11.77,11.77,11.76,11.765,2779,0
FLYW.US,5,20250728,175000,11.76,11.7605,11.755,11.76,10233,0
FLYW.US,5,20250728,175500,11.765,11.77,11.76,11.765,2294,0
FLYW.US,5,20250728,180000,11.77,11.77,11.76,11.765,3006,0
FLYW.US,5,20250728,180500,11.765,11.765,11.74,11.745,37845,0
FLYW.US,5,20250728,181000,11.74,11.79,11.735,11.765,64268,0
FLYW.US,5,20250728,181500,11.765,11.765,11.72,11.74,11889,0
FLYW.US,5,20250728,182000,11.745,11.75,11.735,11.7491,4559,0
FLYW.US,5,20250728,182500,11.75,11.75,11.74,11.745,2765,0
FLYW.US,5,20250728,183000,11.75,11.75,11.74,11.75,1963,0
FLYW.US,5,20250728,183500,11.745,11.75,11.74,11.74,3307,0
FLYW.US,5,20250728,184000,11.735,11.735,11.72,11.735,4911,0
FLYW.US,5,20250728,184500,11.735,11.74,11.73,11.74,3386,0
FLYW.US,5,20250728,185000,11.74,11.74,11.7308,11.735,4200,0
FLYW.US,5,20250728,185500,11.74,11.74,11.725,11.73,2708,0
FLYW.US,5,20250728,190000,11.73,11.74,11.72,11.74,4574,0
FLYW.US,5,20250728,190500,11.74,11.74,11.7,11.7,8817,0
FLYW.US,5,20250728,191000,11.7,11.705,11.7,11.7,1500,0
FLYW.US,5,20250728,191500,11.695,11.695,11.67,11.67,9250,0
FLYW.US,5,20250728,192000,11.67,11.68,11.665,11.665,3545,0
FLYW.US,5,20250728,192500,11.665,11.67,11.65,11.65,6853,0
FLYW.US,5,20250728,193000,11.645,11.675,11.645,11.675,6148,0
FLYW.US,5,20250728,193500,11.675,11.675,11.67,11.67,5540,0
FLYW.US,5,20250728,194000,11.67,11.67,11.66,11.665,1990,0
FLYW.US,5,20250728,194500,11.665,11.67,11.655,11.655,2743,0
FLYW.US,5,20250728,195000,11.655,11.655,11.64,11.65,2456,0
FLYW.US,5,20250728,195500,11.65,11.65,11.63,11.64,4721,0
FLYW.US,5,20250728,200000,11.64,11.64,11.63,11.64,2144,0
FLYW.US,5,20250728,200500,11.6305,11.645,11.625,11.645,5736,0
FLYW.US,5,20250728,201000,11.645,11.65,11.645,11.65,2466,0
FLYW.US,5,20250728,201500,11.65,11.66,11.65,11.655,4551,0
FLYW.US,5,20250728,202000,11.655,11.66,11.645,11.645,5993,0
FLYW.US,5,20250728,202500,11.645,11.65,11.64,11.65,1552,0
FLYW.US,5,20250728,203000,11.65,11.66,11.645,11.655,4255,0
FLYW.US,5,20250728,203500,11.655,11.655,11.64,11.645,5120,0
FLYW.US,5,20250728,204000,11.645,11.65,11.645,11.645,4485,0
FLYW.US,5,20250728,204500,11.65,11.65,11.635,11.645,5649,0
FLYW.US,5,20250728,205000,11.645,11.65,11.6425,11.645,4950,0
FLYW.US,5,20250728,205500,11.65,11.66,11.63,11.63,35006,0
FLYW.US,5,20250728,210000,11.63,11.665,11.595,11.665,33121,0
FLYW.US,5,20250728,210500,11.665,11.675,11.65,11.675,21281,0
FLYW.US,5,20250728,211000,11.675,11.68,11.66,11.67,14038,0
FLYW.US,5,20250728,211500,11.665,11.68,11.655,11.675,17453,0
FLYW.US,5,20250728,212000,11.675,11.68,11.665,11.665,10469,0
FLYW.US,5,20250728,212500,11.665,11.685,11.655,11.665,20136,0
FLYW.US,5,20250728,213000,11.67,11.67,11.655,11.665,14989,0
FLYW.US,5,20250728,213500,11.665,11.67,11.625,11.64,59631,0
FLYW.US,5,20250728,214000,11.64,11.67,11.64,11.665,55607,0
FLYW.US,5,20250728,214500,11.665,11.68,11.645,11.645,52046,0
FLYW.US,5,20250728,215000,11.64,11.65,11.61,11.625,129145,0
FLYW.US,5,20250728,215500,11.625,11.68,11.625,11.66,380344,0
FLYW.US,5,20250729,153000,11.77,11.81,11.725,11.755,19526,0
FLYW.US,5,20250729,153500,11.755,11.76,11.65,11.695,14611,0
FLYW.US,5,20250729,154000,11.695,11.76,11.695,11.76,9624,0
FLYW.US,5,20250729,154500,11.76,11.8,11.76,11.78,7734,0
FLYW.US,5,20250729,155000,11.78,11.81,11.76,11.81,7881,0
FLYW.US,5,20250729,155500,11.8,11.84,11.73,11.76,30905,0
FLYW.US,5,20250729,160000,11.775,11.775,11.685,11.69,4325,0
FLYW.US,5,20250729,160500,11.69,11.71,11.6201,11.69,12348,0
FLYW.US,5,20250729,161000,11.68,11.71,11.68,11.7,5575,0
FLYW.US,5,20250729,161500,11.705,11.71,11.66,11.67,14892,0
FLYW.US,5,20250729,162000,11.66,11.67,11.625,11.66,29834,0
FLYW.US,5,20250729,162500,11.66,11.66,11.585,11.59,28414,0
FLYW.US,5,20250729,163000,11.59,11.5904,11.54,11.545,29773,0
FLYW.US,5,20250729,163500,11.545,11.56,11.535,11.545,34541,0
FLYW.US,5,20250729,164000,11.54,11.645,11.525,11.645,67926,0
FLYW.US,5,20250729,164500,11.65,11.658,11.635,11.635,13382,0
FLYW.US,5,20250729,165000,11.635,11.66,11.62,11.66,20274,0
FLYW.US,5,20250729,165500,11.66,11.675,11.65,11.66,13576,0
FLYW.US,5,20250729,170000,11.65,11.665,11.64,11.65,8558,0
FLYW.US,5,20250729,170500,11.64,11.645,11.605,11.615,9148,0
FLYW.US,5,20250729,171000,11.61,11.61,11.59,11.59,5999,0
FLYW.US,5,20250729,171500,11.59,11.59,11.57,11.575,2245,0
FLYW.US,5,20250729,172000,11.57,11.575,11.52,11.565,12552,0
FLYW.US,5,20250729,172500,11.565,11.565,11.53,11.53,21144,0
FLYW.US,5,20250729,173000,11.525,11.555,11.505,11.525,59051,0
FLYW.US,5,20250729,173500,11.52,11.545,11.52,11.52,21941,0
FLYW.US,5,20250729,174000,11.52,11.58,11.5,11.575,30848,0
FLYW.US,5,20250729,174500,11.58,11.585,11.56,11.56,13256,0
FLYW.US,5,20250729,175000,11.555,11.605,11.55,11.605,4505,0
FLYW.US,5,20250729,175500,11.605,11.605,11.58,11.585,3894,0
FLYW.US,5,20250729,180000,11.58,11.58,11.545,11.545,9337,0
FLYW.US,5,20250729,180500,11.545,11.545,11.535,11.535,3800,0
FLYW.US,5,20250729,181000,11.5399,11.55,11.51,11.515,23770,0
FLYW.US,5,20250729,181500,11.52,11.535,11.505,11.505,9127,0
FLYW.US,5,20250729,182000,11.51,11.525,11.5,11.505,25110,0
FLYW.US,5,20250729,182500,11.505,11.555,11.505,11.53,49093,0
FLYW.US,5,20250729,183000,11.53,11.55,11.53,11.55,19173,0
FLYW.US,5,20250729,183500,11.56,11.635,11.55,11.635,43140,0
FLYW.US,5,20250729,184000,11.63,11.63,11.595,11.61,17778,0
FLYW.US,5,20250729,184500,11.615,11.615,11.6,11.615,7373,0
FLYW.US,5,20250729,185000,11.615,11.62,11.61,11.62,3485,0
FLYW.US,5,20250729,185500,11.615,11.63,11.61,11.615,19162,0
FLYW.US,5,20250729,190000,11.615,11.64,11.615,11.635,6135,0
FLYW.US,5,20250729,190500,11.635,11.645,11.62,11.625,6843,0
FLYW.US,5,20250729,191000,11.625,11.625,11.615,11.615,5193,0
FLYW.US,5,20250729,191500,11.615,11.64,11.615,11.625,18759,0
FLYW.US,5,20250729,192000,11.625,11.625,11.62,11.625,1652,0
FLYW.US,5,20250729,192500,11.625,11.625,11.58,11.585,48144,0
FLYW.US,5,20250729,193000,11.585,11.6,11.585,11.595,25021,0
FLYW.US,5,20250729,193500,11.595,11.595,11.575,11.575,17705,0
FLYW.US,5,20250729,194000,11.575,11.59,11.56,11.56,31734,0
FLYW.US,5,20250729,194500,11.565,11.575,11.56,11.57,5941,0
FLYW.US,5,20250729,195000,11.565,11.57,11.5599,11.56,4322,0
FLYW.US,5,20250729,195500,11.565,11.565,11.545,11.56,42134,0
FLYW.US,5,20250729,200000,11.555,11.59,11.555,11.565,56623,0
FLYW.US,5,20250729,200500,11.565,11.595,11.56,11.57,62894,0
FLYW.US,5,20250729,201000,11.57,11.645,11.57,11.64,35042,0
FLYW.US,5,20250729,201500,11.635,11.68,11.63,11.66,14030,0
FLYW.US,5,20250729,202000,11.665,11.665,11.65,11.655,4184,0
FLYW.US,5,20250729,202500,11.655,11.655,11.65,11.655,3580,0
FLYW.US,5,20250729,203000,11.655,11.655,11.62,11.625,39777,0
FLYW.US,5,20250729,203500,11.625,11.63,11.62,11.625,12281,0
FLYW.US,5,20250729,204000,11.625,11.625,11.6,11.615,12428,0
FLYW.US,5,20250729,204500,11.615,11.6175,11.61,11.615,2678,0
FLYW.US,5,20250729,205000,11.615,11.66,11.615,11.645,63088,0
FLYW.US,5,20250729,205500,11.645,11.665,11.63,11.665,19988,0
FLYW.US,5,20250729,210000,11.665,11.685,11.66,11.685,5668,0
FLYW.US,5,20250729,210500,11.685,11.695,11.67,11.67,26062,0
FLYW.US,5,20250729,211000,11.67,11.68,11.67,11.68,6426,0
FLYW.US,5,20250729,211500,11.675,11.675,11.64,11.65,22263,0
FLYW.US,5,20250729,212000,11.65,11.655,11.64,11.64,11264,0
FLYW.US,5,20250729,212500,11.645,11.6691,11.645,11.655,19221,0
FLYW.US,5,20250729,213000,11.651,11.67,11.65,11.665,21508,0
FLYW.US,5,20250729,213500,11.665,11.665,11.64,11.655,36645,0
FLYW.US,5,20250729,214000,11.6598,11.6598,11.63,11.64,31101,0
FLYW.US,5,20250729,214500,11.645,11.645,11.62,11.62,22428,0
FLYW.US,5,20250729,215000,11.62,11.63,11.6,11.63,82951,0
FLYW.US,5,20250729,215500,11.63,11.63,11.59,11.59,229047,0
FLYW.US,5,20250730,153000,11.62,11.67,11.58,11.58,5369,0
FLYW.US,5,20250730,153500,11.585,11.65,11.54,11.54,54055,0
FLYW.US,5,20250730,154000,11.54,11.575,11.51,11.54,9829,0
FLYW.US,5,20250730,154500,11.54,11.55,11.52,11.54,6690,0
FLYW.US,5,20250730,155000,11.535,11.535,11.44,11.47,11537,0
FLYW.US,5,20250730,155500,11.465,11.52,11.465,11.5,7677,0
FLYW.US,5,20250730,160000,11.51,11.54,11.495,11.53,5449,0
FLYW.US,5,20250730,160500,11.535,11.535,11.49,11.49,8627,0
FLYW.US,5,20250730,161000,11.48,11.51,11.47,11.485,9908,0
FLYW.US,5,20250730,161500,11.48,11.49,11.46,11.485,7508,0
FLYW.US,5,20250730,162000,11.485,11.49,11.46,11.47,4675,0
FLYW.US,5,20250730,162500,11.46,11.535,11.46,11.49,13406,0
FLYW.US,5,20250730,163000,11.495,11.525,11.49,11.52,5142,0
FLYW.US,5,20250730,163500,11.52,11.52,11.48,11.49,6210,0
FLYW.US,5,20250730,164000,11.49,11.5,11.465,11.47,6055,0
FLYW.US,5,20250730,164500,11.46,11.495,11.435,11.495,11181,0
FLYW.US,5,20250730,165000,11.49,11.52,11.48,11.505,18584,0
FLYW.US,5,20250730,165500,11.5,11.5,11.455,11.455,11680,0
FLYW.US,5,20250730,170000,11.455,11.48,11.45,11.475,10568,0
FLYW.US,5,20250730,170500,11.475,11.51,11.475,11.485,12527,0
FLYW.US,5,20250730,171000,11.49,11.515,11.485,11.49,6965,0
FLYW.US,5,20250730,171500,11.485,11.5,11.485,11.495,6497,0
FLYW.US,5,20250730,172000,11.49,11.49,11.485,11.485,3987,0
