<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRPH.US,5,20250728,153000,27.2,27.2,27.2,27.2,153,0
FRPH.US,5,20250728,160500,27.195,27.195,27.195,27.195,100,0
FRPH.US,5,20250728,163000,27.3963,27.3963,27.215,27.215,220,0
FRPH.US,5,20250728,165000,27.22,27.22,27.22,27.22,100,0
FRPH.US,5,20250728,165500,27.175,27.175,27.175,27.175,100,0
FRPH.US,5,20250728,170000,27.195,27.195,27.195,27.195,100,0
FRPH.US,5,20250728,171000,27.135,27.135,27.135,27.135,100,0
FRPH.US,5,20250728,171500,27.21,27.21,27.21,27.21,100,0
FRPH.US,5,20250728,172000,27.21,27.21,27.21,27.21,100,0
FRPH.US,5,20250728,173000,27.2,27.2,27.2,27.2,100,0
FRPH.US,5,20250728,175000,27.22,27.22,27.22,27.22,100,0
FRPH.US,5,20250728,183000,27.23,27.23,27.23,27.23,100,0
FRPH.US,5,20250728,185000,27.17,27.17,27.17,27.17,100,0
FRPH.US,5,20250728,190000,27.1887,27.1887,27.1887,27.1887,100,0
FRPH.US,5,20250728,191000,27.115,27.115,27.115,27.115,167,0
FRPH.US,5,20250728,191500,27.07,27.07,27.07,27.07,100,0
FRPH.US,5,20250728,192500,27.0633,27.0633,27.05,27.05,1514,0
FRPH.US,5,20250728,193000,26.965,26.965,26.8875,26.8875,786,0
FRPH.US,5,20250728,193500,27.02,27.02,27.02,27.02,100,0
FRPH.US,5,20250728,195500,27.06,27.06,27.06,27.06,100,0
FRPH.US,5,20250728,201000,27.0718,27.0718,27.0718,27.0718,1000,0
FRPH.US,5,20250728,202000,27.04,27.04,27.04,27.04,500,0
FRPH.US,5,20250728,202500,27.08,27.08,27.08,27.08,131,0
FRPH.US,5,20250728,204500,27.09,27.14,27.08,27.14,300,0
FRPH.US,5,20250728,212500,27.07,27.07,27.07,27.07,200,0
FRPH.US,5,20250728,213000,27.0456,27.05,27.0456,27.05,600,0
FRPH.US,5,20250728,213500,27.04,27.04,27.04,27.04,300,0
FRPH.US,5,20250728,215000,27.07,27.07,27.07,27.07,100,0
FRPH.US,5,20250728,215500,27.05,27.16,27.05,27.135,5930,0
FRPH.US,5,20250729,153000,27.33,27.33,27.33,27.33,220,0
FRPH.US,5,20250729,163500,27.08,27.3099,27.08,27.3099,1150,0
FRPH.US,5,20250729,171000,27.215,27.215,27.215,27.215,100,0
FRPH.US,5,20250729,173500,27.285,27.285,27.285,27.285,100,0
FRPH.US,5,20250729,174000,27.23,27.23,27.23,27.23,100,0
FRPH.US,5,20250729,180000,27.29,27.29,27.29,27.29,100,0
FRPH.US,5,20250729,181500,27.2,27.2,27.2,27.2,100,0
FRPH.US,5,20250729,183500,27.185,27.185,27.12,27.12,855,0
FRPH.US,5,20250729,185500,27.21,27.21,27.21,27.21,100,0
FRPH.US,5,20250729,190000,27.22,27.22,27.22,27.22,100,0
FRPH.US,5,20250729,192000,27.25,27.25,27.25,27.25,219,0
FRPH.US,5,20250729,192500,27.245,27.245,27.245,27.245,100,0
FRPH.US,5,20250729,200000,27.13,27.205,27.13,27.205,300,0
FRPH.US,5,20250729,201500,27.16,27.16,27.16,27.16,100,0
FRPH.US,5,20250729,205500,27.0913,27.17,27.0501,27.0501,2260,0
FRPH.US,5,20250729,210000,27.11,27.11,27.11,27.11,100,0
FRPH.US,5,20250729,210500,27.16,27.16,27.16,27.16,200,0
FRPH.US,5,20250729,211500,27.09,27.09,27.09,27.09,100,0
FRPH.US,5,20250729,212000,27.07,27.09,27.0612,27.0899,800,0
FRPH.US,5,20250729,213000,27.12,27.12,27.12,27.12,100,0
FRPH.US,5,20250729,214000,27.11,27.11,27.09,27.09,200,0
FRPH.US,5,20250729,214500,27.1065,27.1065,27.1065,27.1065,170,0
FRPH.US,5,20250729,215000,27.13,27.13,27.13,27.13,100,0
FRPH.US,5,20250729,215500,27.16,27.16,27.12,27.12,5018,0
FRPH.US,5,20250730,153000,27.24,27.24,27.24,27.24,304,0
FRPH.US,5,20250730,161500,27.24,27.24,27.24,27.24,100,0
FRPH.US,5,20250730,170000,27.305,27.305,27.305,27.305,100,0
FRPH.US,5,20250730,170500,27.28,27.28,27.28,27.28,100,0
FRPH.US,5,20250730,171000,27.27,27.27,27.21,27.235,1045,0
FRPH.US,5,20250730,171500,27.24,27.24,27.24,27.24,189,0
FRPH.US,5,20250730,173000,27.23,27.23,27.23,27.23,200,0
FRPH.US,5,20250730,174500,27.25,27.25,27.25,27.25,200,0
FRPH.US,5,20250730,175500,27.1144,27.2,27.1144,27.2,1100,0
FRPH.US,5,20250730,182000,27.185,27.185,27.185,27.185,117,0
FRPH.US,5,20250730,184500,27.1501,27.315,27.1501,27.315,434,0
FRPH.US,5,20250730,192000,27.2729,27.285,27.263,27.285,1100,0
FRPH.US,5,20250730,192500,27.2236,27.2236,27.2236,27.2236,375,0
FRPH.US,5,20250730,193000,27.225,27.27,27.225,27.27,206,0
FRPH.US,5,20250730,194500,27.25,27.25,27.25,27.25,100,0
FRPH.US,5,20250730,195000,27.26,27.26,27.26,27.26,100,0
FRPH.US,5,20250730,200000,27.21,27.21,27.18,27.18,300,0
FRPH.US,5,20250730,200500,27.16,27.16,27.16,27.16,108,0
FRPH.US,5,20250730,201500,27.16,27.16,27.16,27.16,100,0
FRPH.US,5,20250730,203500,27.22,27.23,27.22,27.23,200,0
FRPH.US,5,20250730,204500,27.16,27.16,27.16,27.16,100,0
FRPH.US,5,20250730,205000,27.06,27.06,27.05,27.05,314,0
FRPH.US,5,20250730,205500,27,27,26.99,27,2079,0
FRPH.US,5,20250730,210000,26.95,26.96,26.85,26.85,1100,0
FRPH.US,5,20250730,210500,26.78,26.85,26.78,26.85,200,0
FRPH.US,5,20250730,211000,26.8,26.8,26.8,26.8,100,0
FRPH.US,5,20250730,211500,26.73,26.74,26.73,26.73,300,0
FRPH.US,5,20250730,212000,26.67,26.67,26.635,26.635,308,0
FRPH.US,5,20250730,212500,26.6791,26.6791,26.675,26.675,550,0
FRPH.US,5,20250730,213500,26.645,26.645,26.63,26.63,300,0
FRPH.US,5,20250730,214500,26.58,26.58,26.58,26.58,100,0
FRPH.US,5,20250730,215000,26.61,26.645,26.57,26.645,601,0
FRPH.US,5,20250730,215500,26.72,26.72,26.66,26.66,6997,0
FRPH.US,5,20250731,153000,26.66,26.66,26.66,26.66,843,0
FRPH.US,5,20250731,154000,26.6,26.6,26.6,26.6,103,0
FRPH.US,5,20250731,155000,26.695,26.695,26.695,26.695,100,0
FRPH.US,5,20250731,161000,26.6,26.6,26.49,26.5,889,0
