<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTEL.US,5,20250728,153000,14.8352,14.8352,14.7504,14.752,367.875,0
FTEL.US,5,20250728,153500,14.752,14.752,13.7808,13.7808,1897.125,0
FTEL.US,5,20250728,154000,14.252,14.72,14.08,14.256,257.1875,0
FTEL.US,5,20250728,154500,14.08,14.7184,13.808,14.7184,1122.3125,0
FTEL.US,5,20250728,155000,13.8416,14.7184,13.76,14.7184,500.625,0
FTEL.US,5,20250728,155500,13.7648,13.7648,13.7648,13.7648,20.3125,0
FTEL.US,5,20250728,160000,13.92,13.92,13.92,13.92,12.9375,0
FTEL.US,5,20250728,160500,13.92,14.3104,13.92,14.116,38.25,0
FTEL.US,5,20250728,161000,13.92,13.9952,13.7648,13.9952,412.5,0
FTEL.US,5,20250728,161500,13.9968,13.9968,13.9968,13.9968,6.25,0
FTEL.US,5,20250728,163000,13.8384,13.8384,13.6,13.6,284.125,0
FTEL.US,5,20250728,163500,13.8224,13.8224,13.8224,13.8224,27.8125,0
FTEL.US,5,20250728,164500,13.8256,13.8256,13.52,13.52,741.4375,0
FTEL.US,5,20250728,165000,13.384,13.52,12.8,13.4384,2193.5,0
FTEL.US,5,20250728,165500,13.4384,13.4384,13.1216,13.4384,125,0
FTEL.US,5,20250728,170000,13.4384,13.4384,13.4384,13.4384,111.25,0
FTEL.US,5,20250728,170500,13.4384,13.4384,13.12,13.12,56.9375,0
FTEL.US,5,20250728,171000,13.4384,13.4384,13.12,13.12,81.25,0
FTEL.US,5,20250728,171500,13.12,13.2784,13.12,13.2784,82.625,0
FTEL.US,5,20250728,172000,13.4352,13.4352,13.12,13.1232,555.125,0
FTEL.US,5,20250728,172500,13.4368,13.4368,13.28,13.4368,62.5,0
FTEL.US,5,20250728,173000,13.1232,13.1232,13.0464,13.0464,69.375,0
FTEL.US,5,20250728,173500,13.0416,13.08,13.0416,13.0416,218.0625,0
FTEL.US,5,20250728,174000,13.0416,13.1648,13.0416,13.0416,346.875,0
FTEL.US,5,20250728,174500,13.0416,13.24,13.0416,13.1424,68.75,0
FTEL.US,5,20250728,175000,13.3168,13.3168,13.3168,13.3168,375,0
FTEL.US,5,20250728,175500,13.3152,13.3168,13.24,13.2416,35.4375,0
FTEL.US,5,20250728,180000,13.2416,13.2448,13.2416,13.2432,45.25,0
FTEL.US,5,20250728,180500,13.2432,13.2832,13.04,13.0416,1119.875,0
FTEL.US,5,20250728,181000,13.0416,13.0416,12.8,12.9024,1433.3125,0
FTEL.US,5,20250728,181500,12.9296,12.9296,12.9296,12.9296,21.875,0
FTEL.US,5,20250728,182500,12.9568,12.9568,12.8176,12.856,386.5,0
FTEL.US,5,20250728,183000,13.1104,13.4384,13.1104,13.4384,149.875,0
FTEL.US,5,20250728,183500,13.12,13.12,13.12,13.12,100,0
FTEL.US,5,20250728,185000,12.8048,12.8048,12.8048,12.8048,6.25,0
FTEL.US,5,20250728,190000,12.9312,12.9312,12.9312,12.9312,6.25,0
FTEL.US,5,20250728,190500,12.9312,12.9328,12.9312,12.9328,18.75,0
FTEL.US,5,20250728,191000,13.0384,13.0384,13.0384,13.0384,87.5,0
FTEL.US,5,20250728,191500,13.0384,13.0384,12.9424,12.9424,102.875,0
FTEL.US,5,20250728,192000,12.8712,12.8712,12.8,12.8016,2006.875,0
FTEL.US,5,20250728,192500,12.8288,12.8288,12.8016,12.8016,56.25,0
FTEL.US,5,20250728,193000,12.8288,12.8288,12.8,12.8,780.25,0
FTEL.US,5,20250728,193500,12.8032,12.8032,12.8032,12.8032,123.75,0
FTEL.US,5,20250728,194000,12.8,12.88,12.6944,12.6944,169.8125,0
FTEL.US,5,20250728,195000,12.6992,12.6992,12.6992,12.6992,600,0
FTEL.US,5,20250728,195500,12.688,12.688,12.688,12.688,109.375,0
FTEL.US,5,20250728,200000,12.6864,12.7376,12.48,12.48,330.625,0
FTEL.US,5,20250728,201000,12.48,12.48,12.48,12.48,237.5,0
FTEL.US,5,20250728,201500,12.5792,12.5792,12.56,12.56,15.625,0
FTEL.US,5,20250728,202000,12.6784,12.6784,12.6784,12.6784,12.5,0
FTEL.US,5,20250728,202500,12.56,12.56,12.56,12.56,6.25,0
FTEL.US,5,20250728,203500,12.56,12.5776,12.504,12.504,196.625,0
FTEL.US,5,20250728,204000,12.4816,12.4816,12.4808,12.4808,37.5,0
FTEL.US,5,20250728,205000,12.4816,12.4816,12.4816,12.4816,18.75,0
FTEL.US,5,20250728,205500,12.4992,12.4992,12.4992,12.4992,31.25,0
FTEL.US,5,20250728,210500,13.1392,13.1392,13.0032,13.0032,187.5,0
FTEL.US,5,20250728,211000,12.64,12.64,12.64,12.64,6.25,0
FTEL.US,5,20250728,211500,13.12,13.12,12.568,12.568,34.4375,0
FTEL.US,5,20250728,212500,13.12,13.12,13.12,13.12,9.375,0
FTEL.US,5,20250728,213000,12.844,12.96,12.844,12.96,12.5,0
FTEL.US,5,20250728,213500,12.844,13.12,12.844,13.12,625,0
FTEL.US,5,20250728,214000,13.0672,13.0672,13.0672,13.0672,62.5,0
FTEL.US,5,20250728,215000,12.5792,12.5792,12.5792,12.5792,6.25,0
FTEL.US,5,20250728,215500,12.5792,13.12,12.5776,12.96,449.1875,0
FTEL.US,5,20250729,153000,12.64,13.216,12.64,13.128,133.8125,0
FTEL.US,5,20250729,153500,12.656,12.656,12.544,12.544,27.6875,0
FTEL.US,5,20250729,154000,12.544,12.96,12.544,12.96,218.75,0
FTEL.US,5,20250729,154500,12.6416,12.6416,12.56,12.56,18.75,0
FTEL.US,5,20250729,155000,12.6,12.6,12.0352,12.16,983.9375,0
FTEL.US,5,20250729,155500,12.16,12.48,12.048,12.176,1722.625,0
FTEL.US,5,20250729,160000,12.1792,12.64,12.176,12.328,179,0
FTEL.US,5,20250729,160500,12.1776,12.4784,12.16,12.2288,489.375,0
FTEL.US,5,20250729,161500,12.7856,12.7856,12.1696,12.3264,146.875,0
FTEL.US,5,20250729,162000,12.64,12.7872,12.64,12.784,941.0625,0
FTEL.US,5,20250729,162500,12.7872,12.7872,12.7872,12.7872,56.25,0
FTEL.US,5,20250729,164000,12.8512,12.8512,12.8512,12.8512,12.5,0
FTEL.US,5,20250729,164500,12.8464,12.8728,12.784,12.7856,252.3125,0
FTEL.US,5,20250729,165500,12.7856,12.7856,12.7856,12.7856,9.375,0
FTEL.US,5,20250729,170000,12.7872,12.7872,12.7872,12.7872,61.875,0
FTEL.US,5,20250729,170500,12.7872,12.7872,12.7872,12.7872,6.25,0
FTEL.US,5,20250729,171500,12.7856,12.7856,12.7856,12.7856,6.25,0
FTEL.US,5,20250729,175000,12.7872,12.7872,12.7872,12.7872,12.5,0
FTEL.US,5,20250729,175500,12.7872,12.7872,12.7872,12.7872,62.5,0
FTEL.US,5,20250729,180000,12.7872,12.7872,12.7872,12.7872,6.25,0
FTEL.US,5,20250729,181500,12.784,12.784,12.784,12.784,15.3125,0
FTEL.US,5,20250729,183000,12.784,12.784,12.176,12.176,1919.5625,0
FTEL.US,5,20250729,183500,12.4736,12.4752,12.4736,12.4752,353.875,0
FTEL.US,5,20250729,184000,12.4752,12.4752,12.4736,12.4736,75,0
FTEL.US,5,20250729,184500,12.4736,12.4752,12.4736,12.4752,64.6875,0
FTEL.US,5,20250729,185000,12.4736,12.4736,12.4736,12.4736,12.5,0
FTEL.US,5,20250729,185500,12.4744,12.4744,12.4744,12.4744,13.5625,0
FTEL.US,5,20250729,191000,12.4736,12.4736,12.16,12.16,1748.25,0
FTEL.US,5,20250729,191500,12.1616,12.1856,12.1616,12.1616,50,0
FTEL.US,5,20250729,192000,12.1616,12.5032,12.16,12.16,781.8125,0
FTEL.US,5,20250729,192500,12.16,12.1616,11.68,11.6816,2094.875,0
FTEL.US,5,20250729,193500,11.6896,11.6896,11.6896,11.6896,187.5,0
FTEL.US,5,20250729,194000,11.8448,11.8448,11.768,11.768,172.4375,0
FTEL.US,5,20250729,194500,12.16,12.16,12.16,12.16,413.5625,0
FTEL.US,5,20250729,195500,11.6896,11.7616,11.6896,11.7616,35.5,0
FTEL.US,5,20250729,200000,11.6896,11.84,11.36,11.36,1089.875,0
FTEL.US,5,20250729,200500,11.4736,11.4736,11.4736,11.4736,93.75,0
FTEL.US,5,20250729,201000,11.52,11.52,11.04,11.04,1116.5,0
FTEL.US,5,20250729,202000,11.2,11.6272,11.2,11.6272,131.25,0
FTEL.US,5,20250729,203500,11.6272,11.6272,11.6272,11.6272,51.5,0
FTEL.US,5,20250729,205000,11.2752,11.2768,11.2752,11.2768,37.5,0
FTEL.US,5,20250729,210000,11.544,11.544,11.544,11.544,6.875,0
FTEL.US,5,20250729,210500,11.5424,11.5424,11.3824,11.3824,13.125,0
FTEL.US,5,20250729,211500,11.472,11.5888,11.456,11.456,59.9375,0
FTEL.US,5,20250729,213000,11.456,11.456,11.0672,11.1184,219.625,0
FTEL.US,5,20250729,213500,11.0416,11.0416,11.0416,11.0416,156.25,0
FTEL.US,5,20250729,214000,11.2496,11.2496,11.2496,11.2496,45.25,0
FTEL.US,5,20250729,214500,11.456,11.456,11.456,11.456,7.5,0
FTEL.US,5,20250729,215000,11.2,11.3024,11.2,11.3024,346.5,0
FTEL.US,5,20250729,215500,11.456,11.456,11.456,11.456,12.625,0
FTEL.US,5,20250730,153000,11.2,11.2,10.4368,10.4736,447.8125,0
FTEL.US,5,20250730,153500,10.464,10.464,10.08,10.328,1105.6875,0
FTEL.US,5,20250730,154000,10.6864,10.6864,10.6864,10.6864,25,0
FTEL.US,5,20250730,154500,10.6864,10.6864,10.6864,10.6864,6.25,0
FTEL.US,5,20250730,155000,10.8432,10.8432,10.8432,10.8432,7.75,0
FTEL.US,5,20250730,155500,10.6944,10.6944,10.6944,10.6944,63.125,0
FTEL.US,5,20250730,160000,10.6944,10.864,10.6864,10.864,299,0
FTEL.US,5,20250730,161000,10.9472,11.04,10.9472,11.04,176.1875,0
FTEL.US,5,20250730,162000,10.88,10.88,10.88,10.88,6.4375,0
FTEL.US,5,20250730,162500,11.1296,11.1296,11.1296,11.1296,7.3125,0
FTEL.US,5,20250730,163500,11.0448,11.0448,11.0448,11.0448,125,0
FTEL.US,5,20250730,164000,11.2032,11.2477,10.4,10.4453,856.125,0
FTEL.US,5,20250730,171000,11.2256,11.2256,11.2216,11.2216,20.125,0
FTEL.US,5,20250730,172000,11.048,11.1232,11.048,11.1232,375,0
FTEL.US,5,20250730,172500,11.0464,11.0464,9.92,9.92002,4625.875,0
FTEL.US,5,20250730,173000,9.96802,9.976,9.92,9.92,562.5,0
FTEL.US,5,20250730,173500,9.952,10.448,9.92,9.9216,1513.375,0
FTEL.US,5,20250730,174000,10.4416,10.4816,9.92,9.92,1506.25,0
FTEL.US,5,20250730,174500,9.92,9.92,9.91838,9.91838,69.8125,0
FTEL.US,5,20250730,175000,9.92,9.92,9.92,9.92,62.5,0
FTEL.US,5,20250730,175500,9.856,9.856,9.7632,9.7632,153.625,0
FTEL.US,5,20250730,180000,9.808,9.8384,9.432,9.6,1099.4375,0
FTEL.US,5,20250730,180500,9.4496,9.4496,9.4496,9.4496,104.1875,0
FTEL.US,5,20250730,181000,9.5488,9.6,9.4528,9.4528,257.5625,0
FTEL.US,5,20250730,181500,9.4528,9.4528,9.376,9.376,52.1875,0
FTEL.US,5,20250730,182000,9.4544,9.4544,9.30882,9.30882,68.75,0
FTEL.US,5,20250730,182500,9.32,9.4408,9.28,9.3696,544.375,0
FTEL.US,5,20250730,183000,9.3712,9.3712,9.28,9.3264,407.875,0
FTEL.US,5,20250730,183500,9.2816,9.30174,9.28,9.28,358.9375,0
FTEL.US,5,20250730,184000,9.28,9.28,8.9648,8.9648,440.9375,0
FTEL.US,5,20250730,184500,9.168,9.2784,8.8,9.2768,459.4375,0
FTEL.US,5,20250730,185000,8.96,9.08,8.88,9.08,110.5,0
FTEL.US,5,20250730,185500,9.1792,9.27838,9.152,9.1616,177.4375,0
FTEL.US,5,20250730,190000,9.28,9.28,8.64,8.64,1314.6875,0
FTEL.US,5,20250730,190500,8.96,9.608,8.96,9.608,629.125,0
FTEL.US,5,20250730,191000,9.6192,9.6192,9.6192,9.6192,31.25,0
FTEL.US,5,20250730,191500,9.44,9.77598,9.28994,9.3136,141.3125,0
FTEL.US,5,20250730,192000,9.5984,9.6,9.3152,9.456,225,0
FTEL.US,5,20250730,192500,9.4496,9.4512,9.31802,9.3856,31.25,0
FTEL.US,5,20250730,193000,9.456,9.456,9.2848,9.416,81.25,0
FTEL.US,5,20250730,193500,9.28322,9.6832,9.2832,9.28837,83.75,0
FTEL.US,5,20250730,194000,9.2816,9.3056,9.28,9.28,87.5,0
FTEL.US,5,20250730,194500,9.28837,9.624,9.1376,9.624,68.75,0
FTEL.US,5,20250730,195000,9.1376,9.76,9.1376,9.76,81.25,0
FTEL.US,5,20250730,200000,9.152,9.152,9.152,9.152,37.5,0
FTEL.US,5,20250730,200500,9.152,9.3856,9.152,9.3856,59.375,0
FTEL.US,5,20250730,201000,10.0464,10.0464,9.7008,9.712,52.5,0
FTEL.US,5,20250730,201500,9.488,9.488,9.488,9.488,6.25,0
FTEL.US,5,20250730,202000,9.4368,9.4368,9.4368,9.4368,6.25,0
FTEL.US,5,20250730,203000,9.4912,9.4912,9.4912,9.4912,8.375,0
FTEL.US,5,20250730,203500,9.6912,9.6912,9.6912,9.6912,6.875,0
FTEL.US,5,20250730,204000,9.44,9.44,9.4256,9.4256,14.6875,0
FTEL.US,5,20250730,204500,9.44,9.44,9.44,9.44,6.25,0
FTEL.US,5,20250730,205000,9.44,9.4896,9.44,9.4896,14.625,0
FTEL.US,5,20250730,205500,9.2928,9.2928,9.2928,9.2928,8.1875,0
FTEL.US,5,20250730,210000,9.1536,9.1536,8.7568,9.0184,1249.5,0
FTEL.US,5,20250730,210500,8.8064,8.944,8.8064,8.944,106.625,0
