<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FXNC.US,5,20250728,153000,22.2,22.2,22.2,22.2,100,0
FXNC.US,5,20250728,160500,21.775,21.775,21.775,21.775,100,0
FXNC.US,5,20250728,162000,22.11,22.11,21.895,21.895,600,0
FXNC.US,5,20250728,163000,21.85,21.85,21.69,21.69,568,0
FXNC.US,5,20250728,163500,21.82,21.86,21.82,21.86,682,0
FXNC.US,5,20250728,171000,21.86,21.86,21.86,21.86,200,0
FXNC.US,5,20250728,174000,21.9102,21.9102,21.9102,21.9102,350,0
FXNC.US,5,20250728,174500,21.8775,21.8775,21.8775,21.8775,100,0
FXNC.US,5,20250728,200000,21.77,21.77,21.77,21.77,100,0
FXNC.US,5,20250728,202000,21.74,21.76,21.74,21.76,500,0
FXNC.US,5,20250728,204500,21.74,21.74,21.74,21.74,200,0
FXNC.US,5,20250728,210500,21.77,21.77,21.77,21.77,600,0
FXNC.US,5,20250728,211000,21.77,21.8,21.77,21.79,1635,0
FXNC.US,5,20250728,212000,21.76,21.76,21.76,21.76,100,0
FXNC.US,5,20250728,215500,21.78,21.82,21.77,21.77,5104,0
FXNC.US,5,20250729,153000,21.99,21.99,21.99,21.99,220,0
FXNC.US,5,20250729,154000,22.03,22.03,22.03,22.03,200,0
FXNC.US,5,20250729,154500,21.95,21.95,21.95,21.95,100,0
FXNC.US,5,20250729,155000,21.95,21.95,21.95,21.95,100,0
FXNC.US,5,20250729,160000,21.76,21.76,21.76,21.76,653,0
FXNC.US,5,20250729,160500,21.935,21.935,21.935,21.935,100,0
FXNC.US,5,20250729,162500,21.85,21.85,21.85,21.85,100,0
FXNC.US,5,20250729,163000,21.9,21.9,21.9,21.9,100,0
FXNC.US,5,20250729,163500,21.85,21.85,21.85,21.85,100,0
FXNC.US,5,20250729,164000,21.81,21.83,21.81,21.82,400,0
FXNC.US,5,20250729,165500,21.72,21.72,21.72,21.72,100,0
FXNC.US,5,20250729,171500,21.7,21.7,21.7,21.7,100,0
FXNC.US,5,20250729,172000,21.767,21.767,21.767,21.767,100,0
FXNC.US,5,20250729,182000,21.65,21.65,21.65,21.65,100,0
FXNC.US,5,20250729,183000,21.68,21.68,21.68,21.68,100,0
FXNC.US,5,20250729,185000,21.74,21.74,21.74,21.74,100,0
FXNC.US,5,20250729,190500,21.7,21.7,21.7,21.7,167,0
FXNC.US,5,20250729,191000,21.75,21.75,21.75,21.75,232,0
FXNC.US,5,20250729,195500,21.62,21.68,21.62,21.68,200,0
FXNC.US,5,20250729,202500,21.685,21.685,21.685,21.685,100,0
FXNC.US,5,20250729,204000,21.65,21.65,21.65,21.65,100,0
FXNC.US,5,20250729,205000,21.69,21.69,21.69,21.69,100,0
FXNC.US,5,20250729,211500,21.635,21.635,21.635,21.635,100,0
FXNC.US,5,20250729,213000,21.64,21.64,21.6,21.6,200,0
FXNC.US,5,20250729,213500,21.6,21.6,21.6,21.6,200,0
FXNC.US,5,20250729,214000,21.6,21.6,21.6,21.6,100,0
FXNC.US,5,20250729,215000,21.59,21.63,21.59,21.63,400,0
FXNC.US,5,20250729,215500,21.68,21.7,21.68,21.7,338,0
FXNC.US,5,20250730,153500,22,22.4,22,22.4,200,0
FXNC.US,5,20250730,154500,22.47,22.5,22.47,22.5,200,0
FXNC.US,5,20250730,155500,22.3,22.31,22.2,22.28,800,0
FXNC.US,5,20250730,160500,22.3,22.3,22.3,22.3,100,0
FXNC.US,5,20250730,164500,22.26,22.26,22.26,22.26,100,0
FXNC.US,5,20250730,165500,22.26,22.26,22.26,22.26,400,0
FXNC.US,5,20250730,170000,22.29,22.29,22.29,22.29,100,0
FXNC.US,5,20250730,171500,22.25,22.25,22.25,22.25,183,0
FXNC.US,5,20250730,180500,22.22,22.22,22.22,22.22,100,0
FXNC.US,5,20250730,183000,22.22,22.22,22.22,22.22,600,0
FXNC.US,5,20250730,183500,22.15,22.15,22.15,22.15,100,0
FXNC.US,5,20250730,184000,22.17,22.18,22.15,22.18,400,0
FXNC.US,5,20250730,184500,22.17,22.17,22.17,22.17,100,0
FXNC.US,5,20250730,185500,22.17,22.17,22.17,22.17,200,0
FXNC.US,5,20250730,190000,22.17,22.17,22.16,22.16,200,0
FXNC.US,5,20250730,191500,22.12,22.12,22.1,22.1,800,0
FXNC.US,5,20250730,192000,22.055,22.055,22.055,22.055,100,0
FXNC.US,5,20250730,194500,22.0201,22.0201,22.0201,22.0201,100,0
FXNC.US,5,20250730,200000,21.87,21.875,21.87,21.875,200,0
FXNC.US,5,20250730,201500,21.91,21.93,21.91,21.93,200,0
FXNC.US,5,20250730,202500,21.95,22.08,21.95,22.025,1100,0
FXNC.US,5,20250730,203000,22.03,22.14,22.025,22.14,300,0
FXNC.US,5,20250730,204000,22,22.01,22,22.01,300,0
FXNC.US,5,20250730,204500,21.97,21.97,21.97,21.97,100,0
FXNC.US,5,20250730,205500,21.9,21.9,21.9,21.9,285,0
FXNC.US,5,20250730,210000,21.78,21.78,21.76,21.76,200,0
FXNC.US,5,20250730,212500,21.55,21.55,21.55,21.55,127,0
FXNC.US,5,20250730,214000,21.51,21.51,21.5,21.5,200,0
FXNC.US,5,20250730,214500,21.56,21.56,21.56,21.56,127,0
FXNC.US,5,20250730,215000,21.52,21.707,21.52,21.6,657,0
FXNC.US,5,20250730,215500,21.63,21.7,21.63,21.69,3781,0
FXNC.US,5,20250731,153000,21.64,21.64,21.6,21.63,1651,0
FXNC.US,5,20250731,153500,21.6,21.64,21.6,21.64,300,0
