<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GCLWW.US,5,20250728,215000,0.1135,0.12,0.1,0.1004,5561,0
GCLWW.US,5,20250728,215500,0.0958,0.1014,0.09,0.09,9238,0
GCLWW.US,5,20250730,193000,0.1006,0.1006,0.1006,0.1006,200,0
GCLWW.US,5,20250730,201500,0.1,0.1,0.0999,0.0999,404,0
GCLWW.US,5,20250730,214000,0.1,0.1,0.0962,0.1,13480,0
GCLWW.US,5,20250730,215000,0.1058,0.1058,0.1058,0.1058,100,0
GCLWW.US,5,20250731,153000,0.1099,0.11,0.1099,0.11,700,0
GCLWW.US,5,20250731,153500,0.13,0.1428,0.13,0.1428,1300,0
GCLWW.US,5,20250731,155000,0.14,0.142,0.1344,0.1344,200200,0
GCLWW.US,5,20250731,155500,0.142,0.142,0.13,0.13,1955,0
GCLWW.US,5,20250731,160000,0.1288,0.1288,0.1288,0.1288,200,0
GCLWW.US,5,20250731,162500,0.12,0.13,0.12,0.129,15480,0
GCLWW.US,5,20250731,163000,0.1059,0.1061,0.1059,0.1061,600,0
GCLWW.US,5,20250731,163500,0.1198,0.13,0.1198,0.129,3461,0
GCLWW.US,5,20250731,164000,0.1298,0.13,0.1298,0.13,3200,0
GCLWW.US,5,20250731,164500,0.13,0.13,0.1299,0.13,4098,0
GCLWW.US,5,20250731,165000,0.12,0.1247,0.1102,0.1247,108828,0
GCLWW.US,5,20250731,173500,0.13,0.13,0.1225,0.13,10200,0
GCLWW.US,5,20250731,175500,0.13,0.13,0.1252,0.1252,3000,0
GCLWW.US,5,20250731,185000,0.12,0.1212,0.12,0.1211,12116,0
GCLWW.US,5,20250731,192000,0.1225,0.1225,0.1225,0.1225,350,0
GCLWW.US,5,20250731,193000,0.1213,0.12135,0.12,0.12,5236,0
GCLWW.US,5,20250731,193500,0.1103,0.1103,0.1102,0.1102,600,0
GCLWW.US,5,20250731,213500,0.1108,0.1108,0.1107,0.1107,3000,0
GCLWW.US,5,20250801,155500,0.1059,0.110051,0.100201,0.100201,14000,0
GCLWW.US,5,20250801,163500,0.1001,0.1001,0.1001,0.1001,987,0
GCLWW.US,5,20250801,204500,0.1003,0.1003,0.1001,0.1001,226,0
GCLWW.US,5,20250801,214000,0.1,0.1,0.1,0.1,1000,0
GCLWW.US,5,20250801,214500,0.1,0.1004,0.1,0.1004,4474,0
GCLWW.US,5,20250804,182000,0.1001,0.1002,0.1001,0.1002,1398,0
GCLWW.US,5,20250805,153000,0.1,0.1,0.1,0.1,1000,0
GCLWW.US,5,20250805,172500,0.1,0.1,0.1,0.1,587,0
GCLWW.US,5,20250805,215500,0.1135,0.1135,0.1135,0.1135,1631,0
GCLWW.US,5,20250806,212500,0.1,0.1002,0.1,0.1002,2400,0
GCLWW.US,5,20250806,213000,0.1037,0.1037,0.1037,0.1037,1196,0
GCLWW.US,5,20250807,200500,0.1002,0.1002,0.1002,0.1002,1000,0
GCLWW.US,5,20250808,214500,0.1,0.1199,0.1,0.1,3985,0
GCLWW.US,5,20250808,215000,0.1,0.1,0.1,0.1,2000,0
GCLWW.US,5,20250812,153000,0.1001,0.1001,0.1,0.1,3154,0
GCLWW.US,5,20250812,214500,0.09,0.09,0.0801,0.0802,8427,0
GCLWW.US,5,20250812,215000,0.0803,0.082651,0.0803,0.082651,2000,0
GCLWW.US,5,20250812,215500,0.0804,0.0804,0.0804,0.0804,100,0
GCLWW.US,5,20250813,154000,0.075,0.075,0.075,0.075,10000,0
GCLWW.US,5,20250813,213500,0.078001,0.078001,0.078001,0.078001,1000,0
GCLWW.US,5,20250813,214000,0.078,0.078,0.0711,0.0711,2000,0
GCLWW.US,5,20250813,214500,0.0781,0.0781,0.0781,0.0781,1000,0
GCLWW.US,5,20250813,215000,0.0713,0.0715,0.0713,0.0715,2000,0
GCLWW.US,5,20250813,215500,0.0714,0.0714,0.0714,0.0714,1000,0
GCLWW.US,5,20250814,153000,0.071,0.071,0.071,0.071,1000,0
