<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEN.US,5,20250728,153000,30.65,30.705,30.525,30.56,32798,0
GEN.US,5,20250728,153500,30.575,30.59,30.55,30.55,6208,0
GEN.US,5,20250728,154000,30.53,30.584,30.52,30.57,7208,0
GEN.US,5,20250728,154500,30.565,30.57,30.48,30.49,11092,0
GEN.US,5,20250728,155000,30.4731,30.53,30.47,30.52,4871,0
GEN.US,5,20250728,155500,30.51,30.54,30.485,30.505,6905,0
GEN.US,5,20250728,160000,30.505,30.535,30.48,30.535,9443,0
GEN.US,5,20250728,160500,30.54,30.5665,30.51,30.51,8898,0
GEN.US,5,20250728,161000,30.505,30.515,30.445,30.455,26011,0
GEN.US,5,20250728,161500,30.455,30.455,30.39,30.395,13537,0
GEN.US,5,20250728,162000,30.4,30.435,30.34,30.425,14068,0
GEN.US,5,20250728,162500,30.4299,30.445,30.42,30.42,5671,0
GEN.US,5,20250728,163000,30.425,30.435,30.365,30.365,31310,0
GEN.US,5,20250728,163500,30.365,30.42,30.365,30.395,11748,0
GEN.US,5,20250728,164000,30.4,30.435,30.395,30.435,8571,0
GEN.US,5,20250728,164500,30.4301,30.4301,30.405,30.415,8985,0
GEN.US,5,20250728,165000,30.415,30.415,30.375,30.375,4834,0
GEN.US,5,20250728,165500,30.375,30.4,30.375,30.395,9339,0
GEN.US,5,20250728,170000,30.3964,30.425,30.3923,30.425,5555,0
GEN.US,5,20250728,170500,30.425,30.445,30.415,30.44,7530,0
GEN.US,5,20250728,171000,30.43,30.455,30.43,30.455,10750,0
GEN.US,5,20250728,171500,30.455,30.455,30.4,30.405,7924,0
GEN.US,5,20250728,172000,30.405,30.435,30.395,30.435,7876,0
GEN.US,5,20250728,172500,30.435,30.44,30.42,30.435,6361,0
GEN.US,5,20250728,173000,30.435,30.47,30.435,30.465,7845,0
GEN.US,5,20250728,173500,30.4666,30.475,30.4576,30.475,10187,0
GEN.US,5,20250728,174000,30.475,30.485,30.47,30.485,7997,0
GEN.US,5,20250728,174500,30.485,30.485,30.48,30.485,5718,0
GEN.US,5,20250728,175000,30.485,30.505,30.485,30.505,4280,0
GEN.US,5,20250728,175500,30.5064,30.51,30.5,30.5,1918,0
GEN.US,5,20250728,180000,30.5,30.51,30.495,30.51,2945,0
GEN.US,5,20250728,180500,30.51,30.52,30.505,30.51,4315,0
GEN.US,5,20250728,181000,30.5001,30.54,30.5001,30.54,37285,0
GEN.US,5,20250728,181500,30.547,30.605,30.54,30.595,19475,0
GEN.US,5,20250728,182000,30.5903,30.605,30.585,30.595,3358,0
GEN.US,5,20250728,182500,30.595,30.595,30.555,30.555,6726,0
GEN.US,5,20250728,183000,30.555,30.56,30.555,30.555,2151,0
GEN.US,5,20250728,183500,30.56,30.6,30.56,30.595,7025,0
GEN.US,5,20250728,184000,30.595,30.6,30.585,30.5898,8995,0
GEN.US,5,20250728,184500,30.585,30.585,30.55,30.5518,10443,0
GEN.US,5,20250728,185000,30.555,30.595,30.555,30.565,9229,0
GEN.US,5,20250728,185500,30.565,30.57,30.565,30.57,1200,0
GEN.US,5,20250728,190000,30.565,30.6,30.565,30.6,25161,0
GEN.US,5,20250728,190500,30.595,30.595,30.5815,30.585,1378,0
GEN.US,5,20250728,191000,30.58,30.585,30.575,30.585,11959,0
GEN.US,5,20250728,191500,30.585,30.6,30.555,30.555,12044,0
GEN.US,5,20250728,192000,30.55,30.555,30.54,30.54,7838,0
GEN.US,5,20250728,192500,30.545,30.55,30.515,30.5197,7135,0
GEN.US,5,20250728,193000,30.515,30.525,30.515,30.515,5851,0
GEN.US,5,20250728,193500,30.515,30.53,30.515,30.525,2735,0
GEN.US,5,20250728,194000,30.53,30.55,30.53,30.545,4297,0
GEN.US,5,20250728,194500,30.545,30.555,30.545,30.545,8143,0
GEN.US,5,20250728,195000,30.55,30.555,30.5391,30.5401,9234,0
GEN.US,5,20250728,195500,30.545,30.555,30.535,30.54,28270,0
GEN.US,5,20250728,200000,30.54,30.575,30.525,30.525,14461,0
GEN.US,5,20250728,200500,30.53,30.53,30.515,30.5202,4449,0
GEN.US,5,20250728,201000,30.52,30.53,30.52,30.5299,2152,0
GEN.US,5,20250728,201500,30.53,30.535,30.5247,30.525,6105,0
GEN.US,5,20250728,202000,30.53,30.53,30.52,30.525,3695,0
GEN.US,5,20250728,202500,30.525,30.545,30.525,30.545,4355,0
GEN.US,5,20250728,203000,30.55,30.56,30.545,30.5599,3844,0
GEN.US,5,20250728,203500,30.555,30.56,30.55,30.555,3365,0
