<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSHD.US,5,20250728,153000,87.78,89.115,87.415,87.62,5612,0
GSHD.US,5,20250728,153500,87.39,87.39,87.39,87.39,100,0
GSHD.US,5,20250728,154000,87.66,87.78,87.6,87.6,1017,0
GSHD.US,5,20250728,154500,87.61,87.705,87.18,87.245,4420,0
GSHD.US,5,20250728,155000,87.23,87.23,87.225,87.225,1050,0
GSHD.US,5,20250728,155500,87.225,87.345,87.195,87.345,1132,0
GSHD.US,5,20250728,160000,87.295,88.11,87.295,88.035,3461,0
GSHD.US,5,20250728,160500,88.21,88.21,88.21,88.21,100,0
GSHD.US,5,20250728,161000,88.155,88.29,88.15,88.2709,877,0
GSHD.US,5,20250728,161500,88.225,88.3,87.75,87.75,7446,0
GSHD.US,5,20250728,162500,87.245,87.245,87.245,87.245,100,0
GSHD.US,5,20250728,163000,87.01,87.01,86.71,86.71,2435,0
GSHD.US,5,20250728,163500,86.49,86.49,86.49,86.49,100,0
GSHD.US,5,20250728,164000,86.49,86.49,85.705,85.9,5412,0
GSHD.US,5,20250728,164500,85.885,85.885,85.85,85.87,800,0
GSHD.US,5,20250728,165000,85.56,85.56,84.97,85.405,3416,0
GSHD.US,5,20250728,165500,85.44,85.44,85.44,85.44,100,0
GSHD.US,5,20250728,170000,85.57,85.57,85.57,85.57,100,0
GSHD.US,5,20250728,170500,85.46,85.46,84.91,85.18,2568,0
GSHD.US,5,20250728,171000,85.2765,85.36,85.25,85.36,464,0
GSHD.US,5,20250728,171500,85.27,85.27,84.94,85.08,2435,0
GSHD.US,5,20250728,172000,85.11,85.11,85.075,85.075,400,0
GSHD.US,5,20250728,172500,84.7467,85.4099,84.7467,85.33,700,0
GSHD.US,5,20250728,173000,85.105,85.7099,85.01,85.59,3600,0
GSHD.US,5,20250728,173500,85.51,85.88,85.38,85.88,2029,0
GSHD.US,5,20250728,174000,85.79,85.79,85.61,85.7,1556,0
GSHD.US,5,20250728,174500,85.7713,85.89,85.61,85.89,1082,0
GSHD.US,5,20250728,175000,85.79,85.97,85.62,85.62,905,0
GSHD.US,5,20250728,175500,85.61,85.78,85.38,85.69,2529,0
GSHD.US,5,20250728,180000,85.75,85.8241,85.75,85.8241,1551,0
GSHD.US,5,20250728,180500,85.81,85.81,85.57,85.57,600,0
GSHD.US,5,20250728,181000,85.735,86.03,85.62,85.99,2880,0
GSHD.US,5,20250728,181500,85.99,85.99,85.33,85.33,4042,0
GSHD.US,5,20250728,182000,85.33,85.4725,85.13,85.13,2900,0
GSHD.US,5,20250728,182500,85.135,85.3348,85.135,85.3348,800,0
GSHD.US,5,20250728,183000,85.42,85.42,85.335,85.335,600,0
GSHD.US,5,20250728,183500,85.22,85.44,85.17,85.44,2971,0
GSHD.US,5,20250728,184000,85.27,85.2764,85.13,85.2,600,0
GSHD.US,5,20250728,184500,85.16,85.2764,85.01,85.26,3589,0
GSHD.US,5,20250728,185000,85.11,85.1774,85,85.04,1603,0
GSHD.US,5,20250728,185500,85.12,85.13,85.08,85.08,800,0
GSHD.US,5,20250728,190000,85.09,85.31,85.09,85.24,1450,0
GSHD.US,5,20250728,190500,85.16,85.17,84.84,84.99,4376,0
GSHD.US,5,20250728,191000,85,85,84.7,84.7,2800,0
GSHD.US,5,20250728,191500,84.6816,85.035,84.6371,85.035,2300,0
GSHD.US,5,20250728,192000,85.2403,86.095,85.21809,85.83,20600,0
GSHD.US,5,20250728,192500,85.4501,85.88,85.4501,85.7,4308,0
GSHD.US,5,20250728,193000,85.7,85.7,85.2,85.4225,6609,0
GSHD.US,5,20250728,193500,85.52,85.53,85.485,85.495,600,0
GSHD.US,5,20250728,194000,85.495,85.495,85.36,85.415,1400,0
GSHD.US,5,20250728,194500,85.415,85.61,85.415,85.58,700,0
GSHD.US,5,20250728,195000,85.53,85.53,85.175,85.2,1904,0
GSHD.US,5,20250728,195500,85.1,85.18,84.96,84.96,1197,0
GSHD.US,5,20250728,200000,85.12,85.5,85.12,85.345,2200,0
GSHD.US,5,20250728,200500,85.345,85.385,85.325,85.325,517,0
GSHD.US,5,20250728,201000,85.325,85.325,85.325,85.325,300,0
GSHD.US,5,20250728,201500,85.325,86.255,85.28,85.815,14761,0
GSHD.US,5,20250728,202000,85.735,86.17,85.7225,85.9984,5311,0
GSHD.US,5,20250728,202500,86.0127,86.17,85.975,86.035,1470,0
GSHD.US,5,20250728,203000,86.15,86.15,85.45,85.47,6961,0
GSHD.US,5,20250728,203500,85.5,85.59,85.41,85.52,1516,0
GSHD.US,5,20250728,204000,85.52,85.52,85.16,85.16,1980,0
GSHD.US,5,20250728,205000,85.02,85.22,85.02,85.155,1700,0
GSHD.US,5,20250728,205500,85.15,85.24,85.14,85.17,1000,0
GSHD.US,5,20250728,210000,85.15,85.17,84.945,84.98,2988,0
GSHD.US,5,20250728,210500,85.08,85.15,85.015,85.15,710,0
GSHD.US,5,20250728,211000,85.04,85.04,84.73,84.775,3130,0
GSHD.US,5,20250728,211500,84.8107,85,84.775,84.865,4353,0
GSHD.US,5,20250728,212000,84.88,84.88,84.79,84.79,400,0
GSHD.US,5,20250728,212500,84.96,84.97,84.69,84.69,2100,0
GSHD.US,5,20250728,213000,84.675,84.83,84.675,84.76,6728,0
GSHD.US,5,20250728,213500,84.83,85.02,84.8,85.02,1300,0
GSHD.US,5,20250728,214000,85.02,85.045,84.96,84.96,1200,0
GSHD.US,5,20250728,214500,84.92,85.07,84.915,84.995,2400,0
GSHD.US,5,20250728,215000,84.87,84.98,84.72,84.865,5800,0
GSHD.US,5,20250728,215500,84.87,85.06,84.74,84.9,73433,0
GSHD.US,5,20250729,153000,85.58,86.985,85.17,85.84,7029,0
GSHD.US,5,20250729,153500,86.135,86.135,86.135,86.135,200,0
GSHD.US,5,20250729,154000,85.66,85.66,85.66,85.66,100,0
GSHD.US,5,20250729,154500,85.66,85.66,85.53,85.53,753,0
GSHD.US,5,20250729,155000,85.525,85.525,85.435,85.435,200,0
GSHD.US,5,20250729,155500,85.07,85.07,84.815,85.03,3849,0
GSHD.US,5,20250729,160000,85.155,85.465,85,85.465,1495,0
GSHD.US,5,20250729,160500,85.4125,85.655,85.2,85.655,1441,0
GSHD.US,5,20250729,161000,85.97,85.985,85.63,85.715,727,0
GSHD.US,5,20250729,161500,85.715,85.715,85.715,85.715,303,0
GSHD.US,5,20250729,162000,85.715,86.275,85.715,86.25,3349,0
GSHD.US,5,20250729,162500,86.165,86.165,85.9,86.15,7853,0
GSHD.US,5,20250729,163000,86.16,86.55,86.03,86.55,2196,0
GSHD.US,5,20250729,163500,86.72,87.185,86.66,87.185,1164,0
GSHD.US,5,20250729,164000,87.11,87.11,86.51,86.51,6293,0
GSHD.US,5,20250729,164500,86.51,86.51,86.51,86.51,200,0
GSHD.US,5,20250729,165000,86.51,86.71,86.24,86.71,7037,0
GSHD.US,5,20250729,165500,86.7,86.7,86.7,86.7,100,0
GSHD.US,5,20250729,170000,86.615,86.615,86.615,86.615,500,0
GSHD.US,5,20250729,170500,86.615,86.845,86.51,86.615,1725,0
GSHD.US,5,20250729,171000,86.685,87,86.685,86.76,400,0
GSHD.US,5,20250729,171500,86.745,87.07,86.745,87.07,300,0
GSHD.US,5,20250729,172000,86.925,86.955,86.19,86.19,9952,0
GSHD.US,5,20250729,172500,86.23,86.38,86.17,86.34,1300,0
GSHD.US,5,20250729,173000,86.4,86.53,86.22,86.22,4374,0
GSHD.US,5,20250729,173500,86.09,86.09,86.02,86.05,300,0
GSHD.US,5,20250729,174000,86.045,86.34,86.045,86.34,708,0
GSHD.US,5,20250729,174500,86.28,86.28,86.225,86.225,300,0
GSHD.US,5,20250729,175000,86.225,86.56,85.79,86.32,6799,0
GSHD.US,5,20250729,175500,86.37,86.37,86.37,86.37,100,0
GSHD.US,5,20250729,180000,86.26,86.3,86.15,86.26,2000,0
GSHD.US,5,20250729,180500,86.46,86.61,86.3,86.56,1400,0
GSHD.US,5,20250729,181000,86.56,87.5,86.56,87.05,10855,0
GSHD.US,5,20250729,181500,86.83,87,86.8,87,951,0
GSHD.US,5,20250729,182000,86.875,87.12,86.875,87.12,200,0
GSHD.US,5,20250729,182500,87.12,87.72,87.08,87.72,1300,0
GSHD.US,5,20250729,183000,87.555,87.67,87.39,87.54,2250,0
GSHD.US,5,20250729,183500,87.68,88.1,87.57,88.1,8051,0
GSHD.US,5,20250729,184000,87.83,87.83,87.785,87.785,798,0
GSHD.US,5,20250729,184500,87.78,87.835,87.775,87.835,650,0
GSHD.US,5,20250729,185000,87.765,87.945,87.765,87.81,1269,0
GSHD.US,5,20250729,185500,87.81,88.21,87.81,88.19,2749,0
GSHD.US,5,20250729,190000,88.14,88.14,87.98,88.12,6376,0
GSHD.US,5,20250729,190500,88.19,88.565,88.0633,88.0633,1341,0
GSHD.US,5,20250729,191000,88.12,88.28,88.12,88.23,742,0
GSHD.US,5,20250729,191500,88.23,88.38,87.96,87.96,8430,0
GSHD.US,5,20250729,192000,87.83,87.83,87.765,87.765,395,0
GSHD.US,5,20250729,192500,87.84,87.89,87.84,87.89,498,0
GSHD.US,5,20250729,193000,87.79,87.79,87.785,87.785,200,0
GSHD.US,5,20250729,193500,87.9399,88.28,87.775,88.22,5676,0
GSHD.US,5,20250729,194000,88.14,88.23,87.77,87.84,4522,0
GSHD.US,5,20250729,194500,87.73,87.73,87.51,87.665,900,0
GSHD.US,5,20250729,195000,87.655,87.695,87.56,87.56,1000,0
GSHD.US,5,20250729,195500,87.69,87.875,87.581,87.875,2400,0
GSHD.US,5,20250729,200000,87.65,87.65,87.03,87.1575,13392,0
GSHD.US,5,20250729,200500,86.95,87.455,86.95,87.455,800,0
GSHD.US,5,20250729,201000,87.2,87.605,87.2,87.605,1120,0
GSHD.US,5,20250729,201500,87.58,87.58,87.525,87.525,500,0
GSHD.US,5,20250729,202000,87.52,87.52,87.515,87.515,200,0
GSHD.US,5,20250729,202500,87.52,87.76,87.52,87.76,997,0
GSHD.US,5,20250729,203000,87.62,87.62,87.595,87.595,200,0
GSHD.US,5,20250729,203500,87.47,87.65,87.31,87.65,10545,0
GSHD.US,5,20250729,204000,87.58,87.65,87.57,87.605,820,0
GSHD.US,5,20250729,204500,87.595,87.67,87.5,87.65,3389,0
GSHD.US,5,20250729,205000,87.5655,87.67,87.4,87.52,5462,0
GSHD.US,5,20250729,205500,87.58,87.635,87.485,87.63,1000,0
GSHD.US,5,20250729,210500,87.63,87.64,87.55,87.55,900,0
GSHD.US,5,20250729,211000,87.55,87.55,86.61,86.915,5724,0
GSHD.US,5,20250729,211500,86.95,86.95,86.7691,86.7691,277,0
GSHD.US,5,20250729,212000,86.9,86.94,86.89,86.9,1564,0
GSHD.US,5,20250729,212500,86.86,86.86,86.39,86.69,7574,0
GSHD.US,5,20250729,213000,86.69,86.695,86.35,86.48,6592,0
GSHD.US,5,20250729,213500,86.52,86.85,86.52,86.78,1324,0
GSHD.US,5,20250729,214000,86.78,86.78,86.515,86.54,2880,0
GSHD.US,5,20250729,214500,86.54,86.7,86.46,86.7,2200,0
GSHD.US,5,20250729,215000,86.665,86.79,86.5,86.74,4089,0
GSHD.US,5,20250729,215500,86.66,86.97,86.66,86.97,14735,0
GSHD.US,5,20250730,153000,86.49,87,86.49,86.995,2047,0
GSHD.US,5,20250730,153500,87.5,87.52,87.5,87.5,1655,0
GSHD.US,5,20250730,154000,87,88.47,86.585,88.405,13439,0
GSHD.US,5,20250730,154500,88.47,88.99,87.98,88.49,3100,0
GSHD.US,5,20250730,155000,89,90.69,88.886,90.505,5806,0
GSHD.US,5,20250730,155500,90.24,90.535,89.92,89.92,12101,0
GSHD.US,5,20250730,160000,90,90.25,89.84,90.25,900,0
GSHD.US,5,20250730,160500,88.94,90.2,88.94,90.135,1500,0
GSHD.US,5,20250730,161000,90,90.77,89.79,89.79,8629,0
GSHD.US,5,20250730,161500,89.59,90.64,89.59,90.39,1981,0
GSHD.US,5,20250730,162000,90.49,91.13,90.205,90.83,7674,0
GSHD.US,5,20250730,162500,90.69,90.88,90.4,90.4,900,0
GSHD.US,5,20250730,163000,90.27,90.68,90.27,90.51,1720,0
GSHD.US,5,20250730,163500,90.36,90.6,90.34,90.34,1108,0
GSHD.US,5,20250730,164000,90.565,90.64,89.9946,89.9946,3346,0
GSHD.US,5,20250730,164500,90.1,90.385,89.92,90.24,5134,0
GSHD.US,5,20250730,165000,90.25,90.25,90,90.17,4682,0
GSHD.US,5,20250730,165500,90,90.485,90,90.41,1300,0
GSHD.US,5,20250730,170000,90.555,90.78,90.37,90.375,3553,0
GSHD.US,5,20250730,170500,90.245,90.53,90.245,90.53,1531,0
GSHD.US,5,20250730,171000,90.44,90.505,90.44,90.505,200,0
GSHD.US,5,20250730,171500,90.65,90.66,90.35,90.35,1274,0
GSHD.US,5,20250730,172000,90.1,90.1,90.1,90.1,100,0
GSHD.US,5,20250730,172500,90.1,90.18,90.1,90.18,400,0
GSHD.US,5,20250730,173000,90.24,90.3,90.195,90.3,1088,0
GSHD.US,5,20250730,173500,90.21,90.21,90,90,3633,0
GSHD.US,5,20250730,174000,89.96,89.96,89.96,89.96,100,0
GSHD.US,5,20250730,174500,89.9,90.09,89.7683,90.09,646,0
GSHD.US,5,20250730,175000,89.81,89.95,89.81,89.95,808,0
GSHD.US,5,20250730,175500,90.01,90.01,89.99,89.99,200,0
GSHD.US,5,20250730,180000,89.96,89.96,89.96,89.96,400,0
GSHD.US,5,20250730,180500,90.09,90.5,90.077,90.49,4500,0
GSHD.US,5,20250730,181000,90.5,90.5,90.29,90.29,300,0
GSHD.US,5,20250730,181500,90.435,90.435,90.435,90.435,100,0
GSHD.US,5,20250730,182000,90.41,90.41,90.41,90.41,400,0
GSHD.US,5,20250730,182500,90.39,90.61,90.39,90.61,1580,0
GSHD.US,5,20250730,183000,90.585,90.65,90.485,90.65,512,0
GSHD.US,5,20250730,183500,90.7,90.7,90.7,90.7,100,0
GSHD.US,5,20250730,184000,90.72,90.88,90.72,90.88,1327,0
GSHD.US,5,20250730,184500,90.785,90.95,90.785,90.915,578,0
GSHD.US,5,20250730,185000,90.775,90.775,90.775,90.775,200,0
GSHD.US,5,20250730,185500,90.77,90.78,90.665,90.665,430,0
GSHD.US,5,20250730,190000,90.68,90.88,90.68,90.875,2686,0
GSHD.US,5,20250730,190500,90.98,90.98,90.94,90.94,200,0
GSHD.US,5,20250730,191500,90.88,90.89,90.88,90.88,412,0
GSHD.US,5,20250730,192000,90.855,91.235,90.75,91.235,3328,0
GSHD.US,5,20250730,192500,91.205,91.205,91.05,91.12,2050,0
