<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GURE.US,5,20250728,153000,6.5985,6.5985,6.5985,6.5985,74.2,0
GURE.US,5,20250728,162000,6.642,6.642,6.642,6.642,70,0
GURE.US,5,20250728,163000,6.642,6.642,6.642,6.642,50,0
GURE.US,5,20250728,165000,6.641,6.641,6.6,6.6,140,0
GURE.US,5,20250728,170000,6.555,6.555,6.555,6.555,10,0
GURE.US,5,20250728,170500,6.5545,6.5545,6.5545,6.5545,10,0
GURE.US,5,20250728,171500,6.598,6.598,6.598,6.598,15,0
GURE.US,5,20250728,172500,6.598,6.598,6.598,6.598,29.5,0
GURE.US,5,20250728,174000,6.597,6.6,6.576,6.6,200,0
GURE.US,5,20250728,175500,6.555,6.555,6.555,6.555,20,0
GURE.US,5,20250728,180000,6.599,6.599,6.55449,6.55449,40,0
GURE.US,5,20250728,180500,6.599,6.599,6.599,6.599,30,0
GURE.US,5,20250728,183500,6.6,6.6,6.6,6.6,15.5,0
GURE.US,5,20250728,184500,6.686,6.686,6.686,6.686,10,0
GURE.US,5,20250728,190500,6.687,6.687,6.687,6.687,14.200000000000001,0
GURE.US,5,20250728,191500,6.69699,6.69699,6.69699,6.69699,40,0
GURE.US,5,20250728,202500,6.60001,6.693,6.60001,6.693,22.5,0
GURE.US,5,20250728,215000,6.6,6.6,6.6,6.6,54.400000000000006,0
GURE.US,5,20250728,215500,6.68,6.68,6.68,6.68,10,0
GURE.US,5,20250729,153000,6.46901,6.509,6.46901,6.509,110.7,0
GURE.US,5,20250729,153500,6.509,6.51,6.468,6.51,140,0
GURE.US,5,20250729,154000,6.509,6.509,6.509,6.509,155,0
GURE.US,5,20250729,154500,6.562,6.5975,6.511,6.511,105,0
GURE.US,5,20250729,155500,6.509,6.5975,6.509,6.5975,270.2,0
GURE.US,5,20250729,160500,6.509,6.509,6.509,6.509,12.4,0
GURE.US,5,20250729,170500,6.686,6.686,6.686,6.686,15.200000000000001,0
GURE.US,5,20250729,173000,6.686,6.686,6.686,6.686,20,0
GURE.US,5,20250729,183000,6.509,6.599,6.509,6.599,101.5,0
GURE.US,5,20250729,183500,6.509,6.51,6.509,6.51,110,0
GURE.US,5,20250729,184000,6.7,6.7,6.698,6.698,20.5,0
GURE.US,5,20250729,205500,6.627,6.627,6.627,6.627,10,0
GURE.US,5,20250729,210500,6.596,6.632,6.555,6.60793,307.8,0
GURE.US,5,20250729,211000,6.555,6.6275,6.555,6.6275,20,0
GURE.US,5,20250729,211500,6.56,6.606,6.56,6.606,50,0
GURE.US,5,20250729,213000,6.6,6.7,6.555,6.7,332.40000000000003,0
GURE.US,5,20250730,153000,6.509,6.509,6.509,6.509,10,0
GURE.US,5,20250730,154500,6.581,6.581,6.581,6.581,60.6,0
GURE.US,5,20250730,160500,6.7,6.7,6.7,6.7,10,0
GURE.US,5,20250730,163500,6.509,6.509,6.509,6.509,100,0
GURE.US,5,20250730,164500,6.6,6.6,6.6,6.6,25,0
GURE.US,5,20250730,165000,6.67,6.67,6.67,6.67,10,0
GURE.US,5,20250730,170500,6.67,6.68,6.67,6.68,20,0
GURE.US,5,20250730,173500,6.6,6.6,6.50901,6.50901,33.800000000000004,0
GURE.US,5,20250730,174500,6.569,6.67,6.569,6.67,30,0
GURE.US,5,20250730,185000,6.68,6.68,6.68,6.68,10,0
GURE.US,5,20250730,190000,6.509,6.509,6.509,6.509,59.1,0
GURE.US,5,20250730,192000,6.501,6.509,6.477,6.477,498.70000000000005,0
GURE.US,5,20250730,195000,6.54251,6.66,6.54251,6.66,30,0
GURE.US,5,20250730,205000,6.538,6.538,6.538,6.538,60,0
GURE.US,5,20250730,205500,6.54251,6.55,6.466,6.55,30,0
GURE.US,5,20250730,211500,6.5,6.5,6.5,6.5,10,0
GURE.US,5,20250730,212000,6.466,6.466,6.466,6.466,10,0
GURE.US,5,20250730,214000,6.451,6.451,6.451,6.451,10,0
GURE.US,5,20250730,215500,6.507,6.66,6.507,6.66,25,0
GURE.US,5,20250731,153000,6.558,6.558,6.43,6.466,207.9,0
GURE.US,5,20250731,153500,6.429,6.429,6.429,6.429,50,0
GURE.US,5,20250731,155000,6.401,6.401,6.401,6.401,10,0
GURE.US,5,20250731,160000,6.505,6.505,6.505,6.505,11.5,0
GURE.US,5,20250731,161500,6.4025,6.4025,6.4025,6.4025,10,0
GURE.US,5,20250731,162000,6.33692,6.33692,6.33692,6.33692,10,0
