<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCAT.US,5,20250728,153000,3.91,3.925,3.88,3.9,14494,0
HCAT.US,5,20250728,153500,3.91,3.92,3.9,3.9,3344,0
HCAT.US,5,20250728,154000,3.9,3.9,3.895,3.895,1234,0
HCAT.US,5,20250728,154500,3.895,3.9,3.8818,3.8818,3425,0
HCAT.US,5,20250728,155000,3.89,3.89,3.89,3.89,806,0
HCAT.US,5,20250728,155500,3.88,3.88,3.86,3.86,1800,0
HCAT.US,5,20250728,160000,3.86,3.89,3.86,3.89,3844,0
HCAT.US,5,20250728,160500,3.8937,3.93,3.8937,3.93,3555,0
HCAT.US,5,20250728,161000,3.93,3.93,3.91,3.93,2300,0
HCAT.US,5,20250728,161500,3.94,3.97,3.94,3.97,2988,0
HCAT.US,5,20250728,162000,3.98,3.9906,3.96,3.96,6377,0
HCAT.US,5,20250728,162500,3.975,3.975,3.975,3.975,400,0
HCAT.US,5,20250728,163000,3.97,3.98,3.965,3.97,5024,0
HCAT.US,5,20250728,163500,3.97,3.9793,3.97,3.97,2996,0
HCAT.US,5,20250728,164000,3.9752,3.99,3.97,3.99,4213,0
HCAT.US,5,20250728,164500,3.995,3.995,3.99,3.99,1000,0
HCAT.US,5,20250728,165000,3.995,4.01,3.995,4.01,2447,0
HCAT.US,5,20250728,165500,4,4.0099,4,4.005,3274,0
HCAT.US,5,20250728,170000,4.01,4.015,4,4,3533,0
HCAT.US,5,20250728,170500,4.005,4.005,4.005,4.005,200,0
HCAT.US,5,20250728,171000,4.01,4.025,4.0099,4.025,3620,0
HCAT.US,5,20250728,171500,4.03,4.04,4.02,4.02,3291,0
HCAT.US,5,20250728,172000,4.025,4.035,4.02,4.03,2814,0
HCAT.US,5,20250728,172500,4.02,4.02,4.02,4.02,100,0
HCAT.US,5,20250728,173000,4.025,4.025,4.015,4.015,1315,0
HCAT.US,5,20250728,173500,4.015,4.03,4.015,4.03,1100,0
HCAT.US,5,20250728,174000,4.02,4.04,4.02,4.04,200,0
HCAT.US,5,20250728,174500,4.03,4.04,4.03,4.03,700,0
HCAT.US,5,20250728,175000,4.04,4.04,4.03,4.03,400,0
HCAT.US,5,20250728,175500,4.03,4.03,4.015,4.015,2108,0
HCAT.US,5,20250728,180000,4.015,4.025,4.015,4.025,1358,0
HCAT.US,5,20250728,180500,4.025,4.045072,4.025,4.04,2596,0
HCAT.US,5,20250728,181000,4.05,4.05,4.04,4.05,1631,0
HCAT.US,5,20250728,181500,4.04,4.08,4.04,4.08,4889,0
HCAT.US,5,20250728,182000,4.07,4.08,4.07,4.07,2526,0
HCAT.US,5,20250728,182500,4.08,4.08,4.0696,4.075,6453,0
HCAT.US,5,20250728,183000,4.075,4.075,4.0648,4.065,3721,0
HCAT.US,5,20250728,183500,4.065,4.065,4.06,4.065,703,0
HCAT.US,5,20250728,184000,4.07,4.07,4.06,4.06,1551,0
HCAT.US,5,20250728,184500,4.055,4.055,4.055,4.055,300,0
HCAT.US,5,20250728,185000,4.059,4.06,4.055,4.055,2426,0
HCAT.US,5,20250728,185500,4.055,4.055,4.055,4.055,536,0
HCAT.US,5,20250728,190000,4.055,4.055,4.05,4.05,300,0
HCAT.US,5,20250728,190500,4.05,4.055,4.045,4.055,940,0
HCAT.US,5,20250728,191000,4.05,4.05,4.04,4.04,800,0
HCAT.US,5,20250728,191500,4.035,4.0391,4.02,4.025,1730,0
HCAT.US,5,20250728,192000,4.0229,4.025,4.02,4.02,2716,0
HCAT.US,5,20250728,192500,4.02,4.035,4.01,4.035,4279,0
HCAT.US,5,20250728,193000,4.04,4.0592,4.04,4.0592,3700,0
HCAT.US,5,20250728,193500,4.06,4.08,4.06,4.07,11637,0
HCAT.US,5,20250728,194000,4.07,4.075,4.07,4.07,800,0
HCAT.US,5,20250728,194500,4.075,4.085,4.07,4.07,18347,0
HCAT.US,5,20250728,195000,4.07,4.07,4.065,4.065,1366,0
HCAT.US,5,20250728,195500,4.0665,4.0665,4.06,4.06,1018,0
HCAT.US,5,20250728,200000,4.06,4.06,4.05,4.05,1687,0
HCAT.US,5,20250728,200500,4.05,4.05,4.045,4.045,800,0
