<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HFBL.US,5,20250728,153000,13.75,13.75,13.75,13.75,199,0
HFBL.US,5,20250730,154000,13.15,13.15,13.15,13.15,199,0
HFBL.US,5,20250731,170000,13.3,13.3,13.3,13.3,112,0
HFBL.US,5,20250731,172500,12.83,12.83,12.83,12.83,100,0
HFBL.US,5,20250804,211500,13.4,13.4,13.4,13.4,500,0
HFBL.US,5,20250804,214500,13.01,13.01,13.01,13.01,200,0
HFBL.US,5,20250805,185000,13.1,13.1,13.1,13.1,200,0
HFBL.US,5,20250805,185500,13.1,13.1,13.1,13.1,100,0
HFBL.US,5,20250805,190000,13.1,13.1,13.1,13.1,107,0
HFBL.US,5,20250807,161000,13.25,13.25,13.25,13.25,100,0
HFBL.US,5,20250808,165000,13.42,13.44,13.42,13.44,3525,0
HFBL.US,5,20250808,165500,13.44,13.44,13.43,13.44,5750,0
HFBL.US,5,20250813,211500,13.32,13.32,13.32,13.32,100,0
HFBL.US,5,20250814,211500,13.25,13.32,13.25,13.32,600,0
HFBL.US,5,20250815,203000,13.43,13.43,13.43,13.43,200,0
HFBL.US,5,20250815,203500,13.43,13.43,13.43,13.43,100,0
HFBL.US,5,20250815,213000,13.42,13.44,13.42,13.44,924,0
HFBL.US,5,20250815,215000,13.44,13.44,13.42,13.42,572,0
HFBL.US,5,20250818,215500,13.31,13.31,13.31,13.31,164,0
HFBL.US,5,20250819,211500,13.44,13.44,13.44,13.44,3671,0
HFBL.US,5,20250819,215500,13.31,13.31,13.31,13.31,121,0
HFBL.US,5,20250820,153000,13.35,13.35,13.35,13.35,279,0
HFBL.US,5,20250820,154500,13.44,13.44,13.44,13.44,200,0
HFBL.US,5,20250820,155000,13.43,13.43,13.43,13.43,5000,0
HFBL.US,5,20250821,212500,13.39,13.39,13.39,13.39,100,0
HFBL.US,5,20250821,215500,13,13,13,13,123,0
HFBL.US,5,20250822,155500,13.0266,13.0266,13.0266,13.0266,160,0
HFBL.US,5,20250822,194000,13.4,13.4,13.4,13.4,700,0
HFBL.US,5,20250827,192000,13.4,13.4,13.4,13.4,100,0
HFBL.US,5,20250827,215500,13.02,13.02,13.02,13.02,270,0
HFBL.US,5,20250828,180000,13.4,13.4,13.4,13.4,1649,0
HFBL.US,5,20250828,180500,13.4,13.4,13.4,13.4,1700,0
HFBL.US,5,20250828,205500,13.4,13.4,13.4,13.4,100,0
HFBL.US,5,20250829,153000,13.39,13.39,13.39,13.39,209,0
HFBL.US,5,20250829,164000,13.34,13.34,13.34,13.34,200,0
HFBL.US,5,20250903,215000,13.65,13.65,13.62,13.62,200,0
HFBL.US,5,20250903,215500,13.62,13.68,13.62,13.68,2473,0
HFBL.US,5,20250904,183000,13.6428,13.6428,13.6428,13.6428,750,0
HFBL.US,5,20250904,194000,13.34,13.68,13.34,13.68,1864,0
HFBL.US,5,20250908,153000,13.67,13.67,13.67,13.67,199,0
HFBL.US,5,20250908,172500,13.5,13.5,13.5,13.5,100,0
HFBL.US,5,20250911,165500,13.57,13.57,13.57,13.57,710,0
HFBL.US,5,20250911,205500,13.644,13.644,13.644,13.644,142,0
HFBL.US,5,20250916,164500,13.6599,13.6599,13.6599,13.6599,300,0
HFBL.US,5,20250916,185000,13.5,13.5,13.5,13.5,445,0
HFBL.US,5,20250917,154000,13.5,13.5,13.5,13.5,16400,0
HFBL.US,5,20250917,201000,13.5,13.5,13.5,13.5,600,0
HFBL.US,5,20250919,202000,13.67,13.67,13.55,13.55,2600,0
HFBL.US,5,20250922,215500,13.67,13.67,13.67,13.67,360,0
HFBL.US,5,20250923,185500,13.45,13.45,13.45,13.45,244,0
HFBL.US,5,20250923,201000,13.73,13.73,13.73,13.73,100,0
HFBL.US,5,20250923,215500,13.65,13.65,13.65,13.65,360,0
HFBL.US,5,20250924,213000,13.66,13.66,13.66,13.66,100,0
HFBL.US,5,20250924,214000,13.66,13.66,13.66,13.66,200,0
HFBL.US,5,20250925,164500,13.73,13.73,13.73,13.73,100,0
HFBL.US,5,20250925,212500,13.72,13.72,13.72,13.72,100,0
HFBL.US,5,20250926,205000,13.74,13.74,13.74,13.74,100,0
HFBL.US,5,20250930,163000,13.77,13.77,13.77,13.77,100,0
HFBL.US,5,20250930,191500,13.77,13.77,13.77,13.77,100,0
HFBL.US,5,20251001,164000,13.77,13.77,13.77,13.77,100,0
HFBL.US,5,20251002,163000,13.77,13.77,13.77,13.77,100,0
HFBL.US,5,20251002,171000,13.712,13.74,13.7,13.74,300,0
HFBL.US,5,20251002,174000,13.78,13.78,13.78,13.78,100,0
HFBL.US,5,20251002,200500,13.8,13.8,13.8,13.8,460,0
HFBL.US,5,20251002,212000,13.7999,13.8,13.7999,13.8,1822,0
HFBL.US,5,20251002,215500,13.8,13.8,13.8,13.8,1211,0
HFBL.US,5,20251003,163000,13.9,13.9,13.9,13.9,100,0
HFBL.US,5,20251006,153000,13.9,13.9,13.9,13.9,108,0
HFBL.US,5,20251007,162500,13.99,13.99,13.99,13.99,100,0
HFBL.US,5,20251007,203000,13.99,13.99,13.99,13.99,100,0
HFBL.US,5,20251008,162500,14,14,14,14,100,0
HFBL.US,5,20251008,163500,14,14,14,14,500,0
HFBL.US,5,20251008,164500,14,14.22,14,14.22,600,0
HFBL.US,5,20251008,165500,14.22,14.22,14.2,14.2,600,0
HFBL.US,5,20251008,175500,14.3,14.3402,14.2,14.3402,1700,0
HFBL.US,5,20251008,180000,14.21,14.275,14.21,14.275,900,0
HFBL.US,5,20251008,185500,14.275,14.275,14.2,14.275,500,0
HFBL.US,5,20251009,191000,14.23,14.23,14.185,14.185,7800,0
HFBL.US,5,20251009,203000,14.2,14.2,14.2,14.2,100,0
HFBL.US,5,20251010,163500,14.15,14.15,14.15,14.15,100,0
HFBL.US,5,20251010,191500,14.15,14.15,14.15,14.15,500,0
HFBL.US,5,20251013,162500,14.2,14.2,14.2,14.2,100,0
HFBL.US,5,20251013,192000,14.19,14.19,14.19,14.19,100,0
HFBL.US,5,20251014,174500,14.1,14.1,14.1,14.1,200,0
HFBL.US,5,20251014,175500,14.01,14.0101,14.01,14.0101,400,0
HFBL.US,5,20251015,200000,14.2,14.2,14.2,14.2,100,0
HFBL.US,5,20251016,153000,14,14,14,14,200,0
HFBL.US,5,20251016,161500,14.073,14.1,14,14.1,599,0
HFBL.US,5,20251016,164000,14.19,14.19,14.19,14.19,100,0
HFBL.US,5,20251016,202500,14.1045,14.1045,14.0001,14.0693,1002,0
HFBL.US,5,20251016,214000,14.18,14.18,14.18,14.18,500,0
HFBL.US,5,20251020,162500,14.17,14.17,14.17,14.17,100,0
HFBL.US,5,20251020,190500,14.15,14.15,14.15,14.15,100,0
HFBL.US,5,20251020,215500,14.1262,14.1262,14.1262,14.1262,250,0
HFBL.US,5,20251021,161500,14.14,14.14,14.14,14.14,100,0
HFBL.US,5,20251021,182500,14.14,14.14,14.14,14.14,100,0
HFBL.US,5,20251021,193500,14.14,14.14,14.14,14.14,100,0
HFBL.US,5,20251022,164000,14.15,14.15,14.15,14.15,300,0
HFBL.US,5,20251022,181500,14.14,14.14,14.14,14.14,100,0
HFBL.US,5,20251022,192500,14.15,14.15,14.15,14.15,100,0
HFBL.US,5,20251023,194000,14.15,14.15,14.15,14.15,100,0
HFBL.US,5,20251024,153000,14.15,14.15,14.15,14.15,125,0
HFBL.US,5,20251024,160000,14.194,14.2,14.19,14.19,875,0
HFBL.US,5,20251024,161000,14.2,14.5,14.2,14.5,1405,0
HFBL.US,5,20251024,162000,14.85,14.85,14.85,14.85,200,0
HFBL.US,5,20251024,162500,14.86,14.86,14.81,14.86,738,0
HFBL.US,5,20251024,183000,14.7,14.7,14.7,14.7,200,0
HFBL.US,5,20251024,184500,14.72,14.72,14.72,14.72,700,0
HFBL.US,5,20251024,191000,14.54,14.54,14.54,14.54,100,0
HFBL.US,5,20251024,204000,14.54,14.54,14.54,14.54,100,0
HFBL.US,5,20251024,205000,14.54,14.54,14.54,14.54,100,0
HFBL.US,5,20251024,215000,14.6,14.6,14.6,14.6,100,0
HFBL.US,5,20251027,161500,14.79,14.79,14.79,14.79,100,0
HFBL.US,5,20251027,203500,14.63,14.63,14.63,14.63,100,0
HFBL.US,5,20251028,150500,14.63,14.63,14.63,14.63,105,0
HFBL.US,5,20251028,154000,14.81,14.81,14.81,14.81,327,0
HFBL.US,5,20251028,164000,15.025,15.025,15.025,15.025,212,0
HFBL.US,5,20251028,191000,14.85,14.9651,14.85,14.9651,373,0
HFBL.US,5,20251028,192500,15,15,15,15,100,0
HFBL.US,5,20251029,161500,15.39,16.125,15.39,16.125,784,0
HFBL.US,5,20251029,165000,16,16,16,16,24866,0
HFBL.US,5,20251029,193000,15.72,15.72,15.72,15.72,125,0
HFBL.US,5,20251029,205500,16.02,16.02,16.01,16.02,400,0
HFBL.US,5,20251030,201000,16.95,16.95,16.95,16.95,100,0
HFBL.US,5,20251031,143000,16.87,16.87,16.87,16.87,214,0
HFBL.US,5,20251031,160500,16.23,16.23,16.23,16.23,266,0
HFBL.US,5,20251031,161000,16.5,16.5,16.5,16.5,100,0
HFBL.US,5,20251031,193500,16.32,16.32,16.32,16.32,940,0
HFBL.US,5,20251104,185500,15.32,15.895,15.32,15.895,349,0
HFBL.US,5,20251105,202500,15.49,15.49,15.49,15.49,100,0
HFBL.US,5,20251107,215000,15.62,15.62,15.62,15.62,194,0
HFBL.US,5,20251107,215500,15.95,15.96,15.95,15.96,400,0
HFBL.US,5,20251110,153000,15.99,15.99,15.99,15.99,607,0
HFBL.US,5,20251110,195000,15.9752,15.9752,15.9752,15.9752,500,0
HFBL.US,5,20251111,160500,15.98,15.98,15.98,15.98,100,0
HFBL.US,5,20251111,214000,15.82,15.86,15.82,15.86,400,0
HFBL.US,5,20251113,190500,15.6,15.6,15.6,15.6,980,0
HFBL.US,5,20251113,213500,15.25,15.25,15.25,15.25,500,0
HFBL.US,5,20251117,193000,15.6348,15.6348,15.6348,15.6348,128,0
HFBL.US,5,20251118,153000,15.36,15.36,15.36,15.36,140,0
HFBL.US,5,20251121,153500,15.3062,15.3062,15.3062,15.3062,177,0
HFBL.US,5,20251128,153000,15.9,15.9,15.9,15.9,212,0
HFBL.US,5,20251128,180000,15.99,15.99,15.98,15.98,5500,0
HFBL.US,5,20251128,181000,16.1,16.1,16.1,16.1,100,0
HFBL.US,5,20251128,181500,15.99,15.99,15.99,15.99,6500,0
HFBL.US,5,20251202,181500,15.6103,15.6103,15.6103,15.6103,100,0
HFBL.US,5,20251204,153000,15.99,15.99,15.99,15.99,200,0
HFBL.US,5,20251204,215000,15.99,15.99,15.99,15.99,100,0
HFBL.US,5,20251204,215500,15.99,15.99,15.99,15.99,195,0
HFBL.US,5,20251208,182000,16,16,16,16,100,0
HFBL.US,5,20251208,184000,15.9,15.9,15.9,15.9,200,0
HFBL.US,5,20251208,204500,16,16,16,16,100,0
HFBL.US,5,20251209,162000,16,16,16,16,100,0
HFBL.US,5,20251209,171000,16.1,16.1,16.1,16.1,2480,0
HFBL.US,5,20251209,172000,16.1,16.1,16.1,16.1,464,0
HFBL.US,5,20251209,214500,16.98,16.98,16.95,16.95,215,0
HFBL.US,5,20251210,153000,16.95,16.95,16.95,16.95,289,0
HFBL.US,5,20251210,173000,17.475,17.475,17.475,17.475,236,0
HFBL.US,5,20251210,194500,17.87,17.87,17.87,17.87,100,0
HFBL.US,5,20251210,200000,17.475,17.475,17.475,17.475,100,0
HFBL.US,5,20251210,205500,18,18,18,18,452,0
HFBL.US,5,20251210,213000,18.88,18.88,18.88,18.88,181,0
HFBL.US,5,20251210,214500,19.2,19.2,19.2,19.2,100,0
HFBL.US,5,20251211,213000,18,18,18,18,194,0
HFBL.US,5,20251215,202500,17.14,17.14,17.14,17.14,149,0
HFBL.US,5,20251215,203000,17.1,17.1,17.1,17.1,100,0
HFBL.US,5,20251215,212000,16.01,16.01,16.01,16.01,237,0
HFBL.US,5,20251216,153000,16.2,16.2,15.392,15.392,255,0
HFBL.US,5,20251216,212500,16.52,17.01,16.4218,16.57,2400,0
HFBL.US,5,20251216,213000,16.49,16.7,16.33,16.69,1985,0
HFBL.US,5,20251216,213500,16.31,16.329,16.12,16.12,1397,0
HFBL.US,5,20251217,162500,15.83,16.39,15.689,16.1768,3200,0
HFBL.US,5,20251217,163000,16.2,16.2,16.1166,16.1166,298,0
HFBL.US,5,20251217,163500,16,16,15.975,15.975,200,0
HFBL.US,5,20251217,171000,15.975,15.99,15.975,15.99,200,0
HFBL.US,5,20251217,184000,15.99,15.99,15.99,15.99,100,0
HFBL.US,5,20251217,204000,16,16,16,16,249,0
HFBL.US,5,20251217,211500,16.23,16.23,16,16,400,0
HFBL.US,5,20251218,204000,15.91,15.91,14.47,15.185,3062,0
HFBL.US,5,20251219,192500,15.07,15.07,15.07,15.07,208,0
HFBL.US,5,20251219,193500,15.2,15.2,15.2,15.2,100,0
HFBL.US,5,20251219,200000,15.491,15.491,15.3222,15.491,1500,0
HFBL.US,5,20251219,200500,16,16,15.95,16,2227,0
HFBL.US,5,20251219,201500,16.03,16.11,16.03,16.11,400,0
HFBL.US,5,20251219,202000,17.61,17.61,17.61,17.61,119,0
HFBL.US,5,20251219,203500,17.1,17.39,17.1,17.39,400,0
HFBL.US,5,20251219,204000,17.79,18.2,17.79,18.2,2459,0
HFBL.US,5,20251219,205000,18.2,18.2,18.18,18.1998,444,0
HFBL.US,5,20251219,212500,17.85,17.99,17.85,17.99,300,0
HFBL.US,5,20251219,214500,17.15,17.3,17.15,17.3,200,0
HFBL.US,5,20251219,215000,17.75,17.75,17.75,17.75,555,0
HFBL.US,5,20251219,215500,17.3,17.3,17.3,17.3,138,0
HFBL.US,5,20251222,155000,16.86,16.86,16.86,16.86,1400,0
HFBL.US,5,20251222,191000,17.06,17.06,17.06,17.06,500,0
