<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HIVE.US,5,20250728,153000,2.32,2.32,2.26,2.2696,389703,0
HIVE.US,5,20250728,153500,2.2606,2.29,2.26,2.27,273960,0
HIVE.US,5,20250728,154000,2.27,2.2868,2.26,2.2603,356827,0
HIVE.US,5,20250728,154500,2.265,2.28,2.2501,2.255,425285,0
HIVE.US,5,20250728,155000,2.2501,2.26,2.25,2.2563,88107,0
HIVE.US,5,20250728,155500,2.2501,2.255,2.23,2.245,356214,0
HIVE.US,5,20250728,160000,2.24,2.25,2.23,2.245,258378,0
HIVE.US,5,20250728,160500,2.2499,2.26,2.24,2.255,190526,0
HIVE.US,5,20250728,161000,2.25,2.27,2.24,2.2603,345287,0
HIVE.US,5,20250728,161500,2.2648,2.27,2.24,2.2402,267663,0
HIVE.US,5,20250728,162000,2.24,2.2467,2.23,2.2306,350203,0
HIVE.US,5,20250728,162500,2.23,2.24,2.22,2.2299,378062,0
HIVE.US,5,20250728,163000,2.2299,2.23,2.22,2.2297,150617,0
HIVE.US,5,20250728,163500,2.23,2.23,2.22,2.225,154984,0
HIVE.US,5,20250728,164000,2.225,2.25,2.22,2.245,312133,0
HIVE.US,5,20250728,164500,2.245,2.25,2.24,2.2471,190604,0
HIVE.US,5,20250728,165000,2.24,2.25,2.24,2.2423,124103,0
HIVE.US,5,20250728,165500,2.25,2.26,2.24,2.255,349258,0
HIVE.US,5,20250728,170000,2.255,2.255,2.24,2.24,155047,0
HIVE.US,5,20250728,170500,2.245,2.25,2.24,2.2491,83900,0
HIVE.US,5,20250728,171000,2.2496,2.25,2.2401,2.2497,69932,0
HIVE.US,5,20250728,171500,2.2441,2.25,2.2324,2.235,132339,0
HIVE.US,5,20250728,172000,2.235,2.25,2.23,2.245,236074,0
HIVE.US,5,20250728,172500,2.2487,2.26,2.2401,2.255,305118,0
HIVE.US,5,20250728,173000,2.255,2.26,2.25,2.254,176464,0
HIVE.US,5,20250728,173500,2.25,2.26,2.25,2.2504,24803,0
HIVE.US,5,20250728,174000,2.25,2.25,2.24,2.245,214990,0
HIVE.US,5,20250728,174500,2.245,2.25,2.24,2.2465,20614,0
HIVE.US,5,20250728,175000,2.245,2.25,2.23,2.2375,132915,0
HIVE.US,5,20250728,175500,2.2352,2.24,2.23,2.235,21678,0
HIVE.US,5,20250728,180000,2.2375,2.24,2.22,2.233,293901,0
HIVE.US,5,20250728,180500,2.235,2.24,2.23,2.235,51948,0
HIVE.US,5,20250728,181000,2.2348,2.24,2.23,2.235,106580,0
HIVE.US,5,20250728,181500,2.2399,2.24,2.23,2.235,94791,0
HIVE.US,5,20250728,182000,2.2392,2.25,2.2337,2.245,164578,0
HIVE.US,5,20250728,182500,2.245,2.25,2.24,2.245,31517,0
HIVE.US,5,20250728,183000,2.245,2.25,2.24,2.24,85390,0
HIVE.US,5,20250728,183500,2.2401,2.25,2.24,2.245,61975,0
HIVE.US,5,20250728,184000,2.2401,2.25,2.24,2.24,28476,0
HIVE.US,5,20250728,184500,2.245,2.25,2.24,2.248,32433,0
HIVE.US,5,20250728,185000,2.245,2.25,2.24,2.245,116046,0
HIVE.US,5,20250728,185500,2.24,2.25,2.24,2.245,39813,0
HIVE.US,5,20250728,190000,2.2488,2.25,2.23,2.25,250199,0
HIVE.US,5,20250728,190500,2.245,2.25,2.23,2.235,184312,0
HIVE.US,5,20250728,191000,2.2399,2.24,2.23,2.235,38215,0
HIVE.US,5,20250728,191500,2.235,2.24,2.22,2.225,248273,0
HIVE.US,5,20250728,192000,2.225,2.2299,2.2186,2.2199,143477,0
HIVE.US,5,20250728,192500,2.2101,2.22,2.21,2.2199,132767,0
HIVE.US,5,20250728,193000,2.22,2.22,2.21,2.21,46206,0
HIVE.US,5,20250728,193500,2.215,2.22,2.21,2.215,29086,0
HIVE.US,5,20250728,194000,2.215,2.22,2.21,2.215,159673,0
HIVE.US,5,20250728,194500,2.215,2.22,2.2,2.215,355017,0
HIVE.US,5,20250728,195000,2.215,2.22,2.21,2.2148,130891,0
HIVE.US,5,20250728,195500,2.215,2.22,2.21,2.215,80569,0
HIVE.US,5,20250728,200000,2.2134,2.22,2.21,2.2101,40106,0
HIVE.US,5,20250728,200500,2.215,2.22,2.2,2.205,1022309,0
HIVE.US,5,20250728,201000,2.2052,2.22,2.2,2.22,395397,0
HIVE.US,5,20250728,201500,2.21,2.22,2.21,2.21,84163,0
HIVE.US,5,20250728,202000,2.21,2.215,2.2,2.205,251002,0
HIVE.US,5,20250728,202500,2.205,2.21,2.2,2.205,143847,0
HIVE.US,5,20250728,203000,2.205,2.22,2.2,2.2101,282245,0
HIVE.US,5,20250728,203500,2.215,2.23,2.21,2.23,703321,0
HIVE.US,5,20250728,204000,2.225,2.24,2.22,2.2366,377535,0
HIVE.US,5,20250728,204500,2.23,2.25,2.23,2.245,183332,0
HIVE.US,5,20250728,205000,2.245,2.25,2.2401,2.2468,41159,0
HIVE.US,5,20250728,205500,2.2475,2.25,2.24,2.245,236206,0
HIVE.US,5,20250728,210000,2.245,2.25,2.24,2.245,436101,0
HIVE.US,5,20250728,210500,2.2448,2.25,2.24,2.245,67012,0
HIVE.US,5,20250728,211000,2.2499,2.25,2.24,2.245,34587,0
HIVE.US,5,20250728,211500,2.245,2.25,2.23,2.235,538099,0
HIVE.US,5,20250728,212000,2.2399,2.24,2.23,2.2345,264071,0
HIVE.US,5,20250728,212500,2.2399,2.24,2.23,2.235,284888,0
HIVE.US,5,20250728,213000,2.235,2.24,2.22,2.2201,267260,0
HIVE.US,5,20250728,213500,2.23,2.23,2.21,2.215,168986,0
HIVE.US,5,20250728,214000,2.2135,2.22,2.21,2.2148,98517,0
HIVE.US,5,20250728,214500,2.215,2.22,2.21,2.21,116693,0
HIVE.US,5,20250728,215000,2.21,2.22,2.21,2.22,304036,0
HIVE.US,5,20250728,215500,2.22,2.22,2.21,2.22,459678,0
HIVE.US,5,20250729,153000,2.23,2.24,2.2108,2.224,165052,0
HIVE.US,5,20250729,153500,2.2265,2.23,2.21,2.23,129437,0
