<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HTOO.US,5,20250728,153000,6.35,6.5,6.3,6.31,25970,0
HTOO.US,5,20250728,153500,6.305,6.4284,6.3,6.3,10384,0
HTOO.US,5,20250728,154000,6.29,6.44,6.28,6.3177,26931,0
HTOO.US,5,20250728,154500,6.38,6.49,6.3261,6.49,4341,0
HTOO.US,5,20250728,155000,6.4615,6.4615,6.43,6.4302,2533,0
HTOO.US,5,20250728,155500,6.43,6.49,6.43,6.465,3923,0
HTOO.US,5,20250728,160000,6.5,6.7399,6.45,6.615,7096,0
HTOO.US,5,20250728,160500,6.61,6.6563,6.5001,6.639,4447,0
HTOO.US,5,20250728,161000,6.6299,6.7,6.5319,6.7,4461,0
HTOO.US,5,20250728,161500,6.7188,6.72,6.61,6.63,8326,0
HTOO.US,5,20250728,162000,6.61,6.63,6.4101,6.4101,3843,0
HTOO.US,5,20250728,162500,6.5,6.5899,6.4101,6.4616,8550,0
HTOO.US,5,20250728,163000,6.48,6.65,6.47,6.6,1450,0
HTOO.US,5,20250728,163500,6.6,6.7071,6.6,6.6212,4239,0
HTOO.US,5,20250728,164000,6.6815,6.79,6.5957,6.79,11961,0
HTOO.US,5,20250728,164500,6.7887,6.86,6.66,6.7467,12635,0
HTOO.US,5,20250728,165000,6.7385,6.7385,6.61,6.61,525,0
HTOO.US,5,20250728,165500,6.5561,6.67,6.5561,6.635,3210,0
HTOO.US,5,20250728,170000,6.63,6.7,6.47,6.57,9157,0
HTOO.US,5,20250728,170500,6.6363,6.6584,6.5,6.6584,2774,0
HTOO.US,5,20250728,171000,6.5988,6.5988,6.5988,6.5988,400,0
HTOO.US,5,20250728,171500,6.512,6.55,6.5,6.55,1850,0
HTOO.US,5,20250728,172000,6.5102,6.59,6.41,6.42,3200,0
HTOO.US,5,20250728,172500,6.43,6.55,6.4,6.55,1200,0
HTOO.US,5,20250728,173000,6.5,6.59,6.5,6.59,1493,0
HTOO.US,5,20250728,173500,6.515,6.5194,6.44,6.44,1947,0
HTOO.US,5,20250728,174000,6.59,6.65,6.52,6.6483,3991,0
HTOO.US,5,20250728,174500,6.5893,6.5893,6.48,6.48,2737,0
HTOO.US,5,20250728,175000,6.64,6.64,6.5439,6.5439,240,0
HTOO.US,5,20250728,175500,6.53,6.6385,6.4901,6.565,5126,0
HTOO.US,5,20250728,180000,6.565,6.565,6.562,6.562,220,0
HTOO.US,5,20250728,180500,6.56,6.64,6.5001,6.6,4557,0
HTOO.US,5,20250728,181000,6.6517,6.6517,6.6517,6.6517,500,0
HTOO.US,5,20250728,181500,6.645,6.65,6.57,6.57,1794,0
HTOO.US,5,20250728,182500,6.6531,6.6531,6.64,6.64,800,0
HTOO.US,5,20250728,183000,6.6554,6.7,6.5964,6.7,1830,0
HTOO.US,5,20250728,183500,6.6101,6.75,6.6101,6.707,1800,0
