<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDYA.US,5,20250728,153000,25.18,25.18,24.76,24.835,126098,0
IDYA.US,5,20250728,153500,25.04,25.445,24.9564,25.38,54631,0
IDYA.US,5,20250728,154000,25.37,25.475,25.135,25.4,6405,0
IDYA.US,5,20250728,154500,25.215,25.54,25.215,25.54,22274,0
IDYA.US,5,20250728,155000,25.55,25.79,25.55,25.75,44394,0
IDYA.US,5,20250728,155500,25.69,25.87,25.62,25.795,12715,0
IDYA.US,5,20250728,160000,25.795,26.035,25.7,25.945,42721,0
IDYA.US,5,20250728,160500,25.99,26.13,25.95,26.01,59080,0
IDYA.US,5,20250728,161000,26.04,26.07,25.99,26.07,13286,0
IDYA.US,5,20250728,161500,26.03,26.095,25.96,25.975,9022,0
IDYA.US,5,20250728,162000,26.04,26.12,25.943,26.11,5970,0
IDYA.US,5,20250728,162500,26.06,26.15,26.02,26.11,8366,0
IDYA.US,5,20250728,163000,26.15,26.15,26,26,14477,0
IDYA.US,5,20250728,163500,26.01,26.14,25.97,26,8486,0
IDYA.US,5,20250728,164000,26.1,26.12,26.064,26.085,1018,0
IDYA.US,5,20250728,164500,26.085,26.085,25.6975,25.735,10903,0
IDYA.US,5,20250728,165000,25.735,25.95,25.7215,25.92,13392,0
IDYA.US,5,20250728,165500,25.97,26.04,25.78,25.81,100173,0
IDYA.US,5,20250728,170000,25.82,25.835,25.74,25.8115,9900,0
IDYA.US,5,20250728,170500,25.785,25.82,25.78,25.815,28186,0
IDYA.US,5,20250728,171000,25.8327,25.87,25.815,25.83,1862,0
IDYA.US,5,20250728,171500,25.845,25.845,25.77,25.83,6338,0
IDYA.US,5,20250728,172000,25.81,25.92,25.79,25.79,22945,0
IDYA.US,5,20250728,172500,25.8193,25.82,25.72,25.82,10294,0
IDYA.US,5,20250728,173000,25.74,25.75,25.51,25.51,4725,0
IDYA.US,5,20250728,173500,25.5,25.54,25.45,25.52,4647,0
IDYA.US,5,20250728,174000,25.49,25.49,25.44,25.44,900,0
IDYA.US,5,20250728,174500,25.44,25.49,25.4365,25.46,2290,0
IDYA.US,5,20250728,175000,25.47,25.56,25.47,25.56,1728,0
IDYA.US,5,20250728,175500,25.55,25.575,25.36,25.36,5415,0
IDYA.US,5,20250728,180000,25.32,25.385,25.32,25.385,1345,0
IDYA.US,5,20250728,180500,25.405,25.45,25.405,25.41,1075,0
IDYA.US,5,20250728,181000,25.415,25.47,25.38,25.3922,3197,0
IDYA.US,5,20250728,181500,25.39,25.39,25.3533,25.39,2790,0
IDYA.US,5,20250728,182000,25.43,25.455,25.405,25.43,2631,0
IDYA.US,5,20250728,182500,25.44,25.46,25.4001,25.4417,1731,0
IDYA.US,5,20250728,183000,25.435,25.435,25.33,25.33,2420,0
IDYA.US,5,20250728,183500,25.335,25.45,25.335,25.42,2691,0
IDYA.US,5,20250728,184000,25.38,25.38,25.28,25.28,2742,0
IDYA.US,5,20250728,184500,25.27,25.29,25.2,25.29,1800,0
IDYA.US,5,20250728,185000,25.275,25.32,25.24,25.24,6357,0
IDYA.US,5,20250728,185500,25.25,25.35,25.22,25.345,7407,0
IDYA.US,5,20250728,190000,25.33,25.51,25.33,25.5,10801,0
IDYA.US,5,20250728,190500,25.45,25.49,25.43,25.49,3401,0
IDYA.US,5,20250728,191000,25.47,25.6,25.47,25.58,66183,0
IDYA.US,5,20250728,191500,25.57,25.6,25.422,25.44,11701,0
IDYA.US,5,20250728,192000,25.435,25.46,25.435,25.45,1052,0
IDYA.US,5,20250728,192500,25.46,25.51,25.46,25.51,20686,0
IDYA.US,5,20250728,193000,25.49,25.49,25.415,25.445,4302,0
IDYA.US,5,20250728,193500,25.45,25.47,25.45,25.468,1310,0
