<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMG.US,5,20250728,153000,0.2565,0.26,0.2565,0.2599,14375,0
IMG.US,5,20250728,154000,0.2588,0.2588,0.2588,0.2588,1295,0
IMG.US,5,20250728,155000,0.262551,0.2633,0.262551,0.2633,3515,0
IMG.US,5,20250728,155500,0.265362,0.266299,0.2588,0.2588,21267,0
IMG.US,5,20250728,160000,0.2653,0.2653,0.26,0.26,9877,0
IMG.US,5,20250728,160500,0.260605,0.2631,0.260605,0.2631,366,0
IMG.US,5,20250728,161000,0.263,0.275,0.263,0.2663,23082,0
IMG.US,5,20250728,162000,0.2663,0.2663,0.2663,0.2663,500,0
IMG.US,5,20250728,162500,0.26301,0.2777,0.26301,0.27035,1900,0
IMG.US,5,20250728,164500,0.27035,0.27035,0.27035,0.27035,100,0
IMG.US,5,20250728,170500,0.263,0.263,0.263,0.263,21997,0
IMG.US,5,20250728,171500,0.2699,0.2699,0.2699,0.2699,547,0
IMG.US,5,20250728,172500,0.2698,0.2698,0.2698,0.2698,500,0
IMG.US,5,20250728,175000,0.2698,0.2698,0.2698,0.2698,1500,0
IMG.US,5,20250728,181500,0.2635,0.2635,0.263,0.263,15384,0
IMG.US,5,20250728,182000,0.263,0.2631,0.263,0.2631,3000,0
IMG.US,5,20250728,184000,0.263,0.263,0.263,0.263,200,0
IMG.US,5,20250728,184500,0.263,0.263,0.263,0.263,1742,0
IMG.US,5,20250728,190500,0.265,0.265,0.265,0.265,7000,0
IMG.US,5,20250728,192000,0.263,0.263,0.263,0.263,1000,0
IMG.US,5,20250728,193000,0.2697,0.2697,0.2697,0.2697,3911,0
IMG.US,5,20250728,200500,0.265,0.265,0.2648,0.2648,1762,0
IMG.US,5,20250728,202500,0.264,0.264,0.264,0.264,2393,0
IMG.US,5,20250728,204000,0.263,0.263,0.263,0.263,7300,0
IMG.US,5,20250728,204500,0.2629,0.2629,0.2612,0.2612,250,0
IMG.US,5,20250728,205000,0.261,0.261,0.26,0.26,7630,0
IMG.US,5,20250728,210000,0.258899,0.2589,0.257268,0.257268,9794,0
IMG.US,5,20250728,211000,0.257,0.257,0.2501,0.2516,14425,0
IMG.US,5,20250728,212000,0.250001,0.2501,0.250001,0.2501,1501,0
IMG.US,5,20250728,212500,0.2536,0.2536,0.2536,0.2536,665,0
IMG.US,5,20250728,215500,0.255,0.2561,0.255,0.2561,6313,0
IMG.US,5,20250729,153000,0.25,0.258,0.25,0.2575,11185,0
IMG.US,5,20250729,153500,0.2527,0.2612,0.2526,0.2612,20622,0
IMG.US,5,20250729,155500,0.2527,0.2527,0.2527,0.2527,100,0
IMG.US,5,20250729,160000,0.252801,0.252801,0.252801,0.252801,100,0
IMG.US,5,20250729,162000,0.2529,0.2529,0.2529,0.2529,500,0
IMG.US,5,20250729,163500,0.2527,0.2529,0.2523,0.2523,1359,0
IMG.US,5,20250729,164500,0.2531,0.2531,0.2531,0.2531,200,0
IMG.US,5,20250729,165500,0.258999,0.259,0.253,0.253,5767,0
IMG.US,5,20250729,171000,0.255,0.255,0.255,0.255,800,0
IMG.US,5,20250729,172000,0.2551,0.2551,0.2551,0.2551,150,0
IMG.US,5,20250729,173500,0.2516,0.2516,0.249,0.249,6500,0
IMG.US,5,20250729,174000,0.25,0.2515,0.248,0.2495,11600,0
IMG.US,5,20250729,174500,0.2515,0.2515,0.2468,0.2468,4627,0
IMG.US,5,20250729,175000,0.243,0.243,0.2378,0.2378,6110,0
IMG.US,5,20250729,180000,0.2499,0.2499,0.2499,0.2499,3000,0
IMG.US,5,20250729,181000,0.245,0.247499,0.245,0.247499,1350,0
IMG.US,5,20250729,181500,0.245,0.245,0.245,0.245,1000,0
IMG.US,5,20250729,182000,0.24,0.24,0.238,0.238,34888,0
IMG.US,5,20250729,182500,0.238,0.23926,0.238,0.23926,1700,0
IMG.US,5,20250729,183000,0.2393,0.2393,0.2393,0.2393,1000,0
IMG.US,5,20250729,185000,0.2516,0.2516,0.2516,0.2516,3179,0
IMG.US,5,20250729,194000,0.2393,0.24385,0.2393,0.24385,3500,0
IMG.US,5,20250729,195500,0.251599,0.251599,0.24545,0.24545,1520,0
IMG.US,5,20250729,201500,0.2515,0.2515,0.2515,0.2515,400,0
IMG.US,5,20250729,202500,0.2393,0.2393,0.2393,0.2393,1000,0
IMG.US,5,20250729,204500,0.2458,0.2458,0.2458,0.2458,200,0
IMG.US,5,20250729,205000,0.2454,0.2454,0.2454,0.2454,400,0
IMG.US,5,20250729,205500,0.25,0.25,0.2438,0.243951,650,0
IMG.US,5,20250729,210500,0.2425,0.2425,0.2425,0.2425,500,0
IMG.US,5,20250729,211000,0.2405,0.241,0.2393,0.24,4578,0
IMG.US,5,20250729,212500,0.24,0.24,0.24,0.24,1000,0
IMG.US,5,20250729,213500,0.24,0.2401,0.24,0.24,3325,0
IMG.US,5,20250729,214000,0.2394,0.2394,0.2394,0.2394,1000,0
IMG.US,5,20250729,215000,0.2415,0.2415,0.2404,0.2404,520,0
IMG.US,5,20250729,215500,0.2393,0.2415,0.2393,0.2415,14201,0
IMG.US,5,20250730,153000,0.232,0.232,0.232,0.232,1480,0
IMG.US,5,20250730,153500,0.2333,0.2333,0.2333,0.2333,100,0
IMG.US,5,20250730,154000,0.2333,0.23331,0.23161,0.23161,3991,0
IMG.US,5,20250730,154500,0.2303,0.2429,0.2303,0.2429,4801,0
IMG.US,5,20250730,155000,0.24,0.2429,0.24,0.2429,300,0
IMG.US,5,20250730,155500,0.234345,0.2428,0.234345,0.2428,4193,0
IMG.US,5,20250730,162000,0.236,0.236,0.2303,0.2312,13275,0
IMG.US,5,20250730,162500,0.2305,0.23665,0.2305,0.2366,2493,0
IMG.US,5,20250730,163000,0.23665,0.2367,0.236,0.236,1045,0
IMG.US,5,20250730,164000,0.2311,0.2311,0.23,0.230001,20999,0
IMG.US,5,20250730,164500,0.23,0.2302,0.225,0.2268,23445,0
IMG.US,5,20250730,165000,0.2282,0.2282,0.2251,0.2254,7100,0
IMG.US,5,20250730,165500,0.226391,0.228399,0.2254,0.228399,1751,0
IMG.US,5,20250730,170000,0.2314,0.2314,0.2314,0.2314,1323,0
IMG.US,5,20250730,170500,0.2284,0.2284,0.2284,0.2284,127,0
IMG.US,5,20250730,171000,0.226,0.226,0.226,0.226,200,0
IMG.US,5,20250730,172500,0.230494,0.230494,0.230494,0.230494,161,0
IMG.US,5,20250730,173000,0.2312,0.2312,0.227169,0.2275,8761,0
IMG.US,5,20250730,173500,0.227915,0.228,0.227915,0.228,348,0
IMG.US,5,20250730,174500,0.2276,0.228,0.2275,0.2276,5800,0
IMG.US,5,20250730,180000,0.2313,0.2313,0.2313,0.2313,115,0
IMG.US,5,20250730,181000,0.23,0.23,0.23,0.23,1229,0
IMG.US,5,20250730,181500,0.23,0.230001,0.2273,0.2273,5069,0
IMG.US,5,20250730,182000,0.2271,0.2271,0.2271,0.2271,158,0
IMG.US,5,20250730,182500,0.227,0.227,0.227,0.227,200,0
IMG.US,5,20250730,183000,0.2271,0.2271,0.2271,0.2271,1000,0
IMG.US,5,20250730,183500,0.227,0.227,0.2256,0.2256,810,0
IMG.US,5,20250730,184000,0.22555,0.22555,0.22555,0.22555,1000,0
IMG.US,5,20250730,184500,0.2256,0.2256,0.2255,0.22551,7362,0
IMG.US,5,20250730,185000,0.2256,0.2256,0.2256,0.2256,677,0
IMG.US,5,20250730,185500,0.22555,0.22555,0.2251,0.2251,8700,0
IMG.US,5,20250730,190000,0.225,0.225,0.225,0.225,666,0
IMG.US,5,20250730,190500,0.2251,0.2251,0.2251,0.2251,2525,0
IMG.US,5,20250730,191000,0.22505,0.2251,0.225,0.2251,6941,0
IMG.US,5,20250730,191500,0.2251,0.2251,0.2251,0.2251,2900,0
IMG.US,5,20250730,192500,0.225,0.2251,0.225,0.225099,407,0
IMG.US,5,20250730,193500,0.225098,0.225099,0.225098,0.225099,765,0
IMG.US,5,20250730,195000,0.225,0.225,0.225,0.225,100,0
IMG.US,5,20250730,195500,0.2251,0.2251,0.22505,0.2251,2950,0
IMG.US,5,20250730,202000,0.2313,0.2313,0.2313,0.2313,3000,0
IMG.US,5,20250730,203000,0.23,0.23,0.22695,0.22695,6300,0
IMG.US,5,20250730,203500,0.2261,0.2273,0.226051,0.2273,6100,0
IMG.US,5,20250730,204000,0.226,0.226,0.226,0.226,426,0
IMG.US,5,20250730,204500,0.2261,0.2261,0.2261,0.2261,10000,0
