<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INHD.US,5,20250728,153000,1.42,1.42,1.4,1.4,3010,0
INHD.US,5,20250728,153500,1.38,1.38,1.3795,1.3795,1381,0
INHD.US,5,20250728,154000,1.38,1.38,1.3795,1.3795,220,0
INHD.US,5,20250728,154500,1.365,1.365,1.365,1.365,100,0
INHD.US,5,20250728,155000,1.35,1.35,1.35,1.35,4441,0
INHD.US,5,20250728,155500,1.35,1.35,1.3495,1.3495,3870,0
INHD.US,5,20250728,160000,1.35,1.35,1.35,1.35,6554,0
INHD.US,5,20250728,162500,1.3723,1.3723,1.3723,1.3723,191,0
INHD.US,5,20250728,163500,1.4042,1.4042,1.4042,1.4042,2000,0
INHD.US,5,20250728,164000,1.4,1.4,1.4,1.4,100,0
INHD.US,5,20250728,171000,1.375,1.375,1.375,1.375,500,0
INHD.US,5,20250728,172000,1.38,1.38,1.38,1.38,560,0
INHD.US,5,20250728,173000,1.37,1.37,1.37,1.37,500,0
INHD.US,5,20250728,174500,1.39,1.39,1.39,1.39,100,0
INHD.US,5,20250728,175000,1.37,1.38,1.35,1.3799,3736,0
INHD.US,5,20250728,182000,1.36,1.38,1.36,1.38,1112,0
INHD.US,5,20250728,184500,1.3765,1.3765,1.3765,1.3765,200,0
INHD.US,5,20250728,185000,1.4,1.4,1.4,1.4,100,0
INHD.US,5,20250728,190000,1.4,1.4,1.4,1.4,100,0
INHD.US,5,20250728,191000,1.4,1.4,1.4,1.4,100,0
INHD.US,5,20250728,191500,1.4,1.4,1.4,1.4,40000,0
INHD.US,5,20250728,192000,1.4,1.4,1.35,1.4,4422,0
INHD.US,5,20250728,193000,1.4,1.4,1.4,1.4,100,0
INHD.US,5,20250728,193500,1.39,1.39,1.39,1.39,200,0
INHD.US,5,20250728,194000,1.4,1.4,1.4,1.4,100,0
INHD.US,5,20250728,195000,1.4,1.4,1.4,1.4,100,0
INHD.US,5,20250728,195500,1.39,1.3916,1.39,1.3916,669,0
INHD.US,5,20250728,200000,1.4,1.4,1.393,1.393,200,0
INHD.US,5,20250728,201000,1.4,1.4,1.4,1.4,100,0
INHD.US,5,20250728,202000,1.4,1.4,1.4,1.4,100,0
INHD.US,5,20250728,202500,1.3732,1.3732,1.3732,1.3732,345,0
INHD.US,5,20250728,203000,1.4,1.4,1.4,1.4,100,0
INHD.US,5,20250728,204000,1.4,1.4,1.4,1.4,100,0
INHD.US,5,20250728,205000,1.4,1.4,1.4,1.4,100,0
INHD.US,5,20250728,205500,1.39,1.39,1.39,1.39,250,0
INHD.US,5,20250728,210000,1.4,1.4,1.4,1.4,100,0
INHD.US,5,20250728,211000,1.4,1.4,1.4,1.4,1035,0
INHD.US,5,20250728,211500,1.36,1.36,1.36,1.36,200,0
INHD.US,5,20250728,212000,1.375,1.375,1.37,1.37,369,0
INHD.US,5,20250728,212500,1.38,1.38,1.38,1.38,100,0
INHD.US,5,20250728,213000,1.37,1.37,1.37,1.37,100,0
INHD.US,5,20250728,214000,1.39,1.39,1.39,1.39,100,0
INHD.US,5,20250728,215000,1.385,1.385,1.36,1.38,300,0
INHD.US,5,20250728,215500,1.38,1.38,1.36,1.36,299,0
INHD.US,5,20250729,153000,1.41,1.4193,1.3903,1.4193,2710,0
