<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JG.US,5,20250728,153000,10.96,10.96,10.95,10.95,2931,0
JG.US,5,20250728,154000,10.9,10.9,10.82,10.82,2781,0
JG.US,5,20250728,155500,10.83,10.939,10.82,10.939,5215,0
JG.US,5,20250728,160000,10.95,10.95,10.95,10.95,100,0
JG.US,5,20250728,161500,10.95,10.95,10.95,10.95,779,0
JG.US,5,20250728,162500,10.895,10.895,10.8,10.8,7723,0
JG.US,5,20250728,170000,10.8,10.8,10.8,10.8,1448,0
JG.US,5,20250728,170500,10.82,10.82,10.8,10.8,11121,0
JG.US,5,20250728,172000,10.64,10.7924,10.63,10.7924,2250,0
JG.US,5,20250728,172500,10.7884,10.7884,10.7884,10.7884,220,0
JG.US,5,20250728,174000,10.78,10.78,10.78,10.78,481,0
JG.US,5,20250728,184000,10.63,10.64,10.63,10.64,354,0
JG.US,5,20250728,203000,10.64,10.64,10.64,10.64,496,0
JG.US,5,20250728,215000,10.64,10.65,10.64,10.65,500,0
JG.US,5,20250729,153000,10.98,10.98,10.98,10.98,188,0
JG.US,5,20250729,155500,10.81,10.81,10.81,10.81,192,0
JG.US,5,20250729,160000,10.68,10.722,10.65,10.722,300,0
JG.US,5,20250729,164500,10.72,10.72,10.72,10.72,100,0
JG.US,5,20250729,165500,10.66,10.7,10.66,10.7,994,0
JG.US,5,20250729,173000,10.65,10.65,10.65,10.65,203,0
JG.US,5,20250729,174500,10.63,10.63,10.4,10.4,7650,0
JG.US,5,20250729,175000,10.4849,10.4849,10.4849,10.4849,100,0
JG.US,5,20250729,180000,10.41,10.41,10.3,10.31,600,0
JG.US,5,20250729,190500,10.3,10.3,10.185,10.185,381,0
JG.US,5,20250729,193000,10.14,10.18,10.14,10.14,700,0
JG.US,5,20250729,194000,10.12,10.12,10.12,10.12,100,0
JG.US,5,20250729,194500,10.3199,10.3199,10.3199,10.3199,100,0
JG.US,5,20250729,211500,10.2,10.3144,10.2,10.3144,600,0
JG.US,5,20250729,213000,10.3863,10.3863,10.3863,10.3863,200,0
JG.US,5,20250730,153500,10.2,10.2,10.2,10.2,100,0
JG.US,5,20250730,154000,10.22,10.22,10.22,10.22,400,0
JG.US,5,20250730,154500,10.23,10.23,10.23,10.23,700,0
JG.US,5,20250730,155000,10.3599,10.3599,10.3599,10.3599,500,0
JG.US,5,20250730,160000,10.35,10.35,10.35,10.35,100,0
JG.US,5,20250730,162500,10.245,10.245,10.245,10.245,200,0
JG.US,5,20250730,163000,10.24,10.24,10.24,10.24,401,0
JG.US,5,20250730,165500,10.38,10.38,10.38,10.38,200,0
JG.US,5,20250730,173000,10.19,10.19,10.19,10.19,200,0
JG.US,5,20250730,174500,10.3,10.3,10.3,10.3,100,0
JG.US,5,20250730,181000,10.1956,10.27,10.1956,10.27,805,0
JG.US,5,20250730,213000,10.21,10.21,10.21,10.21,402,0
JG.US,5,20250730,214500,10.175,10.175,10.175,10.175,180,0
JG.US,5,20250730,215000,10.17,10.17,10.17,10.17,100,0
JG.US,5,20250730,215500,10.19,10.19,10.18,10.18,423,0
JG.US,5,20250731,153000,11.21,11.21,11.21,11.21,200,0
JG.US,5,20250731,153500,10.725,10.725,10.5,10.72,400,0
JG.US,5,20250731,155000,10.72,10.72,10.72,10.72,100,0
JG.US,5,20250731,155500,10.65,10.7599,10.65,10.7599,1766,0
JG.US,5,20250731,161500,10.75,10.75,10.75,10.75,172,0
JG.US,5,20250731,163000,10.55,10.59,10.55,10.57,427,0
