<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KALU.US,5,20250728,153000,83,83.36,83,83.36,1167,0
KALU.US,5,20250728,153500,82.525,82.525,82.525,82.525,100,0
KALU.US,5,20250728,154000,82.5,82.525,82.49,82.525,611,0
KALU.US,5,20250728,154500,82.52,82.52,82.409,82.52,645,0
KALU.US,5,20250728,155000,82.52,82.52,82.52,82.52,120,0
KALU.US,5,20250728,155500,82.52,82.52,82.52,82.52,100,0
KALU.US,5,20250728,160000,82.71,82.71,82.43,82.43,400,0
KALU.US,5,20250728,160500,82.55,82.6481,82.55,82.6481,253,0
KALU.US,5,20250728,161500,82.82,82.96,82.51,82.56,1548,0
KALU.US,5,20250728,162000,82.555,82.555,82.555,82.555,100,0
KALU.US,5,20250728,162500,82.17,82.62,82.17,82.62,672,0
KALU.US,5,20250728,164000,82.85,82.85,82.73,82.82,400,0
KALU.US,5,20250728,164500,82.93,82.93,82.93,82.93,100,0
KALU.US,5,20250728,165000,83.17,83.17,83.065,83.08,600,0
KALU.US,5,20250728,165500,83.19,83.19,83.19,83.19,100,0
KALU.US,5,20250728,170000,83.2835,83.315,83.2835,83.315,436,0
KALU.US,5,20250728,171000,83.32,83.355,83.32,83.355,200,0
KALU.US,5,20250728,171500,83.505,83.505,83.505,83.505,100,0
KALU.US,5,20250728,172000,83.53,83.53,83.53,83.53,100,0
KALU.US,5,20250728,173000,83.48,83.53,83.48,83.53,448,0
KALU.US,5,20250728,173500,83.7,83.7,83.7,83.7,100,0
KALU.US,5,20250728,174500,83.37,83.43,83.35,83.39,586,0
KALU.US,5,20250728,175000,83.27,83.27,83.27,83.27,540,0
KALU.US,5,20250728,175500,83.38,83.38,83.33,83.33,329,0
KALU.US,5,20250728,180500,83.5612,83.85,83.5612,83.845,599,0
KALU.US,5,20250728,181000,83.925,83.925,83.925,83.925,100,0
KALU.US,5,20250728,181500,83.995,83.995,83.995,83.995,100,0
KALU.US,5,20250728,182000,83.82,83.82,83.76,83.76,200,0
KALU.US,5,20250728,182500,83.7,83.7,83.65,83.65,300,0
KALU.US,5,20250728,183500,83.56,83.56,83.23,83.23,2217,0
KALU.US,5,20250728,184000,83.21,83.21,83.21,83.21,112,0
KALU.US,5,20250728,184500,83.12,83.1786,83.12,83.1786,200,0
KALU.US,5,20250728,185000,83.105,83.105,83.0723,83.0723,359,0
KALU.US,5,20250728,190000,83.2,83.2,83.085,83.155,500,0
KALU.US,5,20250728,190500,83.01,83.01,82.8901,82.97,607,0
KALU.US,5,20250728,191000,82.835,82.835,82.835,82.835,140,0
KALU.US,5,20250728,191500,82.73,82.73,82.725,82.725,224,0
KALU.US,5,20250728,193000,82.635,82.635,82.635,82.635,100,0
KALU.US,5,20250728,194000,82.77,82.775,82.77,82.77,500,0
KALU.US,5,20250728,194500,82.71,82.71,82.465,82.465,1733,0
KALU.US,5,20250728,195000,82.4363,82.61,82.4363,82.565,750,0
KALU.US,5,20250728,200000,82.37,82.37,82.36,82.36,200,0
KALU.US,5,20250728,201000,82.37,82.475,82.37,82.475,200,0
KALU.US,5,20250728,201500,82.52,82.54,82.52,82.54,300,0
KALU.US,5,20250728,202000,82.66,82.66,82.66,82.66,100,0
KALU.US,5,20250728,203000,82.635,82.635,82.635,82.635,300,0
KALU.US,5,20250728,204500,82.8,82.8,82.765,82.765,600,0
KALU.US,5,20250728,205000,82.69,82.69,82.69,82.69,200,0
KALU.US,5,20250728,205500,82.68,82.77,82.62,82.77,623,0
KALU.US,5,20250728,210000,82.96,82.96,82.75,82.86,627,0
KALU.US,5,20250728,211000,83.03,83.03,82.61,82.62,800,0
KALU.US,5,20250728,211500,82.61,82.61,82.46,82.52,1237,0
KALU.US,5,20250728,212000,82.56,82.68,82.56,82.68,200,0
KALU.US,5,20250728,212500,82.705,82.705,82.705,82.705,100,0
KALU.US,5,20250728,213000,82.6,82.6,82.43,82.5,700,0
KALU.US,5,20250728,213500,82.36,82.42,82.22,82.22,604,0
KALU.US,5,20250728,214000,82.265,82.265,82.11,82.17,2535,0
KALU.US,5,20250728,214500,82.149,82.149,82.12,82.12,200,0
KALU.US,5,20250728,215000,82.11,82.11,81.86,81.86,2180,0
KALU.US,5,20250728,215500,82.03,82.47,82.03,82.26,38118,0
KALU.US,5,20250729,153000,83.01,83.47,82.775,82.895,1973,0
KALU.US,5,20250729,154500,82.31,82.31,82.265,82.265,559,0
KALU.US,5,20250729,155000,82.17,82.17,82.17,82.17,690,0
KALU.US,5,20250729,160000,81.2807,81.2807,81.2807,81.2807,386,0
KALU.US,5,20250729,160500,81.805,81.805,81.805,81.805,152,0
KALU.US,5,20250729,161500,82.2325,82.24,81.91,81.91,1606,0
KALU.US,5,20250729,162500,81.78,81.78,81.52,81.625,1245,0
KALU.US,5,20250729,163000,81.625,81.99,81.625,81.99,1400,0
KALU.US,5,20250729,164000,81.99,82,81.745,81.745,400,0
KALU.US,5,20250729,165500,81.39,81.52,81.33,81.52,600,0
KALU.US,5,20250729,170000,81.52,81.52,81.52,81.52,100,0
KALU.US,5,20250729,170500,81.87,81.87,81.87,81.87,200,0
KALU.US,5,20250729,171000,81.52,81.52,81.52,81.52,100,0
KALU.US,5,20250729,171500,81.47,81.47,81.46,81.46,400,0
KALU.US,5,20250729,172000,81.22,81.22,80.925,80.925,510,0
KALU.US,5,20250729,172500,80.77,80.77,80.67,80.67,700,0
KALU.US,5,20250729,173000,80.46,80.5,80.46,80.49,860,0
KALU.US,5,20250729,173500,80.32,80.62,80.32,80.62,300,0
KALU.US,5,20250729,174000,80.47,80.47,80.32,80.32,200,0
KALU.US,5,20250729,174500,80.335,80.47,80.335,80.47,300,0
KALU.US,5,20250729,175000,80.464,80.57,80.25,80.57,2138,0
KALU.US,5,20250729,175500,80.49,80.49,80.49,80.49,200,0
KALU.US,5,20250729,180000,80.46,81.08,80.46,81,1857,0
KALU.US,5,20250729,180500,80.89,80.89,80.76,80.76,200,0
KALU.US,5,20250729,181500,80.94,80.94,80.77,80.77,334,0
KALU.US,5,20250729,182000,80.77,80.77,80.77,80.77,200,0
KALU.US,5,20250729,183000,80.67,80.67,80.67,80.67,100,0
KALU.US,5,20250729,183500,80.58,80.61,80.58,80.61,200,0
KALU.US,5,20250729,184000,80.59,80.81,80.59,80.81,427,0
KALU.US,5,20250729,184500,80.69,80.69,80.69,80.69,100,0
KALU.US,5,20250729,185000,80.9,80.9,80.7,80.7,200,0
KALU.US,5,20250729,190000,80.85,81.16,80.85,80.94,2215,0
KALU.US,5,20250729,190500,81.07,81.24,81.05,81.05,1200,0
KALU.US,5,20250729,191000,81.3003,81.3003,81,81.13,887,0
KALU.US,5,20250729,191500,80.9,80.9,80.9,80.9,100,0
KALU.US,5,20250729,192500,80.5,80.57,80.5,80.57,300,0
KALU.US,5,20250729,193500,80.39,80.39,80.38,80.38,200,0
KALU.US,5,20250729,194000,80.33,80.33,80.25,80.275,400,0
KALU.US,5,20250729,194500,80.28,80.28,80.28,80.28,140,0
KALU.US,5,20250729,195000,80.17,80.39,80.17,80.39,700,0
KALU.US,5,20250729,195500,80.28,80.28,80.28,80.28,100,0
KALU.US,5,20250729,200000,80.42,80.53,80.38,80.38,1170,0
KALU.US,5,20250729,200500,80.58,80.83,80.58,80.83,2576,0
KALU.US,5,20250729,201000,80.62,80.62,80.61,80.61,200,0
KALU.US,5,20250729,201500,80.58,80.6,80.58,80.59,423,0
KALU.US,5,20250729,202000,80.52,80.52,80.26,80.28,1200,0
KALU.US,5,20250729,202500,80.18,80.3357,80.18,80.3357,300,0
KALU.US,5,20250729,203000,80.33,80.385,80.23,80.23,1102,0
KALU.US,5,20250729,203500,80.325,80.345,80.26,80.26,400,0
KALU.US,5,20250729,204000,80.355,80.355,80.355,80.355,100,0
KALU.US,5,20250729,204500,80.26,80.26,80.26,80.26,100,0
KALU.US,5,20250729,205000,80.23,80.23,80.215,80.215,200,0
KALU.US,5,20250729,205500,80.16,80.16,80.08918,80.08918,324,0
KALU.US,5,20250729,210000,80.06,80.22,80.06,80.2,700,0
KALU.US,5,20250729,210500,80.12,80.12,80.01,80.01,700,0
KALU.US,5,20250729,211000,80.03,80.03,79.95,80.03,800,0
