<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LCUT.US,5,20250728,153000,4.85,5,4.85,5,1500,0
LCUT.US,5,20250728,160500,4.8127,4.934,4.8127,4.934,443,0
LCUT.US,5,20250728,161500,4.805,4.805,4.805,4.805,100,0
LCUT.US,5,20250728,162000,4.8894,4.8894,4.8894,4.8894,418,0
LCUT.US,5,20250728,163000,4.885,4.885,4.885,4.885,100,0
LCUT.US,5,20250728,163500,4.845,4.845,4.845,4.845,100,0
LCUT.US,5,20250728,165000,4.8672,4.8672,4.8672,4.8672,200,0
LCUT.US,5,20250728,171000,4.85,4.87,4.85,4.87,200,0
LCUT.US,5,20250728,171500,4.84,4.84,4.84,4.84,139,0
LCUT.US,5,20250728,173000,4.83,4.83,4.83,4.83,200,0
LCUT.US,5,20250728,173500,4.86,4.86,4.83,4.83,200,0
LCUT.US,5,20250728,174000,4.83,4.83,4.83,4.83,100,0
LCUT.US,5,20250728,174500,4.83,4.83,4.83,4.83,100,0
LCUT.US,5,20250728,182500,4.84,4.84,4.84,4.84,100,0
LCUT.US,5,20250728,190000,4.82,4.82,4.79,4.795,300,0
LCUT.US,5,20250728,192000,4.79,4.79,4.79,4.79,400,0
LCUT.US,5,20250728,193000,4.8051,4.8051,4.8051,4.8051,127,0
LCUT.US,5,20250728,200500,4.78,4.78,4.78,4.78,169,0
LCUT.US,5,20250728,201500,4.725,4.73,4.725,4.73,200,0
LCUT.US,5,20250728,204500,4.7414,4.7414,4.735,4.735,2200,0
LCUT.US,5,20250728,205000,4.78,4.78,4.78,4.78,100,0
LCUT.US,5,20250728,205500,4.78,4.78,4.78,4.78,100,0
LCUT.US,5,20250728,210000,4.78,4.78,4.78,4.78,900,0
LCUT.US,5,20250728,214500,4.77,4.81,4.77,4.81,653,0
LCUT.US,5,20250728,215500,4.81,4.815,4.7,4.73,9902,0
LCUT.US,5,20250729,153000,4.76,4.76,4.76,4.76,338,0
LCUT.US,5,20250729,160500,4.76,4.76,4.76,4.76,468,0
LCUT.US,5,20250729,161000,4.78,4.8125,4.78,4.8125,1619,0
LCUT.US,5,20250729,162500,4.77,4.77,4.75,4.75,1766,0
LCUT.US,5,20250729,165000,4.745,4.745,4.745,4.745,100,0
LCUT.US,5,20250729,171000,4.72,4.72,4.72,4.72,100,0
LCUT.US,5,20250729,172000,4.705,4.705,4.7,4.7,300,0
LCUT.US,5,20250729,172500,4.7,4.7,4.7,4.7,200,0
LCUT.US,5,20250729,173500,4.7,4.7,4.7,4.7,100,0
LCUT.US,5,20250729,174500,4.7,4.7,4.7,4.7,100,0
LCUT.US,5,20250729,180500,4.7,4.7,4.7,4.7,100,0
LCUT.US,5,20250729,183500,4.7094,4.7094,4.7,4.7,600,0
LCUT.US,5,20250729,184000,4.7,4.7,4.7,4.7,100,0
LCUT.US,5,20250729,185500,4.7099,4.7099,4.7023,4.7023,200,0
LCUT.US,5,20250729,190500,4.68,4.68,4.68,4.68,100,0
LCUT.US,5,20250729,193500,4.6883,4.6883,4.68,4.68,512,0
LCUT.US,5,20250729,194000,4.65,4.65,4.65,4.65,250,0
LCUT.US,5,20250729,194500,4.64,4.64,4.64,4.64,100,0
LCUT.US,5,20250729,195000,4.64,4.64,4.64,4.64,100,0
LCUT.US,5,20250729,200000,4.635,4.635,4.635,4.635,100,0
LCUT.US,5,20250729,204000,4.63,4.63,4.63,4.63,100,0
LCUT.US,5,20250729,210000,4.63,4.68,4.63,4.65,1874,0
LCUT.US,5,20250729,212000,4.67,4.67,4.67,4.67,100,0
LCUT.US,5,20250729,214000,4.6301,4.65,4.6301,4.65,420,0
LCUT.US,5,20250729,215000,4.64,4.675,4.64,4.64,555,0
LCUT.US,5,20250729,215500,4.64,4.66,4.64,4.66,537,0
LCUT.US,5,20250730,154000,4.7667,4.7667,4.7667,4.7667,1000,0
LCUT.US,5,20250730,155000,4.612,4.612,4.612,4.612,127,0
LCUT.US,5,20250730,160000,4.7366,4.7366,4.7366,4.7366,200,0
LCUT.US,5,20250730,160500,4.7405,4.7405,4.665,4.665,485,0
LCUT.US,5,20250730,163000,4.695,4.77,4.655,4.655,5619,0
LCUT.US,5,20250730,171000,4.64,4.64,4.64,4.64,1000,0
LCUT.US,5,20250730,172000,4.735,4.735,4.735,4.735,300,0
LCUT.US,5,20250730,174500,4.73,4.73,4.73,4.73,100,0
LCUT.US,5,20250730,180000,4.72,4.72,4.72,4.72,100,0
LCUT.US,5,20250730,180500,4.78,4.78,4.78,4.78,100,0
LCUT.US,5,20250730,182500,4.705,4.705,4.705,4.705,100,0
LCUT.US,5,20250730,183000,4.71,4.71,4.71,4.71,100,0
LCUT.US,5,20250730,185000,4.77,4.77,4.695,4.695,276,0
LCUT.US,5,20250730,192000,4.6876,4.6876,4.67,4.67,200,0
LCUT.US,5,20250730,193500,4.7,4.7,4.7,4.7,200,0
LCUT.US,5,20250730,194000,4.6769,4.6769,4.6769,4.6769,200,0
LCUT.US,5,20250730,194500,4.665,4.665,4.66,4.66,200,0
LCUT.US,5,20250730,195000,4.66,4.66,4.66,4.66,200,0
LCUT.US,5,20250730,200000,4.63,4.63,4.63,4.63,100,0
LCUT.US,5,20250730,200500,4.63,4.64,4.63,4.64,214,0
LCUT.US,5,20250730,202500,4.6401,4.6401,4.6401,4.6401,100,0
LCUT.US,5,20250730,203000,4.65,4.65,4.65,4.65,100,0
LCUT.US,5,20250730,203500,4.5823,4.605,4.57,4.57,1239,0
LCUT.US,5,20250730,204500,4.565,4.565,4.55,4.55,606,0
LCUT.US,5,20250730,210000,4.51,4.51,4.51,4.51,100,0
LCUT.US,5,20250730,212000,4.47,4.47,4.45,4.45,1130,0
LCUT.US,5,20250730,213500,4.46,4.46,4.46,4.46,300,0
LCUT.US,5,20250730,214000,4.45,4.45,4.45,4.45,282,0
LCUT.US,5,20250730,214500,4.45,4.45,4.45,4.45,114,0
LCUT.US,5,20250730,215000,4.47,4.47,4.45,4.45,921,0
LCUT.US,5,20250730,215500,4.47,4.47,4.44,4.44,2261,0
LCUT.US,5,20250731,153000,4.46,4.46,4.41,4.412,2849,0
LCUT.US,5,20250731,154000,4.4,4.4,4.4,4.4,584,0
LCUT.US,5,20250731,154500,4.3654,4.3654,4.3654,4.3654,300,0
LCUT.US,5,20250731,155500,4.4,4.4,4.4,4.4,100,0
LCUT.US,5,20250731,163500,4.4961,4.4961,4.4961,4.4961,100,0
LCUT.US,5,20250731,164000,4.4,4.4,4.4,4.4,100,0
LCUT.US,5,20250731,164500,4.42,4.42,4.42,4.42,355,0
LCUT.US,5,20250731,165500,4.43,4.43,4.43,4.43,100,0
LCUT.US,5,20250731,170000,4.44,4.44,4.44,4.44,100,0
LCUT.US,5,20250731,171500,4.435,4.435,4.435,4.435,195,0
LCUT.US,5,20250731,172500,4.425,4.4739,4.425,4.4739,200,0
LCUT.US,5,20250731,173000,4.4648,4.4648,4.4648,4.4648,100,0
LCUT.US,5,20250731,173500,4.4415,4.4415,4.4415,4.4415,125,0
LCUT.US,5,20250731,180000,4.37,4.37,4.37,4.37,100,0
LCUT.US,5,20250731,181500,4.38,4.38,4.37,4.37,507,0
LCUT.US,5,20250731,182000,4.38,4.385,4.38,4.385,500,0
LCUT.US,5,20250731,182500,4.3612,4.3612,4.3612,4.3612,400,0
LCUT.US,5,20250731,185000,4.3692,4.3692,4.3692,4.3692,100,0
LCUT.US,5,20250731,190000,4.3541,4.3541,4.3541,4.3541,200,0
LCUT.US,5,20250731,194000,4.325,4.325,4.325,4.325,118,0
LCUT.US,5,20250731,195500,4.29,4.29,4.29,4.29,100,0
LCUT.US,5,20250731,200500,4.2901,4.2901,4.2901,4.2901,170,0
LCUT.US,5,20250731,202000,4.33,4.33,4.33,4.33,100,0
LCUT.US,5,20250731,203500,4.325,4.36,4.325,4.36,400,0
LCUT.US,5,20250731,210500,4.3961,4.3961,4.3961,4.3961,100,0
LCUT.US,5,20250731,213500,4.355,4.355,4.355,4.355,100,0
LCUT.US,5,20250731,215000,4.33,4.345,4.33,4.345,500,0
LCUT.US,5,20250731,215500,4.37,4.4,4.33,4.4,2890,0
LCUT.US,5,20250801,153000,4.35,4.35,4.27,4.27,495,0
LCUT.US,5,20250801,160000,4.23,4.24,4.23,4.24,700,0
LCUT.US,5,20250801,161500,4.18,4.185,4.12,4.185,2800,0
LCUT.US,5,20250801,162000,4.17,4.17,4.17,4.17,150,0
LCUT.US,5,20250801,162500,4.2,4.2,4.2,4.2,118,0
LCUT.US,5,20250801,163000,4.215,4.215,4.215,4.215,100,0
LCUT.US,5,20250801,165000,4.2448,4.2448,4.2448,4.2448,325,0
LCUT.US,5,20250801,165500,4.25,4.25,4.25,4.25,100,0
LCUT.US,5,20250801,171000,4.2235,4.25,4.2235,4.25,200,0
LCUT.US,5,20250801,171500,4.2499,4.375,4.2317,4.375,13684,0
LCUT.US,5,20250801,172500,4.285,4.285,4.285,4.285,100,0
LCUT.US,5,20250801,175000,4.33,4.33,4.33,4.33,100,0
LCUT.US,5,20250801,180000,4.305,4.305,4.305,4.305,100,0
LCUT.US,5,20250801,183500,4.325,4.325,4.325,4.325,100,0
LCUT.US,5,20250801,185000,4.39,4.39,4.325,4.325,300,0
LCUT.US,5,20250801,193000,4.32,4.32,4.32,4.32,100,0
LCUT.US,5,20250801,195500,4.36,4.36,4.36,4.36,100,0
LCUT.US,5,20250801,200000,4.29,4.29,4.285,4.285,900,0
LCUT.US,5,20250801,202000,4.39,4.39,4.39,4.39,100,0
LCUT.US,5,20250801,205000,4.3228,4.38,4.3228,4.38,6697,0
LCUT.US,5,20250801,205500,4.38,4.39,4.38,4.39,200,0
LCUT.US,5,20250801,210500,4.27,4.27,4.26,4.26,400,0
LCUT.US,5,20250801,211000,4.3,4.3,4.3,4.3,100,0
LCUT.US,5,20250801,211500,4.335,4.335,4.335,4.335,100,0
LCUT.US,5,20250801,212000,4.33,4.33,4.33,4.33,100,0
LCUT.US,5,20250801,213000,4.33,4.33,4.33,4.33,200,0
LCUT.US,5,20250801,213500,4.325,4.325,4.28,4.28,300,0
LCUT.US,5,20250801,214000,4.28,4.31,4.28,4.31,556,0
LCUT.US,5,20250801,214500,4.28,4.28,4.28,4.28,200,0
LCUT.US,5,20250801,215000,4.305,4.305,4.25,4.25,800,0
LCUT.US,5,20250801,215500,4.29,4.29,4.27,4.27,629,0
LCUT.US,5,20250804,153000,4.29,4.29,4.29,4.29,130,0
LCUT.US,5,20250804,154000,4.3001,4.3001,4.3001,4.3001,500,0
