<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LUNR.US,5,20250728,153000,13.285,13.7,13.03,13.09,854679,0
LUNR.US,5,20250728,153500,13.09,13.22,13.0501,13.09,188147,0
LUNR.US,5,20250728,154000,13.08,13.08,12.88,12.93,358530,0
LUNR.US,5,20250728,154500,12.94,12.98,12.8112,12.865,129243,0
LUNR.US,5,20250728,155000,12.86,12.93,12.81,12.84,96500,0
LUNR.US,5,20250728,155500,12.842,12.8487,12.7124,12.7388,172977,0
LUNR.US,5,20250728,160000,12.73,12.74,12.6518,12.72,118360,0
LUNR.US,5,20250728,160500,12.72,12.95,12.68,12.8199,178976,0
LUNR.US,5,20250728,161000,12.81,12.89,12.77,12.86,83939,0
LUNR.US,5,20250728,161500,12.8567,12.865,12.8046,12.8599,57432,0
LUNR.US,5,20250728,162000,12.8599,12.875,12.79,12.7912,131588,0
LUNR.US,5,20250728,162500,12.79,12.81,12.74,12.77,61751,0
LUNR.US,5,20250728,163000,12.77,12.79,12.71,12.75,51764,0
LUNR.US,5,20250728,163500,12.7501,12.7884,12.73,12.77,47000,0
LUNR.US,5,20250728,164000,12.76,12.865,12.757,12.815,75965,0
LUNR.US,5,20250728,164500,12.81,12.88,12.805,12.8413,44632,0
LUNR.US,5,20250728,165000,12.84,12.895,12.83,12.8728,56088,0
LUNR.US,5,20250728,165500,12.875,12.885,12.83,12.84,40580,0
LUNR.US,5,20250728,170000,12.835,12.8499,12.74,12.7872,29226,0
LUNR.US,5,20250728,170500,12.7885,12.83,12.7601,12.81,148100,0
LUNR.US,5,20250728,171000,12.8098,12.845,12.73,12.82,67115,0
LUNR.US,5,20250728,171500,12.83,12.88,12.8,12.815,30103,0
LUNR.US,5,20250728,172000,12.82,12.855,12.78,12.795,106164,0
LUNR.US,5,20250728,172500,12.8045,12.8045,12.74,12.7699,29275,0
LUNR.US,5,20250728,173000,12.77,12.77,12.7148,12.746,32226,0
LUNR.US,5,20250728,173500,12.745,12.79,12.72,12.78,28783,0
LUNR.US,5,20250728,174000,12.78,12.785,12.75,12.765,14039,0
LUNR.US,5,20250728,174500,12.765,12.81,12.7515,12.755,34179,0
LUNR.US,5,20250728,175000,12.75,12.75,12.64,12.7116,95582,0
LUNR.US,5,20250728,175500,12.72,12.74,12.695,12.725,28360,0
LUNR.US,5,20250728,180000,12.725,12.79,12.715,12.775,33722,0
LUNR.US,5,20250728,180500,12.78,12.795,12.74,12.74,48765,0
LUNR.US,5,20250728,181000,12.7387,12.7792,12.68,12.7792,47428,0
LUNR.US,5,20250728,181500,12.77,12.81,12.77,12.805,31386,0
LUNR.US,5,20250728,182000,12.805,12.8596,12.7947,12.8,41274,0
LUNR.US,5,20250728,182500,12.8,12.86,12.8,12.8367,19782,0
LUNR.US,5,20250728,183000,12.84,12.85,12.795,12.795,22601,0
LUNR.US,5,20250728,183500,12.795,12.855,12.79,12.795,44277,0
LUNR.US,5,20250728,184000,12.79,12.845,12.79,12.81,45490,0
LUNR.US,5,20250728,184500,12.815,12.83,12.8,12.8199,27967,0
LUNR.US,5,20250728,185000,12.82,12.85,12.815,12.845,23167,0
LUNR.US,5,20250728,185500,12.85,12.86,12.8339,12.8339,13081,0
LUNR.US,5,20250728,190000,12.835,12.8688,12.765,12.8,29516,0
LUNR.US,5,20250728,190500,12.7962,12.815,12.76,12.765,12327,0
LUNR.US,5,20250728,191000,12.765,12.795,12.76,12.79,16746,0
LUNR.US,5,20250728,191500,12.79,12.8,12.672,12.68,44714,0
LUNR.US,5,20250728,192000,12.685,12.74,12.64,12.64,49784,0
LUNR.US,5,20250728,192500,12.64,12.7165,12.64,12.71,43531,0
LUNR.US,5,20250728,193000,12.71,12.745,12.65,12.67,40614,0
LUNR.US,5,20250728,193500,12.665,12.7354,12.665,12.71,19621,0
LUNR.US,5,20250728,194000,12.71,12.73,12.7,12.725,25184,0
LUNR.US,5,20250728,194500,12.725,12.725,12.63,12.64,34656,0
LUNR.US,5,20250728,195000,12.635,12.68,12.63,12.675,38684,0
LUNR.US,5,20250728,195500,12.69,12.7,12.68,12.68,17713,0
