<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MACIW.US,5,20250729,153000,0.26,0.26,0.26,0.26,100,0
MACIW.US,5,20250729,194000,0.2623,0.2623,0.2623,0.2623,500,0
MACIW.US,5,20250730,163000,0.3,0.310403,0.3,0.310403,2756,0
MACIW.US,5,20250730,163500,0.3,0.3002,0.3,0.3002,1000,0
MACIW.US,5,20250730,164500,0.3,0.3,0.276,0.276,622,0
MACIW.US,5,20250730,165000,0.252,0.252,0.252,0.252,100,0
MACIW.US,5,20250730,170000,0.2999,0.2999,0.2999,0.2999,100,0
MACIW.US,5,20250730,171500,0.2999,0.2999,0.2999,0.2999,100,0
MACIW.US,5,20250730,173000,0.3,0.3,0.3,0.3,10062,0
MACIW.US,5,20250730,173500,0.3,0.3,0.3,0.3,100,0
MACIW.US,5,20250730,174000,0.3,0.3,0.3,0.3,100,0
MACIW.US,5,20250730,183000,0.3,0.3,0.2998,0.2998,400,0
MACIW.US,5,20250730,185000,0.2997,0.2999,0.2901,0.2901,1200,0
MACIW.US,5,20250730,201000,0.2999,0.2999,0.2999,0.2999,100,0
MACIW.US,5,20250731,155500,0.3,0.3,0.3,0.3,100,0
MACIW.US,5,20250731,160000,0.3,0.3,0.3,0.3,2300,0
MACIW.US,5,20250731,160500,0.3,0.3,0.3,0.3,21972,0
MACIW.US,5,20250731,162500,0.25,0.25,0.25,0.25,125,0
MACIW.US,5,20250731,165000,0.23,0.23,0.22,0.22,400,0
MACIW.US,5,20250731,165500,0.1849,0.22,0.1651,0.1731,3100,0
MACIW.US,5,20250731,180000,0.2,0.2,0.2,0.2,100,0
MACIW.US,5,20250731,181000,0.2,0.2,0.2,0.2,1000,0
MACIW.US,5,20250731,185500,0.18,0.1801,0.16,0.16,5845,0
MACIW.US,5,20250731,191000,0.1808,0.1808,0.1808,0.1808,100,0
MACIW.US,5,20250731,192000,0.16,0.16,0.16,0.16,1950,0
MACIW.US,5,20250731,201500,0.17,0.17,0.16,0.16,15000,0
MACIW.US,5,20250731,214500,0.1856,0.1995,0.1856,0.198,500,0
MACIW.US,5,20250801,153000,0.2,0.2,0.2,0.2,180,0
MACIW.US,5,20250801,162000,0.1667,0.17,0.1667,0.17,1200,0
MACIW.US,5,20250801,163500,0.1649,0.1649,0.1649,0.1649,300,0
MACIW.US,5,20250801,181000,0.1608,0.1608,0.1601,0.1601,712,0
MACIW.US,5,20250801,190000,0.15,0.15,0.15,0.15,2000,0
MACIW.US,5,20250801,192500,0.15,0.15,0.15,0.15,9600,0
MACIW.US,5,20250801,205500,0.15,0.15,0.15,0.15,500,0
MACIW.US,5,20250801,212500,0.1286,0.15,0.1286,0.15,700,0
MACIW.US,5,20250801,214500,0.15,0.185,0.15,0.185,1537,0
