<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MARPS.US,5,20250728,153000,4.56,4.56,4.56,4.56,375,0
MARPS.US,5,20250728,153500,4.68,4.68,4.68,4.68,100,0
MARPS.US,5,20250728,170000,4.68,4.68,4.68,4.68,100,0
MARPS.US,5,20250728,171000,4.625,4.625,4.6,4.6,200,0
MARPS.US,5,20250728,173000,4.68,4.68,4.68,4.68,100,0
MARPS.US,5,20250728,180000,4.69,4.69,4.615,4.69,2977,0
MARPS.US,5,20250728,181000,4.79,4.79,4.79,4.79,100,0
MARPS.US,5,20250728,183500,4.79,4.79,4.79,4.79,100,0
MARPS.US,5,20250728,194000,4.79,4.79,4.79,4.79,100,0
MARPS.US,5,20250728,204000,4.8,4.8,4.8,4.8,256,0
MARPS.US,5,20250728,204500,4.8,4.8,4.8,4.8,100,0
MARPS.US,5,20250728,205500,4.8,4.8,4.8,4.8,100,0
MARPS.US,5,20250728,210500,4.83,4.87,4.8,4.87,1200,0
MARPS.US,5,20250728,211500,4.7925,4.7925,4.7925,4.7925,150,0
MARPS.US,5,20250728,212000,4.86,4.86,4.825,4.86,300,0
MARPS.US,5,20250728,212500,4.86,4.86,4.86,4.86,100,0
MARPS.US,5,20250728,213000,4.86,4.86,4.86,4.86,100,0
MARPS.US,5,20250728,213500,4.87,4.87,4.87,4.87,205,0
MARPS.US,5,20250728,214000,4.86,4.86,4.77,4.77,8770,0
MARPS.US,5,20250728,214500,4.75,4.87,4.65,4.87,302,0
MARPS.US,5,20250728,215000,4.86,4.86,4.86,4.86,100,0
MARPS.US,5,20250729,153000,4.86,4.86,4.86,4.86,111,0
MARPS.US,5,20250729,154000,4.84,4.84,4.84,4.84,100,0
MARPS.US,5,20250729,161000,4.8699,4.8699,4.8699,4.8699,413,0
MARPS.US,5,20250729,165000,4.81,4.81,4.81,4.81,301,0
MARPS.US,5,20250729,173000,4.7565,4.7565,4.7565,4.7565,500,0
MARPS.US,5,20250729,194000,4.8332,4.8355,4.8332,4.8355,200,0
MARPS.US,5,20250729,195000,4.84,4.84,4.825,4.825,1116,0
MARPS.US,5,20250729,195500,4.84,4.84,4.84,4.84,100,0
MARPS.US,5,20250729,200000,4.8499,4.8499,4.8388,4.8388,1434,0
MARPS.US,5,20250729,204500,4.84,4.94,4.8254,4.92,9936,0
MARPS.US,5,20250729,205000,4.9,4.9,4.87,4.87,534,0
MARPS.US,5,20250729,205500,4.9,4.9,4.8999,4.8999,2126,0
MARPS.US,5,20250729,210000,4.8925,4.99,4.87,4.99,5896,0
MARPS.US,5,20250729,210500,4.98,4.99,4.98,4.9825,700,0
MARPS.US,5,20250729,211000,5.1,5.12,5.1,5.12,250,0
MARPS.US,5,20250729,213000,4.99,5,4.8,4.8,2000,0
MARPS.US,5,20250729,213500,4.99,4.99,4.99,4.99,100,0
MARPS.US,5,20250729,215500,5,5,5,5,409,0
MARPS.US,5,20250730,153000,5.0001,5.13,5,5,6673,0
MARPS.US,5,20250730,155500,4.9121,4.9121,4.9101,4.9101,1600,0
MARPS.US,5,20250730,161500,5.01,5.01,5.01,5.01,100,0
MARPS.US,5,20250730,162000,5.01,5.0593,4.95,4.9919,900,0
MARPS.US,5,20250730,163500,4.9919,4.9919,4.99,4.99,392,0
MARPS.US,5,20250730,171000,4.995,4.995,4.995,4.995,100,0
MARPS.US,5,20250730,182000,4.9288,4.9288,4.9288,4.9288,150,0
MARPS.US,5,20250730,194000,4.955,4.955,4.955,4.955,1500,0
MARPS.US,5,20250730,213500,4.9,4.9,4.9,4.9,100,0
MARPS.US,5,20250730,214000,4.6701,4.6701,4.6701,4.6701,106,0
MARPS.US,5,20250730,215500,4.7045,4.7045,4.7045,4.7045,800,0
MARPS.US,5,20250731,153000,4.74,4.74,4.51,4.51,3593,0
