<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRKR.US,5,20250728,153000,1.58,1.58,1.5105,1.53,18853,0
MRKR.US,5,20250728,154000,1.5306,1.5306,1.5306,1.5306,600,0
MRKR.US,5,20250728,154500,1.53,1.5662,1.53,1.5662,12055,0
MRKR.US,5,20250728,155000,1.5603,1.5603,1.5526,1.56,6291,0
MRKR.US,5,20250728,155500,1.5406,1.5406,1.5406,1.5406,333,0
MRKR.US,5,20250728,160000,1.55,1.56,1.55,1.55,800,0
MRKR.US,5,20250728,160500,1.5594,1.5594,1.5594,1.5594,173,0
MRKR.US,5,20250728,161000,1.5506,1.5506,1.5501,1.5501,873,0
MRKR.US,5,20250728,161500,1.5501,1.5501,1.5501,1.5501,5148,0
MRKR.US,5,20250728,162000,1.55,1.56,1.55,1.56,600,0
MRKR.US,5,20250728,162500,1.55,1.55,1.54,1.55,3829,0
MRKR.US,5,20250728,163000,1.55,1.56,1.55,1.56,1971,0
MRKR.US,5,20250728,163500,1.55,1.5506,1.55,1.5506,1000,0
MRKR.US,5,20250728,164000,1.5508,1.57,1.5508,1.57,2869,0
MRKR.US,5,20250728,164500,1.57,1.5794,1.57,1.5794,6356,0
MRKR.US,5,20250728,165000,1.57,1.58,1.566,1.566,638,0
MRKR.US,5,20250728,165500,1.57,1.58,1.55,1.58,16913,0
MRKR.US,5,20250728,170500,1.57,1.57,1.57,1.57,250,0
MRKR.US,5,20250728,171000,1.5638,1.5726,1.5638,1.5726,653,0
MRKR.US,5,20250728,171500,1.565,1.565,1.5501,1.5501,5263,0
MRKR.US,5,20250728,172000,1.5506,1.5506,1.5506,1.5506,400,0
MRKR.US,5,20250728,172500,1.57,1.57,1.55,1.5506,812,0
MRKR.US,5,20250728,173000,1.56,1.56,1.55,1.5507,1388,0
MRKR.US,5,20250728,173500,1.559,1.5599,1.53,1.5305,8841,0
MRKR.US,5,20250728,174000,1.5304,1.55,1.53,1.55,2451,0
MRKR.US,5,20250728,174500,1.57,1.57,1.57,1.57,100,0
MRKR.US,5,20250728,180000,1.57,1.57,1.57,1.57,1100,0
MRKR.US,5,20250728,180500,1.5401,1.56,1.5401,1.56,751,0
MRKR.US,5,20250728,181000,1.5586,1.5586,1.5586,1.5586,1000,0
MRKR.US,5,20250728,182000,1.5466,1.559,1.5466,1.559,2256,0
MRKR.US,5,20250728,183500,1.5507,1.5507,1.5402,1.5402,477,0
MRKR.US,5,20250728,184500,1.55,1.55,1.55,1.55,875,0
MRKR.US,5,20250728,185000,1.54,1.54,1.54,1.54,1000,0
MRKR.US,5,20250728,190000,1.55,1.55,1.55,1.55,900,0
MRKR.US,5,20250728,190500,1.5499,1.5499,1.5499,1.5499,550,0
MRKR.US,5,20250728,191000,1.55,1.55,1.55,1.55,200,0
MRKR.US,5,20250728,191500,1.55,1.5523,1.55,1.55,2672,0
MRKR.US,5,20250728,192000,1.54,1.5403,1.53,1.5403,1261,0
MRKR.US,5,20250728,192500,1.5301,1.5301,1.5301,1.5301,200,0
MRKR.US,5,20250728,193500,1.54,1.55,1.54,1.55,2256,0
MRKR.US,5,20250728,194000,1.55,1.55,1.55,1.55,200,0
MRKR.US,5,20250728,195000,1.57,1.57,1.555,1.555,1650,0
MRKR.US,5,20250728,200000,1.55,1.55,1.55,1.55,100,0
MRKR.US,5,20250728,201500,1.55,1.55,1.55,1.55,272,0
MRKR.US,5,20250728,202000,1.555,1.555,1.555,1.555,120,0
MRKR.US,5,20250728,202500,1.5441,1.57,1.5441,1.56,1000,0
MRKR.US,5,20250728,203000,1.54,1.54,1.54,1.54,300,0
MRKR.US,5,20250728,210000,1.53,1.5595,1.53,1.5595,1206,0
MRKR.US,5,20250728,212000,1.5374,1.5374,1.5374,1.5374,204,0
MRKR.US,5,20250728,212500,1.545,1.545,1.5374,1.5374,211,0
MRKR.US,5,20250728,213000,1.53,1.54,1.53,1.54,5867,0
MRKR.US,5,20250728,214000,1.5576,1.5576,1.5576,1.5576,127,0
MRKR.US,5,20250728,214500,1.54,1.54,1.54,1.54,100,0
MRKR.US,5,20250728,215000,1.52,1.54,1.52,1.54,927,0
MRKR.US,5,20250728,215500,1.54,1.56,1.52,1.55,23617,0
MRKR.US,5,20250729,153000,1.61,1.61,1.5401,1.5401,20775,0
MRKR.US,5,20250729,153500,1.5306,1.5306,1.5306,1.5306,438,0
MRKR.US,5,20250729,154000,1.54,1.54,1.5,1.5,20466,0
MRKR.US,5,20250729,154500,1.5694,1.5694,1.46,1.46,17348,0
MRKR.US,5,20250729,155000,1.465,1.485,1.46,1.48,3262,0
MRKR.US,5,20250729,155500,1.4597,1.4652,1.4597,1.4652,768,0
MRKR.US,5,20250729,160000,1.4604,1.4604,1.4604,1.4604,3608,0
MRKR.US,5,20250729,160500,1.4899,1.4899,1.45,1.45,10774,0
MRKR.US,5,20250729,161000,1.45,1.45,1.44,1.45,3492,0
MRKR.US,5,20250729,161500,1.445,1.4498,1.4316,1.4495,9547,0
MRKR.US,5,20250729,162000,1.4402,1.4669,1.4402,1.4405,4315,0
MRKR.US,5,20250729,162500,1.45,1.45,1.45,1.45,205,0
MRKR.US,5,20250729,163000,1.45,1.45,1.45,1.45,6029,0
MRKR.US,5,20250729,163500,1.46,1.465,1.46,1.4602,2076,0
MRKR.US,5,20250729,164500,1.4641,1.4693,1.46,1.4693,2030,0
MRKR.US,5,20250729,165000,1.455,1.455,1.455,1.455,546,0
MRKR.US,5,20250729,165500,1.4583,1.46,1.44,1.46,14479,0
MRKR.US,5,20250729,170000,1.445,1.47,1.445,1.46,1753,0
MRKR.US,5,20250729,170500,1.45,1.45,1.4401,1.4401,3044,0
MRKR.US,5,20250729,171000,1.44,1.46,1.41,1.435,25365,0
MRKR.US,5,20250729,171500,1.435,1.445,1.435,1.445,832,0
MRKR.US,5,20250729,172000,1.45,1.46,1.45,1.45,1225,0
MRKR.US,5,20250729,172500,1.4599,1.4599,1.45,1.45,520,0
MRKR.US,5,20250729,173000,1.4405,1.46,1.4405,1.46,1307,0
MRKR.US,5,20250729,173500,1.45,1.4599,1.45,1.455,2823,0
MRKR.US,5,20250729,174000,1.4507,1.4507,1.43,1.44,3856,0
MRKR.US,5,20250729,174500,1.435,1.435,1.435,1.435,150,0
MRKR.US,5,20250729,175000,1.4405,1.4493,1.43,1.44,2208,0
MRKR.US,5,20250729,175500,1.44,1.44,1.425,1.4295,3014,0
MRKR.US,5,20250729,180000,1.4298,1.4298,1.4298,1.4298,100,0
MRKR.US,5,20250729,180500,1.43,1.43,1.415,1.425,2987,0
MRKR.US,5,20250729,181000,1.43,1.43,1.43,1.43,100,0
MRKR.US,5,20250729,181500,1.435,1.435,1.435,1.435,1000,0
MRKR.US,5,20250729,182000,1.43,1.44,1.43,1.44,829,0
MRKR.US,5,20250729,183500,1.425,1.425,1.425,1.425,2372,0
MRKR.US,5,20250729,184000,1.4473,1.4473,1.4274,1.4274,600,0
MRKR.US,5,20250729,184500,1.45,1.45,1.45,1.45,1019,0
MRKR.US,5,20250729,185000,1.43,1.45,1.43,1.43,2376,0
MRKR.US,5,20250729,185500,1.4395,1.4395,1.4395,1.4395,250,0
MRKR.US,5,20250729,190000,1.4399,1.4399,1.4266,1.4266,418,0
MRKR.US,5,20250729,190500,1.4201,1.4426,1.4201,1.4426,1109,0
MRKR.US,5,20250729,191000,1.44,1.45,1.43,1.43,600,0
MRKR.US,5,20250729,191500,1.42,1.425,1.42,1.425,249,0
MRKR.US,5,20250729,192000,1.4307,1.4307,1.425,1.425,318,0
MRKR.US,5,20250729,193000,1.42,1.45,1.42,1.45,6900,0
MRKR.US,5,20250729,193500,1.46,1.46,1.45,1.45,1600,0
MRKR.US,5,20250729,194000,1.43,1.43,1.43,1.43,500,0
MRKR.US,5,20250729,194500,1.43,1.43,1.43,1.43,100,0
MRKR.US,5,20250729,195000,1.43,1.44,1.43,1.44,450,0
MRKR.US,5,20250729,195500,1.43,1.43,1.4203,1.4203,3478,0
MRKR.US,5,20250729,200000,1.43,1.43,1.43,1.43,120,0
